id,alamat,kelurahan_id,no_tps
260,Tembok Sayuran I,12,TPS 20
261,Tembok Sayuran II Buntu (Balai RW),12,TPS 21
262,Kalibutuh Barat VIII,12,TPS 22
263,Kalibutuh Barat VIII,12,TPS 23
264,Kalibutuh Timur I/16,12,TPS 24
265,Kalibutuh Timur II/4,12,TPS 25
266,Kalibutuh gang Langgar,12,TPS 26
267,Kalibutuh gang Lebar,12,TPS 27
268,Jl. Kranggan Makam 2,12,TPS 28
269,Jl. Tembok Dukuh 22,12,TPS 29
270,Demak Selatan I/1,12,TPS 30
271,Demak Selatan VI,12,TPS 31
272,Demak Jaya II ,12,TPS 32
273,Demak Jaya X/74,12,TPS 33
274,Demak Jaya III (Balai RW),12,TPS 34
275,Demak Jaya V,12,TPS 35
276,Demak Jaya VII,12,TPS 36
277,Demak Jaya IX,12,TPS 37
278,Jl. Sukolilo Larangan (PAUD YASMIN),13,TPS 1
279,Jl. Sukolilo Larangan (Depan Rumah Bapak RW. 1),13,TPS 2
280,Jl. Sukolilo 7-8 (Kantor LKMK),13,TPS 3
281,Jl. Sukolilo 104 (SD Muhammadiyah 9 Bahari),13,TPS 4
282,Jl. Sukolilo 104 (SD Muhammadiyah 9 Bahari),13,TPS 5
283,Jl. Sukolilo Lor (SDN Sukolilo 250),13,TPS 6
284,Jl. Suroto (Balai RW 4),13,TPS 7
285,Jl. Sadikin (Pendopo RT),13,TPS 8
286,Jl. Isman,13,TPS 9
287,Jl. Memet Sastrowiryo (SMAN 3),13,TPS 10
288,Jl. Tohir,13,TPS 11
289,Jl. Memet Sastrowiryo (Kolam Pancing),13,TPS 12
290,Jl. Wiratno (Eks Kantor Kelurahan),13,TPS 13
291,Kedung Cowek Gg.1,14,TPS 1
292,Kedung Cowek Gg.VI ( SD. BENTENG SAMUDRA ),14,TPS 2
293,Kedung Cowek VIII ( BALAI  RW.01 ),14,TPS 3
294,Jl. Cumpat ( KOPERASI SWAMITRA ),14,TPS 4
295,Jl. Cumpat Kulon,14,TPS 5
296,Jl. Nambangan N0. 1 ( Depan Kelurahan Kedung Cowek ),14,TPS 6
297,Nambangan Perak Gg. 4 Barat (Balai RW.03),14,TPS 7
298,Pasar Siap Balai RT 07 RW 01,15,TPS 1
299,SDN 248,15,TPS 2
300,Tambak Deres Gg.V,15,TPS 3
301,Kejawan Lor Balai RW 02,15,TPS 4
302,Bulak Kenjeran Gg.II,15,TPS 5
303,Bulak Kenjeran  Balai RW 03,15,TPS 6
304,Lapangan Tenis Pantai Mentari,15,TPS 7
305,Balai RW.04PANTAI MENTARI,15,TPS 8
306,,15,TPS  
307,JL. KEDUNG COWEK 151,16,TPS 1
308,JL. BULAK RUKEM TIMUR 1,16,TPS 2
309,JL. BULAK RUKEM TIMUR 1 A,16,TPS 3
310,JL. BULAK RUKEM TIMUR 1 D,16,TPS 4
311,JL. BULAK RUKEM TIMUR 1 H,16,TPS 5
312,JL. BULAK RUKEM TIMUR 1 K,16,TPS 6
313,JL. BULAK RUKEM TIMUR 2 RAYA,16,TPS 7
314,JL. BULAK RUKEM TIMUR 2 F,16,TPS 8
315,JL. BULAK RUKEM TIMUR 2 C,16,TPS 9
316,JL. BULAK CUMPAT 2,16,TPS 10
317,JL. BULAK CUMPAT BARAT 2,16,TPS 11
318,JL. BULAK CUMPAT BARAT 2,16,TPS 12
319,"JL. GEDUNG SERBA GUNA,BCU 3",16,TPS 13
320,"JL. BCU ,BALAI  RT 10",16,TPS 14
321,JL. BULAK CUMPAT TIMUR 3,16,TPS 15
322,JL.KYAI TAMBAK DERES BALAI RT,16,TPS 16
323,JL. BOGORAMI BALAI RW 3,16,TPS 17
324,JL. BOGORAMI SLTN.BALAI RT 4,16,TPS 18
325,"PERUM GADING INDAH,BALAI RT ",16,TPS 19
326,BALAI RW 5 KEL BULAK,16,TPS 20
327,BALAI RW 4 KEL.BULAK,16,TPS 21
328,JL.BULAK SETRO UTARA 1,16,TPS 22
329,JL. BULAK KALITINJANG BARU 2,16,TPS 23
330,JL. BULAK KALITINJANG 2,16,TPS 24
331,Balai RW 07 VILLA BUKIT MAS,17,TPS 1
332,Dukuh Pakis 1 RT 01 RW 06,17,TPS 2
333,Dukuh Pakis 2 RT 02 RW 01,17,TPS 3
334,Dukuh Pakis 2 Lapangan Volley RT 03 RW 01,17,TPS 4
335,Dukuh Pakis 2 Baru Balai  RT 04 RW 01,17,TPS 5
336,Dukuh Pakis 2 Gedung Serba Guna,17,TPS 6
337,Dukuh Pakis 3 RT 02 RW 06,17,TPS 7
338,Dukuh Pakis 4 Balai RW 02,17,TPS 8
339,Pakis Argosari,17,TPS 9
340,Kencana Sari Barat RW 05,17,TPS 10
341,Dukuh Pakis 5 lapangan RT 01 RW 04,17,TPS 11
342,Dukuh Pakis 5 No 22,17,TPS 12
343,Dukuh Pakis Balai RW 04,17,TPS 13
344,Dukuh  Pakis 6 RT 08 RW 01,17,TPS 14
345,Dukuh Pakis 6 Balai RW 03,17,TPS 15
346,Dukuh Pakis 6 RT 01 RW 03,17,TPS 16
347,Dukuh Pakis 6 RT 03  RW 03,17,TPS 17
348,Dukuh Pakis 6 Lapangan RT 04 RW 03,17,TPS 18
349,Dukuh Pakis 6-A RT 06 RW 03,17,TPS 19
350,Jl. Dukuh Kupang XVI RT 01 RW 01,18,TPS 1
351,Jl. Dukuh Kupang XVII RT 03 RW 01,18,TPS 2
352,Jl. Dukuh Kupang XVIII Balai RW 03,18,TPS 3
353,Jl. Dukuh Kupang Barat I / Kantor Pajak,18,TPS 4
354,Jl. Dukuh Kupang XXI Balai RW 02,18,TPS 5
355,Jl. Dukuh Kupang XXVI RT 04 RW 02,18,TPS 6
356,Jl. Dukuh Kupang XXIX RT 02 RW 03,18,TPS 7
357,Jl. Dukuh Kupang XXXI Balai RW 03,18,TPS 8
358,Jl. Dukuh Kupang Barat VIII RT 01 RW  01,18,TPS 9
359,Jl. Dukuh Kupang Barat XIX RT 01,18,TPS 10
360,Jl. Kupang Indah  VIII Balai RW 05,18,TPS 11
361,Jl. Kupang Indah  VIII ,18,TPS 12
362,Jl. Ngesong Kupang Indah III Balai RW 06,18,TPS 13
363,Jl. Ngesong Kupang Indah II Balai RW 03 RW 06,18,TPS 14
364,Jl. Dukuh Kupang Barat XXiX Balai RT 05 RW  06,18,TPS 15
365,Jl. Dukuh Utara RW  07,18,TPS 16
366,Gang Lebar Balai RT 01 RW 07,18,TPS 17
367,Jl. Dukuh Utara RW  07,18,TPS 18
368,Jl. Dukuh Utara Balai RW  07,18,TPS 19
369,Jl. Dukuh Utara Balai RT 01 RW  07,18,TPS 20
370,Jl  Dukuh Kupang Barat XIX RT 02,18,TPS 21
371,Jl  Dukuh Kupang Barat XIX Balai RW 02,18,TPS 22
372,Lapangan Tennis Marinir Jl. Golf I,19,TPS 1
373,Jl. Golf 2 RT 005 RW 003,19,TPS 2
374,Jl. Golf 2 Depan Balai  RW 003,19,TPS 3
375,Jogoloyo gg Besar RT 004 RW 003,19,TPS 4
376,Jogoloyo 1 RT 003 RW 003,19,TPS 5
377,Balai RW 001 Gunungsari,19,TPS 6
378,Pulosari 3 RT 001 RW 002,19,TPS 7
379,Pulosari 3 RT 003 RW 002,19,TPS 8
380,Pulosari 3 RT 004 RW 002,19,TPS 9
381,Pulosari 3J Balai RT 001 RW 007,19,TPS 10
382,Pulosari 3K Lapangan RT 002 RW 007,19,TPS 11
383,Pulosari 3 RT 003 Rw 007,19,TPS 12
384,Pulosari 1 RT 004 RW 007,19,TPS 13
385,Kencanasari Timur XV RT 002 RW 006,19,TPS 14
386,Kencanasari Timur XI dekat Puskesmas,19,TPS 15
387,Balai RW 006 Kencanasari Timur,19,TPS 16
388,Wonokitri 8 RT 005 RW 005,19,TPS 17
389,Wonokitri 7 RT 002 RW 005,19,TPS 18
390,Balai RW 005 Wonokitri,19,TPS 19
391,HR Muhammad (depan hyundai mobil) RT 01 RW 01,20,TPS 1
392,Pradah Kalikendal Gang 2 (Pojok) RT 02 RW 01 ,20,TPS 2
393,Balai RT 04 RW 01 (Belakang Kelurahan Pradah Kalikendal),20,TPS 3
394,Raya Pradah Indah RT 06 RW 01 (depan pos tingkat),20,TPS 4
395,Balai RT 07 RW 01 Pradah Indah (sebelah Masjid Al-Mukhlisin),20,TPS 5
396,Lapangan Volley RT 01/02 Dukuh Kalikendal,20,TPS 6
397,Balai RW 02 Dukuh Kalikendal,20,TPS 7
398,Balai RT 02 RW 02 Dukuh Kalikendal,20,TPS 8
399,Balai RW 3 Darmo Permai Timur,20,TPS 9
400,Balai RW 04 Pradah Permai ,20,TPS 10
401,Pradah Permai 7 RT 02 RW 04,20,TPS 11
402,Taman Darmo Permai Selatan II RT 03/05,20,TPS 12
403,Taman Darmo Permai Selatan IV RT 04/05,20,TPS 13
404,HR Muhammad (depan ayam goreng presiden) RT 03 RW 01,20,TPS 14
405,Darmo Permai Selatan V (depan seafood ayen) RT 01/06,20,TPS 15
406,Darmo Permai Selatan 16/12 RT 04 RW 06,20,TPS 16
407,Sekolah Alfa Omega RT 02 RW 07,20,TPS 17
408,Simpang Darmo Permai Utara (Darmo Villa) RT 04 RW 07 ,20,TPS 18
409,Taman Simpang Dar Per Sel RW 08,20,TPS 19
410,Simpang DPS 1 RT 05 RW 08,20,TPS 20
411,Club House Bukit Darmo Golf,20,TPS 21
412,Graha Family Blok D,20,TPS 22
413,Ketintang Timur PTT I,21,TPS 1
414,Ketintang PTT 03 (Balai RW I),21,TPS 2
415,Ketintang Baru IV,21,TPS 3
416,Ketintang Baru VII (Balai RW II),21,TPS 4
417,Ketintang Baru X (Balai RW III),21,TPS 5
418,Ketintang Baru X (Balai RW III),21,TPS 6
419,Ketintang Baru XV,21,TPS 7
420,Ketintang Baru XVII (Balai RT),21,TPS 8
421,Komplek Unesa,21,TPS 9
422,Ketintang Madya 79,21,TPS 10
423,Gayung Kebonsari I,21,TPS 11
424,Gayung Kebonsari Blok A,21,TPS 12
425,Ketintang Barat III/172,21,TPS 13
426,Ketintang Barat III (Balai RT),21,TPS 14
427,Ketintang Barat 09,21,TPS 15
428,Perum Royal Ketintang Regency,21,TPS 16
429,Komplek Aspol Ketintang,21,TPS 17
430,Komplek Aspol Ketintang,21,TPS 18
431,Ahmad Yani (Pusvetma),21,TPS 19
432,Sakura Regency (GOR Bulu Tangkis),21,TPS 20
433,Gayungan 01-A/01,22,TPS 1
434,Gayungan 07,22,TPS 2
435,Gayungan PTT,22,TPS 3
436,Gayungan 08,22,TPS 4
437,Gayungan 06,22,TPS 5
438,A. Yani 222-A,22,TPS 6
439,Gayung Kebonsari,22,TPS 7
440,Jemur Gayungan 01,22,TPS 8
441,Jemur Gayungan 01,22,TPS 9
442,Jemur Gayungan 02,22,TPS 10
443,Gayungsari 01,22,TPS 11
444,Gayungsari 09,22,TPS 12
445,Gayungsari 10,22,TPS 13
446,Gayungsari Barat 10,23,TPS 14
447,Menanggal I (Komplek Peni),23,TPS 1
448,Menanggal I Kelapa Gading,23,TPS 2
449,Menanggal III (SMP PGRI 64),23,TPS 3
450,Menanggal IV (Perum Puri),23,TPS 4
451,Menanggal VII (Balai RW III),23,TPS 5
452,Menanggal V Moris,23,TPS 6
453,Taman Wisma Menanggal (Balai RW IV),23,TPS 7
454,Wisma Menanggal II,23,TPS 8
455,Cipta Menanggal Blok 67 (Tempat Parkir),23,TPS 9
456,Cipta Menanggal I (Sebelah Masjid Alfajar),23,TPS 10
457,Cipta Menanggal Blok 63 (Tempat Parkir),23,TPS 11
458,Cipta Menanggal Blok 09 (Tempat Parkir),23,TPS 12
459,Gayungsari Timur (Balai RW VI),23,TPS 13
460,Dukuh Menanggal IV/24,24,TPS 1
461,Dukuh Menanggal VI,24,TPS 2
462,Dukuh Menanggal VI-A,24,TPS 3
463,Dukuh Menanggal 109,24,TPS 4
464,Dukuh Menanggal XI (Balai RW IV),24,TPS 5
465,Dukuh Menanggal XII (Balai RW V),24,TPS 6
466,Dukuh Menanggal V-B (SD Bahrul Ulum),24,TPS 7
467,Dukuh Menanggal XII (Pos Terpadu RT 03),24,TPS 8
468,Menanggal Indah (Lapangan Olahraga RW VII),24,TPS 9
469,Bambe Dukuh Menanggal (Balai RW VIII),24,TPS 10
470,A. Yani (SMK Negeri 3),24,TPS 11
471,JL KANGINAN II / 20,25,TPS 1
472,JL KENIKIR,25,TPS 2
473,JL KACA PIRING,25,TPS 3
474,JL MELATI,25,TPS 4
475,JL WIJAYA KUSUMA,25,TPS 5
476,LAPANGAN TENIS JL WUNI,25,TPS 6
477,DEPAN BALAI RW KETABANG MAGERSARI,25,TPS 7
478,JL PACAR,25,TPS 8
479,SDN SERUNI,25,TPS 9
480,SMK 8 KAMBOJA,25,TPS 10
481,JL KAMBOJA,25,TPS 11
482,JL GENTENG KULON (BALAI RW V),26,TPS 1
483,JL GENTENG CANDIREJO (BALAI RW VIII),26,TPS 2
484,JL GENTENG DALAM(BALAI RW VII),26,TPS 3
485,JL GENTENG MUHAMADIYAH (SEKOLAH MUHAMADIYAH 2),26,TPS 4
486,JL GENTENG BANDAR 2,26,TPS 5
487,TUNJUNGAN GANG 1,26,TPS 6
488,KEBANGSREN 1 LAPANGAN BULUTANGKIS,26,TPS 7
489,KEBANGSREN II (HALAMAN BANK PERMATA),26,TPS 8
490,JL BLAURAN KIDUL I (BALAI RW II),26,TPS 9
491,KETANDAN LOR (BALAI RW IV),26,TPS 10
492,GLAMOUR (JL TUNJUNGAN NO 42 - 48,26,TPS 11
493,BLAURAN II LAPANGAN BULU TANGKIS,26,TPS 12
494,JL TANJUNG ANOM NO 14 (BALAI RW I),26,TPS 13
495,PANTI WREDA,27,TPS 1
496,PANTI ASUHAN,27,TPS 2
497,PLAMPITAN 11 (RT VII),27,TPS 3
498,PLAMPITAN 8 (RT IV),27,TPS 4
499,BALAI RW PENELEH III,27,TPS 5
500,PENELEH IV,27,TPS 6
501,PENELEH I,27,TPS 7
502,PENELEH IX,27,TPS 8
503,UNDAAN PENELEH V,27,TPS 9
504,BALAI RW VI,27,TPS 10
505,UNDAAN KULON II,27,TPS 11
506,BALAI RW UNDAAN KULON III,27,TPS 12
