id,judul_laporan,tanggal_kejadian,alamat,kelurahan_desa,kecamatan,kab_kota,provinsi,keterangan,kategori,status
00013,Poster Seppalga di Pohon,2010-03-31 19:49,"Jalan Minangkabau, Setiabudi, South Jakarta City, Jakarta, Indonesia",,Setiabudi,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Seppalga Ahmad, Caleg DPRD DKI Jakarta Dapil 8 nomor urut 1 dari Partai Gerindra.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Minangkabau, Setiabudi, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00014,Bendera NasDem di Jembatan Layang Senen,2010-03-31 19:47,"Jalan Kramat Raya, Senen, Central Jakarta City, Indonesia",,Senen,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Nasional Demokrat (NasDem).\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di jembatan layang (fly over) Senen.\n\nDugaan pelanggaran ditemukan di Jalan Kramat Raya, Senen, Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00015,Poster Achmad Di Tiang Listrik,2010-03-31 19:42,"Jalan Kramat Raya, Senen, Central Jakarta City, Indonesia",,Senen,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Achmad Zairofi, Caleg DPRD DKI Jakarta Dapil Jakarta Pusat nomor urut 1 dari Partai Keadilan Sejahtera.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Kramat Raya, Senen, Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00016,Poster Hidayat di Pohon,2010-03-31 19:40,"Jalan Kepu Barat, Kemayoran, Central Jakarta City, Jakarta 10620, Indonesia",,Kemayoran,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh DR.H.M.Hidayat Nur Wahid,MA caleg DPR RI Dapil Jakarta 2 Nomor Urut 1 dari Partai Keadilan Sejahtera.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu melarang pemasangan alat peraga di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Kepu Barat, Kemayoran,Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00017,Prasetio Diduga Langgar Aturan,2010-03-31 19:39,"Jalan Kepu Barat, Kemayoran, Central Jakarta City, Jakarta 10620, Indonesia",,Kemayoran,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Prasetio Edi Marsudi, caleg DPRD DKI Dapil Jakarta Pusat nomor urut 1 dari PDI Perjuangan.\n\nDugaan pelanggaran berupa pemasangan alat peraga yang tidak sesuai dengan aturan KPU yaitu melarang pemasangan alat peraga di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Kepu Barat, Kemayoran, Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00018,Poster Eriko di Tiang,2010-03-31 19:35,"Jalan Kepu Barat, Kemayoran, Central Jakarta City, Jakarta 10620, Indonesia",,Kemayoran,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Ir. Eriko Sotarduga B.P.S. Caleg DPR RI Dapil DKI Jakarta 2 Nomor Urut 1 dari PDI-P.\n\nDugaan pelanggaran berupa pemasangan alat peraga yang tidak sesuai dengan aturan KPU yaitu dipasang di tiang.\n\nDugaan pelanggaran ditemukan di Jalan Kepu Barat, Kemayoran, Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00019,Poster Syahdu Diduga Langgar Aturan,2010-03-31 19:32,"Jalan Kepu Barat, Kemayoran, Central Jakarta City, Jakarta 10620, Indonesia",,Kemayoran,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Syahdu Raharjo, Caleg DPRD DKI Dapil 1 Jakarta Pusat nomor urut 4 dari Partai Amanat Nasional.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Kepu Barat, Kemayoran, Jakarta Pusat.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00020,Ardi Putra Baramuli Diduga Langgar Aturan,2010-03-31 19:29,"Jalan Terusan Hanglekir II, Kebayoran Baru, South Jakarta City, Jakarta 12120, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Ardi Putra Baramuli, Calon DPD RI Dapil DKI Jakarta.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Terusan Hanglekir II, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00021,Sabam Sirait Diduga Langgar Aturan,2010-03-31 19:26,"Jalan Patiunus, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Saban Sirait, calon anggota DPD RI.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di tiang listrik.\n\nDugaan pelanggaran ditemukan di Jalan Patiunus, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00022,Spanduk Dipasang Ke Pohon,2010-03-31 19:21,"Jalan Patiunus, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh H Rusamsi, S.Sos, caleg dari Partai Nasdem Nomor urut 1 untuk DPRD DKI Dapil 7 Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di pohon.\n\nDugaan pelanggaran ditemukan di Jalan Patiunus, Kebayoran Baru, Jakarta Selatan\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00023,Poster di Depan Masjid,2010-03-31 19:09,"Perum Korpri Griya Suradita Indah, Suradita, Cisauk, Tangerang, Banten 15342, Indonesia",,Cisauk,Tangerang,Banten,"Dugaan pelanggaran penempatan alat peraga kampanye ditemukan di Perum Korpri Griya Suradita Indah, depan Masjid Al Husna Suradita.\n\nDugaan pelanggaran tersebut dilakukan oleh caleg dengan nama H. Agus Puji Raharjo, SE, Ak. Caleg DPR RI Nomor urut 9 untuk Dapil Tangerang Selatan, Tangerang Kabupaten dan Tangerang Kota.\n\nSelain itu, Caleg DPRD Provinsi Banten bernama Idham Cholid Nomor urut 5 berasal dari PKS juga diduga melakukan pelanggaran yang sama.\n\nDugaan pelanggaran administratif dalam pemasangan alat peraga sudah terjadi sebulan lebih. Belum ada tindakan yang dilakukan dari pihak pihak terkait pelaggaran yang dilakukan caleg ini.",Dugaan Pelanggaran Administratif,
00024,Fahira Idris Melanggar Peraturan Pemilu di Perempatan Bulungan,2010-03-31 19:16,"Jl. Kyai Maja, Gunung, Kebayoran Baru, South Jakarta City 12120, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Fahira Idris SE, Calon DPD RI Nomor 11.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di perempatan bulungan dan jalan kyai maja.\n\nDugaan pelanggaran ditemukan di Jl. Kyai Maja, Gunung, Kebayoran Baru, South Jakarta City 12120, Indonesia.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00025,Fahira Diduga Langgar Aturan,2010-03-31 19:13,"Jalan Bulungan, Kebayoran Baru, South Jakarta City, Jakarta 12130, Indonesia",,Kebayoran Baru,,jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Fahira Idris SE, Calon DPD RI Nomor 11.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di taman bundaran Blok M, Jalan Bulungan, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yang melarang pemasangan alat peraga di fasilitas publik.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00026,Bendera PKS Langgar Aturan Kampanye,2010-03-31 19:08,"Gandaria Tengah 3, Kebayoran Baru, South Jakarta City, Jakarta 12130, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Keadilan Sejahtera (PKS)\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yaitu memasang bendera di pepohonan.\n\nDugaan pelanggaran ditemukan Jl Gandaria Tengah 3, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00027,Anggia Dewi Diduga Langgar Aturan Kampanye,2010-03-31 19:05,"Jalan Gandaria 1 No.1, Kebayoran Baru, South Jakarta City, Jakarta 12140, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh HJ. Anggia Dewi SE, Caleg DPRD DKI Jakarta Nomor Urut 3 Daerah Pilihan Jakarta Selatan dari Partai Hati Nurani Rakyat (Hanura).\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU yaitu dipasang di antara tiang lampu merah dengan tiang penunjuk jalan.\n\nDugaan pelanggaran ditemukan di perempatan Jalan Radio Dalam - Gandaria atau Jalan Gandaria 1, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yaitu memasang spanduk di sarana publik.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00028,Ahmad Muzakki Diduga Langgar Aturan Kampanye,2010-03-31 18:51,"Jalan Gandaria 1, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Ahmad Muzakki Noor SH, Caleg DPRD DKI Jakarta Nomor Urut 9 Dapil 7 Jakarta Selatan dari Partai Demokrat.\n\nDugaan pelanggaran berupa pemasangan alat peraga yang tidak sesuai dengan aturan KPU yaitu dipasang antara tiang lampu merah dengan tiang penunjuk jalan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye di sarana dan prasarana publik.\n\nDugaan pelanggaran ditemukan di perempatan Jalan Radio Dalam - Gandaria atau di Jalan Gandaria 1, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00029,Spanduk Haposan Diduga Langgar Aturan,2010-03-31 18:44,"Jalan Gandaria 1, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Haposan Paulus Batubara, calon legislatif DPRD DKI Jakarta Daerah Pilihan 1 Jakarta Selatan Nomor Urut 6 dari Partai Gerindra.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU karena dipasang di antara tiang listrik dan tiang lampu merah dan di perempatan jalan.\n\nDugaan pelanggaran ditemukan di perempatan Jalan Radio Dalam - Gandaria, atau Jalan Gandaria 1, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yang melarang pemasangan alat peraga di fasilitas publik.\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00030,Nuraina Diduga Langgar Aturan Kampanye,2010-03-31 18:15,"Gandaria Tengah 3, Kebayoran Baru, South Jakarta City, Jakarta 12130, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Nuraina, Caleg DPRD DKI Dapil Jakarta Selatan Nomor Urut 1 yang juga menjabat sebagai ketua DPC Gerindra Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU karena dipasang di pagar sebuah rumah.\n\nDugaan pelanggaran ditemukan di perempatan Gandaria Tengah 3, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00031,Spanduk Nasution Di Tiang Listrik,2010-03-31 17:54,"Jalan Panglima Polim Raya, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Nasution SH, calon anggota legislatif dari Partai Nasdem untuk DPRD DKI Jakarta Nomor Urut 7 .\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU karena dipasang di antara pohon dan tiang listrik.\nDugaan pelanggaran ditemukan di perempatan Panglima Polim, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yang melarang pemasangan alat peraga di fasilitas publik.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00032,Bendera Gerindra dan Spanduk PDI-P di Tiang Listrik,2010-03-31 17:45,"Jalan Panglima Polim Raya, Kebayoran Baru, South Jakarta City, Jakarta, Indonesia",,Kebayoran Baru,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Gerindra dan juga PDI Perjuangan. Dugaan pelanggaran yang dilakukan oleh partai Gerindra dengan memasang bendera partai sedangkan untuk PDI Perjuangan memasang spanduk berisikan informasi untuk mencoblos nomor 4 Jokowi Presiden.\n\nDugaan pelanggaran ditemukan di perempatan Panglima Polim, Kebayoran Baru, Jakarta Selatan.\n\nDugaan pelanggaran berupa pemasangan alat peraga tidak sesuai dengan aturan KPU Nomor 15 Tahun 2013 tentang Pedoman Pelaksanaan Kampanye yang melarang pemasangan alat peraga di fasilitas publik.\n\nDugaan pelanggaran ditemukan pada hari Selasa, 1 April 2014.",Dugaan Pelanggaran Administratif,
00033,Foto Pelanggaran Kampanye PPP di Pamulang,2010-03-30 18:18,"Pamulang, South Tangerang City, Banten, Indonesia",,Pamulang,Tangerang Selatan,Banten,"Ditemukan dugaan pelanggaran administatif pemilu dan dugaan pelanggaran pidana mengenai perlindungan anak berupa pengikutsertaan anak-anak di bawah umur dalam kampanye PPP di daerah Pamulang, Tangerang Selatan, Banten.\n\nPenemuan dugaan pelanggaran tersebut pada hari Senin, 31 Maret 2014.","Dugaan Tindak Pidana Pemilu,Dugaan Pelanggaran Administratif",
00034,Sambal Terasi dari PKS,2014-30-03 20:58,"Kebayoran Lama, South Jakarta City, Jakarta, Indonesia",,Kebayoran Lama,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Keadilan Sejahtera (PKS).\n\nPartai ini memberikan sambal terasi yang menurut warga sekitar sangat lezat rasanya. Di botol sambal tersebut terdapat sticker PKS.\n\nDugaan pelanggaran ditemukan di Kampung Rawa RT 006/RW 09, Kebayoran Lama, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Sabtu, 29 Maret 2014.",Dugaan Tindak Pidana Pemilu,
00035,Sembako dan Kerudung dari Partai Hanura,2014-30-03 21:04,"Tebet, South Jakarta City, Jakarta, Indonesia",,Tebet,,Jakarta,"Telah ditemukan dugaan pelanggaran pidana yang dilakukan oleh Partai Hanura berupa pemberian sembako dan kerudung pada perkumpulan warga Tebet Timur Dalam 4, Tebet, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan pada hari Senin, 24 Maret 2014.",Dugaan Tindak Pidana Pemilu,
00036,Pemberian Kerudung dari PAN,2014-30-03 21:06,"Tebet, South Jakarta City, Jakarta, Indonesia",,Tebet,,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh Partai Amanat Nasional (PAN) berupa pemberian kerudung pada perkumpulan ibu ibu warga Tebet Timur Dalam 4, Tebet, Jakarta Selatan.\n\nDugaan pelanggaran ditemukan sekitar tanggal 20 Maret 2014.",Dugaan Tindak Pidana Pemilu,
00037,Buku Doa dari PKS,2010-03-29 21:11,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh partai PKS berupa pemberian buku doa yang diberikan pada ibu-ibu majelis talim di pamulang pada tanggal 12 Februari 2014 oleh caleg Nurul Qomariah untuk DPRD Tangerang Selatan.\n\nPelanggaran ditemukan di Jalan Benda Barat 10A, Pamulang 2, Tangerang selatan, Banten.",Dugaan Tindak Pidana Pemilu,
00038,Caleg Hanura Diduga Melanggar Aturan KPU,2014-30-03 20:49,"Jalan Benda, Benda, Tangerang City, Banten, Indonesia",,Benda,Kota Tangerang,Jakarta,"Telah ditemukan dugaan pelanggaran yang dilakukan oleh DRS. Syamrudin, caleg dari Partai Hanura untuk DPRD Tangerang Selatan Nomor Urut 10.\n\nTemuan dugaan pelanggaran tersebut berupa alat peraga di tianglistrik. Sesuai dengan ketentuan KPU, alat peraga tidak boleh dipasang di fasilitas umum seperti tiang listrik atau tiang telepon.\n\nDugaan pelanggaran ditemukan di Jalan Benda Barat 10B, Pamulang 2, Tangerang Selatan, Banten.\n\nDugaan pelanggaran ditemukan pada hari Minggu, 30 Maret 2014.",Dugaan Pelanggaran Administratif,
