id,name
1140,Drs. H. Wenny Bukamo
1141,"H. Musir A. Madja, SH, MM"
1142,"Sofyan Kaepa, SH"
415,"H. SUKIRMAN, SH"
650,"Ust. H. ZUHRI M. SYAZALI, Lc., MA"
558,"Drs. H. PARHAN ALI, MM"
707,H. JAMRO H. JALIL
708,"Drs. JUSTIAR NOER, ST, MM, M.Si"
430,"RINA TAROL, SE"
422,"H. ERZALDI ROSMAN, SE, MM"
423,Ir. H. PATRIANUSA SJAHRUN
859,"I Made Gianyar,SH.,M.Hum"
861,"Drs. Ida Bagus Brahmaputra, S.Sos., MM"
519,"Drs. H. Pangeran Chairiansjah, MM"
207,"DR. H.A. Fauzan Saleh, M.AG"
1245,"H. Gusti Abidinsyah, S.Sos, MM"
452,KH. Khalilurrahman
961,Drs. H. Suharsono
276,Hj. Sri Surya Widati
553,"H. Abdullah Azwar Anas, M.Si"
790,"Ir. SUMANTRI SOEDOMO, MP"
1026,H. M. MALKAN AMIN
561,Drs. H. ANDI ANWAR AKSA
548,"Ir. H. ANDI IDRIS SYUKUR, MS"
742,Tagog Soulisa
529,Ridwan zakariah
1000,La Ode Abdul Ganiun
1003,"Drs. Abu Hasan, M.Pd"
589,"Deni Sunarya, SH"
497,"dr. H. Suranto, MM"
1143,"H. Irvan Rivano Muchtar, S.IP, SH., M.Si"
380,"Drs. H. Moh. Dachirin Said, SH, M.Si"
230,Drs. Harwanto
938,"H.M NATSIR, A.Ma"
1164,"Ir. H. ADI GUNAWAN, M.M"
405,"SUTAN RISKA TUANKU KERAJAAN, SE"
382,"SYAFRUDDIN, S.A.P"
312,"H. MULYADIN, SH,MH"
640,"H. ABUBAKAR AHMAD, SH"
314,Drs. H. BAMBANG M. YASIN
64,"Sukri I. Moonti, SH., MH"
627,"PROF. DR. Ir. Hi. NELSON POMALINGO, M.Pd"
398,"Dr. Hi. Rustam Hs. Akili, SE, SH, MH"
69,"Zukri Harmain, SE., ME"
400,H. Tonny S. Junus
275,DRS. ANDI MADDUSILA ANDI IDJO
913,"Hj. TENRI OLLE YASIN LIMPO, SH, M.Si"
1249,DRS. H. SJACHRIR SJAFRUDDIN DG. JARUNG
104,"ADNAN PURICHTA ICHSAN YL, SH"
106,"IR. DJAMALUDDIN MAKNUN, MP"
1013,"Dr. H. HUSNUL KHULUQ, Drs. M.M"
1014,"Dr. Ir. H. SAMBARI HALIM RADIANTO, S.T., M.Si."
1015,"AHMAD NURHAMIM, S.Pi., M.Si."
930,"H. ICEK BASKORO, SH, MH"
228,H. DJOKO NUGROHO
482,"H. ABU NAFI, SH"
1044,"H. M. KUSNANTO, SH"
654,DRS. AZHAR YASIN
348,"H. HERSON MAYULU, S.IP"
1200,SEHAN S LANDJAR. SH
1201,CANDRA MODEONG
1205,"SAM SACHRUL MAMONTO, S.Sos"
1007,HAMIM POU
1009,INRAWANTO HASAN
806,AZAN PIOLA
28,SYAMSIR DJAFAR KIAYI
815,"H. MOH. KRIS WARTABONE, S.AP"
698,"YESAYA MERASI, S.IP"
682,HELENA TABYAROP
692,"YUSAK YALUWO, SH.MSi"
1124,"BENEDIKTUS TAMBONOP,S.STP"
257,Drs. Seno Samodro
480,"Agus Purmanto, SH., M.Si"
718,"IR. H. MASYKUR A. SULTAN, MS"
906,"Hj. Jumrana Salikki, SE"
1199,H. A. M. SUKRI A. SAPPEWALI
908,"H. Askar. HL, SE"
1022,"Abdul Kahar Muslim, S.Hi"
322,"H.SUDJATI, SH"
609,"Dr.LIET INGAI, M.Si"
613,Dra. Oni Aprianor
1008,"H. SUDIRMAN ZAINI, SH, MH"
479,"H. MASHURI, SP, ME"
740,Hakim Patsey
484,"SRI SUMARNI, SH, MM"
260,"Benyamin Sudarmadi, S.H.,M.Si."
535,"H. Djangkung Sudjarwadi, SH., LLM."
536,"Hj. Badingah,S.Sos"
636,H. Subardi TS
476,Danny Missy
421,"Risno Sadonda, ST"
652,James Uang
625,M. Syukur Mandar. SH. MM
799,"H. Amin Ahmad S.IP, MM"
801,Bahrain Kasuba
803,"H. Ponsen Sarfa, ST. MM"
798,"Rusihan Jafar, S.Pd"
496,"H.RUDY ERAWAN, SE. MS.I"
186,"ANJAS TAHER, SE.M.SI"
644,Ir. Frans Manery
194,"John R. Pattiasina, STP. M.Si"
487,Dr. Hi. Kasman Hi Ahmad M.Dp
489,"dr. Harianto Tantry, SpOg. KFER"
490,"Dr. Drs. Piet Hein Babua, M.Si"
112,ANDI MAHMUDI
448,"DR.Ir.H.HARUN NURASID,MM.,MT"
449,"H. ABDUL LATIF,ST.SH.MH"
571,DOSMAR BANJARNAHOR
43,RIMSO MARULI SINAGA
45,MARGANTI MANULLANG
317,Drs. H. T. MUKHTARUDDIN
617,"H. YOPI ARIANTO, SE"
808,HJ. ANNA SOPHANAH
160,"TOTO SUCARTONO, SE"
1173,Hj. YENNITA FITRIANI. MH
901,"H. KHAYUB MOHAMAD LUTFI, SE"
902,"Ir.H. MOHAMMAD YAHYA FUAD, SE"
907,"H. BAMBANG WIDODO, SE, MM"
827,HARYANTI
1010,"ARI PURNOMO ADI, DR"
588,"DRS. CELSIUS WATAE, MH"
591,"BENNY SWENY, S.Sos"
597,"DR. YUSUF WALLY, SE, MM"
585,"JANSEN MONIM, ST, MM."
953,dr. Hj. WIDYA KANDI SUSANTI MM
955,"dr. MIRNA ANNISA, M.Si"
737,"BAMBANG SUGIANTO, SH.MH"
766,Dr.Ir.HIDAYATTULLAH SJAHID MM
814,Ir. FIRDAUS JAILANI
812,Abdul Haris.SH
813,Azhar
450,dr. Johan Donga
451,"Welhelm Daniel Kurnala, SH"
1137,TENGKU MUSTAFA
1138,"Drs. H. IRWAN, M.Si"
251,"H. SAIFUL ARIF, S.H"
249,MUH. BASLI ALI
819,"AJI SUMARNO, S.STP., M.M"
499,Hendrata Thes
502,Ir. Rusmin Latara
503,"H. Safi Pauwah, SH"
180,"Martin Rantan,SH"
182,"Ir. Aswin Fuad, M.M., M.T"
465,"H. Boyman Harun, S.H"
630,"dr. Hj. FAIDA, MMR"
386,"H. Sugiarto, S.H"
848,"I Putu Artha, SE., MM"
849,"I Komang Sinatra, SH"
686,Freddy Thie
1112,"Drs. Hasan Achmad, M.Si"
478,"A. M. Nasir, SH"
469,"Fransiskus Diaan, S.H"
262,"I Gusti Ayu Mas Sumantri, S.sos, M.Ap"
867,"I Wayan Sudirta, SH"
620,"I Made Sukerana, SH"
40,"NANAN TARYANA, S.Pd"
219,"H. SAAN MUSTOPA, S.IP.,M.Si."
42,"NACE PERMANA, SE., M.Ikom"
356,H. AKHMAD MARJUKI
44,"H. DADAY HUDAYA, SH., MH"
501,dr. CELLICA NURRACHADIANA
475,"Agusriono, SE"
48,Drs. H. R. Usman Aziz
473,Aunur Rafiq
1252,"Terkelin Brahmana, SH"
513,Ir. Ramon Bangun
514,Sudarto Sitepu
967,"Cuaca Bangun, SE. Ak, M.Si, SH, MH, CLA"
970,"Heben Heser Ginting, A.Md. SE"
972,"Pt. Layari Sinukaban, SIP"
973,Bangkit Sitepu
299,"Gusril Pausi, S. Sos"
84,"Yusmeri Herlan, SE"
1167,"Kolonel Inf. YAKRAMAN YAGUS, SH"
467,"Drs. H. Andi Djamiruddin, M.Si"
273,ONE KRISNATA
81,"H. MUSTAFID FAUZAN, S.E"
633,"Hj. SRI HARTINI, SE"
1006,"H. Muh. Buddu, SE"
224,H. Syamsu Alam
506,"H. Wahyu Ade Pratama Imran, SH"
507,"Drs. H. Tony Herbiansyah, M.Si"
985,H. M. Nur Sinapoy
986,M. Ridwan Landipo
508,"Ir. Amrullah, MT"
942,"Rusmin Abdul Gani, SE"
943,"H. Surunuddin Dangga, ST, MM"
226,"Muhammad Endang SA, S.Sos"
407,"H. ASNAWI SYUKUR TOHALU. S.Sos.,MM"
963,"Drs. H. ASWAD SULAIMAN P, M.Si"
969,"IR. RUKSAMIN, M.Si"
978,"ANWAR, S.Sos"
125,"H. ALPIDRI SUPIAN NOOR, SE"
720,"H. RUDI SURYANA S.Sos., MM.Pd"
130,"H. M. IQBAL YUDIANNOOR, SE"
131,"MUHAMAD ALAMSYAH, ST, M.AP"
445,"H. IRHAMI RIDJANI, S.Sos., M.Si"
1251,SAYED JAFAR ALAYDRUS
725,"SUPIAN HADI, S.Ikom"
730,MUHAMMAD ARSYAD
733,DJUNAIDY DRAKERL
330,Ir.H. Marjan Ustha
402,"Indra Putra, ST"
774,"Drs.H.Mursini,M.Si"
623,"FX. YAPAN, SH"
936,Ir. Rama Alexander Asia
60,"Drs. Abed Nego, MA"
61,"AMANTIUS UGAU, SE, MM"
608,"Hj. Norbaiti, A.Md"
545,"Ir. H. Ismunandar, MT"
606,"Drs. H. Ardiansyah Sulaiman, M.Si"
568,"H. Pangonal, SE, M.SI"
928,Dr. Ir. H. Zainal Arifin Dalimunthe
929,"Mahini Rizal, ST."
52,"DR. H. TIGOR PANUSUNAN SIREGAR, SP.PD"
57,"SUHARI, S.IP"
41,BASYARUDDIN SIREGAR
543,"H. WILDAN ASWAN TANJUNG, SH, MM"
959,"H. Usman, SE.M.Si."
940,"H. KHARUDDIN SYAH, SE ALIAS H.BUYUNG"
47,H. ALI WANSAH
541,"H. MINAN PASARIBU, SH, MM"
1055,H. MUJIANTO
1057,"H. NURSALIM, Amd.RO"
1043,"H. FADELI, SH., MM."
1195,"M. SHOLEH BAJURI, S.Hi,M.Hi"
601,"DR. H. Zainudin Hasan, MHum"
602,"HI. RYCKO MENOZA SZP, SE., SH., MBA"
252,SAMIDJO
594,"DR. IR. H. MUSTAFA, M.H."
10,"MUDIYANTO THOYIB, B.A"
599,"H. GUNADI IBRAHIM, S.E."
932,Chusnunia Chalim
933,Erwin Arifin
939,Yusron Amirullah
665,"H. ROSJONSYAH, SIP, M.Si"
670,"Hj. LENI HARYATI JOHN LATIEF, SE, M.Si"
142,"MASROPENIRYADI, SE, M.Si"
147,"WILYAN BACHTIAR, SIP"
695,KOPLI ANSORI
66,"H. RIFA YENDI, SH"
787,"IR. IRFENDI ARBI, MP"
559,"DRS.H.ASYIRWAN YUNUS, M.SI"
893,"H. AZWAR CHES PUTRA, SE"
820,Harlianto S.kom
823,Mohd.Ikhsan Fansuri ST
825,Usman Taufik
816,H. Alias Wello. S. IP
1215,H.SUHARTO
984,"H. LALU WIRATMAJA, SH"
310,"H.L. SUPRAYATNO, SH.MM"
311,"TGH. LALU GEDE M. ALI WIRASAKTI AMIR MURNI,LC.MA"
212,"H. MOH. SUHAILI FT, SH"
550,"Dr. H. NAJMUL AKHYAR, SH.,MH"
769,"H. DJOHAN SJAMSU, SH"
909,DR. H. Badaruddin A. Picunang
911,H. M. Nur Husain
732,Ir. M. Thorig Husler
667,"HJ. INDAH PUTRI INDRIANI, S.IP, M.SI"
410,DRS. H. ARIFIN JUNAIDI
187,DRS. STANISLAUS LIAH
584,"BONIFASIUS BELAWAN GEH, SE."
586,"MS. RUSLAN, SH., MH., M.Si"
647,"Drs. H.Fahmi Massiara, MH"
649,"H. Arifin Nurdin, SE.,M.SAk"
651,"DRS.H.Rizal Sirajuddin,M.Si"
868,dr. Stefanus Bria Seran MPH
874,"Taolin Ludovikus, BA"
876,"Agustinus Klaran, ST"
455,H. RENDRA KRESNA
611,"Dra. Hj. DEWANTI RUMPOKO, M.Si"
70,NURCHOLIS
531,"Pdt. MARTIN LABO, M.Th, M.Si"
957,"Dr. Yansen Tp, M.Si"
1109,Nikolas Johan KiliKily S.Th
439,Simon Moshe Maahury
1110,Drs. Barnabas Orno
460,"DORINUS DASINAPA, A.Ks, S.Sos"
658,"ROBBY WILSON RUMANSARA, SP, MH"
660,"DEMIANUS KYEUW-KYEUW, SH, MH"
1028,"Drs. H. HABSI WAHID, MM"
1029,Ir. BUSTAMIN BAUSAT
1030,"H. AHMAD, S.SOS"
885,HADERANA
886,H. ARAS T
879,"Muhammad Yusri M Nur, ST, M.Si"
882,"Ir.H. AGUS AMBO DJIWA, MP"
282,"Drs. HM. Yusuf Nasution, Msi"
974,Drs. H. Dahlan Hasan Nasution
1051,"Dr. DENO KAMELUS, SH. MH"
1052,"HERYBERTUS GERADUS LAJU NABIT, SE.MA"
1077,"IR. PANTAS FERDINANDUS, M.SI"
1078,"DRS. GASA MAXIMUS, M.SI"
1080,DRS. AGUSTINUS CH. DULA
1084,"MATEUS HAMSI, S.Sos"
1086,Drs. TOBIAS WANUS
132,"SEPRIANUS ADOLF RUMPABE, SH.,MH"
134,"Drs. BERNARD SEFNAT BONEFTAR, M.H"
634,"Drs. BASTIAN SALABAI, S.Th, ma, M.Th"
1038,"DEMAS PAULUS MANDACAN, S.Sos., M.Cc.Dev"
1149,"David Towan Siba, S.Sos, M.Si."
1148,"Markus Waran, ST."
375,"Ir. H. M. HATTA RAHMAN, MM"
1011,"H. A. HUSAIN RASUL, SH"
1012,"Ir. H. MUH. IMRAN YUSUF, MM"
903,"H. Firman Muntaco, SH, MH"
477,"Panji, S.Sos"
1016,"Drs. ROMANUS MBARAKA, MT"
1018,"FREDERIKUS GEBZE, SE, M.Si"
368,DRS.SOMPIE S.F. SINGAL
693,"PETRUS JOHANIS LUNTUNGAN,BA"
524,YULISA BARAMULI
678,VONNIE ANNEKE PANAMBUNAN
176,MISNAN
338,"H. MUSTOFA KAMAL FASA, SE"
990,"Dra. Hj. CHOIRUN NISA, M. Pd"
1073,"Idham Ibrahim, SE, M.SE"
1074,"Mahmud Ibrahim, S.Sos.,MM"
1075,"Mardiman Sane, SH.,MH"
1072,"Ir. Artipel Tumimomor, MT"
512,"Choirul Huda, SH"
342,Wismen A. Razak
345,"Sapuan, SE., MM., Ak., CA"
991,"H. La Ode Arwaha Ady Saputra, S.Sg, M.Si"
341,Drs. AAP APTADI
307,"HJ. IRNA NARULITA, SE., MM."
1150,JEJE WIRADINATA
1151,AZIZAH TALITA DEWI .S.Sos.MM
1152,INO DARSONO
685,"DRS. H. NUR ACHMAD AS, SH"
689,H. SANGKALA H. TAEPE
690,"H. SYAMSUDDIN A. HAMID, SE"
694,"Drs. H. ABD. RAHMAN ASSAGAF, M.I.Kom"
701,"H. BENNY UTAMA, SH, MM"
393,"H. YUSUF LUBIS, SH, MSi"
1060,"ZULKENEDI SAID, S.Sos"
409,"Drs. H. SYAHIRAN, MM"
847,"H.HAMSUARDI, S.Ag"
655,"Dr. H. YUSRIANSYAH SYARKAWI,M.Si"
639,"Ir.H.Bambang Susilo, MM"
1192,"Daud Indow, SH"
1070,"YOSIAS SAROY, SH, MH"
578,"YAKOBUS WAYAM, S.IP, M.Si"
951,"SELOTIUS TAPLO, S.Hi"
956,"COSTAN OKTEMKA, SIP"
958,"D. NIKOLAUS KAKYARMABIN, SIP.M.Si"
355,"H. Riswadi, SH"
709,"H. ASIP KHOLBIHI, SH.,M.Si"
807,"H.JUNAEDI, SH.MM."
781,"MUKHAMMAD ARIFIN, A.Md.Teks"
565,"Ir. H. HERI AMALINDO, MM"
567,"SUKARMAN, SH"
76,"ARIES SANDI DARMA PUTRA, S.H., M.H."
1177,"FADHIL HAKIM YHS, BBA"
992,"dr. H. LM. Baharuddin, M.Kes"
994,"LM. Rusman Emba, ST"
384,"Ir.H. Hendra Gunawan, SH. MM"
385,Ir. Hj. Ratna Machmud
1183,"H.Zulkarnain, SE"
1082,"Drs. H.M SARIF HIDAYAT, MM"
388,"KHAIRUL ALAMSYAH, SE"
389,"Drs. H. AKISROPI AYUB, SH, M.Si"
434,Piter Warobay
629,"DECKY KAYAME, SE"
1224,"Zonggonau A, AMDP, SP, MSi"
1225,Hendrik Andoi
1227,"Yakob Panus Jingga, MT"
1228,"Isaias Douw,S.Sos"
1229,"Drs.Ayub Kayame, MA"
184,DRS. H. Ilyas Sabli
425,"Imalko, S.Sos, MH"
427,Rodhial Huda
428,Drs. H. Abdul Hamid Rizal
291,Dedi Yanto
684,"PAULINUS NO WATU, S.Sos"
669,"MARIANUS SAE, S.A.P"
677,"KORNELIS SOI, SH"
301,Ir. H. Budi Sulistyono ALIAS KANANG
362,"Drs. Agus Bandono, M.Hum"
46,"FAIGIA'ASA BAWAMENEWI, SH"
539,"DRS. SOKHIATULO LAOLI, MM"
540,"HAPPY PERSATUAN NDRAHA, A.MAK"
357,"Adrianus Aroziduhu Gulo, SH.,MH"
840,"Faduhusi Daely, S.Pd"
1178,"H. OKTA RIJAYA M, S.H.I."
1180,"H. DENDI RAMADHONA, S.T."
593,"KRT. OKING GANDA MIHARJA, SH"
949,"DR. Drs. Agus Istiqlal, SH, MH"
952,"Aria Lukita Budiwan, ST"
90,IR. H. JAMAL NASER
761,"H. Hendrajoni, SH, MH"
767,"Drs. Editiwarman, M.Si"
845,"H. Alirman Sori, SH, M.Hum, MM"
454,"Prof. DR. Misranto, S.H. M.Hum."
418,Drs. H. Ipong Muchlissoni
420,"H. Amin, SH."
411,Sugiri Sancoko
1061,Ir. Wirabumi Kaluti
1064,"FRANY E. S DJARUU, SSI, M.Kes"
1065,"Drs. AMDJAD LAWASA, MM"
784,H. Zainal Mus
793,"Aliong Mus, ST"
897,"H. TASDI, SH,MM"
1207,"SUGENG, SH"
919,"Hj. NURUL TRIWAHYUNI, SE"
921,"AGUS BASTIAN, SE., MM"
917,Ir. H. HAMDAN AZHARI
721,"ABDUL FARIS UMLATI, SE."
136,"WILLEM MAMBRASAR, S.Sos., MM."
1113,"DR. ARTEMAS MAMBRISAUW, S.Sos., M.Si"
1114,"Drs. FERDINAND DIMARA, M.Si."
1128,ANOM CHAN
296,"IR. ALRULLAH JAMBAK, MM"
1130,"JHON FERIANTO, S.SOS. MM"
1035,"DR. HILARIUS DUHA, SH.,MH"
1036,"LIANUS NDRURU, ST.,MM"
463,Idealisman Dachi
838,MARTINUS ZEGA
839,EDWARD ZEGA
844,"MARSELINUS INGATI NAZARA, A.Md"
474,"MASHUR, MA"
648,Hj. Asmah Gani
635,"H. Basri, S Sos, M. Si"
638,"Hj. Asmin Laura Hafid, SE, MM"
383,AW Nofiadi
277,H. Sobli Rozali
993,H. Helmi Yahya
988,Kuryana Aziz
466,Hj. Percha Leanpuri
788,"H.A. WAHAB NAWAWI, S.Sos, MM"
796,"POPO ALI. M, B.Commerce"
1231,"JUANDA, SE., MM"
518,"EDWAR JAYA, SH"
782,H. M. KHOLID MD
306,"Drs. H. Indartato, MM"
1237,"Drs. BAMBANG SUSANTO, S.Pd, SE, MM"
776,ALFIKRI MUKHLIS
916,Drs. H. ALI MUKHNI
833,Mulyadi Panigoro
836,"Syarif Mbuinga, S.Pd., SE, MM"
15,"Ir. August P. Tumanggor, MT"
1089,"Remigo Yolando Berutu, MBA"
1091,Jujur Solin
304,HJ. RATU SITI ROMLAH
1136,"TUGIMAN, ST. M.PD"
525,"DR.HC H. AHMAD HIJAZI, SH. MSI"
526,"DRS. SYAMSUL EFFENDI, MM"
1127,"FATROLAZI, SE"
762,H. ABDUL HAFIDZ
792,"H. SUNARTO, S.Hut"
780,"H. HAMZAH FATONI, S.H.,M.Kn"
894,"IR. THOBIAS ULY, M.SI"
29,Ir. MARTEN L. DIRA TOME
31,"KIRENIUSN BULI, BA. SH"
783,"H. Atbah Romin Suhaili, Lc"
785,"dr. Hj. Juliarti Djuhardi Alwi, MPH."
283,"Tonny Kurniadi, St, Msi"
435,"Drs.Raun Sitanggang,MM"
538,"Drs. Rapidin Simbolon, MM"
1020,Ir. Hatorangan Simarmata
1021,Ir. Alusdin Sinaga
459,"Rupinus, SH., M.Si."
789,"Simson, S.Km., M.Kes."
471,"H. Pensong, SE.,M.Si."
528,Salehan
1193,Herwan Efendi
1194,"Mufran Imron, SE"
139,"Hj. Rosnaini Abidin, S.Sos"
527,"H. Bundra Jaya, S.H., M.H"
1129,NUR JATMIKO
1131,"dr. H.MUNDJIRIN ENGKUN SUPARMADIREDJO,Sp.OG"
1111,Siti U Suruwaky
453,Mukti Keliobas
1184,"Ahmad Syarif Madzkrullah, SH"
713,"Hj. RATU TATU CHASANAH, SE, M. Ak"
352,Ir. H Soekirman
680,"Drs. INDRA SYAHRIN, M.Si"
346,"Syahrianto, SH"
350,"Drs. H. Abdul Rahim, M.M, MSi"
443,H. UTSMAN IKHSAN
406,"H. MG. HADI SUTJIPTO, S.H., M.M."
433,"H. SAIFUL ILAH, S.H, M.Hum."
626,"WARIH ANDONO, S.H."
1049,"Drs. HUSEN HABIBU, M.Hi"
1236,"H. MOHAMAD AGUS RAHMAT, S.P., MES"
1046,"NURZAIN DJAELANGKARA, S.H"
1048,"MOHAMAD IRWAN, S.Sos., M.Si"
896,"Drs. Muchlis Anwar, MSM"
898,Drs. H. Yuswir Arifin Datuak
900,"Ashelfine, SH, MH"
128,"EVRA SASSKY DAMANIK, S.Sos"
1203,"Hj.NURIATY DAMANIK, SH"
1204,"TUMPAK SIREGAR, SH"
566,"Dr. Jopinus Ramli Saragih, SH, MM"
888,"Agrianus, S.Sos, M.Si"
892,"dr. Jarot Winarno, M.Med.PH"
472,"Drs. Ignasius Juan, MM"
759,"H. Dadang Wigiarto, SH"
456,R. Abdullah Faqih Ghufron
756,"KH. Abd. Hamid Wahid, M.Ag."
416,Yuni Satya Rahayu
968,"Drs. Sri Purnomo, M.Si"
614,"Drs. H. DESRA EDIWAN ANANTANUR, MM"
1121,"Agus Syahdeman, S.H."
1039,"Drs. BERNADUS ALKHATIB IMBURI, M.Si"
1040,"Ir. HENDRIK SYAKE MAMBOR, MM"
337,Ir. DARWIN SIAGIAN
728,"Ir. POLTAK SITORUS, M.Sc"
1058,"BASRIN MOHAMMAD, SE.,M.Si"
1063,Ir. SAMSULFIQAR TANJUMBULU
1067,"MUHAMMAD SYARIF AL DJUFRY, SP"
1069,"MOHAMMAD LAHAY, SE"
1071,"MAHMUD LAHAY, SE.,M.Si"
1081,AMRAN Hi. YAHYA
1083,"H. MOH. SALEH BANTILAN, SH, MH"
1085,"H. ISKANDAR A. NASIR, SH, MM"
1087,"H. AZIZ BESTARI, ST. MM"
632,"DR. KALATIKU PAEMBONAN, M.Si."
706,"Drs. FREDERIK BATTI SORRING, S.Sos., MM."
376,"Dr. Emil Elestianto, M.Sc"
214,"Kholiq, SH, M.Si"
656,H. FATHUL HUDA
605,"ZAKKY MAHBUB, S.H.I"
353,"H. Arhawi, SE"
564,"Haliana, SE"
979,"OLLEN OSTAL DAIMBOA, S.Pd, MM"
980,"YERMIAS BISAI, SH"
975,"PENEHAS HUGO TEBAI, S.Th"
432,"Dr. Drs.Yesaya Buinei, MM"
977,"YULIANA SEPHIA BORAY, S.Sos, MPH"
572,"H. Raden Adipati Surya, SH., MM"
603,"H. Bustami Zainudin, S.Pd., MH"
365,Joko Sutopo
846,"Drs. H. Hamid Noor Yasin, MM"
1122,"H. Gusmal, S.E, M.M"
891,H. KHAIRUNAS
293,MUZNI ZAKARIA
657,Lutfi Halide
248,Andi Kaswadi Razak
1115,"Dortheis Sesa, S.E"
491,"SAMSUDIN ANGGILULI, S.E"
232,dr. KUSDINAR UNTUNG YUNI SUKOWATI
347,H. SUGIYAMTO SH. MH
622,IR. JAKA SUMANTA SE
641,AGUS FATCHUR RAHMAN SH. MH
612,"AKHMAD JAJULI, M.Pd."
1197,"Drs. H. MARWAN HAMAMI, MM"
595,TOTONG SUPARMAN
702,"H. NURDIN, SH, MM"
596,"H. WARDOYO WIJAYA, SH, MH"
1107,"Umbu Samapati, SH"
1108,Drs. Agustinus Niga Dapawole
201,"YOHANES DEDE, SH"
202,"REKO DETA, S.Pem"
1209,"KEDU LERE, SH"
1210,"Drs. Julianus Pote Leba, M.Si"
860,"Drs. GIDION MBILIJORA, M.Si"
864,"dr. MATIUS KITU, Sp.B"
302,"H. M. HUSNI DJIBRIL, B.SC"
1239,"JACK MORSA H. ABDULLAH, S.ADM"
203,"H. ASAAT ABDULLAH, ST"
379,"DR. IR. W. MUSYAFIRIN, MM"
303,DRS. H. MALA RAHMAN
581,DRS. HM. NUR YASIN
731,"IBNU SINA, S.Pi"
734,ZULFADLI GAZALI
830,"H. Muhammad Rudi,SE., MM"
442,"Ir. H. Ria Saptarika, M.Eng"
515,H. Saleh Bangun
516,"H. M. Idaham, SH., M.Si"
712,"Juliadi S.Pd, MM"
395,"MAXIMILIAAN JONAS LOMBAN., S.E, M.Si."
560,"HENGKY HONANDAR, S.E."
235,STEFANUS BONIFASIUS PASUMA
408,"ARYANTHI BARAMULI PUTRI, S.H., M.H."
155,"MICHAEL REMIZALDY JACOBUS, SH. MH"
158,"LINNA UTIARACHMAN, S.P."
300,MUH. SAMANHUDI ANWAR
92,MOCHSIN
710,"dr. Hj. Neni Moerniaeni, Sp. OG"
697,"Ir. H. Adi Darma, M.Si"
904,TASLIM
905,"H. ISMET AMZIS, SH"
78,MUHAMMAD RAMLAN NURMATIAS
910,"dr. H. HARMA ZALDI, Sp.B"
912,"H. FEBY Dt. BANGSO NAN PUTIAH, SST. PAR"
