id,anggota_id,nomor_anggota,jabatan,akd_id,institute
40,3208-00-0000-0301,105,Ketua,3,KOMISI I
41,3103-00-0000-0501,252,Wakil Ketua,3,KOMISI I
42,3101-00-0000-0601,340,Wakil Ketua,3,KOMISI I
43,3401-00-0000-0801,486,Wakil Ketua,3,KOMISI I
44,1802-00-0000-0801,469,Anggota,3,KOMISI I
45,5201-00-0000-0801,496,Anggota,3,KOMISI I
46,3508-00-0000-0203,73,Anggota,3,KOMISI I
47,3210-00-0000-0501,267,Anggota,3,KOMISI I
48,3202-00-0000-0601,344,Anggota,3,KOMISI I
49,1602-00-0000-0501,246,Anggota,3,KOMISI I
50,1201-00-0000-0502,235,Anggota,3,KOMISI I
51,3103-00-0000-0901,514,Anggota,3,KOMISI I
52,6301-00-0000-0901,538,Anggota,3,KOMISI I
53,1901-00-0000-0401,142,Anggota,3,KOMISI I
54,3103-00-0000-0401,147,Anggota,3,KOMISI I
55,3209-00-0000-0402,165,Anggota,3,KOMISI I
56,3303-00-0000-0401,171,Anggota,3,KOMISI I
57,1801-00-0000-0601,338,Anggota,3,KOMISI I
58,3506-00-0000-0401,196,Anggota,3,KOMISI I
59,3303-00-0000-0701,424,Anggota,3,KOMISI I
60,3505-00-0000-0701,432,Anggota,3,KOMISI I
61,3101-00-0000-0301,95,Anggota,3,KOMISI I
62,7601-00-0000-0701,454,Anggota,3,KOMISI I
63,1301-00-0000-0702,402,Anggota,3,KOMISI I
64,3303-00-0000-0305,109,Anggota,3,KOMISI I
65,7302-00-0000-0901,542,Anggota,3,KOMISI I
66,5302-00-0000-0107,28,Anggota,3,KOMISI I
67,3203-00-0000-0701,416,Anggota,3,KOMISI I
68,1801-00-0000-0801,468,Anggota,3,KOMISI I
69,3508-00-0000-0201,72,Anggota,3,KOMISI I
70,1101-00-0000-0101,1,Anggota,3,KOMISI I
71,1102-00-0000-0502,234,Anggota,3,KOMISI I
72,1201-00-0000-0101,3,Anggota,3,KOMISI I
73,3101-00-0000-0501,250,Anggota,3,KOMISI I
74,3102-00-0000-0601,341,Anggota,3,KOMISI I
75,3103-00-0000-0407,149,Anggota,3,KOMISI I
76,3201-00-0000-1001,550,Anggota,3,KOMISI I
77,3208-00-0000-0501,264,Anggota,3,KOMISI I
78,3210-00-0000-0802,476,Anggota,3,KOMISI I
79,3401-00-0000-0301,113,Anggota,3,KOMISI I
80,3401-00-0000-0604,363,Anggota,3,KOMISI I
81,3504-00-0000-0201,67,Anggota,3,KOMISI I
82,3602-00-0000-0901,534,Anggota,3,KOMISI I
83,3603-00-0000-0409,208,Anggota,3,KOMISI I
84,7301-00-0000-0401,226,Anggota,3,KOMISI I
85,7501-00-0000-0601,393,Anggota,3,KOMISI I
86,8201-00-0000-0403,229,Anggota,3,KOMISI I
87,3211-00-0000-0101,12,Ketua Poksi I,3,KOMISI I
88,1202-00-0000-0501,236,Ketua,4,KOMISI II
89,1601-00-0000-0301,91,Wakil Ketua,4,KOMISI II
90,3203-00-0000-0601,345,Wakil Ketua,4,KOMISI II
91,3603-00-0000-0702,440,Wakil Ketua,4,KOMISI II
92,6101-00-0000-0801,498,Anggota,4,KOMISI II
93,7303-00-0000-0801,503,Anggota,4,KOMISI II
94,3502-00-0000-0201,64,Anggota,4,KOMISI II
95,1402-00-0000-0201,39,Anggota,4,KOMISI II
96,6401-00-0000-0501,307,Anggota,4,KOMISI II
97,3210-00-0000-0901,520,Anggota,4,KOMISI II
98,3303-00-0000-0901,523,Anggota,4,KOMISI II
99,3308-00-0000-0404,182,Anggota,4,KOMISI II
100,3504-00-0000-0401,193,Anggota,4,KOMISI II
101,3603-00-0000-0301,117,Anggota,4,KOMISI II
102,3207-00-0000-0701,418,Anggota,4,KOMISI II
103,1801-00-0000-0709,409,Anggota,4,KOMISI II
104,7101-00-0000-0701,448,Anggota,4,KOMISI II
105,3602-00-0000-0801,494,Anggota,4,KOMISI II
106,3301-00-0000-0501,270,Anggota,4,KOMISI II
107,1102-00-0000-0406,124,Anggota,4,KOMISI II
108,1202-00-0000-0604,328,Anggota,4,KOMISI II
109,1401-00-0000-0502,241,Anggota,4,KOMISI II
110,1602-00-0000-0201,41,Anggota,4,KOMISI II
111,1801-00-0000-1002,549,Anggota,4,KOMISI II
112,1802-00-0000-0101,9,Anggota,4,KOMISI II
113,1802-00-0000-0401,140,Anggota,4,KOMISI II
114,3203-00-0000-0403,154,Anggota,4,KOMISI II
115,3205-00-0000-0402,156,Anggota,4,KOMISI II
116,3207-00-0000-0302,104,Anggota,4,KOMISI II
117,3207-00-0000-0506,263,Anggota,4,KOMISI II
118,3210-00-0000-0201,49,Anggota,4,KOMISI II
119,3211-00-0000-0610,352,Anggota,4,KOMISI II
120,3305-00-0000-0601,357,Anggota,4,KOMISI II
121,3308-00-0000-0801,483,Anggota,4,KOMISI II
122,3309-00-0000-0504,279,Anggota,4,KOMISI II
123,3501-00-0000-0706,428,Anggota,4,KOMISI II
124,3506-00-0000-0402,197,Anggota,4,KOMISI II
125,3506-00-0000-0601,369,Anggota,4,KOMISI II
126,3507-00-0000-0401,199,Anggota,4,KOMISI II
127,6201-00-0000-0402,220,Anggota,4,KOMISI II
128,7301-00-0000-0601,389,Anggota,4,KOMISI II
129,7303-00-0000-0101,34,Anggota,4,KOMISI II
130,7401-00-0000-0902,544,Anggota,4,KOMISI II
131,7601-00-0000-0502,319,Anggota,4,KOMISI II
132,9101-00-0000-0304,123,Anggota,4,KOMISI II
133,9101-00-0000-0401,230,Anggota,4,KOMISI II
134,9101-00-0000-0705,455,Anggota,4,KOMISI II
135,1202-00-0000-1010,546,Kapoksi,4,KOMISI II
136,1802-00-0000-0501,248,Ketua,5,KOMISI III
137,3602-00-0000-0601,376,Wakil Ketua,5,KOMISI III
138,5301-00-0000-0701,444,Wakil Ketua,5,KOMISI III
139,1201-00-0000-0801,459,Wakil Ketua,5,KOMISI III
140,7302-00-0000-0101,33,Anggota,5,KOMISI III
141,3306-00-0000-0801,481,Anggota,5,KOMISI III
142,3309-00-0000-0201,58,Anggota,5,KOMISI III
143,3306-00-0000-0201,55,Anggota,5,KOMISI III
144,3307-00-0000-0501,277,Anggota,5,KOMISI III
145,3511-00-0000-0501,292,Anggota,5,KOMISI III
146,3307-00-0000-0901,525,Anggota,5,KOMISI III
147,1201-00-0000-0901,507,Anggota,5,KOMISI III
148,6302-00-0000-0901,539,Anggota,5,KOMISI III
149,3602-00-0000-0401,206,Anggota,5,KOMISI III
150,3505-00-0000-0401,194,Anggota,5,KOMISI III
151,5302-00-0000-0401,215,Anggota,5,KOMISI III
152,1202-00-0000-0401,127,Anggota,5,KOMISI III
153,1203-00-0000-0601,329,Anggota,5,KOMISI III
154,1201-00-0000-0701,399,Anggota,5,KOMISI III
155,3205-00-0000-0301,102,Anggota,5,KOMISI III
156,1801-00-0000-0301,93,Anggota,5,KOMISI III
157,1101-00-0000-0301,84,Anggota,5,KOMISI III
158,7201-00-0000-1001,559,Anggota,5,KOMISI III
159,1101-00-0000-0201,37,Anggota,5,KOMISI III
160,1101-00-0000-0802,458,Anggota,5,KOMISI III
161,1203-00-0000-0101,5,Anggota,5,KOMISI III
162,1203-00-0000-0404,128,Anggota,5,KOMISI III
163,1302-00-0000-0501,240,Anggota,5,KOMISI III
164,1402-00-0000-0401,132,Anggota,5,KOMISI III
165,1701-00-0000-0101,8,Anggota,5,KOMISI III
166,2101-00-0000-0401,143,Anggota,5,KOMISI III
167,3102-00-0000-0403,146,Anggota,5,KOMISI III
168,3206-00-0000-0406,159,Anggota,5,KOMISI III
169,3206-00-0000-0505,261,Anggota,5,KOMISI III
170,3207-00-0000-0804,475,Anggota,5,KOMISI III
171,3211-00-0000-0502,269,Anggota,5,KOMISI III
172,3310-00-0000-0902,528,Anggota,5,KOMISI III
173,3501-00-0000-0505,282,Anggota,5,KOMISI III
174,3507-00-0000-0101,22,Anggota,5,KOMISI III
175,3508-00-0000-0601,371,Anggota,5,KOMISI III
176,3509-00-0000-0606,372,Anggota,5,KOMISI III
177,3509-00-0000-0701,437,Anggota,5,KOMISI III
178,3601-00-0000-0501,293,Anggota,5,KOMISI III
179,3602-00-0000-0502,294,Anggota,5,KOMISI III
180,3603-00-0000-0601,377,Anggota,5,KOMISI III
181,5101-00-0000-0707,442,Anggota,5,KOMISI III
182,6101-00-0000-0703,446,Anggota,5,KOMISI III
183,6201-00-0000-0601,383,Anggota,5,KOMISI III
184,6301-00-0000-0301,119,Anggota,5,KOMISI III
185,7101-00-0000-0602,387,Anggota,5,KOMISI III
186,8101-00-0000-0201,82,Anggota,5,KOMISI III
187,3310-00-0000-0202,59,Anggota,5,KOMISI III
188,1401-00-0000-0702,404,Anggota,5,KOMISI III
189,3508-00-0000-1001,554,Kapoksi,5,KOMISI III
190,1601-00-0000-0601,335,Ketua,6,KOMISI IV
191,3510-00-0000-0801,493,Wakil Ketua,6,KOMISI IV
192,3507-00-0000-0201,71,Wakil Ketua,6,KOMISI IV
193,3208-00-0000-0701,419,Wakil Ketua,6,KOMISI IV
194,3401-00-0000-0501,281,Wakil Ketua,6,KOMISI IV
195,1701-00-0000-0801,467,Anggota,6,KOMISI IV
196,7301-00-0000-0801,501,Anggota,6,KOMISI IV
197,3303-00-0000-0501,273,Anggota,6,KOMISI IV
198,3503-00-0000-0501,284,Anggota,6,KOMISI IV
199,9201-00-0000-0501,323,Anggota,6,KOMISI IV
200,1203-00-0000-0501,237,Anggota,6,KOMISI IV
201,3601-00-0000-0901,533,Anggota,6,KOMISI IV
202,3309-00-0000-0901,527,Anggota,6,KOMISI IV
203,5101-00-0000-0401,209,Anggota,6,KOMISI IV
204,3508-00-0000-0401,200,Anggota,6,KOMISI IV
205,1801-00-0000-0402,139,Anggota,6,KOMISI IV
206,3508-00-0000-0701,436,Anggota,6,KOMISI IV
207,1601-00-0000-0701,407,Anggota,6,KOMISI IV
208,3202-00-0000-0301,99,Anggota,6,KOMISI IV
209,3507-00-0000-0301,115,Anggota,6,KOMISI IV
210,1301-00-0000-0301,88,Anggota,6,KOMISI IV
211,1203-00-0000-0901,508,Anggota,6,KOMISI IV
212,1203-00-0000-1005,547,Anggota,6,KOMISI IV
213,1401-00-0000-0401,131,Anggota,6,KOMISI IV
214,3202-00-0000-0202,44,Anggota,6,KOMISI IV
215,3202-00-0000-0404,153,Anggota,6,KOMISI IV
216,3205-00-0000-0502,260,Anggota,6,KOMISI IV
217,3208-00-0000-0403,163,Anggota,6,KOMISI IV
218,3209-00-0000-0601,351,Anggota,6,KOMISI IV
219,3211-00-0000-0202,50,Anggota,6,KOMISI IV
220,3211-00-0000-0801,477,Anggota,6,KOMISI IV
221,3301-00-0000-0102,13,Anggota,6,KOMISI IV
222,3303-00-0000-0606,355,Anggota,6,KOMISI IV
223,3304-00-0000-0403,174,Anggota,6,KOMISI IV
224,3307-00-0000-0201,56,Anggota,6,KOMISI IV
225,3307-00-0000-0601,359,Anggota,6,KOMISI IV
226,3511-00-0000-0906,532,Anggota,6,KOMISI IV
227,3601-00-0000-0705,439,Anggota,6,KOMISI IV
228,5101-00-0000-0502,297,Anggota,6,KOMISI IV
229,6101-00-0000-0201,79,Anggota,6,KOMISI IV
230,6201-00-0000-0101,30,Anggota,6,KOMISI IV
231,6302-00-0000-0401,221,Anggota,6,KOMISI IV
232,6302-00-0000-0501,306,Anggota,6,KOMISI IV
233,6302-00-0000-0601,385,Anggota,6,KOMISI IV
234,6401-00-0000-0601,386,Anggota,6,KOMISI IV
235,7301-00-0000-0502,311,Anggota,6,KOMISI IV
236,7302-00-0000-0301,122,Anggota,6,KOMISI IV
237,7302-00-0000-0707,451,Anggota,6,KOMISI IV
238,7303-00-0000-0602,391,Anggota,6,KOMISI IV
239,9101-00-0000-0102,36,Anggota,6,KOMISI IV
240,5302-00-0000-0601,381,Ketua,7,KOMISI V
241,7201-00-0000-0501,310,Wakil Ketua,7,KOMISI V
242,6101-00-0000-0403,217,Wakil Ketua,7,KOMISI V
243,9201-00-0000-0701,457,Wakil Ketua,7,KOMISI V
244,3204-00-0000-0301,101,Wakil Ketua,7,KOMISI V
245,1501-00-0000-0802,464,Anggota,7,KOMISI V
246,7302-00-0000-0802,502,Anggota,7,KOMISI V
247,7101-00-0000-0806,500,Anggota,7,KOMISI V
248,1602-00-0000-0801,466,Anggota,7,KOMISI V
249,3301-00-0000-0201,51,Anggota,7,KOMISI V
250,9101-00-0000-0202,83,Anggota,7,KOMISI V
251,7501-00-0000-0502,318,Anggota,7,KOMISI V
252,3209-00-0000-0501,266,Anggota,7,KOMISI V
253,7303-00-0000-0501,314,Anggota,7,KOMISI V
254,3207-00-0000-0901,518,Anggota,7,KOMISI V
255,1301-00-0000-0901,509,Anggota,7,KOMISI V
256,3206-00-0000-0401,158,Anggota,7,KOMISI V
257,3208-00-0000-0401,162,Anggota,7,KOMISI V
258,3306-00-0000-0401,178,Anggota,7,KOMISI V
259,3306-00-0000-0402,179,Anggota,7,KOMISI V
260,3508-00-0000-0402,201,Anggota,7,KOMISI V
261,3208-00-0000-1002,553,Anggota,7,KOMISI V
262,7201-00-0000-0402,225,Anggota,7,KOMISI V
263,3201-00-0000-0701,414,Anggota,7,KOMISI V
264,3205-00-0000-0702,417,Anggota,7,KOMISI V
265,7303-00-0000-0702,452,Anggota,7,KOMISI V
266,7401-00-0000-0702,453,Anggota,7,KOMISI V
267,3206-00-0000-0301,103,Anggota,7,KOMISI V
268,3501-00-0000-0301,114,Anggota,7,KOMISI V
269,1802-00-0000-0301,94,Anggota,7,KOMISI V
270,1901-00-0000-0501,249,Anggota,7,KOMISI V
271,3510-00-0000-0202,75,Anggota,7,KOMISI V
272,1302-00-0000-0604,331,Anggota,7,KOMISI V
273,1401-00-0000-0601,332,Anggota,7,KOMISI V
274,1601-00-0000-1004,548,Anggota,7,KOMISI V
275,1801-00-0000-0201,42,Anggota,7,KOMISI V
276,3208-00-0000-0505,265,Anggota,7,KOMISI V
277,3211-00-0000-0902,521,Anggota,7,KOMISI V
278,3308-00-0000-0601,360,Anggota,7,KOMISI V
279,3309-00-0000-0405,184,Anggota,7,KOMISI V
280,3506-00-0000-0405,198,Anggota,7,KOMISI V
281,3507-00-0000-0502,288,Anggota,7,KOMISI V
282,3508-00-0000-0110,23,Anggota,7,KOMISI V
283,3511-00-0000-0602,374,Anggota,7,KOMISI V
284,6201-00-0000-0502,303,Anggota,7,KOMISI V
285,6301-00-0000-0604,384,Anggota,7,KOMISI V
286,7201-00-0000-0101,32,Anggota,7,KOMISI V
287,7302-00-0000-0604,390,Anggota,7,KOMISI V
288,7303-00-0000-0901,543,Anggota,7,KOMISI V
289,7401-00-0000-0501,316,Anggota,7,KOMISI V
290,9101-00-0000-0709,456,Anggota,7,KOMISI V
291,5301-00-0000-0804,497,Anggota,7,KOMISI V
292,3305-00-0000-0201,54,Kapoksi,7,KOMISI V
293,1202-00-0000-0102,4,Ketua Poksi V,7,KOMISI V
294,1601-00-0000-0801,465,Ketua,8,KOMISI VI
295,1601-00-0000-0501,244,Wakil Ketua,8,KOMISI VI
296,3204-00-0000-0602,346,Wakil Ketua,8,KOMISI VI
297,3503-00-0000-0701,430,Wakil Ketua,8,KOMISI VI
298,3205-00-0000-0802,473,Anggota,8,KOMISI VI
299,1203-00-0000-0801,461,Anggota,8,KOMISI VI
300,5101-00-0000-0501,296,Anggota,8,KOMISI VI
301,3202-00-0000-0502,255,Anggota,8,KOMISI VI
302,3302-00-0000-0601,354,Anggota,8,KOMISI VI
303,3510-00-0000-0901,531,Anggota,8,KOMISI VI
304,6101-00-0000-0901,537,Anggota,8,KOMISI VI
305,5101-00-0000-0405,212,Anggota,8,KOMISI VI
306,3102-00-0000-0401,145,Anggota,8,KOMISI VI
307,3305-00-0000-0402,176,Anggota,8,KOMISI VI
308,3308-00-0000-0401,181,Anggota,8,KOMISI VI
309,7101-00-0000-0402,224,Anggota,8,KOMISI VI
310,3102-00-0000-0701,413,Anggota,8,KOMISI VI
311,3103-00-0000-0302,97,Anggota,8,KOMISI VI
312,1302-00-0000-0302,89,Anggota,8,KOMISI VI
313,1201-00-0000-0301,85,Anggota,8,KOMISI VI
314,1201-00-0000-0401,125,Anggota,8,KOMISI VI
315,3401-00-0000-0704,427,Anggota,8,KOMISI VI
316,1101-00-0000-0606,324,Anggota,8,KOMISI VI
317,1301-00-0000-0506,239,Anggota,8,KOMISI VI
318,1402-00-0000-0601,333,Anggota,8,KOMISI VI
319,1501-00-0000-0401,133,Anggota,8,KOMISI VI
320,1602-00-0000-0707,408,Anggota,8,KOMISI VI
321,1801-00-0000-0501,247,Anggota,8,KOMISI VI
322,2101-00-0000-0101,10,Anggota,8,KOMISI VI
323,3103-00-0000-0402,148,Anggota,8,KOMISI VI
324,3203-00-0000-0203,45,Anggota,8,KOMISI VI
325,3203-00-0000-0502,257,Anggota,8,KOMISI VI
326,3205-00-0000-0405,157,Anggota,8,KOMISI VI
327,3301-00-0000-0401,168,Anggota,8,KOMISI VI
328,3302-00-0000-0904,522,Anggota,8,KOMISI VI
329,3308-00-0000-0202,57,Anggota,8,KOMISI VI
330,3309-00-0000-0601,361,Anggota,8,KOMISI VI
331,3501-00-0000-0602,364,Anggota,8,KOMISI VI
332,3503-00-0000-0204,66,Anggota,8,KOMISI VI
333,3506-00-0000-0501,287,Anggota,8,KOMISI VI
334,3507-00-0000-0702,435,Anggota,8,KOMISI VI
335,3508-00-0000-0502,289,Anggota,8,KOMISI VI
336,3510-00-0000-0606,373,Anggota,8,KOMISI VI
337,3511-00-0000-0108,24,Anggota,8,KOMISI VI
338,3511-00-0000-0208,76,Anggota,8,KOMISI VI
339,3511-00-0000-1003,555,Anggota,8,KOMISI VI
340,7401-00-0000-0802,504,Anggota,8,KOMISI VI
341,1102-00-0000-0101,2,Ketua Poksi VI,8,KOMISI VI
342,3208-00-0000-0602,350,Ketua,9,KOMISI VII
343,3509-00-0000-0501,290,Wakil Ketua,9,KOMISI VII
344,1302-00-0000-0702,403,Wakil Ketua,9,KOMISI VII
345,7301-00-0000-0301,121,Wakil Ketua,9,KOMISI VII
346,3505-00-0000-0802,489,Anggota,9,KOMISI VII
347,9101-00-0000-0801,505,Anggota,9,KOMISI VII
348,3401-00-0000-0201,61,Anggota,9,KOMISI VII
349,3205-00-0000-0501,259,Anggota,9,KOMISI VII
350,3308-00-0000-0501,278,Anggota,9,KOMISI VII
351,3502-00-0000-0901,529,Anggota,9,KOMISI VII
352,3302-00-0000-0401,170,Anggota,9,KOMISI VII
353,3304-00-0000-0401,173,Anggota,9,KOMISI VII
354,1601-00-0000-0401,134,Anggota,9,KOMISI VII
355,1402-00-0000-0701,405,Anggota,9,KOMISI VII
356,1202-00-0000-0301,86,Anggota,9,KOMISI VII
357,3205-00-0000-0901,517,Anggota,9,KOMISI VII
358,3310-00-0000-0601,362,Anggota,9,KOMISI VII
359,9101-00-0000-0407,231,Anggota,9,KOMISI VII
360,1301-00-0000-0102,6,Anggota,9,KOMISI VII
361,1602-00-0000-0404,136,Anggota,9,KOMISI VII
362,1901-00-0000-0701,411,Anggota,9,KOMISI VII
363,3103-00-0000-0601,342,Anggota,9,KOMISI VII
364,3203-00-0000-0901,515,Anggota,9,KOMISI VII
365,3206-00-0000-0803,474,Anggota,9,KOMISI VII
366,3211-00-0000-0401,167,Anggota,9,KOMISI VII
367,3302-00-0000-0505,272,Anggota,9,KOMISI VII
368,3306-00-0000-0601,358,Anggota,9,KOMISI VII
369,3310-00-0000-0805,485,Anggota,9,KOMISI VII
370,3501-00-0000-0202,63,Anggota,9,KOMISI VII
371,3504-00-0000-0602,367,Anggota,9,KOMISI VII
372,3510-00-0000-0401,203,Anggota,9,KOMISI VII
373,3510-00-0000-0502,291,Anggota,9,KOMISI VII
374,3511-00-0000-0707,438,Anggota,9,KOMISI VII
375,3603-00-0000-1002,556,Anggota,9,KOMISI VII
376,6101-00-0000-0609,382,Anggota,9,KOMISI VII
377,6301-00-0000-0505,305,Anggota,9,KOMISI VII
378,6302-00-0000-0201,81,Anggota,9,KOMISI VII
379,6401-00-0000-0101,31,Anggota,9,KOMISI VII
380,6401-00-0000-0302,120,Anggota,9,KOMISI VII
381,6401-00-0000-0505,308,Anggota,9,KOMISI VII
382,6401-00-0000-0701,447,Anggota,9,KOMISI VII
383,7201-00-0000-0601,388,Anggota,9,KOMISI VII
384,7301-00-0000-1001,560,Anggota,9,KOMISI VII
385,8101-00-0000-0404,228,Anggota,9,KOMISI VII
386,8201-00-0000-0502,321,Anggota,9,KOMISI VII
387,6401-00-0000-0403,222,Anggota,9,KOMISI VII
388,3303-00-0000-0202,53,Anggota,9,KOMISI VII
389,5201-00-0000-0101,26,Ketua Poksi VII,9,KOMISI VII
390,1202-00-0000-0801,460,Ketua,10,KOMISI VIII
391,3203-00-0000-0501,256,Wakil Ketua,10,KOMISI VIII
392,3201-00-0000-0303,98,Wakil Ketua,10,KOMISI VIII
393,3201-00-0000-0601,343,Wakil Ketua,10,KOMISI VIII
394,3302-00-0000-0201,52,Wakil Ketua,10,KOMISI VIII
395,3202-00-0000-0501,254,Anggota,10,KOMISI VIII
396,5201-00-0000-0505,298,Anggota,10,KOMISI VIII
397,5201-00-0000-0401,213,Anggota,10,KOMISI VIII
398,3209-00-0000-0702,420,Anggota,10,KOMISI VIII
399,3308-00-0000-0702,426,Anggota,10,KOMISI VIII
400,3102-00-0000-0301,96,Anggota,10,KOMISI VIII
401,1802-00-0000-0402,141,Anggota,10,KOMISI VIII
402,3310-00-0000-0204,60,Anggota,10,KOMISI VIII
403,5201-00-0000-1010,557,Anggota,10,KOMISI VIII
404,1201-00-0000-0601,326,Anggota,10,KOMISI VIII
405,1203-00-0000-0503,238,Anggota,10,KOMISI VIII
406,1301-00-0000-0802,462,Anggota,10,KOMISI VIII
407,1302-00-0000-0401,130,Anggota,10,KOMISI VIII
408,1602-00-0000-0301,92,Anggota,10,KOMISI VIII
409,1602-00-0000-0401,135,Anggota,10,KOMISI VIII
410,3101-00-0000-0703,412,Anggota,10,KOMISI VIII
411,3101-00-0000-0906,512,Anggota,10,KOMISI VIII
412,3202-00-0000-0401,152,Anggota,10,KOMISI VIII
413,3204-00-0000-0802,472,Anggota,10,KOMISI VIII
414,3209-00-0000-0201,48,Anggota,10,KOMISI VIII
415,3304-00-0000-0503,274,Anggota,10,KOMISI VIII
416,3304-00-0000-0602,356,Anggota,10,KOMISI VIII
417,3305-00-0000-0508,275,Anggota,10,KOMISI VIII
418,3308-00-0000-0903,526,Anggota,10,KOMISI VIII
419,3309-00-0000-0301,112,Anggota,10,KOMISI VIII
420,3502-00-0000-0101,18,Anggota,10,KOMISI VIII
421,3502-00-0000-0401,191,Anggota,10,KOMISI VIII
422,3504-00-0000-0507,285,Anggota,10,KOMISI VIII
423,3506-00-0000-0201,70,Anggota,10,KOMISI VIII
424,3509-00-0000-0801,492,Anggota,10,KOMISI VIII
425,3601-00-0000-0101,25,Anggota,10,KOMISI VIII
426,3601-00-0000-0404,205,Anggota,10,KOMISI VIII
427,3601-00-0000-0604,375,Anggota,10,KOMISI VIII
428,5201-00-0000-0710,443,Anggota,10,KOMISI VIII
429,7302-00-0000-0402,227,Anggota,10,KOMISI VIII
430,7601-00-0000-0601,394,Anggota,10,KOMISI VIII
431,8101-00-0000-0601,395,Anggota,10,KOMISI VIII
432,3306-00-0000-0903,524,Anggota,10,KOMISI VIII
433,3501-00-0000-0203,62,Anggota,10,KOMISI VIII
434,3306-00-0000-0101,16,Ketua Poksi VIII,10,KOMISI VIII
435,3202-00-0000-0701,415,Ketua,11,KOMISI IX
436,2101-00-0000-0801,470,Wakil Ketua,11,KOMISI IX
437,5301-00-0000-0601,380,Wakil Ketua,11,KOMISI IX
438,7302-00-0000-0501,312,Wakil Ketua,11,KOMISI IX
439,5201-00-0000-0901,536,Wakil Ketua,11,KOMISI IX
440,3506-00-0000-0801,490,Anggota,11,KOMISI IX
441,6201-00-0000-0801,499,Anggota,11,KOMISI IX
442,3204-00-0000-0501,258,Anggota,11,KOMISI IX
443,3310-00-0000-0501,280,Anggota,11,KOMISI IX
444,5302-00-0000-0502,301,Anggota,11,KOMISI IX
445,3207-00-0000-0601,349,Anggota,11,KOMISI IX
446,7101-00-0000-0501,309,Anggota,11,KOMISI IX
447,3603-00-0000-0901,535,Anggota,11,KOMISI IX
448,3102-00-0000-0901,513,Anggota,11,KOMISI IX
449,1302-00-0000-0902,510,Anggota,11,KOMISI IX
450,3207-00-0000-0401,160,Anggota,11,KOMISI IX
451,3204-00-0000-0401,155,Anggota,11,KOMISI IX
452,3303-00-0000-0402,172,Anggota,11,KOMISI IX
453,3503-00-0000-0401,192,Anggota,11,KOMISI IX
454,6101-00-0000-0402,216,Anggota,11,KOMISI IX
455,3211-00-0000-0703,422,Anggota,11,KOMISI IX
456,7201-00-0000-0702,449,Anggota,11,KOMISI IX
457,1401-00-0000-0301,90,Anggota,11,KOMISI IX
458,1203-00-0000-0301,87,Anggota,11,KOMISI IX
