id,question,answer,reference_law,excerpt_law
011,Apakah Gubernur / Walikota ataupun wakil-wakilnya jika dicalonkan oleh partai politik harus mundur dari jabatannya?,Apabila dicalonkan maka tidak perlu sampai mengundurkan diri cukup dengan meminta izin kepada Presiden saja.,PKPU No 15 tahun 2014 Pasal 9,"Gubernur, wakil gubernur, bupati, wakil bupati, walikota, dan wakil walikota yang akan dicalonkan oleh Partai Politik atau Gabungan Partai Politik sebagai calon Presiden atau calon Wakil Presiden, harus meminta izin kepada Presiden."
012,Berapa lama waktu yang dibutuhkan oleh KPU untuk memverifikasi dokumen persyaratan Capres??,KPU wajib melakukan verifikasi terhadapa semua persyaratan yang diajukan Capres paling lama 4 hari.,PKPU No 15 tahun 2014 pasal 17,"KPU melakukan verifikasi dokumen persyaratan sebagaimana dimaksud dalam Pasal 13 dan Pasal 14, paling lama 4 (empat) hari sejak diterimanya dokumen persyaratan."
013,Apakah salah satu calon dapat mengundurkan diri?,Pasangan Calon tidak dapat mengundurkan diri jika sudah dideklarasikan.,PKPU No 15 tahun 2014 pasal 23 ayat 4,Salah seorang dari Pasangan Calon atau Pasangan Calon dilarang mengundurkan diri terhitung sejak ditetapkan sebagai Pasangan Calon oleh KPU
014,Apakah partai politik dapat menarik dukungan dari Capres dan Cawapres yang diusungny?,Partai Politik atau Gabungan Partai Politik dilarang menarik calon atau Pasangan Calon yang telah ditetapkan oleh KPU sebagaimana dimaksud dalam Pasal 22.,PKPU No 15 tahun 2014 pasal 23 ayat 1,Partai Politik atau Gabungan Partai Politik dilarang menarik calon atau Pasangan Calon yang telah ditetapkan oleh KPU sebagaimana dimaksud dalam Pasal 22.
015,Apakaha masyarakat umum dapat memberikan tanggapan langsung ke KPU?,Masyarakat dapat memberikan tanggapan langsung kepada KPU asal menyertakan identitas lengkap.,PKPU No 15 tahun 2014 pasal 31 ayat 1-2,(1) Masyarakat dapat memberikan tanggapan terhadap pengusulan Bakal Pasangan calon yang diajukan oleh Partai Politik atau Gabungan Partai Politik. (2) Tanggapan masyarakat dapat disampaikan kepada KPU sejak KPU mengumumkan dokumen pendaftaran Bakal Pasangan Calon pada laman KPU dan/atau media sampai dengan masa verifikasi.
016,Ada berapa tahapan dalam Pilpres?,"terdapat 3 tahap dalam Pilpres yaitu : Persiapan, Pelaksanaan, dan Penyelesaian",PKPU No 4 tahun 2014 pasal 4,Tahapan Pemilu Presiden dan Wakil Presiden sebagaimana dimaksud dalam Pasal 3 terdiri atas:(a.) Tahapan Persiapan;(b.) Tahapan Pelaksanaan; dan (c.) Tahapan Penyelesaian.
017,Apa yang dimaksud tahapan Persiapan?,"terdapat enam poin dalam tahapan ini yang detailnya dapat dilihat dalam PKPU No 4 Pasal 5, dimana ini merupakan tahapan awal sebelum Pilpres",PKPU No 4 tahun 2014 pasal 5,"Tahapan Persiapan sebagaimana dimaksud dalam Pasal 4 huruf a, terdiri atas program:(a)penyusunan, penetapan, dan pengundangan peraturan penyelenggaraan Pemilu Presiden dan Wakil Presiden;(b)sosialisasi, publikasi, dan pendidikan Pemilih;(c)simulasi pemungutan dan penghitungan suara di TPS;(d)rapat kerja, rapat koordinasi, dan bimbingan teknis bagi KPU pada setiap tingkatan dan PPLN;(e)pembentukan Badan Penyelenggara Pemilu Adhoc; (f)pengadaan dan pendistribusian perlengkapan penyelenggaraan Pemilu Presiden dan Wakil Presiden."
018,Apa yang dimaksud dengan tahapan Pelaksanaan?,"Terdapat 11 tahapan dalam ini, dimulai dari penyusunan Daftar pemilih sampai pelantikan Presiden dan Wakil Presiden.",PKPU No 4 tahun 2014 pasal 6,"Tahapan Pelaksanaan sebagaimana dimaksud dalam Pasal 4 huruf b, terdiri atas program: (a)penyusunan Daftar Pemilih;(b)pencalonan;(c)kampanye dan masa tenang;(d)pemungutan dan penghitungan suara putaran I;(e)rekapitulasi hasil penghitungan suara putaran I;(f)penetapan dan pengumuman hasil Pemilu Presiden dan Wakil Presiden putaran I;(g)kampanye putaran II (penajaman visi, misi, dan program);(h)pemungutan dan penghitungan suara putaran II;(i)rekapitulasi hasil penghitungan suara II;(j)penetapan dan pengumuman hasil Pemilu Presiden dan Wakil Presiden putaran II;(k)pelantikan Presiden dan Wakil Presiden terpilih."
019,Program apa saja yang terdapat dalam tahap penyelesaian?,Terdapat 5 Program dalam tahapan ini dimulai dari Pembubaran Badan Penyelenggara Pemilu Adhoc sampai dengan Pengelolaan Arsip,PKPU No 4 tahun 2014 pasal 7,"Tahapan Penyelesaian sebagaimana dimaksud dalam Pasal 4 huruf c, terdiri atas program: (a)pembubaran Badan Penyelenggara Pemilu Adhoc;(b)evaluasi pelaksanaan, penyusunan dan penyampaian laporan Pemilu Presiden dan Wakil Presiden oleh KPU Kabupaten/Kota dan KPU Provinsi kepada KPU;(c)evaluasi pelaksanaan, penyusunan dan penyampaian laporan Pemilu Presiden dan Wakil Presiden oleh KPU kepada Presiden dan DPR;(d)penyusunan dokumentasi;(e)pengelolaan arsip."
020,Kapan dadakannya peneteapan DPT Pilpres,3 s/d 13 Juni 2014,PKPU No 4 tahun 2014,3 s/d 13 Juni 2014
021,Kapan batas waktu pendaftaran buat Capres dan Cawapres?,18 s/d 20 Mei 2014,PKPU No 4 tahun 2014,18 s/d 20 Mei 2014
022,Tahapan apa setelah Pendaftaran untuk Capres dan Cawapres?,Tahapan Selanjutnya adalah pemeriksaan Kesehatan pasangan Capres dan Cawapres,PKPU No 4 tahun 2014,Tahapan Selanjutnya adalah pemeriksaan Kesehatan pasangan Capres dan Cawapres
023,Kapan pemeriksaan Kesehatan Capres dan Cawapres dilaksanakan?,19 s/d 23 Mei 2014,PKPU No 4 tahun 2014,19 s/d 23 Mei 2014
024,Kapan batas waktu verifikasi terhadap kelengkapan administrasi Capres dan Cawapres?,18 s/d 23 Mei 2014 dan minimal 4 hari setelah berkas administrasi tersebut diterima oleh KPU,PKPU No 4 tahun 2014,18 s/d 23 Mei 2014 dan minimal 4 hari setelah berkas administrasi tersebut diterima oleh KPU
025,Apakah Calon yang diusung Parpol dapat diganti?,Dapat diganti apabila tidak memenuhi syarat-syarat yang telah ada dalam pasal 14 atau tidak lolos tes kesehatan,PKPU No 15 tahun 2014 ayat 1,"Dalam hal Bakal Pasangan Calon yang diusulkan tidak memenuhi persyaratan sebagaimana dimaksud dalam Pasal 14, KPU meminta kepada Partai Politik atau Gabungan Partai Politik yang bersangkutan untuk mengusulkan Bakal Pasangan Calon baru sebagai pengganti."
026,Kapan penetapan Capres dan Cawapres? Oleh siapa ditetapkan,Penetapan dilakukan setelah bakal Capres dan Cawapres lulus tahapan administrasi dan tes kesehatan. Penetepan ini dilakukan oleh Kpu pada tanggal 31 Mei s/d 10 Juni 2014,PKPU No 4 tahun 2014,Penetapan dilakukan setelah bakal Capres dan Cawapres lulus tahapan administrasi dan tes kesehatan. Penetepan ini dilakukan oleh Kpu pada tanggal 31 Mei s/d 10 Juni 2014
027,Kapan Capres dan Cawapres dapat berkampanye?,4 Juni s/d 15 Juli 2014 atau 14 Juni s/d 15 Juli 2014 Capres dan Cawapres dapat berkampanye,PKPU No 4 tahun 2014,4 Juni s/d 15 Juli 2014 atau 14 Juni s/d 15 Juli 2014 Capres dan Cawapres dapat berkampanye
028,Kapan masa tenang kampanye?,6 s.d 8 Juli 2014 merupakan masa tenang dimana capres dan cawapres tidak dapat berkampanye,PKPU No 4 tahun 2014,6 s.d 8 Juli 2014 merupakan masa tenang dimana capres dan cawapres tidak dapat berkampanye
029,Kapan Pemungutan Suara untuk Pilpres Dilaksanan?,Pemungutan suara untuk Pilpres dilaksanakan tanggal 9 Juli 2014,PKPU No 4 tahun 2014,Pemungutan suara untuk Pilpres dilaksanakan tanggal 9 Juli 2014
030,Apakah Capres dan Cawapres harus melaporkan Laporan Dana Kampanye mereka?,Capres dan Cawapres beserta dengan partai politik pengusungnya harus melaporkan dana kampanye mereka yang terbagi dalam dua tahap kemudian dilakukan audit oleh Kantor Akuntan Publik,PKPU No 4 tahun 2014,Capres dan Cawapres beserta dengan partai politik pengusungnya harus melaporkan dana kampanye mereka yang terbagi dalam dua tahap kemudian dilakukan audit oleh Kantor Akuntan Publik
031,Ada berapa tahapana dalam rekapitulasi suara hasil Pilpres?,terdapat 6 tahapan rekapitulasi suara dari mulai terkecil di PPS sampai dengan nasional di KPU Pusat,PKPU No 4 tahun 2014,terdapat 6 tahapan rekapitulasi suara dari mulai terkecil di PPS sampai dengan nasional di KPU Pusat
032,Kapan saja batas waktu penghitungan suara di tiap tiap tahapan tersebut?,"Rinciannya sebagai berikut : PPS (10 s/d 12 Juli 2014), PPK (13 s/d 15 Juli 2014), PPLN (10 s/d 14 Juli 2014), KPU Kabupaten Kota (16 s/d 17 Juli 2014), KPU Provinsi (18 s/d 19 Juli 2014), KPU Pusat (20 s/d 22 Juli 2014)",PKPU No 4 tahun 2014,"Rinciannya sebagai berikut : PPS (10 s/d 12 Juli 2014), PPK (13 s/d 15 Juli 2014), PPLN (10 s/d 14 Juli 2014), KPU Kabupaten Kota (16 s/d 17 Juli 2014), KPU Provinsi (18 s/d 19 Juli 2014), KPU Pusat (20 s/d 22 Juli 2014)"
033,Kapan penetapan hasil Pilpres tersebut?,"Penetapan dilakukan tanggal 21 s/d 22 Juli 2014, namun jika terdapat II Putaran maka akan ada Pemungutan Suara kembali",PKPU No 4 tahun 2014,"Penetapan dilakukan tanggal 21 s/d 22 Juli 2014, namun jika terdapat II Putaran maka akan ada Pemungutan Suara kembali"
034,Kemanakah Capres dan Cawapres mengajukan keberatan / perselisihan hasil Pemilu?,Capres dan Cawapres dapat mengajukan keberatan / perselisihan ke MK pada tanggal 23 s/d 25 Juli 2014,PKPU No 4 tahun 2014,Capres dan Cawapres dapat mengajukan keberatan / perselisihan ke MK pada tanggal 23 s/d 25 Juli 2014
035,Kapan Presiden dan Wakil Presiden Terpilih Dilantik?,Presiden dan Wakil Presiden terpilih dilantik tanggal 20 Oktober 2014,PKPU No 4 tahun 2014,Presiden dan Wakil Presiden terpilih dilantik tanggal 20 Oktober 2014
036,"Apabila sampai ada dua putaran dalam pilpres, kapan dilaksanakan kampanye berikutnya?",Kampanye Capres dan Cawapres untuk putaran dua dilaksanakan tanggal 26 Agustus s/d 5 September 2014,PKPU No 4 tahun 2014,Kampanye Capres dan Cawapres untuk putaran dua dilaksanakan tanggal 26 Agustus s/d 5 September 2014
037,Kapan masa tenang kampanye Putaran II?,Masa Tenang kampanye putaran II pada tanggal 6 s/d 8 September 2014,PKPU No 4 tahun 2014,Masa Tenang kampanye putaran II pada tanggal 6 s/d 8 September 2014
038,Kapan dilakasanakan pemungutan suara Pilpres Putaran II?,Pemungutan suara untuk Pilpres Putaran kedua dilaksanakan tanggal 9 September 2014,PKPU No 4 tahun 2014,Pemungutan suara untuk Pilpres Putaran kedua dilaksanakan tanggal 9 September 2014
039,Kapan Rekapitulasi Pemungutan Suara Putaran II dilakukan??,"Rekapitulasi dilakukan dari tahapan paling bawah PPS (10 s/d 12 Sept 2014), PPK (13 s/d 14 Sept 2014), PPLN (10 s/d 13 Sept 2014), KPU Kab Kota (15 s/d 16 Sept 2014), KPU Provinsi (17 s/d 18 Sept 2014), KPU Pusat (19 s/d 21 Sept 2014)",PKPU No 4 tahun 2014,"Rekapitulasi dilakukan dari tahapan paling bawah PPS (10 s/d 12 Sept 2014), PPK (13 s/d 14 Sept 2014), PPLN (10 s/d 13 Sept 2014), KPU Kab Kota (15 s/d 16 Sept 2014), KPU Provinsi (17 s/d 18 Sept 2014), KPU Pusat (19 s/d 21 Sept 2014)"
040,Kapan penetapan hasil Pilpres tersebut?,Penetapan rekapitulasi dilakukan tanggal 19 s/d 21 Sept 2014 namun Penetapan setelah Penyelesaian Perselisihan MK tanggal 14 s/d 15 Okt 2014,PKPU No 4 tahun 2014,Penetapan rekapitulasi dilakukan tanggal 19 s/d 21 Sept 2014 namun Penetapan setelah Penyelesaian Perselisihan MK tanggal 14 s/d 15 Okt 2014
