id_calon,pekerjaan,,
3201-00-0000-0601,"INSTITUT MANAJEMEN KOPERAS1 IND0NESIA/IK0P1N (1990-2005) JIn Raya Jatinagor,Sumedang, Bandung Jabatan terakhir Sekrelaris Lembaga Penelitian dan Pengabdian Masyarakal (LPPM). Mengendalikan 3 Pusat: - Pusat Penelitian Ekonomi Masyarakat - Pusat Penelitian dan Pengembangan Koperasi-Pusat Penelitian dan Pengembangan Usaha Kecil dan Mencngah.",,
3201-00-0000-0601,"YAYASAN DARUL HIKAM. (1990 - sekarang). JIn IR H Juanda 285 Bandung. Direktur Perguruan Darul Hikam, mengelola TK, SD, SMP, SMA, Darul Hikam International School, dan Lembaga-lembaga pendukung pendidikan.",,
3201-00-0000-0601,"PT. Q1BLAT TOUR (2002 - sekarang)JIn.Taman Cibeunying Selatan, 15 Bandung Komisaris dan Pembimbing Utama: Mclayani perjalanan ibadah haji, umrah dan perjalanan",,
3201-00-0000-0601,wisata umum. Direktur Pusat Data dan Dinamika Ummat.Jln IR H Juanda 285 Bandung. (2011- sekarang),,
3201-00-0000-1001,Managing Director SINDO TV (2013-Sekarang).,,
3201-00-0000-1001,Programming and Production Director SINDO TV (2007-20013).,,
3201-00-0000-1001,Editor in Chief RCTI (2005-sekarang).,,
3201-00-0000-1001,Deputy Editor in Chief & News Production Manager RCTI (2004-2005),,
3201-00-0000-1001,Programming Planning & Scheduling Manager RCTI (2003-2004).,,
3201-00-0000-1001,Sr. Anchor & Executive Producer at SCTV (1995-2003).,,
3201-00-0000-1001,"Reporter, The Jakarta Post, English daily (1992-1995),",,
3201-00-0000-1001,"Lectuter at London Institue of Cnomunicalion, London School of Public Relations.",,
3201-00-0000-0303,Anggota DPR RI periode 2009-2014,,
3201-00-0000-0303,Pekerja Sosial,,
3201-00-0000-0701,PT. Hama Caraka 1991 - 1993,,
3201-00-0000-0701,PT. Bangun Sentosa Asri 1996 -2001,,
3201-00-0000-0701,Seketaris Pribadi Ketua Umum Partai Demokrat 2005 -2010,,
3201-00-0000-0701,AnggotaDPRRI 2009-2014,,
3201-00-0000-0401,"1988-1989: PT. MULTI ASSENS, BANDUNG",,
3201-00-0000-0401,"1989-1992: PT. TRANSMIKONS, BANDUNG",,
3201-00-0000-0401,1992-1997: ANGGOTA DPRD KOTA BANDUNG FRAKSI PDI,,
3201-00-0000-0401,"1999-2004: ANGGOTA DPRD JAWA BARAT FRAKSI PDI PE RJUANGAN,",,
3201-00-0000-0401,1994-2009: ANGGOTA DPRD JAWA BARAT FRAKSI PDI PERJUANGAN.,,
3201-00-0000-0401,2011-2014: ANGGOTA DPR RI FRAKSI PDI PERJUANGAN.,,
3201-00-0000-0405,PT- PAYUNG NEGGU UTAMA 1995 - 2000,,
3201-00-0000-0405,PT- KELOMPOK TIEK SEMBILAN BELAS 2000 - SEKAGN,,
3202-00-0000-0501,2009-2014. DPR/MPR Rl. ANGGOTA(WAKIL KETUA KOMIS1 1 DPR RI). JAKARTA,,
3202-00-0000-0501,1998-1999. MPR. ANGGOTA. JAKARTA,,
3202-00-0000-0501,1999-2004. DPR/MPR RI. ANGGOTA. JAKARTA,,
3202-00-0000-0502,2004-2009. DPR RI. ANGGOTA. JAKARTA,,
3202-00-0000-0502,"2009-2014. DPR RI. ANGGOTA, JAKARTA",,
3202-00-0000-0502,"1992-1997, DPR RI. WAKIL KETUA KOMISI VIII, JAKARTA",,
3202-00-0000-0202,Direktut Eksekutif BPPM Cipasung,,
3202-00-0000-0202,Manager Marketing PT. HS,,
3202-00-0000-0202,Comanditer CV. HS. PUTRI,,
3202-00-0000-0202,Dirut PT. GSM,,
3202-00-0000-0601,,,
3202-00-0000-1001,,,
3202-00-0000-0301,Dosen di Perguruan Tinggi Al Hikmah Jakarta (1992-1994),,
3202-00-0000-0301,Direktur WAMY Perwakilan Indonesia (1992-2004),,
3202-00-0000-0301,Penasehat WAMY Perwakilan Indonesia (2004-Sekarang),,
3202-00-0000-0301,Rppesentative WAMY Asia Tenggara (2006 - Sekarang),,
3202-00-0000-0301,Biro Perjalanan Haji dan Umroh Ummul-Quro Jakarta,,
3202-00-0000-0701,"Aktor Sutradara, Produser",,
3202-00-0000-0701,Anggota DPR RI periode 2004-2009,,
3202-00-0000-0701,Wakil Gubemur Jawa Barat periode 2008-2013,,
3202-00-0000-0401,1976 - 2013 Pegawai Negeri Sipil - Peusiun,,
3202-00-0000-0404,Wakil Bupati Kabupaten Bandung periode 2005-2010,,
3202-00-0000-0404,Anggota DPRD Provinsi Jawa Barat 2004 -2005,,
3202-00-0000-0404,Ketua DPRD Kabupaten Bandung periode 1999-2004,,
3202-00-0000-0404,Direktur PT. Ramadatex,,
3202-00-0000-0808,"DPRD KAB BANDUNG, KETUA HR BANGGAR, 2009-SEKARANG",,
3202-00-0000-0808,"DPRD KAB BANDUNG, WK PANGGAR, 2004-2009",,
3203-00-0000-0501,2004-2014. MPR/DPR-RI. ANGGOTA. JAKARTA,,
3203-00-0000-0501,"1997-2004, DPRD PROPINSI JAWA BARAT, ANGGOTA, BANDUNG",,
3203-00-0000-0502,"2006-2013, DPR RI, STAF AHLI FPG, JAKARTA",,
3203-00-0000-0502,"2011-2014, PT. MARADEKA, KOMISARIS UTAMA, JAKARTA",,
3203-00-0000-0901,Komisaris Utama PT. Starlight Group,,
3203-00-0000-0203,Dosen tidak tepat Sekolah Tinggi Agama Islam Negeri 2006 - 2007,,
3203-00-0000-0203,Manager Traineer PT. Graha Finesa Berjangka Jakarta 2008,,
3203-00-0000-0203,Wartawan Majalah Koridor Jakarta 2007 - 2008,,
3203-00-0000-0203,Tenaga Ahli Anggota DPR-RI Komisi IX,,
3203-00-0000-0601,"2001 - Skrg: PT. Indoproperti Galaraytama, Komisaris",,
3203-00-0000-0601,"1999 - skrg: PT. Penta Derma Gala, Komisaris",,
3203-00-0000-0601,"1999 -skrg: PT. Gala Ray Pratama, Direktur Utama",,
3203-00-0000-0601,"1997-Skrg: PT, Gala Ariatama, Direktur Utama",,
3203-00-0000-1002,PT. SAMUDRA INDONESIA Th 1977-1980,,
3203-00-0000-1002,"PT. Trikora Lloyd jakarta/hamburg/tokyo, 1980-1997",,
3203-00-0000-1002,PT. Handfast Frowarders Jakarta 1997-2001,,
3203-00-0000-1002,Dana Pensiun danapera MNC Group 199-sekarang,,
3203-00-0000-0301,Anggota DPR RI 2009-2014,,
3203-00-0000-0301,EQ Consulting Group,,
3203-00-0000-0301,Akuntan Publik,,
3203-00-0000-0301,BPKP,,
3203-00-0000-0301,PKPU,,
3203-00-0000-0701,Menteri Negara Koperasi dan UKM Kabinet Indonesia Bersatu Jilid II (2009-2014). Anggota DPR RI dari Fraksi Partai Demokrat (2004-2009).,,
3203-00-0000-0701,Penasehat Majalah FIVE (2006-sekarang).,,
3203-00-0000-0701,Komisaris Utama PT. Mesa Cipta Pratama (1998-2004).,,
3203-00-0000-0701,Direktur Utama PT. Baby Atlantic (1994-2000).,,
3203-00-0000-0701,Komisaris PT. Insan Fajar Cakrawala (1985-2004).,,
3203-00-0000-0701,Direktur Utama PT. Barita Multi Recon (1979-1985).,,
3203-00-0000-0701,Expert Staff Division Manager PT. United Tractor (1975-1979).,,
3203-00-0000-0701,Instruktur Service Manager PT. United Tractors (1973-1975).,,
3203-00-0000-0403,Staf Fraksi PDI Perjuangan DPRD Prov Jawa Barat (2008-2012),,
3203-00-0000-0403,Pendamping Lapang Pekka (2002-2008),,
3204-00-0000-0501,"2009-2014, DPR-RI, ANGGOTA FPG, JAKARTA",,
3204-00-0000-0501,"2001-2004, LOU & MITRA LAW FIRM, SENIOR ADV. PARTNER, JAKARTA",,
3204-00-0000-0901,Terlampir.,,
3204-00-0000-0602,"Komisaris, Pada PT Nusa Hutani Perliwi (Draya Group), Bidang Usaha Pertanian & Kehutanan, Jakarta, 10 Oktober2011 s/d Sekarang",,
3204-00-0000-0602,"Executive Vice President, Pada PT Draya Ventura (Draya Group), Bidang Usaha Modal Ventura, Jakarta, 28 Oktober 2009 s/d Sekarang",,
3204-00-0000-0602,"Executive Vice President, Pada PT Draya Resources (Draya Group), Bidang Usaha Resources, Jakarta, 28 Oktober 2009 s/d Sekarang",,
3204-00-0000-0602,"Executive Vice President, Pada PT Summit Lautan Mas (Kembang 88 Group), Bidang Usaha Jasa Sewa Kendaraan Bermotor dan Alat Berat, Jakarta, 07 Mei 2007 s/d Sekarang",,
3204-00-0000-0602,"Vice President, Pada PT Draya Entertainment (Draya Group), Bidang Usaha Resto & Entertainment, Jakarta, 19 September 2008 s/d Sekarang",,
3204-00-0000-0602,"Vice President, Pada PT Draya Nusantara Auto (Draya Group), Bidang Usaha Autorized Dealer Truck & Bus Merk Hyundai, Wilayah Pemasaran Jawa Barat, Jabodetabck, Sumatera Selatan dan Kalimantan Timur, Jakarta, 19 September 2008 s/d Sekarang",,
3204-00-0000-0602,"Vice President, Pada Kembang Motor 88 (Kembang 88 Group), Bidang Usaha Jual Beli Kendaraan Bermotor Mobil Bekas, Jakarta, 07 Mei 2007 s/d Sekarang",,
3204-00-0000-0602,"Vice President, Pada PT Hotel Coklat (Kembang 88 Group), Bidang Usaha Perhotelan, Makassar, 08 Mei 2006 s/d Sekarang",,
3204-00-0000-0602,"Vice President, Pada PT Fast Financindo (Kembang 88 Group), Bidang Usaha Jasa Perdagangan Umum, Jakarta, 06 April 2006 s/d Sekarang",,
3204-00-0000-0602,"General Manager, Pada PT Kembang 88 Multifmance, Membawahi dan Mengelola Department Marketing, Collection, Remedial, Finance & Accounting, Information Technology (MIS/EDP), System & Prosedur, Human Capital & General Affair (HRGA), Funding dan Business Development Usaha Jasa Pembiayaan, Jakarta, 05 Mei 2003 s/d Sekarang",,
3204-00-0000-0602,"Pimpinan Kantor Cabang Yogyakarta, Pada PT Mandala Multifmance Kantor Cabang Yogyakarta, 19 Agustus 2002 s/d 30 April 2003",,
3204-00-0000-0602,"Pimpinan Kantor Cabang Lampung, Pada PT Mandala Multifmance Kantor Cabang Lampung, 27 Mei 2002 s/d 16 Agustus 2002",,
3204-00-0000-0602,"Operational Manager, Pada Raharja Group {Hotel, Distributor Pupuk Coir, Usaha Pcrtanian Terpadu), Sukabumi, 04 Desember 2000 s/d 18 Mei 2002",,
3204-00-0000-0602,"Pimpinan Kantor Pusat Operasional (KPO), Pada PT Olympindo Multifmance Kantor Pusat Operasional (KPO), Jakarta, 06 Maret 2000 s/d 30 November 2000",,
3204-00-0000-0602,"Pimpinan Kantor Cabang Bogor, Pada PI Olympindo Multifinance Kantor Cabang Bogor, 05 Mei 1997 s/d 05 Maret 2000",,
3204-00-0000-0602,"Marketing Manager, Kantor Pusat Non Operasional (KPNO), Divisi Pembiayaan Konsumen Kendaraan Roda 4 (empat)/Mobil dan kendaraan Roda 2 (dua)/Motor, Pada PT Olympindo Multifinance, Ditugaskan untuk membantu dan mengembangkan:",,
3204-00-0000-0602,"Operasional PT Olympindo Multifinance Kantor Cabang Bogor, Bertanggungjawab kepada Executive Committee, 26 Maret 1997 s/d 04 Mei 1997",,
3204-00-0000-0602,"Operasional PT Olympindo Multifinance Kanlor Cabang Purwokerto, Khususnya Departemen Marketing, PT Olympindo Multifinance Kantor Cabang Purwokerto, Jawa Tengah, Bertanggungjawab kepada Marketing dan Credit Director. 20 Maret 1997 s/d 25 Maret 1997",,
3204-00-0000-0602,"Departemen Marketing, Kantor Pusat Operasional (KPO), Jakarta, PT Olympindo Multifinance, Jakarta, Bertanggungjawab kepada Marketing & Credit Director, 13 Pebruari 1997 s/d 25 Maret 1997",,
3204-00-0000-0602,"Operasional, PT Olympindo Multifinance Kantor Cabang Bekasi, Bertanggungjawab kepada Marketing & Credit Director, 14 Pebruari 1997 s/d 25 Maret 1997",,
3204-00-0000-0602,"Anggota Committee Credit, Divisi Roda 4 (empat)/Mobil, Pembiayaan Kcndaraan Roda 2 (dua)/Motor, Pembiayaan Jaminan Rumah dan Tanah, Pada PT Olympindo Multifinance Kantor Pusat Operasional (KPO), Jakarta, 20 Mei 1996 s/d 04 Mei 1997",,
3204-00-0000-0602,"Assistant Marketing Manager, Kantor Pusat Operasional (KPO) Divisi Pembiayaan Konsumen, Kendaraan Roda 4 (empat)/Mobil dan Kendaraan Roda 2 (dua)/Motor, 2 (dua)/Motor, Pada PT Olympindo Multifinance Kantor Pusat Operasional (KPO), Jakarta, 20 Mei 1996 s/d 13 Pebruari 1997",,
3204-00-0000-0602,"Area Marketing Supervisor, Wilayah Kerja DK1 Jakarta, Divisi Pembiayaan Konsumen, Kendaraan Roda 4 (empat)/MobiI, Pada PT Olympindo Multifinance Kantor Pusat Operasional (KPO), Jakarta, 01 Desember 1995 s/d 19 Mei 1996",,
3204-00-0000-0602,"Credit Marketing Officer (CMO) Divisi Pembiayaan Konsumen, Kendaraan Roda 4 (empat)/Mobil, Pada PT Olympindo Multifinance Kantor Pusat Operasional (1CPO), Jakarta, 14 Desember 1994 s/d 30 November 1995",,
3204-00-0000-0602,"Marketing Officer (MO), Sewa Beli Kcndaraan Roda 4 (empat)/Mobil, Pada PT Olympindo Cemerlang, Jakarta, 03 November 1993 s/d 13 Desember 1994",,
3204-00-0000-0602,"Asisten Pengajar Mata Kuliah Sistem Informasi Manajemen (SIM) Pada Fakultas Ekonomi Manajemen, Universitas Kristen Duta Wacana (UKDW), Yogyakarta, Semester Gasal Th. 1991/1992 s/d Semester Gasal Th. 1993/1994",,
3204-00-0000-0602,"Asisten Mata Kuliah Pengolahan Data Elektronik (EDP) Pada Fakultas Ekonomi Manajemen, Universitas Kristen Duta Wacana (UKDW), Yogyakarta, Semester Gasal Th. 1991/1992 s/d Semester Gasal Th. 1993/1994",,
3204-00-0000-0301,Dosen Univ. ibnu Kholdun 1995 Bogor,,
3204-00-0000-0301,Dosen STIAMI 1997 Jakkarta,,
3204-00-0000-0301,Anggota DPRD jabar ketua FPKS 1999 - 2004 Bandung,,
3204-00-0000-0301,Dosen Univ. IslamNegeri 2005 Badung,,
3204-00-0000-0301,Anggota DPR RI FPKS 2009-2014 Jakarta,,
3204-00-0000-0401,Tahun 1990-dokter di RS Tugu Ibu Cimanggis,,
3204-00-0000-0401,Tahun 1991 dokter Karya Bhakti Kalibata,,
3204-00-0000-0401,Tahun 1991 dokter di Klinik Partuha Ciledug,,
3204-00-0000-0401,Tahun 1992-dokter di Klinik Waluya Sejati Abadi Ciledug,,
3204-00-0000-0401,Tahun 2000-dokter di Perusahaan Puan Maharani,,
3204-00-0000-0401,"Tahun 2004 Wakil Ketua Komisi IX Dewan Perwakilan Rakyat Republik Indonesia, Fraksi Partai Demokrasi Indonesia Perjuangan.",,
3204-00-0000-0401,"Tahun 2005-sekarang Ketua Komisi IX Dewan Perwekilan Rakyat Republik Indonesin, Fraksi Partai Demokrasi indonesia Pejuangan",,
3204-00-0000-0802,"Artis, 1998-Sekarang",,
3204-00-0000-0802,"F. Psikologis Unika Atmajaya Jakarta, Dosen Monorer, 2012-Sekarang",,
3205-00-0000-0501,"(2009-2014, DPR-RI, ANGGOTA, JAKARTA",,
3205-00-0000-0502,"2009-2013, DPR RI, STAF AHLI, JAKARTA",,
3205-00-0000-0901,Anggota DPR-RI 2009-2014,,
3205-00-0000-0901,Anggota DPR-RI 2004-2009,,
3205-00-0000-0901,Anggota DPR-RI 1999-2004,,
3205-00-0000-0901,Ketu Yayasan pendidikan Islam Al-Kausar (1984 s/d Sekarang),,
3205-00-0000-0901,Direktur Utama PT. Pendawa Mas Jakarta (1991-1999),,
3205-00-0000-0901,Direktur Operasi PT. Mijahan Karya Utama (MKU) Jakarta (1988-1991),,
3205-00-0000-0901,PT. Pendawa Mas Palembang (1980-1983),,
3205-00-0000-0601,"DEWAN REDAKSI MAJALAH SASTA HORISON, 1993-SEKARANG",,
3205-00-0000-0601,"DIRKTUR, NUSANTARA ENERGY LTD, 1999-2001",,
3205-00-0000-0601,"DIREKTUR, UMUM, GOLDEN SPIKE ENERGY INDONESIA LTD, JAKARTA,2002-2005",,
3205-00-0000-0601,"DIRKTUR, PT, PADI NUSANTARA,2005",,
3205-00-0000-0601,"DIREKTUR BIDANG KELAPA SAWIT, PT. TIDAR KERINCI AGUNG, JAKARTA,2007 - 2009",,
3205-00-0000-0601,"KOMISARIS, PT. TIDAR KERINCI AGUNG, JAKARTA, 2009-SEKARANG",,
3205-00-0000-0301,Anggota DPR RI Periode tahun 2009-2014,,
3205-00-0000-0301,Anggota DPR RI Periode tahun 1999-2004,,
3205-00-0000-0702,Anggota DPR/MPR RI Komisi VII (Tujuh) -2009 s/d 2012,,
3205-00-0000-0702,Anggota DPR/MPR RI Komisi IV( Empat) -2012 s/d 2012,,
3205-00-0000-0702,Anggota DPR/MPR RI Komisi X (Sepuluh) - 2012 s/d sekarang,,
3205-00-0000-0702,Anggota BKSAP -2009 s/d 2012,,
3205-00-0000-0702,Anggota BURT -2012 s/d sekarang,,
3205-00-0000-0402,LXIRASWASTA,,
3205-00-0000-0405,Direktur Bara Adi Pratama tahun 2002 s/d sekarang,,
3205-00-0000-0405,Direktur PT. Kencana Ketara Kuala tahun 2006 s/d sekarang,,
3205-00-0000-0405,Direktur PT. Macika Mada Madana tahun 2008 s/d sekarang,,
3205-00-0000-0802,"Anggota DPR RI, Anggota, 2009-2014",,
3205-00-0000-0802,"Pemain sinetron, Bintang Iklan,, 1994-2009",,
3206-00-0000-0505,"1979-1990, PT.PANN MULTI FINANCE, BUMN DEP KEU R1, SEKERTARIS DIREKSI, JAKARTA",,
3206-00-0000-0505,"2009-2013, PT.ADDICT WORLD GROUP. DIREKTUR UTAMA, JAKARTA",,
3206-00-0000-0505,"2013-2015. SEVEN ELEVEN (7-ELEVEN) JAKSEL, FRANCHISER/BAGI HASIL,JAKARTA SELATAN",,
3206-00-0000-0601,1985 1994 TEMPO OKT,,
3206-00-0000-0601,"1994-1998 GATRA, OKT",,
3206-00-0000-0601,"1998-2000 GAMRA, OKT",,
3206-00-0000-0601,2006-2007 JURNAL NAPIONAL JKT,,
3206-00-0000-0601,"2000-2006 ITMANTARENA ARADI, JKT",,
3206-00-0000-0301,DIREKTUR UTAMA PT. MITRA INTI LAKSANA,,
3206-00-0000-0301,DIREKTUR PT. BANGUN SEGARA.,,
3206-00-0000-0401,PT MSS,,
3206-00-0000-0401,ANGOTA DPR Ri,,
3206-00-0000-0406,Arteria Dahlan Lawyers (2009-2011),,
3206-00-0000-0406,Bastaman & Co (2006-2009),,
3206-00-0000-0406,Bastaman & Partners (2002-2006),,
3206-00-0000-0803,"PEMAIN SINETRON {AKTOR},, 2004-2013",,
3207-00-0000-0501,"2003-2004, FRAKSI BIDANG UMUM FRAKSI PARTAI GOLKAR, WAKIL KETUA, JAKARTA",,
3207-00-0000-0501,"2004-2005. KOMISI VI DPR-RI BIDANG INDUSTRI PERDAGANGAN. WAKIL KETUA, JAKARTA",,
3207-00-0000-0501,"2007-2009, BADAN PENGEMBANGAN KELOMPOK PROFESI MASYARAKAT, KETUA, JAKARTA",,
3207-00-0000-0501,"2009-2013, FRAKSI PARTAI GOLKAR, SEKRETARIS, JAKARTA",,
3207-00-0000-0506,"19951995-2000, PEMERINTAHAN DAERAH, BUPATI, KARAWANG",,
3207-00-0000-0506,"2005-2010, PEMERINTAHAN DAERAH, BUPATI, KARAWANG",,
3207-00-0000-0901,Guru PNS/Sekolah?/tahun,,
3207-00-0000-0901,Anggota DPRD/Kabupaten Bekasi/2004-2009,,
3207-00-0000-0901,Direktur/ CV Raka Putra Mandiri/2002,,
3207-00-0000-0901,Direktur /PT Berlian Indah Abadi/2006,,
3207-00-0000-0901,Dircklur/Rumah Makan Gazebo Bekasi/2006,,
3207-00-0000-0201,"Pemain Sinetron, Model Iklan, Penyanyi, Host/MC, Di semua TV Nasional",,
3207-00-0000-0601,ANGGOTA MPR / DPR RI,,
3207-00-0000-0302,Kepala SDIT Thoriq Bin Ziyad Bekasi (1990 - 1999),,
3207-00-0000-0302,Dosen STMIK Bani Saleh Bekasi (1990 - 2003),,
3207-00-0000-0302,Aleg DPRD Kab. Bekasi Ketua Komisi periode (1999 - 2004),,
3207-00-0000-0302,Aleg DPRD Kab. Bekasi Ketua DPRD (2004 - 2007),,
3207-00-0000-0302,Bupati Kab. Bekasi Periode (2007 - 2012),,
3207-00-0000-0701,Sekretaris Eksekutif IRSED,,
3207-00-0000-0701,Oflicer Manager Martimus & Partner,,
3207-00-0000-0701,Komisaris PT. Bangun Bumi Bersatu (Non Aktif Sejak Jadi calon Anggota DPR RI pada PEMILU 2009),,
3207-00-0000-0701,Anggota DPR/ MPR RI Periode 2009-2014,,
3207-00-0000-0401,ANGGOTA KOMISI IX DPR RI,,
3207-00-0000-0401,ANGGOTA BALEG DPR RI,,
3207-00-0000-0407,Anggota DPRD Kab. Karawang, 1999-2004,
3207-00-0000-0407,Anggota DPRD Kab. Karawang, 2004-2009,
3207-00-0000-0407,Anggota DPRD Kab. Karawang, 2009-2014,
3207-00-0000-0407,Ketua DPRD Karawang Period 2009-2014,,
3207-00-0000-0804,"Anggota DPRD kab. Bekasi, Ketua fraksi, 2009-skrg",,
3207-00-0000-0804,"CV. RIMULGA JAYA ABADI, Direktur, 1999-skrg",,
3207-00-0000-0804,"CV. ARIA TALAGA GEMILANG, Direktur, 2010-skrg",,
3207-00-0000-0804,"PT. FUKUSUKE KOGYO INDONESIA, Kuasa Presdir, 2000-skrg",,
3208-00-0000-0501,"2004-2007, ADAM SKY CONNECTION, VICE PRESIDENT, JAKARTA",,
3208-00-0000-0501,"2004-2011, PT. SIWANI MAKMUR,Tbk., KOMISARIS INDEPENDEN, JAKARTA",,
3208-00-0000-0501,"2007-2011, PT. ALABASTA SINERGY, PRESIDEN DIREKTUR, JAKARTA",,
3208-00-0000-0505,"2008-2013, PT. FAJAR CAHAYA PANTURA, DIRETUR UTAMA, INDRAMAYU",,
3208-00-0000-0505,"2006-2013, PT. FAJAR PRIMASWARA, DIREKTUR UTAMA, INDRAMAYU",,
3208-00-0000-0505,"2010-2013, PT. CIMANUK CEMERLANG, KOMISARISUTAMA, INDRAMAYU",,
3208-00-0000-0201,Kepala SMP NU Kapiongan (1983-1999),,
3208-00-0000-0201,Kepala SMP NU Kapiongan (1996-2000),,
3208-00-0000-0201,Anggota DPRD Kab. Indramayu (1999-2000),,
3208-00-0000-0201,Wakil Bupati Indramayu (2000-2005),,
3208-00-0000-0602,"Direktur Jenderal Energi Baru, Terbarukan dan Konservasi Energi, Kementerian ESDM, tahun 2011 - 2012",,
3208-00-0000-0602,"Staf AhIi MESDM Bidang Infokom, Kementerian ESDM, tahun 2008-201 l",,
3208-00-0000-0602,"Kepala BP Migas, tahun 2005-2008",,
3208-00-0000-0602,"Wakil KePala BP Migas, tahun 2002-2005",,
3208-00-0000-0602,"Staf Ahli MESDM Bidang Ekonomi dan Keuangan, Departemen ESDM, tahun 2000-2002",,
3208-00-0000-0602,"Direktur Eksplorasi dan Produksi Migas, Ditjen Minyak dan Gas Bumi, Depatmen ESDM tahun 1999-2000",,
3208-00-0000-1002,Direktur Eksekutif Niat Group Malaysia Sdn.Bhd Tahun 2007 s/d sekarang,,
3208-00-0000-1002,Direktur Utama PT. Niat Aprotech Indonesia Tahun 2007 s/d sekarang,,
3208-00-0000-1002,Komisaris Utama PT. Mas Arya Tunggal Abadi tahun 2008 s/d sekarang,,
3208-00-0000-1002,Komisari Utama PT. INSANI PRIMALAYAN tahun 2009 s/d sekarang,,
3208-00-0000-1002,Pendiri pada Lembaga Studi Demokrasi dan Perubahan Sosial (LESMIDA) tahun 2010 s/d sekarang,,
3208-00-0000-1002,Owner Stone Cafe Tahun 2005 s/d sekarang,,
3208-00-0000-0301,Anggota Komisi ll DPR RI (2004-2009),,
3208-00-0000-0301,Ketua Fraksi PKS DPR RI (2006-209),,
3208-00-0000-0301,Pimpinan Pansus Century (2010-2013),,
3208-00-0000-0301,Ketua Komisi I DPR RI (2010-sekarang),,
3208-00-0000-0701,Anggota DPR/MPR RI periode 2009-2014,,
3208-00-0000-0701,Wakil Ketua Komisi IV DPR RI (2010-sekarang),,
3208-00-0000-0701,Anggota Badan Musyawarah DPR RI (2011-2012),,
3208-00-0000-0701,Anggota Badan Anggaran DPR RI (2009-2010),,
3208-00-0000-0701,Ketua Panja RUU tentang Holtikultura,,
3208-00-0000-0701,Ketua Panja RUU tentang Pangan,,
3208-00-0000-0701,Ketua Panja RUU tentang Perlindungan dan Pemberdayaan Petani,,
3208-00-0000-0701,Ketua Panja Raskin,,
3208-00-0000-0701,Ketua Panja Pupuk,,
3208-00-0000-0701,Ketua Panja Pupuk Bersubsidi,,
3208-00-0000-0701,Ketua Panja Gula,,
3208-00-0000-0701,Anggota Pansus RUU Otoritas Jasa Keuangan,,
3208-00-0000-0701,Pimpinan Panja IPPKH,,
3208-00-0000-0701,Pimpinan Panja Daging Sapi,,
3208-00-0000-0701,Sekretaris Banggar Komisi IV DPRRI,,
3208-00-0000-0701,Pimpinan Panja RUU tentang Pemberantasan Perusakan Hutan,,
3208-00-0000-0701,Pimpinan Revisi UU tentang Perkebunan,,
3208-00-0000-0701,Pimmpinan Panja Pengawasan Impor Hortikurtura,,
3208-00-0000-0701,Pimpinan Panja Pengawasan tentang Kehutanan,,
3208-00-0000-0701,"Tenaga Ahli Fraksi Parati Demokrat DPR RI, Jakarta (2006-2009)",,
3208-00-0000-0701,"Direktur Utama Pt. Swadaya Budi Hartama, Jakarta (2003-2009)",,
3208-00-0000-0701,"Government and Public Affair BP Indonesia, Jakarta (2000-2004)",,
3208-00-0000-0701,"Ass. Direktur Pengembangan di PT. Cides Persada Consultant, Jakarta (1999-2000)",,
3208-00-0000-0701,"Ketua Dewan Pengawas Gabbungan Koperasi Pesisir Nusantara (GKPN), Jakarta (2003-2008",,
3208-00-0000-0701,"Ass.Dir. Marketing PT. Aquatec Maxcon Indonesia, Jakarta (2007-2008).",,
3208-00-0000-0701,"Quality Control Manager PT. Star Metal Ware Industry, Jakarta (2006-2007)",,
3208-00-0000-0401,"Anggota DPR-RI, Tahun 2009-2014",,
3208-00-0000-0401,"Anggota DPR-RI, Tahun 2004-2019",,
3208-00-0000-0401,"Anggota DPR-RI, Tahun 1999-2004",,
3208-00-0000-0401,"Wartawan Harian Kompas, Tahun 1995",,
3208-00-0000-0401,"Wartawan Harian Surya, Surabaya, Tahun 1989-1993",,
3208-00-0000-0401,"Guru Agama SMA St. Yudas Tadeus Langgur Tual. Maluku Tenggara, Tahun 1983-1985",,
3208-00-0000-0403,KETUA KPC MINA SUMITRA INDRAMAYU,,
3208-00-0000-0403,WIRASWASTA BIDANG PERIKANAN,,
3208-00-0000-0403,SUPLIER PRODUK DAN SARANA PERTAMGAKAN,,
3209-00-0000-0501,1999-2004. MPR / DPR RI. ANGGOTA. JAKARTA,,
3209-00-0000-0501,"2004-2009. MPR / DPR RI, ANGGOTA. JAKARTA",,
3209-00-0000-0501,"2009-2014. MPR / DPR RI. ANGGOTA, JAKARTA",,
3209-00-0000-0501,1982-1987. MPR RI. ANGGOTA. JAKARTA,,
3209-00-0000-0501,"1997-1999, MPR RI. ANGGOTA. JAKARTA",,
3209-00-0000-0903,Asisten Dosen STTG 1996-1997 Garut,,
3209-00-0000-0903,Anggota DPRD 1997-1999 Sumedang,,
3209-00-0000-0903,Anggota DPRD 1999-2004 Sumedang,,
3209-00-0000-0903,Wakil Ketua DPRD Kab. Sumedang 2004 -2009,,
3209-00-0000-0903,Anggota DPRD Provinsi Jawa Barat 2009-2014,,
3209-00-0000-0201,"Yayasan Al-Mizan, Ketua Yayasan, 199-2004",,
3209-00-0000-0201,"Yayasan Al-Mizan, Langensari Ketua Dewan Kebijakan 2004-Sekarang",,
3209-00-0000-0201,"RM Langensari, Komisaris, 1993- Sekarang",,
