id_calon,ringkasan,program_kerja
1202-00-0000-0301,"""DI DALAM MEDIA, ISKAN TELAH MENYATAKAN POSISINYA DALAM BEBERAPA ISU, KHUSUSNYA:
- TAHUN 2011, IA MEMINTA KEMENTERIAN AGAMA UNTUK MENEKAN BIAYA TRANSPORTASI PELAKSANAAN IBADAH HAJI AGAR TOTAL ONGKOS BISA LEBIH RENDAH;
- TAHUN 2010, IA MENANGGAPI RUU NIKAH SIRI SEBAGAI HAL YANG TIDAK DIPERLUKAN, KARENA UNDANG-UNDANG YANG MELINDUNGI ANAK DAN PEREMPUAN SUDAH ADA/ HANYA PERLU DIOPTIMALKAN"".
",
1202-00-0000-0706,,
1202-00-0000-0401,,
1202-00-0000-0801,"""RUU PILKADA (2014) DALAM PASAL 18 AYAT 4 UUD 1945, KEPALA DAERAH DIPILIH SECARA DEMOKRATIS DAN TIDAK DISEBUTKAN PEMILIHAN SECARA LANGSUNG. OLEH KARENA ITU, PILKADA YANG DILAKUKAN ANGGOTA LEGISLATIF TETAP SAH JIKA DILAKSANAKAN SECARA DEMOKRATIS. SEMENTARA PILKADA LANGSUNG MEMBUTUHKAN BIAYA TIDAK SEDIKIT. BIAYA DEMOKRASI YANG BESAR SEPERTI ITU LEBIH BAIK DIMANFAATKAN UNTUK PEMBANGUNAN BAGI KEPENTINGAN MASYARAKAT. PILKADA LANGSUNG BANYAK MENGHABISKAN PERHATIAN DAN ENERGI MASYARAKAT. (HARIAN SINAR HARAPAN, 9 SEPTEMBER 2014)""",
1203-00-0000-0101,,
1203-00-0000-0501,"""SELAIN MASALAH KEHUTANAN, MASALAH PERKEBUNAN JUGA DIA JADIKAN AKAN MENJADI PRIORITAS SAAT RAPAT KERJA DENGAN MENTERI PERTANIAN. LAGI-LAGI, KEPRIHATINAN DIA SELALU BERANGKAT DARI PENGAMATANNYA TERHADAP KEHIDUPAN RAKYAT DI TINGKAT BAWAH. PARA PETANI DI DAERAH SUMUT, KATANYA, HIDUPNYA MISKIN. HASIL PERTANIAN YANG MELIMPAH, HANYA MEMBUAT PARA PEDAGANG KAYA RAYA. ANGGOTA KOMISI IV DPR DARI FRAKSI PARTAI GOLKAR INI BERKOMITMEN TURUN KE BAWAH, TERUTAMA DI DAERAH PEMILIHAN (DAPIL)-NYA UNTUK MENYAPA, BERCENGKERAMA, MENAMPUNG ASPIRASI DAN MEMPERJUANGKANNYA DI PARLEMEN. SEDIA MENDESAK KAPOLRI ATAU APARAT HUKUM YANG LAIN UNTUK MENINDAK TEGAS PELAKU KEJAHATAN KEHUTANAN YANG BERMAIN DI WILAYAH SUMUT. BIASANYA, DESAKAN DISAMPAIKAN LEWAT MENHUT SAAT RAPAT DENGAR PENDAPAT. DI FORUM TIM TERPADU PEMBERANTASAN KEJAHATAN KEHUTANAN YANG BERADA DI BAWAH NAUNGAN MENKO POLHUKAM, MENHUT BISA MEMBAHAS MASUKAN DARI KOMISI IV UNTUK MELAKUKAN PENINDAKAN.""
",
1203-00-0000-0503,,
1203-00-0000-0901,,
1203-00-0000-0601,,
1203-00-0000-1005,,
1203-00-0000-0301,"""~ MENGUSULKAN SANKSI BERAT KEPADA PERUSAHAAN JASA TKI (PJTKI) YANG NAKAL DAN SERING MELANGGAR ATURAN DENGAN MENJELASKAN SYARAT-SYARATNYA SECARA EKSPLISIT.
~ MENGHIMBAU PARA ANGGOTA DEWAN UNTUK SELALU MENGAWAL PROSES PENERBITAN SEBUAH RUU HINGGA DISAHKANNYA MENJADI UU SUPAYA TAK ADA KECURANGAN DALAM POIN-POIN SUBSTANSIALNYA.
~ MENGHIMBAU MENAKERTRANS UNTUK BERSIKAP TEGAS TERHADAP PT ANGKASA PURA 1 YANG TELAH MELAKUKAN KESEWENANG-WENANGAN TERHADAP PARA PEKERJANYA DENGAN MELAKUKAN SKORSING DAN PHK YANG TIDAK SESUAI DENGAN PERJANJIAN KERJA BERSAMA (PKB) ANTARA PT TERSEBUT DENGAN SERIKAT PEKERJANYA. DAN ITU MELANGGAR DELIK UU NO 13 TAHUN 2003 TENTANG KETENAGAKERJAAN DAN UU NO 19 TENTANG BUMN.
""",
1203-00-0000-0708,,
1203-00-0000-0404,"RUU PILKADA (2014)
MENOLAK UU PILKADA DENGAN PASAL INTI BAHWA KEPALA DAERAH DIPILIH OLEH DPRD, KARENA BERSIKAP MENDUKUNG PILKADA LANGSUNG OLEH RAKYAT
UU MD3 (2014)
MENOLAK REVISI UU MD3
PARIPURNA VOTING PAKET PIMPINAN DPR 2014-2019
MENOLAK AMBIL BAGIAN SEBAGAI ANGGOTA DPR YANG MENYETUJUI PAKET PIMPINAN DPR 2014-2019 (DENGAN KETUA DPR 2014-2019 TERPILIH SETYA NOVANTO). BAGIAN DARI PELAKU WALKOUT ATAS PROSES VOTING PAKET PIMPINAN DPR 2014-2019
",
1203-00-0000-0801,,
1301-00-0000-0102,,"SEBAGAI CALON WAKIL RAKYAT DARI PARTAI NASDEM, SAYA BERTEKAD DAN AKAN MEMPERJUANG BEBERAPA AGENDA BESAR UNTUK KEMAJUAN MASYARAKAT SUMATERA BARAT DI ANTARANYA:
1. UNTUK MENGATASI MASALAH SUMBER DAYA MANUSIA YANG MENGALAMI STAGNASI. SAYA BERPIKIR HARUS DIUPAYAKAN PENINGKATAN KUALITAS SUMBER DAYA MANUSIA SUMATERA BARAT MELALUI KEBIJAKAN NASIONAL. MISALNYA, KEBIJAKAN SECARA KHUSUS TERKAIT DENGAN KUALITAS BIDANG KESEHATAN DAN PENDIDIKAN. DALAM BANYAK ASPEK, SUMATERA BARAT SEBENARNYA MAMPU MENJADI PUSAT PEMBANGUNAN SUMBER DAYA MANUSIA, KHUSUSNYA DI BIDANG PENDIDIKAN DI LUAR PULAU JAWA. ASALKAN INI DIDUKUNG OLEH SEKOLAH DAN PERGURUAN TINGGI YANG UNGGUL DAN DIAKUI OLEH PEMERINTAH PUSAT. KARENANYA PERLU PENDEKATAN YANG SISTEMATIS KEPADA PEMERINTAH PUSAT AGAR DIHASILKAN SUATU KEBIJAKAN NASIONAL YANG MEMBERI KESEMPATAN KEPADA MASYARAKAT SUMATERA BARAT UNTUK MENGELOLA POTENSI BIDANG KESEHATAN DAN PENDIDIKAN YANG ADA DI DAERAH INI.
2. UNTUK MENGATASI LEMAHNYA DAYA SAING EKONOMI, MAKA DIPERLUKAN KEBIJAKAN SINKRONISASI KEBIJAKAN NASIONAL TERKAIT DENGAN MASTER PERCEPATAN DAN PERLUASAN PEMBANGUNAN EKONOMI INDONESIA (MP3EI) YANG TIDAK MEMASUKKAN SUMATERA BARAT SEBAGAI DAERAH MP3EI. DENGAN SINKRONISASI KEBIJAKAN INI AKAN DAPAT MEMBERI MANFAAT KEPADA MASYARAKAT SUMAYERA BARAT. UNTUK SKALA EKONOMI MIKRO DENGAN MENDORONG PEMERINTAH PUSAT UNTUK MENYEDIAKAN ALOKASI KREDIT USAHA RAKYAT (KUR) DAN KELOMPOK USAHA BERSAMA (KUBE) UNTUK EKONOMI PRODUKTIF YANG MENCAKUP SEMUA KABUATEN/KOTA DI SUMATERA BARAT. SELAIN ITU, KHUSUS UNTUK DAERAH YANG MEMILIKI POTENSI DI BIDANG PERTANIAN DAN PERKEBUNAN SEPERTI KABUPATEN SIJUJUNG, DHARMASRAYA DAN SOLOK SELATAN AKAN DIINTEGRAISKAN KE DALAM PROGRAM NASIONAL PEMBERDAYAAN MASYARAKAT PENINGKATAN USAHA AGROBISNIS PERTANIAN (PNPM-PUAP). SEMENTARA, UNTUK MASYARAKAT DI DAERAH PESISIR SEPERTI KABUPATEN PESISIR SELATAN, PADANG PARIAMAN DAN PASAMAN BARAT DILIBATKAN SECARA AKTIF DALAM PNPM KELAUTAN DAN PERIKANAN. SEMUANYA INI HARUS DIDUKUNG OLEH KEBIJAKAN YANG DIBUAT OLEH PEMERINTAH PUSAT.
3. TERBATASNYA SUMBER PEMBIAYAAN UNTUK PEMBANGUNAN DI SUMATERA BARAT BERDAMPAK PADA KUALITAS INFRASTRUKTUR MASYARAKAT. PADAHAL, JELAS TERDAPAT KORELASI KETERSEDIAAN INFRASTRUKTRUR DENGAN PENINGKATAN EKONOMI MASYARAKAT, TERUTAMA DI TINGKAT BAWAH. KARENANYA SAYA AKAN TERLIBAT AKTIF DAN MEMPERJUANGKAN KEBIJAKAN KEMBALI PROGRAM NASIONAL PEMBERDAYAAN MASYARAKAT (PNPM) YANG MENCAKUP RURAL INFRASTRUCTURE SUPPORT UNTUK MASYARAKAT DI NAGARI. ADA JUGA PROGRAM PEMBANGUNAN INFRASTRUKTUR PERDESAAN (PPIP) DALAM MEMPERKUAT PEMBANGUNAN DI NAGARI YANG MENJADI BASIS PEMBANGUNAN MASYARAKAT DI SUMATERA BARAT; PNPM PERUMAHAN DAN PEMUKIMAN UNTUK DAERAH PERDESAAN DAN PERKOTAAAN. HAL LAIN YANG JUGA DAPAT SAYA LAKUKAN ADALAH MEMPERJUANGKAN DANA PERCEPATAN PEMBANGUNAN INFRASTRUKTUR UNTUK SUMATERA BARAT DENGAN DISTRIBUSI YANG MERATA KE DAERAH KABUPATEN/KOTA SESUAI DENGAN KONDISI DAN KEBUTUHAN MASYARAKAT.
4. MEMPERJUANGKAN DENGAN CARA MEMAKSIMALKAN KEUNTUNGAN DENGAN DITERBITKANNYA UU NO.6 TAHUN 2014 TENTANG DESA SEHINGGA MEMBAWA MANFAAT KEPADA MASYARAKAT SUMATERA BARAT UNTUK PENGEMBANGAN NAGARI DILIHAT ASPEK SOSIAL, BUDAYA, EKONOMI DAN POLITIK. SESUAI DENGAN AMANAT UU INI, MAKA PEMERINTAH PUSAT AKAN MENGALOKASIKAN SEJUMLAH UANG BAGI PENGUATAN DESA/NAGARI. KARENANYA PERLU ADA CETAK BIRU YANG JELAS TERKAIT DENGAN PENGUATAN DAN PENGEMBANGAN NAGARI INI OLEH PEMERINTAH PUSAT SEHINGGA SETIAP TAHUNNYA DANA BANTUAN BAGI DESA/NAGARI INI AKAN DAPAT DITINGKATKAN. KENDALA SELAMA INI YANG TERLIHAT ADALAH TERBATASNYA SUMBER DANA BAGI MASYARAKAT DI DESA/NAGARI UNTUK MELAKSANAKAN PEMBANGUNAN. JIKA INI BERHASIL DIATASI, MAKA EFEKNYA ADALAH PADA PENINGKATAN KESEJAHTERAAN MASYARAKATNYA.
5. SATU LAGI POTENSI YANG KURANG TERMANFAATKAN OLEH MASYARAKAT SUMATERA BARAT ADALAH PENGELOLAAN GERAKAN MEMBANGUN KAMPUNG ATAU NAGARI YANG DILAKUKAN SECARA SISTEMATIS, TERSTRUKTUR DAN MELIBATKAN PARTISIPASI MASYARAKAT. PADAHAL POTENSI UANG YANG DIKIRIM KE KAMPUNG HALAMAN OLEH PARA PERANTAU SANGAT SIGNIFIKAN DALAM MENINGKATKAN PEREKONOMIAN MASYARAKAT. PELUANG INILAH YANG HARUS DIMANFAATKAN DENGAN BAIK, MELALUI SINERGI ANTARA PEMERINTAH, SWASTA DAN MASYARAKAT. JELAS, SAYA AKAN BERPERAN AKTIF DALAM MENDORONG GERAKAN MEMBANGUN SUMATERA BARAT MELALUI JEJARING SOSIAL YANG DIMILIKI OLEH SEMUA ELEMEN UNTUK MENGGERAKAN POTENSI YANG SUDAH ADA TERSEBUT.
(SUMBER: HTTP://ENDRESAIFOEL.COM/)
"
1301-00-0000-0506,,
1301-00-0000-0901,"MENDUKUNG REVISI UU MD3
MENDUKUNG UU PILKADA DENGAN PASAL INTI BAHWA KEPALA DAERAH DIPILIH OLEH DPRD AMBIL BAGIAN SEBAGAI ANGGOTA DPR YANG MENYETUJUI PAKET PIMPINAN DPR 2014-2019 (DENGAN KETUA SETYA NOVANTO)
",
1301-00-0000-0601,,
1301-00-0000-0301,,
1301-00-0000-0702,,
1301-00-0000-0401,,
1301-00-0000-0802,,
1302-00-0000-0501,,
1302-00-0000-0902,,
1302-00-0000-0604,,
1302-00-0000-0302,,
1302-00-0000-0702,"Mulyadi yang berasal dari dapil Sumatera Barat II aktif mengawal percepatan pembangunan infrastruktur Kelok 9 yang masuk dalam MP3EI, saat proyek ini dibicarakan pihak Kementerian PU dengan DPR. Mulyadi juga aktif menghadiri rapat membahas RKAKL dengan mitra kerja kementerian. Mulyadi menjadi pelaku voting yang setuju kenaikan harga BBM (Maret 2012). Mulyadi juga kembali mengikuti instruksi Fraksi Demokrat untuk setuju kenaikan harga BBM dalam voting APBNP 2013 (Juni 2013). Dalam 5 tahun berada di DPR, Mulyadi tidak mengalami konflik internal dengan jajaran pimpinan fraksi Demokrat karena Mulyadi selalu mematuhi instruksi fraksi/partai.",
1302-00-0000-0401,"VISI & MISI
1. BERBUAT UNTUK MASYARAKAT DAN MEMBUKTIKAN BAHWA PILIHAN POLITIKNYA JUGA MAMPU BERBUAT YANG LEBIH BAIK UNTUK MASYARAKAT KEHIDUPANNYA ADALAH MILIK RAKYAT, TIDAK HANYA SEBATAS KONSTITUEN AKAN TETAPI SELURUH MASYARAKAT SUMATERA BARAT.
2. WALAUPUN PARTAI SAYA TIDAK BERJARGON AGAMA SAYA YAKIN SAYA BISA BERBUAT YANG LEBIH BAIK UNTUK KEMAJUAN AGAMA SAYA
3. WALAUPUN BEROPOSISI DENGAN PEMERINTAH SAYA YAKIN BISA IKUT BERPARTISIPASI DALAM PEMBANGUNAN. IA TIDAK MENGHILANGKAN SIKAP KERAKYATANNYA, KARENA MENURUTNYA IA HANYALAH ORANG YANG DI AMANAHKAN UNTUK MEWAKILI MEREKA (RAKYAT), OLEH KARENA ITU AGUS TIDAK PERNAH CANGGUNG UNTUK BERBAUR DENGAN MEREKA, SELALU MELUANGKAN WAKTU UNTUK SEKEDAR NGOPI “MAOTA KADAI” SEKALIGUS UNTUK MENAMPUNG ASPIRASI MASYARAKAT.
PROGRAM KERJA
SELALU MEMRIORITASKAN PROGRAM-ROGRAM PRO RAKYAT KETIKA PEMBAHASAN RAPBD, KARENA MENURUT AGUS TARGET UTAMA DARI PEMBANGUNAN NASIONAL ADALAH MASYARAKAT MENENGAH BAWAH, OLEH KARENA ITU MEREKALAH YANG PALING PANTAS DIPERJUANGKAN. 
AGUS: ""YANG PALING UTAMA ITU ADALAH PETANI DAN NELAYAN KARENA BAGAIMANA KITA MEMAJUKAN SEBUAH BANGSA KALAU PETANI DAN NELAYANNYA TIDAK SEJAHTERA?""
AGUS: ""SAYA TETAP MEMPERJUANGKAN KESEJAHTERAAN PNS, PEDAGANG ATAU LINTAS PROFESI LAINNYA, AKAN TETAPI SAYA BERKEYAKINAN KESEJAHTERAAN BANGSA INI DI MULAI DENGAN KESEJAHTERAAN PETANI KARENA MEREKALAH YANG PALING MENDOMINASI NEGERI INI, JADI KALAU PETANI SEJAHTERA MAKA SEKTOR LAINPUN IKUT SEJAHTERA""
",
1401-00-0000-0502,"VISI MISI
MEMINTA PEMERINTAH MEMPERHATIKAN KONDISI KELANGKAAN LISTRIK DI KABUPATEN ROKAN HILIR, RIAU. ""KAMI MINTA BANTUAN ANGGOTA KOMISI VII DPR RI DARI PEMILIHAN RIAU AGAR MENDESAK PEMERINTAH UNTUK MEMBANTU PERSOALAN LISTRIK DI ROHIL MENGINGAT BANYAK KELUHAN DARI MASYARAKAT ROHIL SAAT KAMI RESES KE ROHIL, "" UJAR THABRANIE, DI JAKARTA. ADIK DARI BUPATI ROHIL ITU MENGUNGKAPKAN BEBERAPA KECEMATAN YANG MENGELUHKAN PERSOALAN LISTRIK DIANTARANYA KECAMATAN BAGANSINEMBAH, BENTAYAN DAN BANGKO PUSAKO. DAMPAK MINIMNYA LISTRIK MAYORITAS DESA DI KECAMATAN TERSEBUT MENGAKIBATKAN ANAK-ANAK KESULITAN DALAM BELAJAR KARENA MINIMNYA PENERANGAN. ""EFEK LEBIH JAUH, YANG MENGKHAWATIRKAN ADALAH KALAU MINYAK TANAH HILANG, APAKAH ADA PENGGANTINYA? APA GAS BISA DIBERDAYAKAN UNTUK PENERANGAN,"" UJAR POLITISI DARI PARTAI GOLKAR TERSEBUT.
",
1401-00-0000-0601,,
1401-00-0000-0301,,
1401-00-0000-0701,"SUTAN MENJADI PELAKU VOTING YANG SETUJU KENAIKAN HARGA BBM (MARET 2012). SUTAN JUGA KEMBALI MENGIKUTI INSTRUKSI FRAKSI DEMOKRAT UNTUK SETUJU KENAIKAN HARGA BBM DALAM VOTING APBNP 2013 (JUNI 2013). DALAM 5 TAHUN BERADA DI DPR, SUTAN TIDAK MENGALAMI KONFLIK INTERNAL DENGAN JAJARAN PIMPINAN FRAKSI DEMOKRAT KARENA SUTAN SELALU MEMATUHI INSTRUKSI FRAKSI/PARTAI.",
1401-00-0000-0401,,
1401-00-0000-0801,,
1402-00-0000-0501,,
1402-00-0000-0201,,
1402-00-0000-0601,,
1402-00-0000-0701,,
1402-00-0000-0401,Jangan menunggu apa yang bisa diberikan negeri ini kepadamu..tapi berikanlah sedikit tenagamu untuk negeri ini..,
1501-00-0000-0506,,
1501-00-0000-0901,,
1501-00-0000-0201,,
1501-00-0000-0601,,
1501-00-0000-0703,,
1501-00-0000-0401,"RUU PILKADA (2014)
MENOLAK UU PILKADA DENGAN PASAL INTI BAHWA KEPALA DAERAH DIPILIH OLEH DPRD, KARENA BERSIKAP MENDUKUNG PILKADA LANGSUNG OLEH RAKYAT
UU MD3 (2014)
MENOLAK REVISI UU MD3
PARIPURNA VOTING PAKET PIMPINAN DPR 2014-2019
MENOLAK AMBIL BAGIAN SEBAGAI ANGGOTA DPR YANG MENYETUJUI PAKET PIMPINAN DPR 2014-2019 (DENGAN KETUA DPR 2014-2019 TERPILIH SETYA NOVANTO). BAGIAN DARI PELAKU WALKOUT ATAS PROSES VOTING PAKET PIMPINAN DPR 2014-2019)
",
1501-00-0000-0802,,
1601-00-0000-0501,,"VISI DAN MISI
1. MENGUTAMAKAN PEMBINAAN GENERASI MUDA MELALUI BIDANG AGAMA, SOSIAL DAN KEWIRAUSAHAAN SERTA PEMBERDAYAAN EKONOMI KERAKYATAN MELALUI PEMBINAAN UMKM.
2. MEMANTAU DAN MENGAWAL PROGRAM BEROBAT GRATIS, SEKOLAH GRATIS, DAN SEGERA TERWUJUDNYA KULIAH GRATIS PADA 2015 UNTUK WARGA SUMSEL, DAN MENDORONG UNTUK BISA DILAKSANAKAN DI SELURUH INDONESIA (DARI SUMSEL UNTUK INDONESIA).
3. MENDORONG PEMBANGUNAN INFRASTRUKTUR DI BIDANG PEREKONOMIAN, PERTANIAN, PERKEBUNAN, KELAUTAN, PERHUBUNGAN, DAN PERTAMBANGAN, TANPA MELUPAKAN ASPEK PELESTARIAN LINGKUNGAN HIDUP DAN SOSIAL.
4. MENDORONG PIHAK ASING UNTUK BERINVESTASI DI SUMSEL, DALAM HAL PRODUKSI DAN PENGOLAHAN HASIL BUMI, PERTAMBANGAN, PERKEBUNAN, SERTA PENDANAAN PEMBANGUNAN INFRASTRUKTUR.
5. MEMBANGUN PEMBANGUNAN SARANA KEAGAMAAN, KESEHATAN, DAN PENDIDIKAN YANG BERKUALITAS.
6. MENDORONG TERWUJUDNYA KEBIJAKAN DALAM PENYEDIAAN BIBIT YANG BERKUALITAS DAN PENYEBARAN
BANTUAN PUPUK SECARA MERATA , UNTUK PARA PETANI.
7. MENDORONG SEGERA TERWUJUDNYA: KEBUN RAYA SUMSEL, PELABUHAN DAN KAWASAN EKONOMI KHUSUS (KEK) TANJUNG API-API, REL GANDA KERETA API, JALAN TOL LINTAS SUMATERA, JALUR KERETA API TRANS SUMATERA, SERTA JEMBATAN MUSI IV.
8. MENJADI WAKIL RAKYAT SUMSEL YANG MAMPU MEMPERJUANGKAN KEPENTINGAN DAN KEINGINAN MASYARAKAT, SERTA SELALU BERKOMUNIKASI DENGAN MASYARAKAT.
9. BERKONTRIBUSI BAGI KEMAKMURAN NKRI SECARA LUAS.

"
1601-00-0000-0505,,
1601-00-0000-0601,,
1601-00-0000-1004,,
1601-00-0000-0301,,
1601-00-0000-0701,,
1601-00-0000-0401,,
1601-00-0000-0801,,
1602-00-0000-0101,,
