id,name,start,finish,parent_id,category
20,PEMUTAKHIRAN : REKAPITULASI DAFTAR PEMILIH HASIL PEMUTAKHIRAN TINGKAT DESA/ KELURAHAN DAN PENYAMPAIANNYA BESERTA DAFTAR PEMILIH HASIL PEMUTAKHIRAN KE KPK,27 Agustus 2015,29 Agustus 2015,17,PERSIAPAN
21,PEMUTAKHIRAN : REKAPITULASI DAFTAR PEMILIH HASIL PEMUTAKHIRAN TINGKAT KECAMATAN,30 Agustus 2015,31 Agustus 2015,17,PERSIAPAN
22,PEMUTAKHIRAN : REKAPITULASI DAFTAR PEMILIH HASIL PEMUTAKHIRAN TINGKAT KABUPATEN/ KOTA UNTUK DITETAPKAN  SEBAGAI DAFTAR PEMILIH SEMENTARA (DPS),1 September 2015,2 September 2015,17,PERSIAPAN
23,PEMUTAKHIRAN : REKAPITULASI DAFTAR PEMILIH HASIL PEMUTAKHIRAN TINGKAT PROVINSI UNTUK DITETAPKAN SEBAGAI DAFTAR PEMILIH SEMENTARA (DPS),2 September 2015,3 September 2015,17,PERSIAPAN
24,PEMUTAKHIRAN : PENYAMPAIAN DPS KEPADA PPS,3 September 2015,9 September 2015,17,PERSIAPAN
25,PEMUTAKHIRAN : PENGUMUMAN DAN TANGGAPAN MASYARAKAT  TERHADAP DPS,10 September 2015,19 September 2015,17,PERSIAPAN
26,PEMUTAKHIRAN : PERBAIKAN DPS,20 September 2015,25 September 2015,17,PERSIAPAN
27,PEMUTAKHIRAN : REKAPITAULASI DPS HASIL PERBAIKAN TINGKAT DESA/ KELURAHAN DAN PENYAMPAIANNYA BESERTA DPS HASIL PERBAIKAN KEPADA PPK,26 September 2015,28 September 2015,17,PERSIAPAN
28,PEMUTAKHIRAN : REKAPITULASI DPS HASIL PERBAIKAN PERBAIKAN TINGKAT KECAMATAN,29 September 2015,30 September 2015,17,PERSIAPAN
29,PEMUTAKHIRAN : DAFTAR PEMILIH TETAP (DPT),,,17,PERSIAPAN
30,DAFTAR PEMILIH TETAP (DPT) : REKAPITULASI DPS HASIL PERBAIKAN TINGKAT KABUPATEN/ KOTA UNTUK DITETAPKAN SEBAGAI DPT,1 Oktober 2015,2 Oktober 2015,29,PERSIAPAN
31,DAFTAR PEMILIH TETAP (DPT) : PENYAMPAIAN DPT KEPADA PPS,3 Oktober 2015,12 Oktober 2015,29,PERSIAPAN
32,DAFTAR PEMILIH TETAP (DPT) : PENGUMUMAN DPT OLEH PPS,12 Oktober 2015,9 Desember 2015,29,PERSIAPAN
33,DAFTAR PEMILIH TETAP (DPT) : REKAPITULASI DPT TINGKAT PROVINSI,3 Oktober 2015,4 Oktober 2015,29,PERSIAPAN
34,PEMUTAKHIRAN : DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1),,,17,PERSIAPAN
35,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : PENDAFTARAN PEMILIH YANG BELUM TERDAFTAR DALAM DPT SERTA PENYUSUNAN DPTB-1, 13 Oktober 2015,20 Oktober 2015,34,PERSIAPAN
36,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : REKAPITULASI DPTB-1 TINGKAT DESA/KELURAHAN DAN PENYAMPAIANNYA  BESERTA DPTB-1 OLEH PPS KEPADA PPK,21 Oktober 2015,23  Oktober 2015,34,PERSIAPAN
37,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : REKAPITULASI DPTB-1 TINGKAT KECAMATAN,24 Oktober 2015,26 Desember 2015,34,PERSIAPAN
38,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : REKAPITULASI DAN PENETAPAN DPTB-1 TINGKAT KABUPATEN/KOTA,27 Oktober 2015,28 Oktober 2015,34,PERSIAPAN
39,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : PENYAMPAIAN DPTB-1 KEPADA PPS,29 Oktober 2015,7 November 2015,34,PERSIAPAN
40,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : REKAPITULASI DPTB-1 TINGKAT PROVINSI,29 Oktober 2015,30 Oktober 2015,34,PERSIAPAN
41,DAFTAR PEMILIH TETAP TAMBAHAN (DPTB-1) : PENGUMUMAN DPTB-1 OLEH PPS,7 November 2015,9  Desember 2015,34,PERSIAPAN
42,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN,,,0,PENYELENGGARAAN
43,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PENERIMAAN DATA AGREGAT KEPENDUDUKAN PER KECAMATAN (DAK2) DARI PEMERINTAH DAERAH,17 April 2015,17 April 2015,42,PENYELENGGARAAN
44,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PENGUMUMAN PENYERAHAN SYARAT DUKUNGAN,24 Mei 2015, 7 Juni 2015,42,PENYELENGGARAAN
45,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PASANGAN CALON GUBERNUR DAN WAKIL GUBERNUR,,,42,PENYELENGGARAAN
46,PASANGAN CALON GUBERNUR DAN WAKIL GUBERNUR : PENYERAHAN SYARAT DUKUNGAN CALON GUBERNUR DAN WAKIL GUBERNUR KEPADA KPU PROVINSI/KIP ACEH,8 Juni 2015,12 Juni 2015,45,PENYELENGGARAAN
47,PASANGAN CALON GUBERNUR DAN WAKIL GUBERNUR : PENELITIAN JUMLAH MINIMAL DUKUNGAN,8 Juni 2015,15 Juni 2015,45,PENYELENGGARAAN
48,PASANGAN CALON GUBERNUR DAN WAKIL GUBERNUR : ANALISA DUKUNGAN GANDA,8 Juni 2015,15 Juni 2015,45,PENYELENGGARAAN
49,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PENYAMPAIAN SYARAT DUKUNGAN KEPADA KPU/KIP KABUPATEN/KOTA,16 Juni 2015,16 Juni 2015,42,PENYELENGGARAAN
50,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PASANGAN CALON BUPATI DAN WAKIL BUPATI/CALON  WALIKOTA DAN WAKIL WALIKOTA,,,42,PENYELENGGARAAN
51,PASANGAN CALON BUPATI DAN WAKIL BUPATI/CALON  WALIKOTA DAN WAKIL WALIKOTA : PENYERAHAN SYARAT DUKUNGAN CALON BUPATI DAN WAKIL BUPATI/CALON WALIKOTA DAN WAKIL WALIKOTA KEPADA KPU/KIP KABUPATEN KOTA,11 Juni 2015,15 Juni 2015,50,PENYELENGGARAAN
52,PASANGAN CALON BUPATI DAN WAKIL BUPATI/CALON  WALIKOTA DAN WAKIL WALIKOTA : PENELITIAN JUMLAH MINIMAL DUKUNGAN,11 Juni 2015,18 Juni 2015,50,PENYELENGGARAAN
53,PASANGAN CALON BUPATI DAN WAKIL BUPATI/CALON  WALIKOTA DAN WAKIL WALIKOTA : ANALISA DUKUNGAN GANDA,11 Juni 2015,18 Juni 2015,50,PENYELENGGARAAN
54,"SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PENYAMPAIAN SYARAT DUKUNGAN PASANGAN CALON GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI/WALIKOTA DAN WAKIL WALIKOTA KEPADA PPS",19 Juni 2015,22 Juni 2015,42,PENYELENGGARAAN
55,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : PENELITIAN ADMINISTRASI DAN FAKTUAL DI TINGKAT DESA/ KELURAHAN,23 Juni 2015,6  Juli 2015,42,PENYELENGGARAAN
56,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : REKAPITULASI DI TINGKAT KECAMATAN,7 Juli 2015,13 Juli 2015,42,PENYELENGGARAAN
57,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : REKAPITULASI DI TINGKAT KABUPATEN/KOTA,14 Juli 2015,19 Juli 2015,42,PENYELENGGARAAN
58,SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN : REKAPITULASI DI TINGKAT PROVINSI,22 Juli 2015,24 Juli 2015,42,PENYELENGGARAAN
59,PENDAFTARAN PASANGAN CALON,,,0,PENYELENGGARAAN
60,PENDAFTARAN PASANGAN CALON : PENGUMUMAN PENDAFTARAN PASANGAN CALON,14 Juli 2015,25 Juli 2015,59,PENYELENGGARAAN
61,PENDAFTARAN PASANGAN CALON : PENDAFTARAN PASANGAN CALON,26 Juli 2015,28 Juli 2015,59,PENYELENGGARAAN
62,PENDAFTARAN PASANGAN CALON : PEMERIKSAAN KESEHATAN,26 Juli 2015,1 Agustus 2015,59,PENYELENGGARAAN
63,PENDAFTARAN PASANGAN CALON : PENYAMPAIAN HASIL PEMERIKSAAN KESEHATAN,1 Agustus 2015,2 Agustus 2015,59,PENYELENGGARAAN
64,PENDAFTARAN PASANGAN CALON : PENELITIAN SYARAT PENCALONAN DAN SYARAT CALON,28 Juli 2015,3 Agustus 2015,59,PENYELENGGARAAN
65,PENDAFTARAN PASANGAN CALON : PEMBERITAHUAN HASIL PENELITIAN, 3 Agustus 2015,4 Agustus 2015,59,PENYELENGGARAAN
66,PENDAFTARAN PASANGAN CALON : PERBAIKAN SYARAT PENCALONAN DAN/ ATAU SYARAT CALON:,,,59,PENYELENGGARAAN
67,PERBAIKAN SYARAT PENCALONAN DAN/ ATAU SYARAT CALON: : PERBAIKAN SYARAT PENCALONAN PARTAI POLITIK/ GABUNGAN PARTAI POLITIK,4 Agustus 2015,7 Agustus 2015,66,PENYELENGGARAAN
68,"PERBAIKAN SYARAT PENCALONAN DAN/ ATAU SYARAT CALON: : PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSERORANGAN GUBERNUR DAN WAKIL GUBERNUR DAN WAKIL GUBERNUR, BUPATI ATAU WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA KEPADA KPU/KIP KABUPATEN/ KOTA;",4 Agustus 2015,7 Agustus 2015,66,PENYELENGGARAAN
69,PERBAIKAN SYARAT PENCALONAN DAN/ ATAU SYARAT CALON: : PERBAIKAN SYARAT PASANGAN CALON DASN PARTAI POLITIK/ GABUNGAN PARTAI POLITIK DAN PERSEORANGAN,4 Agustus 2015,7 Agustus 2015,66,PENYELENGGARAAN
70,PENDAFTARAN PASANGAN CALON : PENELITIAN HASIL PERBAIKAN,,,59,PENYELENGGARAAN
71,PENELITIAN HASIL PERBAIKAN : PENELITIAN PERBAIKAN SYARAT PENCALONAN PARTAI POLITIK/ GABUNGAN PARTAI POLITIK,8 Agustus 2015,14 Agustus 2015,70,PENYELENGGARAAN
72,"PENELITIAN HASIL PERBAIKAN : PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA",,,70,PENYELENGGARAAN
73,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : PENELITIAN JUMLAM MINIMAL DUKUNGAN",4 Agustus 2015,9 Agustus 2015,72,PENYELENGGARAAN
74,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : ANALISA DUKUNGAN GANDA",4 Agustus 2015,9 Agustus 2015,72,PENYELENGGARAAN
75,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : PENYAMPAIAN HASIL ANALISIS DUGAAN GANDA DAN SYARAT DUKUNGAN OLEH KPU/KIP KABUPATEN/KOTA KEPADA PPS MELALUI PPK",10 Agustus 2015,11 Agustus 2015,72,PENYELENGGARAAN
76,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : PENELITIAN ADMINISTRASI DAN FAKTUAL DI TINGKAT DESA/KELURAHAN",12 Agustus 2015,16 Agustus 2015,72,PENYELENGGARAAN
77,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : REKAPITULASI JUMLAH DUKUNGAN DI TINGKAT KECAMATAN",18 Agustus 2015,19 Agustus 2015,72,PENYELENGGARAAN
78,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : REKAPITULASI JUMLAH DUKUNGAN DI KABUPATEN/KOTA",20 Agustus 2015,21 Agustus 2015,72,PENYELENGGARAAN
79,"PENELITIAN PERBAIKAN SYARAT DUKUNGAN PASANGAN CALON PERSEORANGAN GUBERNUR DAN WAKIL GUBERNUR, BUPATI DAN WAKIL BUPATI ATAU WALIKOTA DAN WAKIL WALIKOTA OLEH KPU/KIP KABUPATEN/KOTA : REKAPITULASI JUMLAH DUKUNGAN DI TINGKAT PROVINSI",22 Agustus 2015,23 Agustus 2015,72,PENYELENGGARAAN
80,PENELITIAN HASIL PERBAIKAN : PENELITIAN PERBAIKAN SYARAT CALON,8 Agustus 2015,14 Agustus 2015,70,PENYELENGGARAAN
81,PENDAFTARAN PASANGAN CALON : PENETAPAN PASANGAN CALON,24 Agustus 2015,24 Agustus 2015,59,PENYELENGGARAAN
82,PENDAFTARAN PASANGAN CALON : PENGUNDIAN DAN PENGUMUMAN NOMOR URUT PASANGAN CALON,25 Agustus 2015,16 Agustus 2015,59,PENYELENGGARAAN
83,SENGKETA TUN PEMILIHAN,,,0,PENYELENGGARAAN
84,SENGKETA TUN PEMILIHAN : PENGAJUAN PERMOHONAN SENGKETA DI BAWASLU PROVINSI/ PANWAS KABUPATEN/KOTA,24 Agustus 2015,26 Agusuts 2015,83,PENYELENGGARAAN
85,SENGKETA TUN PEMILIHAN : PERBAIKAN PERMOHONAN SENGKETA,27 Agustus 2015,29 Agustus 2015,83,PENYELENGGARAAN
86,SENGKETA TUN PEMILIHAN : PENYELESAIAN SENGKETA DAN PUTUSAN,30 Agustus 2015,10 Agustus 2015,83,PENYELENGGARAAN
87,SENGKETA TUN PEMILIHAN : PENGAJUAN GUGATAN ATAS SENGKETA TATA USAHA NEGARA,11 September 20115,13 September 2015,83,PENYELENGGARAAN
88,SENGKETA TUN PEMILIHAN : PENGGUGAT DAPAT MEMPERBAIKI DASN MELENGKAPI GUGATAN,14 September 2015,16 September 2015,83,PENYELENGGARAAN
89,SENGKETA TUN PEMILIHAN : PENGADILAN TINGGI TATA USAHA NEGARA (PT TUN) MEMERIKSA DAN MEMUTUS GUGATAN,17 September 2015,8 Oktober 2015,83,PENYELENGGARAAN
90,SENGKETA TUN PEMILIHAN : KPU PROVINSI/KIP ACEH DAN/ ATAU KPU/KIP KABUPATEN /KOTA WAJIB MENINDAKLANJUTI PUTUSAN PT TUN,9 Oktober 2015, 11 Oktober 2015,83,PENYELENGGARAAN
91,SENGKETA TUN PEMILIHAN : KASASI DI MAHKAMAH AGUNG (MA),8 Oktober 2015,15 Oktober 2015,83,PENYELENGGARAAN
92,SENGKETA TUN PEMILIHAN : MA MEMERIKSA  DAN MEMUTUS PERKARA KASUS,16 Oktober 2015,14 Oktober 2015,83,PENYELENGGARAAN
93,SENGKETA TUN PEMILIHAN : KPU PROVINSI/KIP ACEH DAN/ ATAU KPU/KIP KABUPATEN /KOTA WAJIB MENINDAKLANJUTI PUTUSAN MA,15 November 2015,17 November 2015,83,PENYELENGGARAAN
94,KAMPANYE,,,0,PENYELENGGARAAN
95,KAMPANYE : KAMPANYE,27 Agustus 2015,5 Desember 2015,94,PENYELENGGARAAN
96,KAMPANYE : DEBAT PUBLIK/TERBUKA ANTAR PASANGAN CALON,27 Agustus 2015,5 Desember 2015,94,PENYELENGGARAAN
97,KAMPANYE : MASA TENANG DAN PEMBERSIHAN ALAT PERAGA,6 Desember 2015,8 Desember 2015,94,PENYELENGGARAAN
98,LAPORAN DAN AUDIT DANA KAMPANYE,,,0,PENYELENGGARAAN
99,LAPORAN DAN AUDIT DANA KAMPANYE : PENYERAHAN LAPORAN AWAL DANA KAMPANYE,26 Agustus 2015,26 Agustus 2015,98,PENYELENGGARAAN
100,LAPORAN DAN AUDIT DANA KAMPANYE : PENGUMUMAN PENERIMAAN LAPORAN AWAL DANA KAMPANYE,27 Agustus 2015,27 Agustus 2015,98,PENYELENGGARAAN
101,LAPORAN DAN AUDIT DANA KAMPANYE : PENYERAHAN LAPORAN PENERIMAAN SUMBANGAN DANA KAMPANYE,16 Oktober 2015,16 Oktober 2015,98,PENYELENGGARAAN
102,LAPORAN DAN AUDIT DANA KAMPANYE : PENGUMUMAN PENERIMAAN LAPORAN PENERIMAAN SUMBANGAN DANA KAMPANYE,17 Oktober 2015,17 Oktober 2015,98,PENYELENGGARAAN
103,LAPORAN DAN AUDIT DANA KAMPANYE : PENYERAHAN LAPORAN PENERIMAAN DAN PENGGUNAAN DANA KAMPANYE (LPPDK),6 Desember 2015,6 Desember 2015,98,PENYELENGGARAAN
104,LAPORAN DAN AUDIT DANA KAMPANYE : PENYERAHAN LPPDK KEPADA KANTOR AKUNTAN PUBLIK (KAP),7 Desember 2015,7 Desember 2015,98,PENYELENGGARAAN
105,LAPORAN DAN AUDIT DANA KAMPANYE : AUDIT LPPDK,7 Desember 2015,7 Desember 2015,98,PENYELENGGARAAN
106,LAPORAN DAN AUDIT DANA KAMPANYE : PENYAMPAIAN HASIL AUDIT (LPPDK KEPADA KPU PROVINSI/KIP ACEH ATAU KKPU/KIP KABUPATEN/KOTA,23 Desember 2015,23 Desember 2015,98,PENYELENGGARAAN
107,LAPORAN DAN AUDIT DANA KAMPANYE : PENYAMPAIAN HASIL AUDIT KEPADA PASANGAN CALON,26 Desember 2015,26 Desember 2015,98,PENYELENGGARAAN
108,LAPORAN DAN AUDIT DANA KAMPANYE : PENGUMUMAN HASIL AUDIT,24 Desember 2015,26 Desember 2015,98,PENYELENGGARAAN
109,PENGADAAN DAN PENDISTRIBUSIAN PERLENGKAPAN PEMUNGUTAN SUARA,,,0,PENYELENGGARAAN
110,PENGADAAN DAN PENDISTRIBUSIAN PERLENGKAPAN PEMUNGUTAN SUARA : PROSES PENGADAAN PERLENGKAPAN PEMUNGUTAN DAN PENGHITUNGAN SUARA,10 September 2015,15 November 2015,109,PENYELENGGARAAN
111,PENGADAAN DAN PENDISTRIBUSIAN PERLENGKAPAN PEMUNGUTAN SUARA : PRODUKSI DAN PENDISTRIBUSIAN PERLENGKAPAN PEMUNGUTAN DAN PENGHITUNGAN SUARA,5 Oktober 2015,8 Desember 2015,109,PENYELENGGARAAN
112,PEMUNGUTAN DAN PENGHITUNGAN ,,,0,PENYELENGGARAAN
113,PEMUNGUTAN DAN PENGHITUNGAN  : PENYAMPAIAN PEMBERITAHUAN KEPADA PEMILIH UNTUK MEMILIH DI TPS,6 Desember 2015,8 Desember 2015,112,PENYELENGGARAAN
114,PEMUNGUTAN DAN PENGHITUNGAN  : PEMUNGUTAN DAN PENGHITUNGAN SUARA DI TPS,9 Desember 2015,9 Desember 2015,112,PENYELENGGARAAN
115,PEMUNGUTAN DAN PENGHITUNGAN  : PEMUNGUTAN HASIL PENGHITUNGAN SUARA DI TPS,9 Desember 2015,15 Desember 2015,112,PENYELENGGARAAN
116,PEMUNGUTAN DAN PENGHITUNGAN  : PENYAMPAIAN HASIL PENGHITUNGAN SUARA DARI KPPS KEPADA PPS,9 Desember 2015,9 Desember 2015,112,PENYELENGGARAAN
117,REKAPITULASI HASIL PENGHITUNGAN SUARA,,,0,PENYELENGGARAAN
118,REKAPITULASI HASIL PENGHITUNGAN SUARA : PENYAMPAIAN HASIL PENGHITUNGAN SUARA  KEPADA PPK,9 Desember 2015,10 Desember 2015,117,PENYELENGGARAAN
119,REKAPITULASI HASIL PENGHITUNGAN SUARA : REKAPITULASI HASIL PENGHITUNGAN SUARA TINGKAT KECAMATAN DAN PENYAMPAIAN HASIL REKAPITULASI KE KPU/KIP KABUPATEN/KOTA,10 Desember 2015,16 Desember 2015,117,PENYELENGGARAAN
120,REKAPITULASI HASIL PENGHITUNGAN SUARA : PENGUMUMAN HASIL REKAPITULASI TINGKAT KECAMATAN,11 Desember 2015,17 Desember 2015,117,PENYELENGGARAAN
121,"REKAPITULASI HASIL PENGHITUNGAN SUARA : REKAPITULASI HASIL PENGHITUNGAN SUARA TINGKAT KABUPATEN/KOTA, PENETAPAN HASIL REKAPITULASI DAN PENYAMPAIAN KE KPU PROVINSI/KIP ACEH",16 Desember 2015,18 Desember 2015,117,PENYELENGGARAAN
122,REKAPITULASI HASIL PENGHITUNGAN SUARA : PENGUMUMAN HASIL REKAPITULASI TINGKAT KABUPATEN/ KOTA,17 Desember 2015,23 Desember 2015,117,PENYELENGGARAAN
123,REKAPITULASI HASIL PENGHITUNGAN SUARA : REKAPITULASI HASIL PENGHITUNGAN SUARA TINGKAT PROVINSI DAN PENETAPANNYA,18 Desember 2015,19 Desember 2015,117,PENYELENGGARAAN
124,REKAPITULASI HASIL PENGHITUNGAN SUARA : PENGUMUMAN HASIL REKAPITULASI TINGKAT PROVINSI,19 Desember 2015,27 Desember 2015,117,PENYELENGGARAAN
125,PENETAPAN PASANGAN CALON TERPILIH TIDAK ADA PERMOHONAN PERSELISIHAN HASIL PEMILIHAN (PHP),,,0,PENYELENGGARAAN
126,PENETAPAN PASANGAN CALON TERPILIH TIDAK ADA PERMOHONAN PERSELISIHAN HASIL PEMILIHAN (PHP) : CALON BUPATI DAN WAKIL BUPATI ATAU CALON WALIKOTA DAN WAKIL WALIKOTA,21 Desember 2015,22 Desember 2015,125,PENYELENGGARAAN
127,PENETAPAN PASANGAN CALON TERPILIH TIDAK ADA PERMOHONAN PERSELISIHAN HASIL PEMILIHAN (PHP) : CALON GUBERNUR DAN WAKIL GUBERNUR TERPILIH,22 Desember 2015,23 Desember 2015,125,PENYELENGGARAAN
128,SENGKETA PERSELISIHAN  HASIL PEMILIHAN (PHP),,,0,PENYELENGGARAAN
129,SENGKETA PERSELISIHAN  HASIL PEMILIHAN (PHP) : PEMILIHAN BUPATI DAN WAKIL BUPATI SERTA WALIKOTA DAN WAKIL WALIKOTA,,,128,PENYELENGGARAAN
130,PEMILIHAN BUPATI DAN WAKIL BUPATI SERTA WALIKOTA DAN WAKIL WALIKOTA : PENGAJUAN PERMOHONAN,18 Desember 2015,21 Desember 2015,129,PENYELENGGARAAN
131,PEMILIHAN BUPATI DAN WAKIL BUPATI SERTA WALIKOTA DAN WAKIL WALIKOTA : PERBAIKAN PERMOHONAN,21 Desember 2015,24 Desember 2015,129,PENYELENGGARAAN
132,PEMILIHAN BUPATI DAN WAKIL BUPATI SERTA WALIKOTA DAN WAKIL WALIKOTA : VERIFIKASI BERKAS PERMOHONAN PEMOHON,24 Desember 2015,27 Desember 2015,129,PENYELENGGARAAN
133,PEMILIHAN BUPATI DAN WAKIL BUPATI SERTA WALIKOTA DAN WAKIL WALIKOTA : PENYELESAIAN SENGKETA DAN PUTUSAN,28 Desember 2015,12 Februari 2016,129,PENYELENGGARAAN
134,SENGKETA PERSELISIHAN  HASIL PEMILIHAN (PHP) : PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR,,,128,PENYELENGGARAAN
135,PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR : PENGAJUAN PERMOHONAN,19 Desember 2015,22 Desember 2015,134,PENYELENGGARAAN
136,PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR : PEBAIKAN PERMOHONAN,22 Desember 2015,25 Desember 2015,134,PENYELENGGARAAN
137,PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR : VERIFIKASI BERKAS PERMOHONAN PEMOHON,25 Desember 2015,28 Desember 2015,134,PENYELENGGARAAN
138,PEMILIHAN GUBERNUR DAN WAKIL GUBERNUR : PENYELESAIAN SENGKETA DAN PUTUSAN,29 Desember 2015,13 Februari 2016,134,PENYELENGGARAAN
139,PENETAPAN PASANGAN TERPILIH PASCA PUTUSAN MAHKAMAH KONSTITUSI,,,0,PENYELENGGARAAN
