id,recapitulation_id,name,value
70,39,DPT,100692
71,40,DPT,75540
72,41,DPT,157308
73,42,DPT,70327
74,43,DPT,61212
75,44,DPT,74882
76,45,DPT,58852
77,46,DPT,81407
78,47,DPT,128515
79,48,DPT,93521
80,49,DPT,36801
81,50,DPT,37277
82,51,DPT,47212
83,52,DPT,40509
84,53,DPT,30362
85,54,DPT,32978
86,55,DPT,39725
87,56,DPT,35561
88,57,DPT,60642
89,58,DPT,71573
90,59,DPT,29507
91,60,DPT,26117
92,61,DPT,31613
93,62,DPT,39452
94,32,TPS LAIN/ TAMBAHAN,186
95,33,TPS LAIN/ TAMBAHAN,525
96,34,TPS LAIN/ TAMBAHAN,624
97,35,TPS LAIN/ TAMBAHAN,1078
98,36,TPS LAIN/ TAMBAHAN,766
99,37,TPS LAIN/ TAMBAHAN,921
100,38,TPS LAIN/ TAMBAHAN,253
101,39,TPS LAIN/ TAMBAHAN,887
102,40,TPS LAIN/ TAMBAHAN,386
103,41,TPS LAIN/ TAMBAHAN,871
104,42,TPS LAIN/ TAMBAHAN,333
105,43,TPS LAIN/ TAMBAHAN,252
106,44,TPS LAIN/ TAMBAHAN,262
107,45,TPS LAIN/ TAMBAHAN,335
108,46,TPS LAIN/ TAMBAHAN,505
109,47,TPS LAIN/ TAMBAHAN,167
110,48,TPS LAIN/ TAMBAHAN,614
111,49,TPS LAIN/ TAMBAHAN,158
112,50,TPS LAIN/ TAMBAHAN,176
113,51,TPS LAIN/ TAMBAHAN,183
114,52,TPS LAIN/ TAMBAHAN,262
115,53,TPS LAIN/ TAMBAHAN,173
116,54,TPS LAIN/ TAMBAHAN,156
117,55,TPS LAIN/ TAMBAHAN,304
118,56,TPS LAIN/ TAMBAHAN,239
119,57,TPS LAIN/ TAMBAHAN,368
120,58,TPS LAIN/ TAMBAHAN,616
121,59,TPS LAIN/ TAMBAHAN,39
122,60,TPS LAIN/ TAMBAHAN,95
123,61,TPS LAIN/ TAMBAHAN,174
124,62,TPS LAIN/ TAMBAHAN,209
125,63,DPT,49665
126,64,DPT,54273
127,65,DPT,69722
128,66,DPT,116551
129,67,DPT,77474
130,68,DPT,145949
131,69,DPT,45137
132,70,DPT,99589
133,71,DPT,75184
134,72,DPT,155090
135,73,DPT,67836
136,74,DPT,60698
137,75,DPT,74575
138,76,DPT,58833
139,77,DPT,82180
140,78,DPT,125781
141,79,DPT,92527
142,80,DPT,36540
143,81,DPT,36594
144,82,DPT,44448
145,83,DPT,43094
146,84,DPT,29569
147,85,DPT,32038
148,86,DPT,38863
149,87,DPT,34802
150,88,DPT,59484
151,89,DPT,69357
152,90,DPT,29239
153,91,DPT,25696
154,92,DPT,31286
155,93,DPT,39528
156,63,DPTb,26
157,64,DPTb,330
158,65,DPTb,231
159,66,DPTb,290
160,67,DPTb,512
161,68,DPTb,134
162,69,DPTb,93
163,70,DPTb,443
164,71,DPTb,302
165,72,DPTb,92
166,73,DPTb,133
167,74,DPTb,120
168,75,DPTb,23
169,76,DPTb,38
170,77,DPTb,43
171,78,DPTb,37
172,79,DPTb,162
173,80,DPTb,55
174,81,DPTb,15
175,82,DPTb,74
176,83,DPTb,166
177,84,DPTb,65
178,85,DPTb,58
179,86,DPTb,107
180,87,DPTb,83
181,88,DPTb,270
182,89,DPTb,165
183,90,DPTb,9
184,91,DPTb,1
185,92,DPTb,179
186,93,DPTb,54
187,63,DPK,0
188,64,DPK,0
189,65,DPK,77
190,66,DPK,40
191,67,DPK,46
192,68,DPK,191
193,69,DPK,13
194,70,DPK,0
195,71,DPK,0
196,72,DPK,493
197,73,DPK,0
198,74,DPK,7
199,75,DPK,0
200,76,DPK,19
201,77,DPK,2
202,78,DPK,0
203,79,DPK,0
204,80,DPK,0
205,81,DPK,35
206,82,DPK,2
207,83,DPK,0
208,84,DPK,64
209,85,DPK,3
210,86,DPK,0
211,87,DPK,27
212,88,DPK,8
213,89,DPK,12
214,90,DPK,0
215,91,DPK,0
216,92,DPK,105
217,93,DPK,0
218,63,DPKTb,515
219,64,DPKTb,992
220,65,DPKTb,1589
221,66,DPKTb,1497
222,67,DPKTb,814
223,68,DPKTb,1573
224,69,DPKTb,583
225,70,DPKTb,1381
226,71,DPKTb,1065
227,72,DPKTb,2731
228,73,DPKTb,822
229,74,DPKTb,535
230,75,DPKTb,783
231,76,DPKTb,1030
232,77,DPKTb,1408
233,78,DPKTb,460
234,79,DPKTb,2199
235,80,DPKTb,448
236,81,DPKTb,826
237,82,DPKTb,651
238,83,DPKTb,572
239,84,DPKTb,494
240,85,DPKTb,544
241,86,DPKTb,526
242,87,DPKTb,823
243,88,DPKTb,1130
244,89,DPKTb,1058
245,90,DPKTb,436
246,91,DPKTb,364
247,92,DPKTb,903
248,93,DPKTb,641
249,94,DPT,49354
250,95,DPT,54666
251,96,DPT,70634
252,97,DPT,117135
253,98,DPT,77709
254,99,DPT,147177
255,100,DPT,45398
256,101,DPT,100470
257,102,DPT,75594
258,103,DPT,156627
259,104,DPT,68397
260,105,DPT,61019
261,106,DPT,75141
262,107,DPT,59513
263,108,DPT,83038
264,109,DPT,126609
265,110,DPT,93911
266,111,DPT,36963
267,112,DPT,37072
268,113,DPT,45087
269,114,DPT,43344
270,115,DPT,29592
271,116,DPT,32032
272,117,DPT,39163
273,118,DPT,35371
274,119,DPT,59850
275,120,DPT,69843
276,121,DPT,29464
277,122,DPT,25856
278,123,DPT,31636
279,124,DPT,39785
280,94,DPTb,174
281,95,DPTb,438
282,96,DPTb,529
283,97,DPTb,632
284,98,DPTb,446
285,99,DPTb,445
286,100,DPTb,378
287,101,DPTb,1427
288,102,DPTb,657
289,103,DPTb,327
290,104,DPTb,107
291,105,DPTb,145
292,106,DPTb,66
293,107,DPTb,106
294,108,DPTb,110
295,109,DPTb,30
296,110,DPTb,257
297,111,DPTb,212
298,112,DPTb,210
299,113,DPTb,301
300,114,DPTb,655
301,115,DPTb,338
302,116,DPTb,128
303,117,DPTb,608
304,118,DPTb,183
305,119,DPTb,760
306,120,DPTb,423
307,121,DPTb,13
308,122,DPTb,62
309,123,DPTb,66
310,124,DPTb,215
311,94,DPK,0
312,95,DPK,0
313,96,DPK,28
314,97,DPK,68
315,98,DPK,0
316,99,DPK,70
317,100,DPK,0
318,101,DPK,0
319,102,DPK,0
320,103,DPK,0
321,104,DPK,0
322,105,DPK,18
323,106,DPK,0
324,107,DPK,0
325,108,DPK,0
326,109,DPK,0
327,110,DPK,0
328,111,DPK,21
329,112,DPK,0
330,113,DPK,0
331,114,DPK,0
332,115,DPK,25
333,116,DPK,24
334,117,DPK,19
335,118,DPK,13
336,119,DPK,8
337,120,DPK,0
338,121,DPK,0
339,122,DPK,0
340,123,DPK,0
341,124,DPK,0
342,94,DPKTb,972
343,95,DPKTb,2478
344,96,DPKTb,3070
345,97,DPKTb,3750
346,98,DPKTb,1842
347,99,DPKTb,2863
348,100,DPKTb,861
349,101,DPKTb,3809
350,102,DPKTb,2482
351,103,DPKTb,5179
352,104,DPKTb,1453
353,105,DPKTb,1243
354,106,DPKTb,1401
355,107,DPKTb,1734
356,108,DPKTb,1947
357,109,DPKTb,929
358,110,DPKTb,3013
359,111,DPKTb,1048
360,112,DPKTb,1227
361,113,DPKTb,1542
362,114,DPKTb,1192
363,115,DPKTb,1192
364,116,DPKTb,1137
365,117,DPKTb,1157
366,118,DPKTb,1684
367,119,DPKTb,2357
368,120,DPKTb,2266
369,121,DPKTb,460
370,122,DPKTb,775
371,123,DPKTb,1532
372,124,DPKTb,1232
