id,location_id,jumlah_pemilih_laki_laki,pengguna_hak_pilih_laki_laki,jumlah_pemilih_perempuan,pengguna_hak_pilih_perempuan,total_pemilih,total_pengguna_hak_pilih,jumlah_pemilih_disabilitas,pengguna_hak_pilih
50,50,139.454,105.067,140.457,111.293,280.861,219.36,1.451,188
51,51,262.318,169.26,280.157,194.68,545.383,369.296,1.927,625
52,52,461.707,305.791,465.159,344.094,926.752,649.686,921,148
53,53,518.618,299.896,525.936,391.357,1.060.713,701.82,2.111,401
54,54,284.267,194.531,300.123,219.131,609.067,431.165,2.479,485
55,55,38.513,30.306,38.107,29.781,76.763,60.54,42,55
56,56,76.307,51.171,73.978,50.024,149.779,101.459,32,29
57,57,33.672,23.654,31.037,21.977,64.709,45.629,4,39
58,58,71.076,48.92,69.31,48.502,144.19,100.435,75,89
59,59,95.903,72.635,98.241,76.845,194.436,150.028,1.777,338
60,60,64.307,46.839,67.302,49.912,131.051,96.95,188,96
61,61,151.848,87.151,146.956,87.168,298.281,174.251,2.229,117
62,62,687.209,396.097,700.309,431.632,1.386.605,828.168,2.391,938
63,63,941.488,446.948,963.608,547.262,1.905.096,994.21,5.32,70
64,64,104.853,65.467,108.067,67.466,222.176,139.845,2.367,12
65,65,0,0,0,0,0,0,,
66,66,86.656,66.853,82.696,66.367,174.108,139.377,1.718,78
67,67,180.63,126.219,180.038,114.411,376.974,253.018,3.085,423
68,68,791.327,506.853,778.75,536.966,1.588.371,1.067.077,2.245,228
69,69,89.562,46.627,85.91,48.672,175.098,95.613,832,46
70,70,132.416,87.366,140.953,94.805,275.441,183.709,203,103
71,71,48.667,36.755,46.032,35.633,94.699,73.68,266,36
72,72,542.825,330.641,537.426,371.451,1.078.711,701.414,3.545,556
73,73,595.053,321.213,592.939,395.792,1.198.695,726.318,4.807,138
74,74,26.946,20.907,22.201,17.024,49.147,37.931,22,13
75,75,377.948,244.977,382.981,267.83,760.381,512.622,2.266,542
76,76,56.901,38.535,54.478,37.523,111.379,76.058,179,17
77,77,15.964,11.08,14.643,10.536,30.613,21.616,282,27
78,78,29.894,22.607,29.123,22.666,59.017,45.928,49,100
79,79,73.15,44.414,68.248,47.218,141.396,92.47,2.594,71
80,80,43.819,34.828,48.567,40.183,92.359,75.011,1.366,214
81,81,32.652,23.427,33.319,24.565,65.971,47.992,1,82
82,82,188.061,106.877,172.87,100.731,372.178,216.656,1.926,71
83,83,468.346,302.494,491.313,344.959,1.005.569,686.118,3.827,918
84,84,42.036,33.113,40.157,31.28,83.549,65.279,154,23
85,85,13.105,10.327,12.99,10.407,26.095,20.794,60,8
86,86,104.595,76.417,102.322,76.237,206.984,152.545,747,0
87,87,20.475,17.707,19.189,16.623,42.035,37.09,94,368
88,88,74.802,52.469,69.358,50.451,144.613,103.293,738,120
89,89,188.043,94.616,165.012,87.421,353.595,184.006,1.156,223
90,90,112.313,79.736,108.573,82.4,222.394,161.75,183,308
91,91,66.597,44.227,57.618,39.647,124.215,84.036,830,79
92,92,274.288,152.337,244.084,151.622,518.577,304.498,4.189,359
93,93,109.102,51.515,86.628,44.817,201.659,101.281,613,50
94,94,147.272,92.599,144.727,95.052,294.561,188.928,614,29
95,95,104.676,77.454,103.534,76.754,210.13,157.542,225,54
96,96,118.564,85.832,115.918,87.617,233.362,172.248,144,97
97,97,529.797,289.772,544.596,357.86,1.080.492,653.424,8.99,171
98,98,372.809,243.389,355.76,250.274,731.291,496.901,551,36
99,99,472.971,292.99,454.219,300.248,961.97,624.795,1.311,20
100,100,404.462,249.876,392.767,253.49,797.229,505.682,1.724,244
101,101,41.105,30.081,40.095,30.076,83.274,63.46,191,83
102,102,128.268,69.539,133.408,91.131,263.522,161.462,509,273
103,103,35.681,27.242,33.871,26.093,69.552,53.335,386,25
104,104,372.98,211.543,391.112,252.438,766.806,469.414,2.111,217
105,105,78.06,62.842,80.812,66.674,159.007,130.274,660,99
106,106,101.761,68.693,97.686,67.819,198.336,137.47,1.017,424
107,107,112.012,83.768,111.451,86.281,223.426,170.775,228,54
108,108,10.603,7.623,8.894,6.767,21.216,15.979,251,6
109,109,53.388,42.585,56.254,48.738,109.541,91.007,245,185
110,110,,,,,,,,
111,111,1.024.260,570.766,1.037.259,632.887,2.061.524,1.203.653,50.877,159
112,112,28.712,18.768,24.498,17.238,53.21,36.006,282,47
113,113,19.718,16.576,19.836,16.929,39.554,33.505,318,188
114,114,10.858,8.883,9.192,7.487,20.05,16.37,,
115,115,83.724,59.742,81.15,58.695,169.422,122.775,1.721,220
116,116,46.89,43.069,43.856,39.879,90.775,83.669,7.033,392
117,117,50.755,40.306,46.411,37.056,98.185,79.177,83,34
118,118,158.404,85.365,168.473,101.162,329.697,189.477,234,127
119,119,90.15,69.759,97.726,76.975,188.23,147.21,1.314,136
120,120,73.599,54.441,78.102,56.68,158.417,116.349,746,53
121,121,67.351,52.238,60.387,46.707,127.738,101.209,13,93
122,122,10.17,10.085,9.295,9.197,19.465,19.282,,
123,123,123.37,72.457,134.058,85.799,258.953,159.28,361,115
124,124,82.622,69.505,78.433,66.137,160.892,136.727,407,58
125,125,84.118,50.713,78.349,50.645,162.467,101.775,198,407
126,126,85.479,60.436,81.883,59.193,169.995,122.199,261,35
127,127,79.078,57.964,78.289,59.36,163.573,122.652,1.418,143
128,128,401.594,259.981,407.618,298.316,808.573,558.159,2.266,51
129,129,40.235,30.781,37.928,28.863,78.212,59.888,98,45
130,130,66.082,45.185,61.584,45.039,128.154,89.177,348,135
131,131,78.697,45.764,87.006,54.916,166.003,100.919,672,77
132,132,148.139,92.492,143.225,92.552,294.963,189.664,1.272,734
133,133,75.371,48.158,74.041,47.905,149.795,98.956,178,5
134,134,95.951,87.321,81.644,73.801,182.595,168.389,254,2
135,135,25.202,20.095,24.385,19.718,52.051,42.448,449,53
136,136,45.64,36.148,49.957,39.968,96.54,77.226,1.395,178
137,137,358.899,254.581,373.678,290.055,732.509,545,1.802,39
138,138,40.959,26.583,45.572,29.209,86.103,55.469,439,11
139,139,27.21,16.675,30.681,19.945,57.896,36.644,917,40
140,140,102.202,61.856,108.837,68.422,211.287,132.601,381,33
141,141,40.24,26.924,43.493,30.978,87.458,61.134,1.328,108
142,142,62.037,38.615,53.584,35.631,125.443,79.883,724,119
143,143,145.928,103.031,148.298,109.995,299.755,218.089,391,79
144,144,132.564,94.535,129.174,93.817,261.269,190.799,741,217
145,145,137.799,101.389,128.837,92.383,266.497,193.635,575,47
146,146,245.671,161.044,239.11,166.57,487.691,330.819,2.386,755
147,147,232.387,133.579,238.414,148.384,470.034,281.936,1.042,42
148,148,133.775,63.96,140.299,85.936,274.561,150.01,999,113
149,149,49.155,38.886,47.972,39.461,97.093,79.015,349,74
150,150,15.906,13.407,16.37,13.501,33.091,27.594,411,61
151,151,490.587,250.151,470.578,295.262,960.675,545.914,1.003,96
152,152,153.516,115.684,157.349,126.646,310.641,242.413,5.904,282
153,153,119.436,82.75,130.06,96.735,251.888,182.076,1.302,155
154,154,93.9,62.89,96.461,70.158,190.361,133.048,1.086,354
155,155,114.838,72.419,115.948,79.269,245.662,160.821,776,65
156,156,93.26,61.541,85.046,58.323,178.181,120.45,354,28
157,157,15.033,15.033,14.244,14.244,29.277,29.277,,
158,158,51.499,49.187,41.398,39.112,91.019,89.128,12,7.492
159,159,367.513,235.083,360.869,275.4,727.934,510.491,1.837,449
160,160,553.317,287.723,542.579,370.94,1.109.928,666.655,3.248,346
161,161,64.232,42.608,66.24,47.005,130.272,89.613,243,123
162,162,170.42,116.942,163.238,116.959,334.288,234.245,500,247
163,163,50.204,37.285,46.291,34.449,104.647,80.407,336,259
164,164,150.237,89.502,155.5,108.372,312.148,203.732,929,79
165,165,370.704,274.261,385.091,284.677,766.809,568.621,2.002,829
166,166,82.132,60.585,79.341,59.499,161.473,120.051,70,324
167,167,17.78,14.018,17.174,13.627,35.691,28.162,5,39
168,168,370.672,188.818,366.637,255.888,737.375,445.031,2.12,358
169,169,311.654,182.396,320.163,208.123,632.017,391.19,1.145,251
170,170,4.813,3.547,4.385,3.49,9.198,7.037,40,13
171,171,103.629,70.287,102.94,71.01,206.237,141.254,723,102
172,172,233.609,157.563,236.848,187.383,484.282,356.973,2.25,122
173,173,26.596,20.844,25.466,19.963,52.152,40.926,592,107
174,174,208.126,109.258,202.942,134.055,410.63,244.001,1.62,96
175,175,45.9,31.44,46.68,32.99,94.84,65.8,990,137
176,176,74.282,56.406,71.061,53.149,145.12,109.653,717,117
177,177,73.506,52.464,70.826,51.255,145.404,104.185,1.405,332
178,178,364.719,242.78,376.888,275.906,740.684,519.061,376,63
179,179,19.741,13.964,18.994,13.273,38.735,27.237,1,97
180,180,565.773,250.548,547.595,313.798,1.112.305,565.005,2.073,73
181,181,234.234,135.744,236.338,146.633,474.218,286.499,2.195,196
182,182,674.83,351.698,695.45,412.243,1.374.749,768.462,5.245,867
183,183,89.96,64.105,86.903,62.229,177.159,126.591,1.008,102
184,184,73.375,40.452,75.279,49.053,147.785,88.522,983,40
185,185,,,,,,,,
186,186,153.895,115.22,146.268,110.083,300.396,229.275,2.363,176
187,187,242.696,174.879,265.761,202.231,508.44,378.871,3.172,424
188,188,374.63,260.343,397.175,294.974,772.518,562.336,4.184,327
189,189,135.128,71.064,138.479,84.382,274.996,156.359,716,254
190,190,55.589,36.51,55.108,38.76,111.623,76.781,284,3
191,191,84.769,63.867,95.754,75.471,180.905,140.654,1.124,133
192,192,18.084,16.294,17.447,15.92,35.457,32.322,63,44
193,193,385.939,257.755,396.998,294.288,782.989,552.088,29.126,323
194,194,894.249,473.402,878.211,570.937,1.772.460,1.044.339,5.904,225
195,195,328.574,207.644,338.477,233.12,670.345,445.485,2.641,306
196,196,39.58,29.263,38.304,28.203,77.956,57.466,329,27
197,197,79.167,61.775,75.548,57.656,154.715,119.431,1.64,250
198,198,162.6,123.216,164.151,123.45,325.703,247.613,926,122
199,199,44.777,35.951,47.248,36.691,91.95,72.661,286,159
200,200,427.237,268.056,478.129,332.292,904.761,602.132,2.422,236
201,201,7.852,5.985,7.416,5.807,15.268,11.792,2,15
202,202,174.336,135.976,180.975,137.201,355.063,274.552,2.197,47
203,203,7.793,6.193,6.625,5.47,14.341,11.667,88,8
204,204,86.917,61.225,84.275,61.104,171.144,122.909,732,154
205,205,118.849,71.401,110.847,69.89,230.36,142.235,423,43
206,206,130.857,66.193,137.744,83.667,268.922,150.249,1.605,465
207,207,109.603,76.442,102.261,71.511,211.732,148.019,620,101
208,208,82.977,62.008,79.593,59.995,165.749,125.619,830,41
209,209,103.913,73.93,108.407,80.001,212.321,154.793,925,307
210,210,679.246,340.85,667.7,469.503,1.346.188,810.317,4.265,668
211,211,28.387,22.074,24.009,18.891,52.413,41.886,48,21
212,212,11.984,9.775,10.228,8.332,22.212,18.311,37,28
213,213,81.934,50.249,84.842,57.021,166.896,107.276,489,660
214,214,63.148,44.951,66.194,48.021,130.925,94.364,613,200
215,215,56.44,42.185,53.221,40.678,110.215,83.049,661,94
216,216,79.75,59.954,76.8,58.126,156.377,117.861,146,91
217,217,87.533,63.189,85.729,64.159,175.766,131.431,896,92
218,218,287.866,184.754,288.033,205.979,575.115,390.41,893,53
219,219,460.308,204.578,473.626,283.466,934.607,488.35,558,48
220,220,38.253,25.208,38.853,30.763,78.604,57.463,479,192
221,221,,,,,,,,
222,222,157.867,108.87,152.952,104.741,333.639,231.71,1.207,113
223,223,405.819,254.974,416.733,293.033,846.469,567.859,5.29,438
224,224,336.361,239.727,328.497,244.484,663.961,484.13,911,431
225,225,,,,,,,,
226,226,,,,,,,,
227,227,1.407.221,908.31,1.397.645,948.292,2.840.520,1.906.249,17.333,2.049
228,228,,,,,,,,
229,229,224.862,135.706,198.379,128.973,437.663,275.781,2.858,408
230,230,611.699,335.516,589.106,338.347,1.213.797,683.864,4.655,924
231,231,229.298,129.468,221.713,141.801,456.542,274.464,638,599
232,232,316.365,195.592,314.832,215.772,632.079,418.916,1.893,146
233,233,64.347,39.723,65.167,44.054,141.434,93.49,363,309
234,234,218.709,132.574,221.898,142.949,441.833,289.991,2.784,150
235,235,318.843,155.392,306.364,154.076,638.797,319.097,1.194,12
236,236,86.755,54.72,92.052,63.35,189.607,126.367,768,89
237,237,78.223,49.44,77.177,53.031,165.639,110.153,1.186,123
238,238,53.125,35.888,56.078,41.501,109.203,77.389,1.243,122
239,239,65.83,40.58,58.237,40.416,124.105,80.895,801,73
240,240,36.202,19.929,37.483,23.817,73.883,44.231,166,34
241,241,150.815,89.172,147.177,97.874,297.712,187.641,1.069,275
242,242,196.492,113.466,198.767,112.238,409.946,236.304,662,63
243,243,605.352,321.633,611.89,363.662,1.225.163,696.358,3.062,1.316
244,244,85.943,56.885,82.931,58.375,175.143,119.329,345,89
245,245,41.911,26.026,45.923,29.46,87.361,55.919,965,39
246,246,42.958,31.445,47.073,36.349,90.009,67.804,531,88
247,247,,,,,,,,
248,248,143.208,77.551,152.69,86.792,297.024,165.548,1.24,79
249,249,937.651,233.887,963.528,271.204,1.961.471,527.206,1.781,374
250,250,52.476,38.859,53.212,40.574,112.372,86.744,494,461
251,251,112.845,69.033,116.011,74.78,239.307,152.662,625,392
252,252,70.966,55.3,73.929,60.248,144.895,115.349,204,134
253,253,108.784,76.18,108.528,84.403,221.55,164.494,1.254,174
254,254,,,,,,,,
255,255,292.88,137.397,271.922,144.806,574.135,289.187,1.825,385
256,256,513.631,321.433,545.243,375.657,1.099.504,730.69,1.539,699
257,257,30.276,20.311,30.932,23.475,63.553,45.724,342,55
258,258,22.777,14.977,23.346,17.329,46.024,32.459,518,86
259,259,32.87,23.914,34.305,27.092,68.19,52.064,281,38
260,260,965.328,470.884,1.010.890,552.153,2.014.476,1.050.984,4.417,787
261,261,185.397,130.303,196.148,148.784,398.126,293.341,3.308,415
262,262,458.457,255.614,462.991,276.09,920.115,533.444,354,320
263,263,58.23,34.466,57.934,40.323,117.189,75.322,527,68
264,264,71.698,40.043,73.711,44.614,150.642,88.772,154,85
265,265,36.259,29.342,36.318,30.292,73.672,59.962,69,60
266,266,34.747,29.86,34.24,30.239,71.947,63.568,731,533
267,267,993.287,690.624,962.486,684.684,1.973.044,1.391.675,6.871,986
268,268,964.34,610.797,942.762,624.152,1.949.629,1.274.037,10.85,2.911
269,269,1.719.426,930.466,1.766.589,1.131.574,3.517.022,2.085.519,14.363,2.338
