id,location_id,suara_sah,suara_tidak_sah,total_suara,jumlah_suara_tertulis,selisih
24,24," 62,359.00 "," 1,762.00 "," 64,121.00 "," 64,191.00 ", 70.00 
25,25," 86,666.00 "," 1,167.00 "," 87,833.00 "," 87,833.00 ", -   
26,26," 216,039.00 "," 6,621.00 "," 222,660.00 "," 222,442.00 ", (218.00)
27,27," 109,327.00 "," 3,234.00 "," 112,561.00 "," 112,180.00 ", (381.00)
28,28," 81,677.00 "," 4,470.00 "," 86,147.00 "," 85,839.00 ", (308.00)
29,29," 144,549.00 "," 9,467.00 "," 154,016.00 "," 153,350.00 ", (666.00)
30,30," 93,238.00 "," 1,709.00 "," 94,947.00 "," 95,049.00 ", 102.00 
31,31," 262,549.00 "," 2,045.00 "," 264,594.00 "," 264,103.00 ", (491.00)
32,32," 70,685.00 "," 2,137.00 "," 72,822.00 "," 72,822.00 ", -   
33,33," 502,382.00 "," 41,528.00 "," 543,910.00 "," 543,770.00 ", (140.00)
34,34," 492,730.00 "," 10,823.00 "," 503,553.00 "," 502,823.00 ", (730.00)
35,35," 38,704.00 ", 560.00 ," 39,264.00 "," 39,270.00 ", 6.00 
36,36," 45,886.00 ", 862.00 ," 46,748.00 "," 46,743.00 ", (5.00)
37,37," 94,798.00 ", 981.00 ," 95,779.00 "," 95,728.00 ", (51.00)
38,38,,, -   ,, -   
39,39," 591,345.00 "," 13,752.00 "," 605,097.00 "," 605,210.00 ", 113.00 
40,40," 213,862.00 "," 2,886.00 "," 216,748.00 "," 216,671.00 ", (77.00)
41,41," 59,030.00 "," 1,858.00 "," 60,888.00 "," 60,864.00 ", (24.00)
42,42," 163,231.00 "," 6,404.00 "," 169,635.00 "," 168,986.00 ", (649.00)
43,43," 31,561.00 ", 429.00 ," 31,990.00 "," 31,990.00 ", -   
44,44," 37,797.00 ", 258.00 ," 38,055.00 "," 38,055.00 ", -   
45,45," 946,754.00 "," 50,054.00 "," 996,808.00 "," 996,807.00 ", (1.00)
46,46," 569,128.00 "," 14,033.00 "," 583,161.00 "," 582,021.00 "," (1,140.00)"
47,47," 97,212.00 "," 2,575.00 "," 99,787.00 "," 98,659.00 "," (1,128.00)"
48,48," 135,266.00 ", 899.00 ," 136,165.00 "," 135,502.00 ", (663.00)
49,49,,, -   ,, -   
50,50," 217,478.00 "," 1,395.00 "," 218,873.00 "," 218,875.00 ", 2.00 
51,51," 363,071.00 "," 2,943.00 "," 366,014.00 "," 365,687.00 ", (327.00)
52,52," 633,557.00 "," 16,545.00 "," 650,102.00 "," 650,374.00 ", 272.00 
53,53," 692,189.00 "," 11,054.00 "," 703,243.00 "," 701,771.00 "," (1,472.00)"
54,54," 421,002.00 "," 9,488.00 "," 430,490.00 "," 430,083.00 ", (407.00)
55,55," 60,220.00 ", 396.00 ," 60,616.00 "," 60,617.00 ", 1.00 
56,56,,, -   ,, -   
57,57," 45,001.00 ", 600.00 ," 45,601.00 "," 45,601.00 ", -   
58,58,,, -   ,, -   
59,59," 139,421.00 "," 10,992.00 "," 150,413.00 "," 149,992.00 ", (421.00)
60,60," 96,041.00 ", 548.00 ," 96,589.00 "," 96,789.00 ", 200.00 
61,61," 170,415.00 "," 3,138.00 "," 173,553.00 "," 173,238.00 ", (315.00)
62,62," 805,441.00 "," 14,388.00 "," 819,829.00 "," 819,865.00 ", 36.00 
63,63," 977,604.00 "," 17,039.00 "," 994,643.00 "," 994,643.00 ", -   
64,64," 137,855.00 "," 2,508.00 "," 140,363.00 "," 139,383.00 ", (980.00)
65,65,,, -   ,, -   
66,66," 136,076.00 "," 2,844.00 "," 138,920.00 "," 138,377.00 ", (543.00)
67,67," 246,729.00 "," 4,586.00 "," 251,315.00 "," 251,320.00 ", 5.00 
68,68," 1,043,225.00 "," 23,226.00 "," 1,066,451.00 "," 1,065,763.00 ", (688.00)
69,69," 89,452.00 "," 4,410.00 "," 93,862.00 "," 93,876.00 ", 14.00 
70,70," 181,285.00 "," 2,545.00 "," 183,830.00 "," 183,823.00 ", (7.00)
71,71," 69,745.00 "," 3,194.00 "," 72,939.00 "," 72,939.00 ", -   
72,72," 683,191.00 "," 16,012.00 "," 699,203.00 "," 698,963.00 ", (240.00)
73,73," 697,526.00 "," 27,042.00 "," 724,568.00 "," 724,061.00 ", (507.00)
74,74,,, -   ,, -   
75,75," 465,591.00 "," 47,214.00 "," 512,805.00 "," 511,883.00 ", (922.00)
76,76," 70,812.00 "," 5,246.00 "," 76,058.00 "," 76,058.00 ", -   
77,77," 20,891.00 ", 725.00 ," 21,616.00 "," 21,616.00 ", -   
78,78," 45,731.00 ", 438.00 ," 46,169.00 "," 46,169.00 ", -   
79,79," 90,182.00 "," 1,614.00 "," 91,796.00 "," 91,807.00 ", 11.00 
80,80," 74,616.00 ", 395.00 ," 75,011.00 "," 75,011.00 ", -   
81,81," 47,683.00 ", 309.00 ," 47,992.00 "," 47,992.00 ", -   
82,82," 207,466.00 "," 6,437.00 "," 213,903.00 "," 214,167.00 ", 264.00 
83,83," 652,777.00 "," 32,310.00 "," 685,087.00 "," 683,862.00 "," (1,225.00)"
84,84," 65,470.00 ", 397.00 ," 65,867.00 "," 65,401.00 ", (466.00)
85,85," 20,663.00 ", 115.00 ," 20,778.00 "," 20,778.00 ", -   
86,86," 150,213.00 "," 1,981.00 "," 152,194.00 "," 152,205.00 ", 11.00 
87,87," 37,339.00 ", 275.00 ," 37,614.00 "," 37,241.00 ", (373.00)
88,88,,, -   ,, -   
89,89," 175,643.00 "," 6,956.00 "," 182,599.00 "," 182,746.00 ", 147.00 
90,90," 159,314.00 "," 1,876.00 "," 161,190.00 "," 160,866.00 ", (324.00)
91,91," 83,010.00 "," 1,001.00 "," 84,011.00 "," 83,725.00 ", (286.00)
92,92," 294,431.00 "," 9,413.00 "," 303,844.00 "," 303,844.00 ", -   
93,93,,, -   ,, -   
94,94," 185,384.00 "," 3,493.00 "," 188,877.00 "," 188,800.00 ", (77.00)
95,95," 155,555.00 "," 1,736.00 "," 157,291.00 "," 156,475.00 ", (816.00)
96,96," 169,881.00 "," 2,232.00 "," 172,113.00 "," 172,113.00 ", -   
97,97," 629,540.00 "," 22,487.00 "," 652,027.00 "," 651,876.00 ", (151.00)
98,98," 486,808.00 "," 8,153.00 "," 494,961.00 "," 494,752.00 ", (209.00)
99,99," 616,766.00 "," 10,903.00 "," 627,669.00 "," 625,986.00 "," (1,683.00)"
100,100," 495,845.00 "," 8,820.00 "," 504,665.00 "," 504,665.00 ", -   
101,101," 60,794.00 "," 2,250.00 "," 63,044.00 "," 63,066.00 ", 22.00 
102,102," 155,314.00 "," 6,202.00 "," 161,516.00 "," 161,424.00 ", (92.00)
103,103," 51,319.00 "," 2,016.00 "," 53,335.00 "," 53,335.00 ", -   
104,104," 458,421.00 "," 8,411.00 "," 466,832.00 "," 467,065.00 ", 233.00 
105,105," 127,680.00 "," 1,809.00 "," 129,489.00 "," 129,303.00 ", (186.00)
106,106," 135,945.00 "," 1,228.00 "," 137,173.00 "," 136,799.00 ", (374.00)
107,107," 169,464.00 "," 1,066.00 "," 170,530.00 "," 170,690.00 ", 160.00 
108,108," 16,097.00 ", 143.00 ," 16,240.00 "," 16,091.00 ", (149.00)
109,109," 90,410.00 ", 593.00 ," 91,003.00 "," 91,002.00 ", (1.00)
110,110," 85,130.00 "," 1,082.00 "," 86,212.00 "," 86,185.00 ", (27.00)
111,111," 1,173,177.00 "," 30,476.00 "," 1,203,653.00 "," 1,203,653.00 ", -   
112,112," 35,364.00 ", 642.00 ," 36,006.00 "," 36,006.00 ", -   
113,113,,, -   ,, -   
114,114,,, -   ,, -   
115,115," 121,134.00 "," 2,535.00 "," 123,669.00 "," 122,417.00 "," (1,252.00)"
116,116," 83,222.00 ", 476.00 ," 83,698.00 "," 83,665.00 ", (33.00)
117,117," 78,590.00 ", 406.00 ," 78,996.00 "," 78,994.00 ", (2.00)
118,118," 181,498.00 "," 6,615.00 "," 188,113.00 "," 187,547.00 ", (566.00)
119,119," 145,489.00 "," 1,606.00 "," 147,095.00 "," 147,096.00 ", 1.00 
120,120," 115,146.00 ", 952.00 ," 116,098.00 "," 116,103.00 ", 5.00 
121,121,,, -   ,, -   
122,122,,, -   ,, -   
123,123," 157,952.00 "," 1,323.00 "," 159,275.00 "," 159,219.00 ", (56.00)
124,124," 132,439.00 "," 2,986.00 "," 135,425.00 "," 134,512.00 ", (913.00)
125,125," 100,234.00 "," 1,627.00 "," 101,861.00 "," 101,861.00 ", -   
126,126," 119,662.00 "," 3,010.00 "," 122,672.00 "," 122,579.00 ", (93.00)
127,127," 117,875.00 "," 4,355.00 "," 122,230.00 "," 120,337.00 "," (1,893.00)"
128,128," 507,593.00 "," 46,686.00 "," 554,279.00 "," 554,386.00 ", 107.00 
129,129," 58,351.00 "," 1,537.00 "," 59,888.00 "," 59,888.00 ", -   
130,130," 85,619.00 "," 3,457.00 "," 89,076.00 "," 89,100.00 ", 24.00 
131,131," 100,309.00 ", 876.00 ," 101,185.00 "," 101,192.00 ", 7.00 
132,132," 184,442.00 "," 6,320.00 "," 190,762.00 "," 189,148.00 "," (1,614.00)"
133,133," 96,835.00 "," 3,342.00 "," 100,177.00 "," 98,209.00 "," (1,968.00)"
134,134," 170,321.00 "," 2,540.00 "," 172,861.00 "," 171,944.00 ", (917.00)
135,135," 41,440.00 ", 994.00 ," 42,434.00 "," 42,441.00 ", 7.00 
136,136," 76,460.00 ", 454.00 ," 76,914.00 "," 76,733.00 ", (181.00)
137,137," 517,999.00 "," 27,282.00 "," 545,281.00 "," 545,281.00 ", -   
138,138," 53,847.00 "," 1,056.00 "," 54,903.00 "," 54,903.00 ", -   
139,139," 36,005.00 ", 626.00 ," 36,631.00 "," 36,175.00 ", (456.00)
140,140," 128,734.00 "," 3,468.00 "," 132,202.00 "," 132,557.00 ", 355.00 
141,141," 59,802.00 ", 932.00 ," 60,734.00 "," 60,734.00 ", -   
142,142," 78,012.00 "," 1,595.00 "," 79,607.00 "," 79,215.00 ", (392.00)
143,143," 215,965.00 "," 3,443.00 "," 219,408.00 "," 218,639.00 ", (769.00)
144,144," 187,617.00 "," 3,502.00 "," 191,119.00 "," 191,119.00 ", -   
145,145," 190,205.00 "," 3,679.00 "," 193,884.00 "," 193,649.00 ", (235.00)
146,146," 307,753.00 "," 22,322.00 "," 330,075.00 "," 330,004.00 ", (71.00)
147,147," 274,143.00 "," 6,423.00 "," 280,566.00 "," 280,249.00 ", (317.00)
148,148," 143,993.00 "," 5,278.00 "," 149,271.00 "," 148,578.00 ", (693.00)
149,149," 77,621.00 ", 554.00 ," 78,175.00 "," 77,921.00 ", (254.00)
150,150," 27,296.00 ", 198.00 ," 27,494.00 "," 27,494.00 ", -   
151,151," 528,780.00 "," 16,813.00 "," 545,593.00 "," 545,914.00 ", 321.00 
152,152," 239,482.00 "," 3,174.00 "," 242,656.00 "," 242,249.00 ", (407.00)
153,153," 180,941.00 "," 1,025.00 "," 181,966.00 "," 181,465.00 ", (501.00)
154,154," 129,963.00 "," 3,085.00 "," 133,048.00 "," 133,048.00 ", -   
155,155," 155,829.00 "," 3,793.00 "," 159,622.00 "," 159,642.00 ", 20.00 
156,156," 117,809.00 "," 2,282.00 "," 120,091.00 "," 120,087.00 ", (4.00)
157,157,,, -   ,, -   
158,158,,, -   ,, -   
159,159," 498,074.00 "," 11,644.00 "," 509,718.00 "," 509,749.00 ", 31.00 
160,160," 647,492.00 "," 16,655.00 "," 664,147.00 "," 663,854.00 ", (293.00)
161,161," 88,314.00 "," 1,087.00 "," 89,401.00 "," 89,405.00 ", 4.00 
162,162," 229,682.00 "," 3,727.00 "," 233,409.00 "," 233,543.00 ", 134.00 
163,163," 79,551.00 ", 934.00 ," 80,485.00 "," 80,255.00 ", (230.00)
164,164," 195,222.00 "," 7,909.00 "," 203,131.00 "," 202,733.00 ", (398.00)
165,165," 557,674.00 "," 9,828.00 "," 567,502.00 "," 567,729.00 ", 227.00 
166,166," 117,806.00 "," 2,063.00 "," 119,869.00 "," 119,868.00 ", (1.00)
167,167,,, -   ,, -   
168,168," 415,871.00 "," 25,430.00 "," 441,301.00 "," 440,855.00 ", (446.00)
169,169," 369,440.00 "," 21,538.00 "," 390,978.00 "," 390,743.00 ", (235.00)
170,170,,, -   ,, -   
171,171," 133,328.00 "," 6,992.00 "," 140,320.00 "," 140,284.00 ", (36.00)
172,172," 345,723.00 "," 8,462.00 "," 354,185.00 "," 353,485.00 ", (700.00)
173,173," 40,230.00 ", 315.00 ," 40,545.00 "," 40,549.00 ", 4.00 
174,174," 239,672.00 "," 3,967.00 "," 243,639.00 "," 243,639.00 ", -   
175,175," 65,130.00 ", 406.00 ," 65,536.00 "," 65,540.00 ", 4.00 
176,176," 107,381.00 "," 1,943.00 "," 109,324.00 "," 109,125.00 ", (199.00)
177,177," 96,649.00 "," 7,208.00 "," 103,857.00 "," 103,403.00 ", (454.00)
178,178," 484,615.00 "," 32,903.00 "," 517,518.00 "," 517,690.00 ", 172.00 
179,179,,, -   ,, -   
180,180," 527,219.00 "," 34,200.00 "," 561,419.00 "," 560,927.00 ", (492.00)
181,181," 277,745.00 "," 6,347.00 "," 284,092.00 "," 284,089.00 ", (3.00)
182,182," 716,791.00 "," 49,049.00 "," 765,840.00 "," 764,824.00 "," (1,016.00)"
183,183," 123,261.00 "," 3,085.00 "," 126,346.00 "," 126,470.00 ", 124.00 
184,184," 85,463.00 "," 2,363.00 "," 87,826.00 "," 87,937.00 ", 111.00 
185,185,,, -   ,, -   
186,186," 224,909.00 "," 4,765.00 "," 229,674.00 "," 229,688.00 ", 14.00 
187,187," 372,306.00 "," 6,451.00 "," 378,757.00 "," 378,819.00 ", 62.00 
188,188," 516,408.00 "," 37,589.00 "," 553,997.00 "," 554,019.00 ", 22.00 
189,189," 149,427.00 "," 6,018.00 "," 155,445.00 "," 155,448.00 ", 3.00 
190,190," 74,526.00 "," 1,778.00 "," 76,304.00 "," 76,358.00 ", 54.00 
191,191," 139,514.00 ", 585.00 ," 140,099.00 "," 139,862.00 ", (237.00)
192,192," 31,833.00 ", 498.00 ," 32,331.00 "," 32,228.00 ", (103.00)
193,193," 543,211.00 "," 8,089.00 "," 551,300.00 "," 551,310.00 ", 10.00 
194,194," 992,778.00 "," 51,561.00 "," 1,044,339.00 "," 1,044,339.00 ", -   
195,195," 416,656.00 "," 27,763.00 "," 444,419.00 "," 444,226.00 ", (193.00)
196,196," 57,003.00 ", 451.00 ," 57,454.00 "," 57,464.00 ", 10.00 
197,197," 118,724.00 ", 707.00 ," 119,431.00 "," 119,431.00 ", -   
198,198," 245,441.00 "," 2,576.00 "," 248,017.00 "," 247,727.00 ", (290.00)
199,199," 72,003.00 ", 653.00 ," 72,656.00 "," 72,652.00 ", (4.00)
200,200," 593,153.00 "," 8,027.00 "," 601,180.00 "," 601,133.00 ", (47.00)
201,201," 11,690.00 ", 102.00 ," 11,792.00 "," 11,792.00 ", -   
202,202," 263,008.00 "," 9,679.00 "," 272,687.00 "," 272,469.00 ", (218.00)
203,203," 11,514.00 ", 153.00 ," 11,667.00 "," 11,667.00 ", -   
204,204," 122,269.00 ", 729.00 ," 122,998.00 "," 122,910.00 ", (88.00)
205,205,,, -   ,, -   
206,206," 142,772.00 "," 6,029.00 "," 148,801.00 "," 148,870.00 ", 69.00 
207,207," 142,502.00 "," 5,442.00 "," 147,944.00 "," 147,942.00 ", (2.00)
208,208," 120,005.00 "," 5,104.00 "," 125,109.00 "," 125,030.00 ", (79.00)
209,209," 150,386.00 "," 2,365.00 "," 152,751.00 "," 152,831.00 ", 80.00 
210,210," 743,279.00 "," 67,167.00 "," 810,446.00 "," 809,970.00 ", (476.00)
211,211,,, -   ,, -   
212,212," 18,018.00 ", 386.00 ," 18,404.00 "," 18,114.00 ", (290.00)
213,213," 94,002.00 "," 13,281.00 "," 107,283.00 "," 107,283.00 ", -   
214,214," 93,127.00 ", 736.00 ," 93,863.00 "," 93,875.00 ", 12.00 
215,215," 81,381.00 "," 1,530.00 "," 82,911.00 "," 82,687.00 ", (224.00)
216,216," 114,651.00 "," 2,350.00 "," 117,001.00 "," 117,262.00 ", 261.00 
217,217," 130,397.00 ", 661.00 ," 131,058.00 "," 130,762.00 ", (296.00)
218,218," 382,029.00 "," 7,983.00 "," 390,012.00 "," 389,719.00 ", (293.00)
219,219," 456,805.00 "," 30,151.00 "," 486,956.00 "," 486,739.00 ", (217.00)
220,220," 56,721.00 ", 365.00 ," 57,086.00 "," 56,866.00 ", (220.00)
221,221,,, -   ,, -   
222,222," 227,450.00 "," 3,179.00 "," 230,629.00 "," 230,354.00 ", (275.00)
223,223," 555,589.00 "," 12,485.00 "," 568,074.00 "," 568,276.00 ", 202.00 
224,224," 461,640.00 "," 22,878.00 "," 484,518.00 "," 483,750.00 ", (768.00)
225,225,,, -   ,, -   
226,226,,, -   ,, -   
227,227,,, -   ,, -   
228,228,,, -   ,, -   
229,229," 269,066.00 "," 6,786.00 "," 275,852.00 "," 275,638.00 ", (214.00)
230,230," 649,955.00 "," 29,470.00 "," 679,425.00 "," 678,430.00 ", (995.00)
231,231," 259,557.00 "," 13,067.00 "," 272,624.00 "," 272,353.00 ", (271.00)
232,232," 412,096.00 "," 6,676.00 "," 418,772.00 "," 418,684.00 ", (88.00)
233,233,,, -   ,, -   
234,234," 266,238.00 "," 23,769.00 "," 290,007.00 "," 289,991.00 ", (16.00)
235,235," 308,108.00 "," 11,214.00 "," 319,322.00 "," 319,057.00 ", (265.00)
236,236," 124,462.00 "," 2,567.00 "," 127,029.00 "," 127,025.00 ", (4.00)
237,237," 107,423.00 "," 1,850.00 "," 109,273.00 "," 108,795.00 ", (478.00)
238,238," 73,617.00 "," 3,772.00 "," 77,389.00 "," 77,389.00 ", -   
239,239," 79,320.00 "," 1,454.00 "," 80,774.00 "," 80,336.00 ", (438.00)
240,240," 42,597.00 "," 1,127.00 "," 43,724.00 "," 43,846.00 ", 122.00 
241,241," 175,034.00 "," 12,849.00 "," 187,883.00 "," 187,641.00 ", (242.00)
242,242," 232,128.00 "," 4,908.00 "," 237,036.00 "," 236,701.00 ", (335.00)
243,243," 662,891.00 "," 29,019.00 "," 691,910.00 "," 691,930.00 ", 20.00 
244,244," 116,577.00 "," 2,618.00 "," 119,195.00 "," 119,015.00 ", (180.00)
245,245," 53,196.00 "," 2,346.00 "," 55,542.00 "," 55,788.00 ", 246.00 
246,246," 63,293.00 "," 4,534.00 "," 67,827.00 "," 67,538.00 ", (289.00)
247,247,,, -   ,, -   
248,248," 158,913.00 "," 5,250.00 "," 164,163.00 "," 164,141.00 ", (22.00)
249,249," 481,874.00 "," 25,200.00 "," 507,074.00 "," 506,070.00 "," (1,004.00)"
250,250," 84,471.00 "," 1,777.00 "," 86,248.00 "," 85,846.00 ", (402.00)
251,251," 147,934.00 "," 3,184.00 "," 151,118.00 "," 150,676.00 ", (442.00)
252,252," 113,106.00 "," 2,404.00 "," 115,510.00 "," 115,440.00 ", (70.00)
253,253," 158,198.00 "," 6,395.00 "," 164,593.00 "," 164,489.00 ", (104.00)
254,254,,, -   ,, -   
255,255," 273,689.00 "," 12,275.00 "," 285,964.00 "," 285,619.00 ", (345.00)
256,256," 688,781.00 "," 41,426.00 "," 730,207.00 "," 728,850.00 "," (1,357.00)"
257,257," 44,682.00 ", 416.00 ," 45,098.00 "," 45,365.00 ", 267.00 
258,258," 31,769.00 ", 701.00 ," 32,470.00 "," 32,470.00 ", -   
259,259," 50,555.00 "," 1,617.00 "," 52,172.00 "," 51,567.00 ", (605.00)
260,260," 1,026,633.00 "," 18,747.00 "," 1,045,380.00 "," 1,043,806.00 "," (1,574.00)"
261,261," 280,155.00 "," 12,879.00 "," 293,034.00 "," 292,751.00 ", (283.00)
262,262," 505,599.00 "," 17,708.00 "," 523,307.00 "," 523,467.00 ", 160.00 
263,263," 74,086.00 "," 1,163.00 "," 75,249.00 "," 75,338.00 ", 89.00 
264,264," 86,682.00 "," 1,268.00 "," 87,950.00 "," 87,790.00 ", (160.00)
265,265," 59,224.00 ", 448.00 ," 59,672.00 "," 59,664.00 ", (8.00)
266,266," 62,969.00 ", 855.00 ," 63,824.00 "," 63,097.00 ", (727.00)
267,267,,, -   ,, -   
268,268," 1,250,574.00 "," 17,608.00 "," 1,264,472.00 "," 1,264,472.00 ", -   
269,269," 2,000,527.00 "," 73,283.00 "," 2,073,810.00 "," 2,071,756.00 "," (2,054.00)"
