lembaga,id_dapil,nama_dapil,id_partai,nama_partai,suara_calon_terpilih,peringkat_suara_calon_terpilih,suara_calon_semua,peringkat_suara_calon_semua,suara_partai,peringkat_suara_partai,jumlah_suara,peringkat_jumlah_suara
DPR,7301-00-0000,Sulsel I,6,Partai Gerakan Indonesia Raya,57352,5,152868,3,31991,2,184859,3
DPR,7301-00-0000,Sulsel I,8,Partai Amanat Nasional,104293,1,150356,4,13609,9,163965,4
DPR,7301-00-0000,Sulsel I,3,Partai Keadilan Sejahtera,63577,4,132567,5,14548,7,147115,5
DPR,7301-00-0000,Sulsel I,9,Partai Persatuan Pembangunan,67925,3,109288,6,13803,8,123091,6
DPR,7301-00-0000,Sulsel I,10,Partai Hati Nurani Rakyat,39514,8,98168,7,15358,6,113526,7
DPR,7301-00-0000,Sulsel I,4,Partai Demokrasi Indonesia Perjuangan,41356,7,81552,9,21589,3,103141,8
DPR,7301-00-0000,Sulsel I,1,Partai NasDem,0,11,82112,8,17023,5,99135,9
DPR,7301-00-0000,Sulsel I,15,Partai Keadilan dan Persatuan Indonesia,0,9,48544,10,4472,11,53016,10
DPR,7301-00-0000,Sulsel I,2,Partai Kebangkitan Bangsa,0,12,34825,11,11619,10,46444,11
DPR,7301-00-0000,Sulsel I,14,Partai Bulan Bintang,0,10,11151,12,4213,12,15364,12
DPR,6201-00-0000,Kalteng,4,Partai Demokrasi Indonesia Perjuangan,211735,1,272838,1,77863,1,350701,1
DPR,6201-00-0000,Kalteng,5,Partai Golongan Karya,32297,2,95806,2,45289,3,141095,2
DPR,6201-00-0000,Kalteng,6,Partai Gerakan Indonesia Raya,30358,3,74549,3,45470,2,120019,3
DPR,6201-00-0000,Kalteng,1,Partai NasDem,29633,4,62531,5,23429,6,85960,4
DPR,6201-00-0000,Kalteng,8,Partai Amanat Nasional,22561,5,65259,4,19000,8,84259,5
DPR,6201-00-0000,Kalteng,9,Partai Persatuan Pembangunan,0,12,59402,6,20354,7,79756,6
DPR,6201-00-0000,Kalteng,7,Partai Demokrat,0,11,48954,7,26513,5,75467,7
DPR,6201-00-0000,Kalteng,2,Partai Kebangkitan Bangsa,0,10,39570,8,28183,4,67753,8
DPR,6201-00-0000,Kalteng,10,Partai Hati Nurani Rakyat,0,6,32279,10,18662,9,50941,9
DPR,6201-00-0000,Kalteng,3,Partai Keadilan Sejahtera,0,9,34974,9,14548,10,49522,10
DPR,6201-00-0000,Kalteng,15,Partai Keadilan dan Persatuan Indonesia,0,7,13490,11,5150,12,18640,11
DPR,6201-00-0000,Kalteng,14,Partai Bulan Bintang,0,8,8726,12,6705,11,15431,12
DPR,5302-00-0000,NTT II,5,Partai Golongan Karya,139702,1,209440,1,23911,2,233351,1
DPR,5302-00-0000,NTT II,4,Partai Demokrasi Indonesia Perjuangan,109406,2,196539,2,25423,1,221962,2
DPR,5302-00-0000,NTT II,7,Partai Demokrat,105924,3,182867,3,17828,4,200695,3
DPR,5302-00-0000,NTT II,1,Partai NasDem,77555,4,169626,4,16523,5,186149,4
DPR,5302-00-0000,NTT II,6,Partai Gerakan Indonesia Raya,48351,6,100456,5,18563,3,119019,5
DPR,5302-00-0000,NTT II,10,Partai Hati Nurani Rakyat,51780,5,89836,6,12268,7,102104,6
DPR,5302-00-0000,NTT II,8,Partai Amanat Nasional,0,12,50437,7,8170,8,58607,7
DPR,5302-00-0000,NTT II,2,Partai Kebangkitan Bangsa,0,10,40771,8,12471,6,53242,8
DPR,5302-00-0000,NTT II,15,Partai Keadilan dan Persatuan Indonesia,0,7,28438,9,4457,10,32895,9
DPR,5302-00-0000,NTT II,14,Partai Bulan Bintang,0,8,18251,10,3517,11,21768,10
DPR,5302-00-0000,NTT II,3,Partai Keadilan Sejahtera,0,9,10619,11,7619,9,18238,11
DPR,5302-00-0000,NTT II,9,Partai Persatuan Pembangunan,0,11,5275,12,3425,12,8700,12
DPR,3401-00-0000,DIY,4,Partai Demokrasi Indonesia Perjuangan,220236,1,393052,1,177479,1,570531,1
DPR,3401-00-0000,DIY,8,Partai Amanat Nasional,197915,2,298615,2,57172,3,355787,2
DPR,3401-00-0000,DIY,6,Partai Gerakan Indonesia Raya,72290,3,165801,3,78343,2,244144,3
DPR,3401-00-0000,DIY,5,Partai Golongan Karya,61655,4,147234,4,53240,4,200474,4
DPR,3401-00-0000,DIY,3,Partai Keadilan Sejahtera,49771,6,98444,6,49431,6,147875,5
DPR,3401-00-0000,DIY,7,Partai Demokrat,38152,7,109969,5,36719,7,146688,6
DPR,3401-00-0000,DIY,2,Partai Kebangkitan Bangsa,51045,5,76730,7,53213,5,129943,7
DPR,3401-00-0000,DIY,1,Partai NasDem,0,11,74668,8,32765,8,107433,8
DPR,3401-00-0000,DIY,9,Partai Persatuan Pembangunan,0,12,66883,9,27552,9,94435,9
DPR,3401-00-0000,DIY,10,Partai Hati Nurani Rakyat,0,8,25429,10,17353,10,42782,10
DPR,3401-00-0000,DIY,14,Partai Bulan Bintang,0,10,7139,11,7023,11,14162,11
DPR,3401-00-0000,DIY,15,Partai Keadilan dan Persatuan Indonesia,0,9,2683,12,2516,12,5199,12
DPR,2101-00-0000,Kepri,4,Partai Demokrasi Indonesia Perjuangan,48579,3,84181,2,48231,1,132412,1
DPR,2101-00-0000,Kepri,8,Partai Amanat Nasional,97327,1,106105,1,12939,6,119044,2
DPR,2101-00-0000,Kepri,1,Partai NasDem,55384,2,82937,3,12911,7,95848,3
DPR,2101-00-0000,Kepri,5,Partai Golongan Karya,0,9,68713,5,26641,2,95354,4
DPR,2101-00-0000,Kepri,6,Partai Gerakan Indonesia Raya,0,11,71630,4,20312,4,91942,5
DPR,2101-00-0000,Kepri,7,Partai Demokrat,0,10,60746,6,20404,3,81150,6
DPR,2101-00-0000,Kepri,3,Partai Keadilan Sejahtera,0,7,53849,7,12246,8,66095,7
DPR,2101-00-0000,Kepri,10,Partai Hati Nurani Rakyat,0,4,35523,8,15213,5,50736,8
DPR,2101-00-0000,Kepri,9,Partai Persatuan Pembangunan,0,12,28896,9,8864,10,37760,9
DPR,2101-00-0000,Kepri,2,Partai Kebangkitan Bangsa,0,8,18967,10,10009,9,28976,10
DPR,2101-00-0000,Kepri,14,Partai Bulan Bintang,0,6,8934,11,2979,11,11913,11
DPR,2101-00-0000,Kepri,15,Partai Keadilan dan Persatuan Indonesia,0,5,8633,12,2473,12,11106,12
DPR,8101-00-0000,Maluku,4,Partai Demokrasi Indonesia Perjuangan,65166,3,181419,1,11312,1,192731,1
DPR,8101-00-0000,Maluku,5,Partai Golongan Karya,58765,4,152944,2,9605,2,162549,2
DPR,8101-00-0000,Maluku,6,Partai Gerakan Indonesia Raya,95690,1,122222,3,8572,3,130794,3
DPR,8101-00-0000,Maluku,2,Partai Kebangkitan Bangsa,93800,2,107639,4,5655,6,113294,4
DPR,8101-00-0000,Maluku,1,Partai NasDem,0,8,101473,5,5970,5,107443,5
DPR,8101-00-0000,Maluku,7,Partai Demokrat,0,10,60404,6,6113,4,66517,6
DPR,8101-00-0000,Maluku,3,Partai Keadilan Sejahtera,0,9,44098,7,5430,7,49528,7
DPR,8101-00-0000,Maluku,9,Partai Persatuan Pembangunan,0,11,24210,8,3492,9,27702,8
DPR,8101-00-0000,Maluku,10,Partai Hati Nurani Rakyat,0,5,22142,10,4978,8,27120,9
DPR,8101-00-0000,Maluku,8,Partai Amanat Nasional,0,12,23340,9,3133,10,26473,10
DPR,8101-00-0000,Maluku,15,Partai Keadilan dan Persatuan Indonesia,0,6,12857,11,1684,12,14541,11
DPR,8101-00-0000,Maluku,14,Partai Bulan Bintang,0,7,6549,12,2097,11,8646,12
DPR,3305-00-0000,Jateng V,4,Partai Demokrasi Indonesia Perjuangan,499659,1,595137,1,266536,1,861673,1
DPR,3305-00-0000,Jateng V,5,Partai Golongan Karya,48547,4,216360,2,53086,3,269446,2
DPR,3305-00-0000,Jateng V,6,Partai Gerakan Indonesia Raya,34872,5,97172,5,55206,2,152378,3
DPR,3305-00-0000,Jateng V,8,Partai Amanat Nasional,55343,3,110226,3,35137,5,145363,4
DPR,3305-00-0000,Jateng V,2,Partai Kebangkitan Bangsa,71688,2,104353,4,33374,6,137727,5
DPR,3305-00-0000,Jateng V,3,Partai Keadilan Sejahtera,34320,6,82584,7,38334,4,120918,6
DPR,3305-00-0000,Jateng V,1,Partai NasDem,0,10,96458,6,23632,8,120090,7
DPR,3305-00-0000,Jateng V,7,Partai Demokrat,0,11,53226,8,28441,7,81667,8
DPR,3305-00-0000,Jateng V,10,Partai Hati Nurani Rakyat,0,7,34752,10,20462,9,55214,9
DPR,3305-00-0000,Jateng V,9,Partai Persatuan Pembangunan,0,12,34873,9,18004,10,52877,10
DPR,3305-00-0000,Jateng V,14,Partai Bulan Bintang,0,9,3636,11,5434,11,9070,11
DPR,3305-00-0000,Jateng V,15,Partai Keadilan dan Persatuan Indonesia,0,8,2137,12,2268,12,4405,12
DPR,3602-00-0000,Banten II,6,Partai Gerakan Indonesia Raya,61275,2,118289,1,51177,3,169466,1
DPR,3602-00-0000,Banten II,5,Partai Golongan Karya,31668,5,84708,3,64060,1,148768,2
DPR,3602-00-0000,Banten II,8,Partai Amanat Nasional,77964,1,105951,2,24690,9,130641,3
DPR,3602-00-0000,Banten II,4,Partai Demokrasi Indonesia Perjuangan,17994,6,61303,6,56657,2,117960,4
DPR,3602-00-0000,Banten II,9,Partai Persatuan Pembangunan,49377,3,77315,4,28124,5,105439,5
DPR,3602-00-0000,Banten II,3,Partai Keadilan Sejahtera,38966,4,63991,5,27256,7,91247,6
DPR,3602-00-0000,Banten II,7,Partai Demokrat,0,12,50908,7,25416,8,76324,7
DPR,3602-00-0000,Banten II,2,Partai Kebangkitan Bangsa,0,11,43925,9,29552,4,73477,8
DPR,3602-00-0000,Banten II,1,Partai NasDem,0,10,45797,8,27628,6,73425,9
DPR,3602-00-0000,Banten II,10,Partai Hati Nurani Rakyat,0,7,39651,10,19025,10,58676,10
DPR,3602-00-0000,Banten II,14,Partai Bulan Bintang,0,9,15542,11,9839,11,25381,11
DPR,3602-00-0000,Banten II,15,Partai Keadilan dan Persatuan Indonesia,0,8,9327,12,4698,12,14025,12
DPR,3209-00-0000,Jabar IX,4,Partai Demokrasi Indonesia Perjuangan,208609,1,301089,1,220441,1,521530,1
DPR,3209-00-0000,Jabar IX,5,Partai Golongan Karya,90588,2,210704,2,124263,2,334967,2
DPR,3209-00-0000,Jabar IX,7,Partai Demokrat,26249,7,134898,3,68022,4,202920,3
DPR,3209-00-0000,Jabar IX,6,Partai Gerakan Indonesia Raya,34650,6,89575,6,85442,3,175017,4
DPR,3209-00-0000,Jabar IX,2,Partai Kebangkitan Bangsa,39080,3,97895,4,64184,5,162079,5
DPR,3209-00-0000,Jabar IX,3,Partai Keadilan Sejahtera,36517,5,97475,5,58976,6,156451,6
DPR,3209-00-0000,Jabar IX,9,Partai Persatuan Pembangunan,38038,4,88458,7,44494,8,132952,7
DPR,3209-00-0000,Jabar IX,1,Partai NasDem,0,11,63183,8,51117,7,114300,8
DPR,3209-00-0000,Jabar IX,8,Partai Amanat Nasional,0,12,55220,9,35463,10,90683,9
DPR,3209-00-0000,Jabar IX,10,Partai Hati Nurani Rakyat,0,8,47916,10,42221,9,90137,10
DPR,3209-00-0000,Jabar IX,14,Partai Bulan Bintang,0,10,11516,11,12017,11,23533,11
DPR,3209-00-0000,Jabar IX,15,Partai Keadilan dan Persatuan Indonesia,0,9,7367,12,7538,12,14905,12
DPR,3306-00-0000,Jateng VI,4,Partai Demokrasi Indonesia Perjuangan,134974,1,268793,1,185466,1,454259,1
DPR,3306-00-0000,Jateng VI,2,Partai Kebangkitan Bangsa,128037,2,250042,2,108748,2,358790,2
DPR,3306-00-0000,Jateng VI,6,Partai Gerakan Indonesia Raya,56323,5,114660,5,92750,3,207410,3
DPR,3306-00-0000,Jateng VI,5,Partai Golongan Karya,50868,6,124776,3,78732,4,203508,4
DPR,3306-00-0000,Jateng VI,8,Partai Amanat Nasional,82723,3,119163,4,43352,8,162515,5
DPR,3306-00-0000,Jateng VI,1,Partai NasDem,66131,4,98774,6,47490,7,146264,6
DPR,3306-00-0000,Jateng VI,9,Partai Persatuan Pembangunan,38620,7,78254,8,59245,5,137499,7
DPR,3306-00-0000,Jateng VI,7,Partai Demokrat,0,12,80161,7,51286,6,131447,8
DPR,3306-00-0000,Jateng VI,10,Partai Hati Nurani Rakyat,0,8,67182,9,34280,10,101462,9
DPR,3306-00-0000,Jateng VI,3,Partai Keadilan Sejahtera,0,11,50394,10,41380,9,91774,10
DPR,3306-00-0000,Jateng VI,14,Partai Bulan Bintang,0,10,4708,11,6677,11,11385,11
DPR,3306-00-0000,Jateng VI,15,Partai Keadilan dan Persatuan Indonesia,0,9,4004,12,3998,12,8002,12
DPR,3301-00-0000,Jateng I,4,Partai Demokrasi Indonesia Perjuangan,188717,1,304623,1,211499,1,516122,1
DPR,3301-00-0000,Jateng I,6,Partai Gerakan Indonesia Raya,39760,4,110993,5,95584,2,206577,2
DPR,3301-00-0000,Jateng I,2,Partai Kebangkitan Bangsa,82221,2,134192,2,61033,3,195225,3
DPR,3301-00-0000,Jateng I,5,Partai Golongan Karya,36163,5,117483,3,52032,5,169515,4
DPR,3301-00-0000,Jateng I,7,Partai Demokrat,32047,6,102799,6,54446,4,157245,5
DPR,3301-00-0000,Jateng I,1,Partai NasDem,41185,3,116386,4,35831,8,152217,6
DPR,3301-00-0000,Jateng I,8,Partai Amanat Nasional,25615,7,100801,7,35782,9,136583,7
DPR,3301-00-0000,Jateng I,3,Partai Keadilan Sejahtera,0,11,86548,8,42415,6,128963,8
DPR,3301-00-0000,Jateng I,9,Partai Persatuan Pembangunan,0,12,76182,9,42072,7,118254,9
DPR,3301-00-0000,Jateng I,10,Partai Hati Nurani Rakyat,0,8,30542,10,33343,10,63885,10
DPR,3301-00-0000,Jateng I,14,Partai Bulan Bintang,0,10,3515,12,4197,11,7712,11
DPR,3301-00-0000,Jateng I,15,Partai Keadilan dan Persatuan Indonesia,0,9,3640,11,3166,12,6806,12
DPR,7401-00-0000,Sultra,8,Partai Amanat Nasional,131520,1,250146,1,21085,2,271231,1
DPR,7401-00-0000,Sultra,5,Partai Golongan Karya,91747,2,155199,2,23095,1,178294,2
DPR,7401-00-0000,Sultra,7,Partai Demokrat,52650,3,111238,3,15526,5,126764,3
DPR,7401-00-0000,Sultra,6,Partai Gerakan Indonesia Raya,30820,5,103417,4,20540,3,123957,4
DPR,7401-00-0000,Sultra,9,Partai Persatuan Pembangunan,48477,4,91975,5,7165,10,99140,5
DPR,7401-00-0000,Sultra,4,Partai Demokrasi Indonesia Perjuangan,0,12,79545,6,17511,4,97056,6
DPR,7401-00-0000,Sultra,1,Partai NasDem,0,9,78852,7,11511,6,90363,7
DPR,7401-00-0000,Sultra,3,Partai Keadilan Sejahtera,0,10,49082,8,11095,8,60177,8
DPR,7401-00-0000,Sultra,2,Partai Kebangkitan Bangsa,0,11,47415,9,11357,7,58772,9
DPR,7401-00-0000,Sultra,10,Partai Hati Nurani Rakyat,0,6,29277,10,11038,9,40315,10
DPR,7401-00-0000,Sultra,14,Partai Bulan Bintang,0,8,20524,11,6175,11,26699,11
DPR,7401-00-0000,Sultra,15,Partai Keadilan dan Persatuan Indonesia,0,7,5783,12,2182,12,7965,12
DPR,3509-00-0000,Jatim IX,2,Partai Kebangkitan Bangsa,95621,1,212523,1,62618,1,275141,1
DPR,3509-00-0000,Jatim IX,7,Partai Demokrat,51218,2,165547,2,39840,5,205387,2
DPR,3509-00-0000,Jatim IX,4,Partai Demokrasi Indonesia Perjuangan,36304,5,103545,3,56637,2,160182,3
DPR,3509-00-0000,Jatim IX,6,Partai Gerakan Indonesia Raya,29133,6,97963,4,51815,3,149778,4
DPR,3509-00-0000,Jatim IX,5,Partai Golongan Karya,46022,3,81946,5,50958,4,132904,5
DPR,3509-00-0000,Jatim IX,8,Partai Amanat Nasional,45456,4,64152,6,28270,6,92422,6
DPR,3509-00-0000,Jatim IX,1,Partai NasDem,0,10,46705,7,22807,7,69512,7
DPR,3509-00-0000,Jatim IX,9,Partai Persatuan Pembangunan,0,12,39486,8,20170,8,59656,8
DPR,3509-00-0000,Jatim IX,3,Partai Keadilan Sejahtera,0,11,28210,9,18837,9,47047,9
DPR,3509-00-0000,Jatim IX,10,Partai Hati Nurani Rakyat,0,7,21561,10,17060,10,38621,10
DPR,3509-00-0000,Jatim IX,14,Partai Bulan Bintang,0,9,4046,12,4579,11,8625,11
DPR,3509-00-0000,Jatim IX,15,Partai Keadilan dan Persatuan Indonesia,0,8,4502,11,4040,12,8542,12
DPR,1801-00-0000,Lampung I,4,Partai Demokrasi Indonesia Perjuangan,129739,2,221093,2,142462,1,363555,1
DPR,1801-00-0000,Lampung I,8,Partai Amanat Nasional,174144,1,225392,1,51032,6,276424,2
DPR,1801-00-0000,Lampung I,7,Partai Demokrat,40922,7,154496,3,63852,3,218348,3
DPR,1801-00-0000,Lampung I,6,Partai Gerakan Indonesia Raya,48379,4,128858,4,79938,2,208796,4
DPR,1801-00-0000,Lampung I,5,Partai Golongan Karya,32808,8,119046,7,63156,4,182202,5
DPR,1801-00-0000,Lampung I,3,Partai Keadilan Sejahtera,43974,5,120129,6,50198,7,170327,6
DPR,1801-00-0000,Lampung I,10,Partai Hati Nurani Rakyat,81058,3,124189,5,28218,9,152407,7
DPR,1801-00-0000,Lampung I,2,Partai Kebangkitan Bangsa,43784,6,85527,8,51110,5,136637,8
DPR,1801-00-0000,Lampung I,1,Partai NasDem,0,11,69850,9,37998,8,107848,9
DPR,1801-00-0000,Lampung I,9,Partai Persatuan Pembangunan,0,12,44532,10,26958,10,71490,10
DPR,1801-00-0000,Lampung I,14,Partai Bulan Bintang,0,10,17587,11,8552,11,26139,11
DPR,1801-00-0000,Lampung I,15,Partai Keadilan dan Persatuan Indonesia,0,9,7592,12,5822,12,13414,12
DPR,1301-00-0000,Sumbar I,5,Partai Golongan Karya,77663,1,207498,1,44013,1,251511,1
DPR,1301-00-0000,Sumbar I,6,Partai Gerakan Indonesia Raya,34858,4,115296,4,38393,2,153689,2
DPR,1301-00-0000,Sumbar I,8,Partai Amanat Nasional,33917,6,128129,2,22168,6,150297,3
DPR,1301-00-0000,Sumbar I,7,Partai Demokrat,34695,5,113729,5,29974,3,143703,4
DPR,1301-00-0000,Sumbar I,1,Partai NasDem,38249,3,115970,3,20090,8,136060,5
DPR,1301-00-0000,Sumbar I,9,Partai Persatuan Pembangunan,60282,2,92883,6,21240,7,114123,6
DPR,1301-00-0000,Sumbar I,3,Partai Keadilan Sejahtera,25756,7,82840,7,28910,4,111750,7
DPR,1301-00-0000,Sumbar I,4,Partai Demokrasi Indonesia Perjuangan,22937,8,78167,8,24902,5,103069,8
DPR,1301-00-0000,Sumbar I,10,Partai Hati Nurani Rakyat,0,9,65294,9,19332,9,84626,9
DPR,1301-00-0000,Sumbar I,2,Partai Kebangkitan Bangsa,0,12,27277,11,13131,10,40408,10
DPR,1301-00-0000,Sumbar I,14,Partai Bulan Bintang,0,11,28378,10,8926,11,37304,11
DPR,1301-00-0000,Sumbar I,15,Partai Keadilan dan Persatuan Indonesia,0,10,15047,12,3133,12,18180,12
DPR,3208-00-0000,Jabar VIII,5,Partai Golongan Karya,172706,1,289723,1,156037,2,445760,1
DPR,3208-00-0000,Jabar VIII,4,Partai Demokrasi Indonesia Perjuangan,138789,2,255743,2,157358,1,413101,2
DPR,3208-00-0000,Jabar VIII,2,Partai Kebangkitan Bangsa,67722,3,154409,3,87248,3,241657,3
DPR,3208-00-0000,Jabar VIII,6,Partai Gerakan Indonesia Raya,34761,6,140395,4,74128,4,214523,4
DPR,3208-00-0000,Jabar VIII,3,Partai Keadilan Sejahtera,47338,4,81253,6,50597,5,131850,5
DPR,3208-00-0000,Jabar VIII,10,Partai Hati Nurani Rakyat,34030,7,89993,5,38979,8,128972,6
DPR,3208-00-0000,Jabar VIII,7,Partai Demokrat,41394,5,76216,7,44698,6,120914,7
DPR,3208-00-0000,Jabar VIII,1,Partai NasDem,0,10,65381,8,44437,7,109818,8
DPR,3208-00-0000,Jabar VIII,9,Partai Persatuan Pembangunan,0,11,43776,9,21242,9,65018,9
DPR,3208-00-0000,Jabar VIII,8,Partai Amanat Nasional,0,12,35931,10,17182,10,53113,10
DPR,3208-00-0000,Jabar VIII,14,Partai Bulan Bintang,0,9,10987,11,10369,11,21356,11
DPR,3208-00-0000,Jabar VIII,15,Partai Keadilan dan Persatuan Indonesia,0,8,3465,12,3455,12,6920,12
DPR,7302-00-0000,Sulsel II,5,Partai Golongan Karya,144481,1,321692,1,52272,1,373964,1
DPR,7302-00-0000,Sulsel II,6,Partai Gerakan Indonesia Raya,91739,2,245512,2,25560,2,271072,2
DPR,7302-00-0000,Sulsel II,7,Partai Demokrat,36351,6,158725,3,22022,3,180747,3
DPR,7302-00-0000,Sulsel II,9,Partai Persatuan Pembangunan,32915,8,123703,4,13617,8,137320,4
DPR,7302-00-0000,Sulsel II,8,Partai Amanat Nasional,54585,3,120776,5,15100,6,135876,5
DPR,7302-00-0000,Sulsel II,1,Partai NasDem,47940,4,98009,7,15277,5,113286,6
DPR,7302-00-0000,Sulsel II,4,Partai Demokrasi Indonesia Perjuangan,39122,5,98555,6,13708,7,112263,7
DPR,7302-00-0000,Sulsel II,3,Partai Keadilan Sejahtera,33896,7,94289,8,12806,9,107095,8
DPR,7302-00-0000,Sulsel II,10,Partai Hati Nurani Rakyat,0,9,78342,9,11830,10,90172,9
DPR,7302-00-0000,Sulsel II,2,Partai Kebangkitan Bangsa,0,12,54842,10,15424,4,70266,10
DPR,7302-00-0000,Sulsel II,14,Partai Bulan Bintang,0,11,16841,11,5842,11,22683,11
DPR,7302-00-0000,Sulsel II,15,Partai Keadilan dan Persatuan Indonesia,0,10,7189,12,1982,12,9171,12
DPR,9101-00-0000,Papua,7,Partai Demokrat,345416,1,685318,1,14832,4,700150,1
DPR,9101-00-0000,Papua,4,Partai Demokrasi Indonesia Perjuangan,257366,2,471421,2,20170,2,491591,2
