id,provinsi_id,nama,tempat_lahir,tanggal_lahir,jabatan,fraksi,alamat,keterangan
14,11,Usman,Putim,09 Maret 1961,Ketua,GOLKAR,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
15,11,Azhar,Seuneubok Trap,16 Mei 1968,Wakil Ketua,GOLKAR,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
16,11,Ali Hasyimi,Blang Mee,10 Agustus 1968,Sekretaris,GOLKAR,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
17,11,"Masrizal, S.Si",Banda Aceh,10 Desember 1976,Anggota,GOLKAR,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
18,11,"Nasri, S.Sos",Meulaboh,19 Agustus 1966,Anggota,GOLKAR,Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
19,11,"Tgk. Syarifuddin Uhad, S.Pd.I",Teupin Peuraho,12 Juli 1964,Ketua,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
20,11,"H. Bustan Ali, B.Sc",Paya Udeung,05 April 1963,Wakil Ketua,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
21,11,"Herman, SE",Lhok Sari,31 Januari 1973,Sekretaris,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
22,11,Mawardi,Jeuram,03 Juni 1969,Anggota,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
23,11,Tgk. H. Mawardi Basyah,Suak Seumaseh,03 Maret 1973,Anggota,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
24,11,Erliana,Suak Awe,27 September 1973,Anggota,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
25,11,Asrial Gutama,Gunong Kleng,07 Juni 1989,Anggota,PERSATUA N PERJUANG AN DEMOKRAT (PPD),Sekretariat Dewan Perwakilan Rakyat Kabupaten Aceh Barat Jln. Iskandar Muda. No. 01 Meulaboh - Aceh Barat Telp. (0655) 7551164,
26,11,"MARTUNIS, Amd. Kep",INDRAPURI,19-01-1979,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
27,11,TGK. NURDIN JOHAN,LAMBARO TUNONG,05 Mei 1973,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
28,11,TGK. DHIAUDDIN,LAM BEUGAK,17 Juli 1976,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
29,11,"GUNAWAN, SE,.MM",LAMLHOM,14 Juli 1979,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
30,11,SAIFUDDIN,LEU UE,06 Agustus 1983,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
31,11,"SULAIMAN, SE",LAM ARA TUNONG,10-08-1978,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
32,11,ZULKIRAM HS. BASRI,INDRAPURI,02 Oktober 1975,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
33,11,"BAKHTIAR, ST",KRUENG KALEE,01 Mei 1977,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
34,11,MAULIDAR,NEUHEUN,22 Oktober 1988,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
35,11,"SYAFRIZAL, SE (ADEK)",Band Aceh ,07 Februari 1987,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasdem,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
36,11,"HADDADI DJAKFAR, SE",LAMLUMPU,16 Maret 1980,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasdem,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
37,11,"Ir. BUSTAMAM,S.Pd,. MBA,. M.Sc",COT GUE,17 Agustus 1959,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasdem,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
38,11,"ZULFIKAR, SH",JURONG PEUJEURA ,04 Mei 1979,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasdem,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
39,11,"Ir. ZAMZAMI,MT",KLIENG COT ARON ,02 April 1966,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasdem,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
40,11,"H. KHAIRUDDIN, SE",KEURUWEUNG ,05 Oktober 1978,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Golkar,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
41,11,ZAINAL ABIDIN,TANJONG,02 Maret 1965,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Golkar,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
42,11,"SAIFUDDIN, SE",BATEE LINTEUNG,03 Maret 1965,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Golkar,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
43,11,"ANSARI MUHAMMAD, S.Pt",BUNG RAYA,01 November 1980,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Golkar,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
44,11,USMAN AR,KAJHU,17 Mei 1965,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Golkar,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
45,11,"YUSRAN YUNUS, MA",LAMPISANG,05 April 1976,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Amanat Nasional,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
46,11,MAHDI BASYAH,ACEH BESAR,09 September 1966,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Amanat Nasional,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
47,11,"MUCHLIS ZULKIFLI, ST",BUENG RAYA,05 Maret 1977,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Amanat Nasional,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
48,11,"SABIRIN, S. Pd",NEUHEUN,23 April 1962,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Amanat Nasional,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
49,11,"MUNAJJIN, ST",BANDA ACEH,07 September 1979,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Keadilan Sejahtera,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
50,11,"TGK. H. IRAWAN ABDULLAH, S.Ag",ACEH BESAR,27 Maret 1975,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Keadilan Sejahtera,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
51,11,"ZULFIKAR AZIZ, SE",PEMATANG SIANTAR,05 Desember 1980,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Keadilan Sejahtera,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
52,11,TGK. H. HUSAINI AW,KP. SEULIMEUM,30 Juli 1962,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Damai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
53,11,MUSLEM M. ASYEK,ULEE LHAT,25 Desember 1981,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Damai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
54,11,TGK. MUFADDHAL ZAKARIA,LAM BAET,07 Februari 1974,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Damai Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
55,11,ZULFAHMI,LAMBARO SEUBUN,04 April 1974,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasional Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
56,11,ABDUL MUTALEB,SAMALANGA,31 Desmber 1961,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Nasional Aceh,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
57,11,"ZULFAHMI, SP",ACEH BESAR,26 Februari 1986,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Gerindra,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
58,11,ABDUL MUTHALIB,UJONG KAREUNG,13 Juli 1968,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Demokrat,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
59,11,"TGK. AHMADA, MZ",MEULAYO,06 Juni 1986,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Persatuan Pembangunan,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
60,11,"FIRDAUS, SE",LIMO MESJID,24 Agustus 1975,Anggota DPRK Aceh Besar Periode 2014 s.d 2019,Partai Bulan Bintang,"Jln. T.Bachtiar Panglima Polem,SH Kota Jantho Telp/Fax: (0651 ) 92047",
61,11,MUSLIADI. Z,Seumantok,15 Juli 1973,Ketua DPRK,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
62,11,"TEUKU AFRIZAL, SH",Lageun,10 Juni 1972,Wakil Ketua 1,Partai Golkar,"Gampong Patek, Kec. Darul Hikmah",
63,11,TEUKU HASYIMI PUTEH,Teupin Ara,12 April 1968,Wakil Ketua 2,Partai Demokrat,"Gampong Patek, Kec. Darul Hikmah",
64,11,MAWARDI WAHID,Sarah Raya,15 Juni 1977,Ketua Fraksi Partai Aceh,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
65,11,"AIZUDDIN, S. SOS",Lamno,26 September 1974,Ketua Fraksi Golkar,Partai Golkar,"Gampong Patek, Kec. Darul Hikmah",
66,11,H. SYAMSUDDIN YAHYA,Teumarem,01 Mei 1974,Ketua Fraksi Gabungan,PPP,"Gampong Patek, Kec. Darul Hikmah",
67,11,"TGK. HASAN BASRI, B. BA",Datar Luas,21 Juli 1949,Ketua Komisi A,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
68,11,MUHAMMAD JAMIN,Lamtui,24 April 1976,Ketua Komisi B,Demokrat,"Gampong Patek, Kec. Darul Hikmah",
69,11,SAFWANDI,Tuwi Eumpeuk,22 November 1981,Ketua Komisi C,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
70,11,TGK. MARZUKI,Darat,14 Juli 1970,Ketua Komisi D,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
71,11,TGK. SAMSUL BAHRI,Lamteungoh,12 Mei 1968,Ketua Badan Kehormatan,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
72,11,S A U D I,Ligan,12 Desember 1973,Ketua Badan Legislasi,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
73,11,H. MUHAMMAD ZUBIR,Teumareum,19 Maret 1984,Anggota DPRK,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
74,11,"RUSLAN, SE",Pante Keutapang,24 Februari 1977,Anggota DPRK,Partai Golkar,"Gampong Patek, Kec. Darul Hikmah",
75,11,DASRIL ARAHMAN. IB,Pd.Kleng,20 November 1972,Anggota DPRK,Partai Damai Aceh,"Gampong Patek, Kec. Darul Hikmah",
76,11,H. SANUSI ABDULLAH,Aceh Barat,1 Mei 1968,Anggota DPRK,Partai Demokrat,"Gampong Patek, Kec. Darul Hikmah",
77,11,"KASMALINDA, S. Pd. I",Panggong,17 Maret 1987,Anggota DPRK,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
78,11,SUHELMI,Mon Mata,24 Desember 1965,Anggota DPRK,PPP,"Gampong Patek, Kec. Darul Hikmah",
79,11,RIZAL DINATA,Meulaboh,3 April 1977,Anggota DPRK,Partai Aceh,"Gampong Patek, Kec. Darul Hikmah",
80,11,"AYUDI ILHAM, SE",Keude Teunom,25 Juli 1989,Anggota DPRK,Partai Golkar,"Gampong Patek, Kec. Darul Hikmah",
81,11,"ABDUL MUTALEB, S.Sos",Blang Asan Mns Calong,14 Februari 19,Penasehat,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Wakil Ketua
82,11,MUHAMMAD NASIR,Tanjung Glumpang,01 Juli 1973,Ketua,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
83,11,SAIFUDDIN,Punti SB,23 Juli 1972,Wakil Ketua,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
84,11,SULAIMAN,Bayu,17 Juli 1978,Sekretaris,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
85,11,FAUZI,Riseh Tunong,13 Februari 1978,Wakil Sekretaris,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
86,11,MAWARDI M.,Lhoksukon,12 Mei 1979,Bendahara,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
87,11,ARAFAT,Blang Ara,25 Mei 1979,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
88,11,"ISMAIL A JALIL, SE",Matang Serdang,12 Juni 1979,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Ketua
89,11,JAMALUDDIN JALIL,Teupin Gajah,01 Juli 1966,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
90,11,JUNAIDI,Paloh Gadeng,01 Juli 1966,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
91,11,SYAHRIL INDRA,Cot Girek,24 Juni 1960,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
92,11,Drs. ISMAIL KAMIL,Mns Sagoe,03 Juni 1964,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
93,11,TGK. MAIMUNSYAH,Blang Kabu,11 April 1965,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
94,11,SAMSUDDIN  JS.,Matang Teungeuh AB,02 Januari 1969,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
95,11,SUPIANUDDIN,Blang Karieng,14 februari 1969,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
96,11,TGK. MUHAMMAD NASIR,Matang Raya Barat,20 April 1970,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
97,11,M. DAHLAN ILYAS,Mns Baroe,01 Juli 1970,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
98,11,SYARWANI,Matang Sijeuk Barat,04 April 1972,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
99,11,MUKHTAR,Lhok Merbo,02 Januari 1976,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
100,11,RIYANTI,Sumbok,03 Januari 1976,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
101,11,NURDIN HASBI,Alue Sagoe Weng,12 desember 1978,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
102,11,"TGK. FAUZAN HAMZAH, SH.I",Paya leupah,04 April 1980,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
103,11,TGK. ABDULLAH BEN YUNUS,Pulo Blang,06 Februari 1981,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
104,11,ISMAIL ARAHMAN,Paya Tukai,01 Juli 1981,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
105,11,H. ANWAR RISYEN,Paya Dua Uram,02 Juli 1973,Anggota,Fraksi Partai Aceh,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
106,11,H. MULYADI CH.,Alue Mudem,18 Agustus 1962,Penasehat,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Wakil Ketua
107,11,"ZAINUDDIN IBA, SE, MM",Blang Dalam Baroh,15 September 196,Ketua,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
108,11,"ZULFADHLI  A. TALEB, SE",Desa Ara,06 April 1980,Wakil Ketua,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
109,11,"TGK. MARHABAN HABIBI, S.Pd.I",Gampong Nga,08 September 1979,Sekretaris,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
110,11,TGK. H. SAIFANNUR H. CUT,Keude Krueng Geukeuh,07 Juli 1972,Wakil Sekretaris,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
111,11,"H. ISMED NUR AJ. HASAN, S.Sos",Sumbok,12 September 1966,Bendahara,Fraksi Partai Persatuan pembangunan,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
112,11,"H. SAIFUDDIN, SH",Matangkuli,04 April 1960,Penasehat,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Wakil Ketua
113,11,T. BAKHTIAR,Lhok Puuk,08 Desember 1974,Ketua,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
114,11,ISKANDAR,Cot Girek,14 Mei 1980,Wakil Ketua,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
115,11,"MISBAHUL MUNIR, ST",Guha Uleue,18 November 1980,Sekretaris,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
116,11,"SAIFUL, A.Md",Tambon Tunong,07 Juli 1973,Wakil Sekretaris,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
117,11,"ANZIR, SH",Sawang,21 Oktober 1970,Bendahara,Fraksi Partai Nasional Demokrat,"DPRK Kabupaten Aceh Utara, Jl. Nyak Adam Kamil No.1 Simpang Empat Lhokseumawe dan (0645) 42761-43035",Anggota
