id,question_text,relevant_laws_regulations,relevant_text,question_answer,tags,category
11,Apakah ada jangka waktu pengumpulan bukti dukungan untuk calon perseorangan?,UU No 8 tahun 2015 Pasal 48 Ayat 2,(2) Pasangan calon perseorangan menyerahkan dokumen syarat dukungan kepada PPS untuk dilakukan verifikasi paling lambat 28 (dua puluh delapan) hari sebelum waktu pendaftaran pasangan calon dimulai.,Calon tersebut harus menyerahkan bukti dukungan kepada Penyelenggara paling lambat 28 hari sebelulm waktu pendaftaran pasangan calon dimulai. Hal ini untuk verifikasi data dari paslon tersebut oleh ppenyelenggara.,CalonPerseorangan,
12,Apakah calon yag mendaftar pasti menjadi calon yang maju dalampilkada,UU No 8 Tahun 2015 Pasal 45,"Pendaftaran pasangan Calon Gubernur dan Calon Wakil Gubernur, pasangan Calon Bupati dan Calon Wakil Bupati, serta pasangan Calon Walikota dan Calon Wakil Walikota disertai dengan penyampaian kelengkapan dokumen persyaratan.",Dokumen Persyaratan tersebut yang akan menjadi dasar penelitian untuk  penetapan calon tersebut,Pencalonan,
13,Kapan dilakukan verifikasi tersebut?,UU No 8 Tahun 2015 Pasal 49,"(2) Penelitian persyaratan administrasi sebagaimana dimaksud ayat (1) dilakukan paling lama 7 (tujuh) hari sejak penutupan pendaftaran pasangan Calon Gubernur dan Calon Wakil Gubernur. (3) Hasil penelitian sebagaimana dimaksud pada ayat (2) diberitahukan secara tertulis kepada Partai Politik, gabungan Partai Politik, atau pasangan calon perseorangan paling lambat 2 (dua) hari setelah penelitian selesai.
(4) Apabila hasil penelitian sebagaimana dimaksud ayat (3) dinyatakan tidak memenuhi syarat, Partai Politik, gabungan Partai Politik, atau pasangan calon perseorangan diberi kesempatan untuk melengkapi dan/atau memperbaiki persyaratan pencalonan paling lama 3 (tiga) hari sejak pemberitahuan hasil penelitian persyaratan oleh KPU Provinsi.",Jadi 7 hari setelah masa  pendaftaran ditutup dilaksanakan penelitian dokumen ppersyaratan calon. Dan penelitian tersebut harus disampaikan paling lambat 2 hari setelah penelitian tersebut selesai dan apabila ditemukan dokumen yang tidak lengkap  maka paslon harus melengkapinya dalam waktu 3 hari setelah pengumuman hasil penelitian ,Pencalonan,
14,Apakah setelah verifikasi dalam dilakukan penggantian Paslon?,UU No 8 Tahun 2015 Pasal 49 dan Pasal 53,"(7) Dalam hal hasil penelitian sebagaimana dimaksud pada ayat (6), menetapkan calon yang diajukan tidak memenuhi syarat, Partai Politik atau gabungan Partai Politik tidak dapat mengajukan pasangan Calon Gubernur dan Calon Wakil Gubernur pengganti. Pasal 53 (2) Dalam hal Partai Politik dan gabungan Partai Politik menarik pasangan calonnya dan/atau pasangan calon mengundurkan diri sebagaimana dimaksud pada ayat (1), Partai Politik atau gabungan Partai Politik yang mencalonkan tidak dapat mengusulkan pasangan calon pengganti.",Partai Politik atau gabungan Partai Politik tidak dapat  mengajukan calon pengganti kecuali calon tersebut berhalangan tetap,Pencalonan,
15,"Apabila mengeundurkan diri setelah ditetapkan, apakah ada sanksi untuk paslon tersebut?",UU No 8 tahun 2015 Pasal 53,"(4) Dalam hal pasangan calon perseorangan mengundurkan diri dari pasangan Calon Gubernur dan Calon Wakil Gubernur setelah ditetapkan oleh KPU Provinsi atau pasangan Calon Bupati dan Calon Wakil Bupati serta pasangan Calon Walikota dan Calon Wakil Walikota setelah ditetapkan oleh KPU Kabupaten/Kota, pasangan calon dikenai sanksi administratif berupa denda sebesar Rp20.000.000.000,00 (dua puluh miliar rupiah) untuk pasangan Calon Gubernur dan Calon Wakil Gubernur dan Rp10.000.000.000,00 (sepuluh miliar rupiah) untuk pasangan Calon Bupati dan Calon Wakil Bupati serta pasangan Calon Walikota dan Calon Wakil Walikota.",Paslon yang mengundurkan diri mendapatkan sanksi administratif sebesar 20 Miliar untuk paslon Gubernur dan 10 Miliar untuk paslon Walikota dan Bupati.,Pencalonan,
16,Apakah salah satu pasangan calon dapat diganti?,UU No 8 tahun 2015 Pasal 54,"(1) Dalam hal pasangan calon berhalangan tetap sejak penetapan pasangan calon sampai pada saat dimulainya hari Kampanye, Partai Politik atau gabungan Partai Politik yang pasangan calonnya berhalangan tetap dapat mengusulkan pasangan calon pengganti paling lama 3 (tiga) hari terhitung sejak pasangan calon berhalangan tetap.",Paslon dapat diganti apabila yang bersangkutan berhalangan tetap untuk terus maju dalam tahapan berikutnya,Pencalonan,
17,Apa saja  yang dapat dilakukan saat kampanye?,UU No 8 tahun 2015 Pasal 65 Ayat (1),"(1) Kampanye dapat dilaksanakan melalui:
a. pertemuan terbatas;
b. pertemuan tatap muka dan dialog;
c. debat publik/debat terbuka antarpasangan calon;
d. penyebaran bahan Kampanye kepada umum;
e. pemasangan alat peraga;
f. iklan media massa cetak dan media massa elektronik; dan/atau
g. kegiatan lain yang tidak melanggar larangan Kampanye dan ketentuan peraturan perundang-undangan.","Terdapat 7 cara kampanye yang diatur untuk pilkada serentak ini yaitu 
a. pertemuan terbatas;
b. pertemuan tatap muka dan dialog;
c. debat publik/debat terbuka antarpasangan calon;
d. penyebaran bahan Kampanye kepada umum;
e. pemasangan alat peraga;
f. iklan media massa cetak dan media massa elektronik; dan/atau
g. kegiatan lain yang tidak melanggar larangan Kampanye dan ketentuan peraturan perundang-undangan.",Kampanye,
18,Siapakah yang membiayai  kampanye paslon?,UU No 8 tahun 2015 Pasal 65 Ayat (2),"(2) Kampanye sebagaimana dimaksud pada ayat (1) huruf c, huruf d, huruf e dan huruf f difasilitasi oleh KPU Provinsi dan KPU Kabupaten/Kota yang didanai APBD.",Beberapa Item kampanyae dibiayai oleh negara melalui APBD,Kampanye,
19,Kapan Paslon dapat berkampanye?,UU No 8 tahun 2015 Pasal 67 Ayat (1),(1) Kampanye sebagaimana dimaksud dalam Pasal 65 ayat (1) dilaksanakan 3 (tiga) hari setelah penetapan pasangan calon peserta Pemilihan sampai dengan dimulainya masa tenang.,Paslon dapat berkampanye mulai dari 3 hari setelah penetapannya sebagai peserta sampai dengan 3 hari sebelum hari pemungutan suara,Kampanye,
20,Adakah hal yang dilarang dalam kampanye?,UU No 8 tahun 2015 Pasal 69,"Dalam Kampanye dilarang:
a. mempersoalkan dasar negara Pancasila dan Pembukaan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;
b. menghina seseorang, agama, suku, ras, golongan, Calon Gubernur, Calon Wakil Gubernur, Calon Bupati, Calon Wakil Bupati, Calon Walikota, Calon Wakil Walikota, dan/atau Partai Politik;
c. melakukan Kampanye berupa menghasut, memfitnah, mengadu domba Partai Politik, perseorangan, dan/atau kelompok masyarakat;
d. menggunakan kekerasan, ancaman kekerasan atau menganjurkan penggunaan kekerasan kepada perseorangan, kelompok masyarakat dan/atau Partai Politik;
e. mengganggu keamanan, ketenteraman, dan ketertiban umum;
f. mengancam dan menganjurkan penggunaan kekerasan untuk mengambil alih kekuasaan dari pemerintahan yang sah;
g. merusak dan/atau menghilangkan alat peraga Kampanye;
h. menggunakan fasilitas dan anggaran Pemerintah dan Pemerintah Daerah;
i. menggunakan tempat ibadah dan tempat pendidikan;
j. melakukan pawai yang dilakukan dengan berjalan kaki dan/atau dengan kendaraan di jalan raya; dan/atau
k. melakukan kegiatan Kampanye di luar jadwal yang telah ditetapkan oleh KPU Provinsi dan KPU Kabupaten/Kota.","Paslon saat berkampanye dilarang untu: a. mempersoalkan dasar negara Pancasila dan Pembukaan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945;
b. menghina seseorang, agama, suku, ras, golongan, Calon Gubernur, Calon Wakil Gubernur, Calon Bupati, Calon Wakil Bupati, Calon Walikota, Calon Wakil Walikota, dan/atau Partai Politik;
c. melakukan Kampanye berupa menghasut, memfitnah, mengadu domba Partai Politik, perseorangan, dan/atau kelompok masyarakat;
d. menggunakan kekerasan, ancaman kekerasan atau menganjurkan penggunaan kekerasan kepada perseorangan, kelompok masyarakat dan/atau Partai Politik;
e. mengganggu keamanan, ketenteraman, dan ketertiban umum;
f. mengancam dan menganjurkan penggunaan kekerasan untuk mengambil alih kekuasaan dari pemerintahan yang sah;
g. merusak dan/atau menghilangkan alat peraga Kampanye;
h. menggunakan fasilitas dan anggaran Pemerintah dan Pemerintah Daerah;
i. menggunakan tempat ibadah dan tempat pendidikan;
j. melakukan pawai yang dilakukan dengan berjalan kaki dan/atau dengan kendaraan di jalan raya; dan/atau
k. melakukan kegiatan Kampanye di luar jadwal yang telah ditetapkan oleh KPU Provinsi dan KPU Kabupaten/Kota.",Kampanye,
21,Adakah yang tidak diperbolehkan ikut berkampanye?,UU No 8 tahun 2015 Pasal 70,"(1) Dalam Kampanye, pasangan calon dilarang melibatkan: a. pejabat badan usaha milik negara/badan usaha milik daerah; b. aparatur sipil Negara, anggota Kepolisian Negara Republik Indonesia, dan anggota Tentara Nasional Indonesia; dan
c. Kepala Desa atau sebutan lain/Lurah dan perangkat Desa atau sebutan lain/perangkat Kelurahan.
(2) Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, Walikota dan Wakil Walikota, pejabat negara lainnya, serta pejabat daerah dapat ikut dalam kampanye dengan mengajukan izin cuti kampanye sesuai dengan ketentuan peraturan perundang-undangan.
(3) Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, Walikota dan Wakil Walikota, yang mencalonkan kembali pada daerah yang sama, dalam melaksanakan kampanye harus memenuhi ketentuan:
a. tidak menggunakan fasilitas yang terkait dengan jabatannya;
b. menjalani cuti di luar tanggungan negara; dan
c. pengaturan lama cuti dan jadwal cuti dengan memperhatikan keberlangsungan tugas penyelenggaraan pemerintahan daerah.
(4) Cuti Pejabat Negara sebagaimana dimaksud pada ayat (3), bagi Gubernur dan Wakil Gubernur diberikan oleh Menteri Dalam Negeri atas nama Presiden dan bagi Bupati dan Wakil Bupati serta Walikota dan Wakil Walikota diberikan oleh Gubernur atas nama Menteri.
(5) Izin cuti yang telah diberikan sebagaimana dimaksud pada ayat (4), wajib diberitahukan oleh Gubernur, Bupati, dan Walikota kepada KPU Provinsi, KPU Kabupaten, dan KPU Kota.","Ada beberapa  pihak yang dilarang untuk ikut berkampanye yaitu : a. pejabat badan usaha milik negara/badan usaha milik daerah; b. aparatur sipil Negara, anggota Kepolisian Negara Republik Indonesia, dan anggota Tentara Nasional Indonesia; dan
c. Kepala Desa atau sebutan lain/Lurah dan perangkat Desa atau sebutan lain/perangkat Kelurahan.
(2) Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, Walikota dan Wakil Walikota, pejabat negara lainnya, serta pejabat daerah dapat ikut dalam kampanye dengan mengajukan izin cuti kampanye sesuai dengan ketentuan peraturan perundang-undangan.
(3) Gubernur dan Wakil Gubernur, Bupati dan Wakil Bupati, Walikota dan Wakil Walikota, yang mencalonkan kembali pada daerah yang sama, dalam melaksanakan kampanye harus memenuhi ketentuan:
a. tidak menggunakan fasilitas yang terkait dengan jabatannya;
b. menjalani cuti di luar tanggungan negara; dan
c. pengaturan lama cuti dan jadwal cuti dengan memperhatikan keberlangsungan tugas penyelenggaraan pemerintahan daerah.
(4) Cuti Pejabat Negara sebagaimana dimaksud pada ayat (3), bagi Gubernur dan Wakil Gubernur diberikan oleh Menteri Dalam Negeri atas nama Presiden dan bagi Bupati dan Wakil Bupati serta Walikota dan Wakil Walikota diberikan oleh Gubernur atas nama Menteri.
(5) Izin cuti yang telah diberikan sebagaimana dimaksud pada ayat (4), wajib diberitahukan oleh Gubernur, Bupati, dan Walikota kepada KPU Provinsi, KPU Kabupaten, dan KPU Kota.",Kampanye,
