id,question,answer,reference_law,excerpt_law
011,"Saya sedang berada di Aceh pada hari H pemilu, namun KTP saya jakarta, apakah saya memiliki hak untuk memilih Partai lokal Aceh?",Pemilih yang berasal dari wilayah lain dan ingin memilih Calon DPRD/DPRA/DPRP/DPRPB namun bukan dari wilayahnya harap menghubungi PPS asal maksimal 14 (empat belas) hari sebelum hari pemungutan suara untuk didaftar sebagai Daftar Pemilih Khusus dengan membawa identitas diri untuk mendapat formulir Model A5-KPU yang nantinya harus ditunjukan pada saat pemilih ingin menggunakan hak pilihnya.,"PKPU No. 26 Tahun 2013 Pasal 8 Ayat 1,2,3,4,5,6,7,8, Pasal 9 Ayat 1 dan 2, Pasal 10 Ayat 1 Huruf (a), (b), Ayat 2 Huruf (a), (b), (c), Pasal 11 Ayat 1, 2 Huruf (a), (b), (c).",
012,Apakah saya resmi terdaftar? Bagaimana jika saya memiliki pertanyaan tentang status pendaftaran saya?,"Pemilih adalah Warga Negara Indonesia yang berdomisili di Indonesia ataupun diluar negeri, Adapun persyaratan sebagai pemilih ialah a). Warga Negara Indonesia yang berusia 17 (tujuh belas) tahun atau lebih, atau sudah/pernah menikah. b). Terdaftar sebagai Pemilih oleh KPU.","UU Nomor 8 tahun 2012 pasal 1 ayat 23 s.d. ayat 25, pasal 19","Pasal 1, ayat (23) Penduduk adalah Warga Negara Indonesia yang berdomisili di wilayah Republik Indonesia atau di luar negeri. ayat (24) Warga Negara Indonesia adalah orang-orang bangsa Indonesia asli dan orang-orang bangsa lain yang disahkan dengan undang-undang sebagai warga negara. ayat (25) Pemilih adalah Warga Negara Indonesia yang telah genap berumur 17 (tujuh belas) tahun atau lebih atau sudah/pernah kawin.\nPasal 19 ayat (1) Warga Negara Indonesia yang pada hari pemungutan suara telah genap berumur 17 (tujuh belas) tahun atau lebih atau sudah/pernah kawin mempunyai hak memilih. ayat (2) Warga Negara Indonesia sebagaimana dimaksud pada ayat (1) didaftar 1 (satu) kali oleh penyelenggara Pemilu dalam daftar Pemilih."
013,Apakah saya perlu identitas untuk memilih?,Identitas yang harus dibawa Pemilih ke TPS ialah tanda pengenal seperti KTP atau Paspor dan surat konfirmasi sebagai pemilih yang sudah diberikan oleh KPPS setempat.,UU Nomor 8 tahun 2012 pasal 150,Pasal 150\nayat (1) Pemilih yang tidak terdaftar pada daftar pemilih tetap atau daftar pemilih tambahan sebagaimana dimaksud dalam Pasal 149 ayat (1) huruf c dapat menggunakan kartu tanda penduduk atau paspor.\nayat (2) Untuk Pemilih yang menggunakan kartu tanda penduduk atau paspor sebagaimana dimaksud pada ayat (1) diberlakukan ketentuan:\na. memilih di TPS yang ada di RT/RW atau nama lain sesuai dengan alamat yang tertera di dalam KTP atau paspornya;\nb. terlebih dahulu mendaftarkan diri pada KPPS setempat; dan\nc. dilakukan 1 (satu) jam sebelum selesainya pemungutan suara di TPS setempat.
014,Dimanakah saya harus memilih?,"Di Indonesia, lokasi pemilu dinamakan TPS atau Tempat Pemungutan Suara, sedangkan diluar negeri, disebut TPSLN atau Tempat Pemungutan Suara Luar Negeri","UU No. 8 Tahun 2012 Pasal 1 Ayat 15, 16","15. Tempat Pemungutan Suara, selanjutnya disingkat TPS, adalah tempat dilaksanakannya pemungutan suara. 16. Tempat Pemungutan Suara Luar Negeri, selanjutnya disingkat TPSLN, adalah tempat dilaksanakannya pemungutan suara di luar negeri."
015,Dapatkah seseorang membantu saya dalam bilik suara?,Pemilih yang mendapatkan bantuan khusus pada saat pemilu diperuntukan kepada Penyandang cacat/disabilitas dan lansia.,"UU No. 8 Tahun 2012 Pasal 157 Ayat 1,2,3","(1) Pemilih tunanetra, tunadaksa, dan yang mempunyai halangan fisik lain pada saat memberikan suaranya di \nTPS dapat dibantu oleh orang lain atas permintaan Pemilih. (2) Orang lain yang membantu Pemilih dalam memberikan suara sebagaimana dimaksud pada ayat (1) wajib merahasiakan pilihan Pemilih. (3) Ketentuan lebih lanjut mengenai pemberian bantuan kepada Pemilih diatur dengan peraturan KPU."
016,Di mana saya dapat menemukan informasi lebih lanjut?,"Informasi lebih lanjut dan detail mengenai pemiliu dapat dilihat di situs KPU pusat, KPU provinsi, maupun KPU Kabupaten/Kota.",website KPU,website KPU
017,Apa yang terjadi di TPS?,"TPS atau Tempat Pemungutan Suara adalah tempat dilakukannya proses pemungutan suara. Selain proses pemungutan suara, di TPS juga dilakukan proses penghitungan suara. Lokasi TPS ditentukan oleh KPU.",UU Nomor 8 tahun 2012 dan panduan KPPS dari KPU.,"Tempat Pemungutan Suara, selanjutnya disingkat TPS, adalah tempat dilaksanakannya pemungutan suara."
018,Bagaimana cara mengisi kertas suara?,Kertas suara diisi dengan cara dicoblos menggunakan paku di atas alas coblos yang telah disediakan. Setelah itu kertas suara dilipat kembali seperti semula dan diperlihatkan kepada ketua KPPS. Setelah itu kertas suara dimasukkan ke dalam kotak suara,PKPU Nomor 26 tahun 2013 pasal 39 huruf a-f,"Pemilih yang telah menerima Surat Suara sebagaimana\ndimaksud dalam Pasal 36 ayat (1) huruf d, melakukan\nkegiatan:\na. menuju bilik suara;\nb. membuka surat surat lebar-lebar dan meletakkan di\natas meja yang disediakan sebelum dicoblos;\nc. mencoblos Surat Suara dengan paku di atas alas coblos\nyang telah disediakan sebagaimana dimaksud dalam\nPasal 35 ayat (2) huruf c;\nd. melipat kembali Surat Suara seperti semula, sehingga\ntanda tangan Ketua KPPS tetap terlihat dan tanda\ncoblos tidak dapat dilihat;\ne. setelah memberikan suara di bilik suara, Pemilih\nmenuju tempat kotak suara dan memperlihatkan\nkepada Ketua KPPS bahwa Surat Suara dalam keadaan\nterlipat dan terlihat tanda tangan Ketua KPPS;\nf. memasukkan Surat Suara ke dalam masing-masing\nkotak suara dengan dipandu oleh Anggota KPPS\nKeenam, secara berurutan ke dalam kotak suara Pemilu\nAnggota:\n1. DPR;\n2. DPD;\n3. DPRD Provinsi; dan\n4. DPRD Kabupaten/Kota."
019,Apa saja yang tertera di dalam kertas suara?,"Surat suara DPR, DPRD Provinsi/DPRA/DPRP/DPRPB\ndan DPRD Kabupaten/Kota/DPRK memuat nomor urut partai Politik, tanda gambar partai politik, nama parpol, nomor urut dan nama calon anggota DPR, DPRD Provinsi/DPRA/DPRP/DPRPB\ndan DPRD Kabupaten/Kota/DPRK dan dibuat untuk setiap daerah. Surat suara DPD memuat nomor urut calon, pas foto calon dan nama calon anggota DPD yang dibuat untuk setiap daerah pemilihan/provinsi",PKPU Nomor 26 tahun 2013 pasal 1,"Surat Suara DPR, DPRD Provinsi/DPRA/DPRP/DPRPB\ndan DPRD Kabupaten/Kota/DPRK adalah salah satu\njenis perlengkapan Pemungutan Suara yang berbentuk lembaran kertas dengan desain khusus yang digunakan\noleh Pemilih untuk memberikan suara pada Pemilu\nAnggota DPR, DPRD Provinsi/DPRA/DPRP/DPRPB dan\nDPRD Kabupaten/Kota/DPRK yang memuat nomor urut\nPartai Politik, tanda gambar Partai Politik, nama Partai\nPolitik, nomor urut dan nama calon Anggota DPR, DPRD\nProvinsi/DPRA/DPRP/DPRPB dan DPRD Kabupaten/\nKota/DPRK, yang dibuat untuk setiap daerah.\n21. Surat Suara DPD adalah salah satu jenis perlengkapan\nPemungutan Suara yang berbentuk lembaran kertas\ndengan desain khusus yang digunakan oleh Pemilih\nuntuk memberikan suara pada Pemilu Anggota DPD\nyang memuat nomor urut calon, pas foto calon dan\nnama calon anggota DPD yang dibuat untuk setiap\ndaerah pemilihan/provinsi."
020,bagaimana jika nama saya tidak terdaftar dalam daftar pemilih?,Pemilih yang tidak terdaftar dalam DPT atau DPTb dapat membawa identitas diri seperti KTP atau paspor ke KPPS setempat dan dapat menggunakan hak pilihnya 1 (satu) jam sebelum TPS ditutup.,UU Nomor 8 tahun 2012 pasal 150,Pasal 150\nayat (1) Pemilih yang tidak terdaftar pada daftar pemilih tetap atau daftar pemilih tambahan sebagaimana dimaksud dalam Pasal 149 ayat (1) huruf c dapat menggunakan kartu tanda penduduk atau paspor.\nayat (2) Untuk Pemilih yang menggunakan kartu tanda penduduk atau paspor sebagaimana dimaksud pada ayat (1) diberlakukan ketentuan:\na. memilih di TPS yang ada di RT/RW atau nama lain sesuai dengan alamat yang tertera di dalam KTP atau paspornya;\nb. terlebih dahulu mendaftarkan diri pada KPPS setempat; dan\nc. dilakukan 1 (satu) jam sebelum selesainya pemungutan suara di TPS setempat.
021,"KTP saya hilang ketika hari H pemilu, apakah saya masih bisa memilih?","Jika KTP pemilih hilang, maka silahkan membawa identitas diri lainnya seperti paspor atau bukti apapun yang dapat menunjukkan pemilih berasal dari domisili setempat kepada KPPS sebelum TPS ditutup.",UU Nomor 8 tahun 2012 pasal 150,Pasal 150\nayat (1) Pemilih yang tidak terdaftar pada daftar pemilih tetap atau daftar pemilih tambahan sebagaimana dimaksud dalam Pasal 149 ayat (1) huruf c dapat menggunakan kartu tanda penduduk atau paspor.\nayat (2) Untuk Pemilih yang menggunakan kartu tanda penduduk atau paspor sebagaimana dimaksud pada ayat (1) diberlakukan ketentuan:\na. memilih di TPS yang ada di RT/RW atau nama lain sesuai dengan alamat yang tertera di dalam KTP atau paspornya;\nb. terlebih dahulu mendaftarkan diri pada KPPS setempat; dan\nc. dilakukan 1 (satu) jam sebelum selesainya pemungutan suara di TPS setempat.
022,Saya sudah berusia 17 tahun tapi belum mempunyai KTP. Bolehkah saya memilih?,"Ya, pemilih dapat menunjukan bukti telah berusia 17 (tujuh belas) tahun seperti akte kelahiran atau KK yang sah kepada petugas KPPS.",UU Nomor 8 tahun 2012 pasal 19 dan pasal 20,"Pasal 19\nayat (1) Warga Negara Indonesia yang pada hari pemungutan suara telah genap berumur 17 (tujuh belas) tahun atau lebih atau sudah/pernah kawin mempunyai hak memilih.\nayat (2) Warga Negara Indonesia sebagaimana dimaksud pada ayat (1) didaftar 1 (satu) kali oleh penyelenggara Pemilu dalam daftar Pemilih.\nPasal 20\nUntuk dapat menggunakan hak memilih, Warga Negara Indonesia harus terdaftar sebagai Pemilih kecuali yang ditentukan lain dalam Undang-Undang ini."
023,Bisakah saya memilih melalui pos?,Pemungutan Suara melalui Pos hanya berlaku di PPLN dengan ketentuan berada jauh dari lokasi TPSLN manapun diwilayah tersebut. Namun aturan ini tidak berlaku di Indonesia dengan ketentuan apapun.,"UU Nomor 8 tahun 2012 pasal 158 Ayat 1,2,3","Pasal 158 (1) Pemungutan suara bagi Warga Negara Indonesia yang berada di luar negeri hanya untuk calon anggota DPR. (2)Pemungutan suara sebagaimana dimaksud pada ayat (1) dilaksanakan di setiap Perwakilan Republik Indonesia dan dilakukan pada waktu yang sama atau waktu yang \ndisesuaikan dengan waktu pemungutan suara di Indonesia. (3) Dalam hal Pemilih tidak dapat memberikan suara di TPSLN yang telah ditentukan, Pemilih dapat memberikan suara melalui pos yang disampaikan kepada PPLN di Perwakilan Republik Indonesia setempat."
024,"Pada usia berapa seseorang bisa dikatakan ""Lansia""?",Seseorang bisa dikatakan lansia jika usianya sudah 60 tahun ke atas.,UU Nomor 13 tahun 1998 Pasal 1,Lanjut Usia adalah seseorang yang telah mencapai usia 60 tahun keatas
025,Bolehkan saya membantu rekan saya untuk memilih?,"Boleh, asalkan hal tersebut didasarkan pada keinginan pemilih sendiri. Selain itu Anda juga wajib menjaga kerahasiaan pilihan pemilih",UU Nomor 8 tahun 2012 pasal 157,"(1) Pemilih tunanetra, tunadaksa, dan yang mempunyai halangan fisik lain pada saat memberikan suaranya di TPS dapat dibantu oleh orang lain atas permintaan Pemilih.\n(2) Orang lain yang membantu Pemilih dalam memberikan suara sebagaimana dimaksud pada ayat (1) wajib merahasiakan pilihan Pemilih.\n(3) Ketentuan lebih lanjut mengenai pemberian bantuan kepada Pemilih diatur dengan peraturan KPU."
026,Apakah ada petugas yang khusus untuk membantu saya dalam memilih?,"Pada saat pelaksanaan pemilu, akan ada petugas yang bisa membantu pemilih yg mengalami halangan fisik, yaitu anggota kelompok penyelenggara pemungutan suara (KPPS). Bagi pemilih yg tidak bisa berjalan, dua anggota KPPS akan membantu pemilih menuju bilik pemungutan suara dan pemberian tanda akan dilakukan oleh pemilih sendiri.",Panduan KPPS dari KPU,
027,"Saya tidak bisa membaca, apakah ada petugas yang dapat membantu saya memilih?",Akan ada petugas dari Kelompok Penyelenggara Pemungutan Suara (KPPS) yang bisa membantu pemilih yang tidak bisa membaca.,Panduan KPPS dari KPU,
028,Apa peran petugas KPPS terhadap pemilih lansia?,"Anggota KPPS bertugas untuk membantu pemilih lansia yang mengalami kesulitan dalam proses pemberian suara. Bantuan yang diberikan berupa bantuan untuk mencapai bilik suara, maupun pemberian suara dengan sepengetahuan pemilih yang bersangkutan.",Panduan KPPS dari KPU,
029,"Saya adalah seorang tuna netra (keterbatasan penglihatan), bisakah saya didampingi saat memilih?","Ya bisa, jika memiliki kesulitan saat memilih dapat meminta untuk didampingi dengan sebelumnya melaporkan hal tersebut pada petugas KPPS.",UU No. 10 Tahun 2008 Pasal 156 ayat 1 & PKPU No.35 thn 2008 pasal 31 ayat 1,"UU 10/2008 Pasal 156 (1): Pemilih tunanetra, tunadaksa dan yang mempunyai halangan fisik lain saat memberikan suaranya di TPS dapat dibantu oleh orang lain atas permintaan pemilih. PKPU 35/2008 Pasal 31 (1): Atas permintaan pemilih tuna netra, tuna daksa atau yang mempunyai halangan fisik lain sebagaimana dimaksud dalam pasal 30, ketua KPPS menugaskan Anggota KPPS kelima dan keenam atau orang yang ditunjuk oleh pemilih yang bersangkutan untuk memberikan bantuan menurut cara berikut: a. bagi pemilih yang tidak dapat berjalan, Anggota KPPS kelima dan keenam membantu pemilih menuju bilik pemberian suara, dan pemberian tanda dilakukan oleh pemilih sendiri;\nb. bagi pemilih yang tidak mempunyai kedua belah tangan dan tuna netra, anggota KPPS kelima membantu melakukan pemberian tanda sesuai kehendak pemilih dengan disaksikan oleh anggota KPPS keenam."
030,"Saya adalah seorang tuna daksa (berkursi roda, pincang), bisakah saya didampingi saat memilih?","Ya bisa, jika memiliki kesulitan saat memilih dapat meminta untuk didampingi dengan sebelumnya melaporkan hal tersebut pada petugas KPPS.",UU No. 10 Tahun 2008 Pasal 156 ayat 1 & PKPU No.35 thn 2008 pasal 31 ayat 1,"UU 10/2008 Pasal 156 (1): Pemilih tunanetra, tunadaksa dan yang mempunyai halangan fisik lain saat memberikan suaranya di TPS dapat dibantu oleh orang lain atas permintaan pemilih. PKPU 35/2008 Pasal 31 (1): Atas permintaan pemilih tuna netra, tuna daksa atau yang mempunyai halangan fisik lain sebagaimana dimaksud dalam pasal 30, ketua KPPS menugaskan Anggota KPPS kelima dan keenam atau orang yang ditunjuk oleh pemilih yang bersangkutan untuk memberikan bantuan menurut cara berikut: a. bagi pemilih yang tidak dapat berjalan, Anggota KPPS kelima dan keenam membantu pemilih menuju bilik pemberian suara, dan pemberian tanda dilakukan oleh pemilih sendiri;\nb. bagi pemilih yang tidak mempunyai kedua belah tangan dan tuna netra, anggota KPPS kelima membantu melakukan pemberian tanda sesuai kehendak pemilih dengan disaksikan oleh anggota KPPS keenam."
031,"Saya adalah seorang tuna grahita (keterbelakangan mental, autisme), bisakah saya didampingi saat memilih?","Ya bisa, jika memiliki kesulitan saat memilih dapat meminta untuk didampingi dengan sebelumnya melaporkan hal tersebut pada petugas KPPS.",UU No. 10 Tahun 2008 Pasal 156 ayat 1 & PKPU No.35 thn 2008 pasal 31 ayat 1,"UU 10/2008 Pasal 156 (1): Pemilih tunanetra, tunadaksa dan yang mempunyai halangan fisik lain saat memberikan suaranya di TPS dapat dibantu oleh orang lain atas permintaan pemilih. PKPU 35/2008 Pasal 31 (1): Atas permintaan pemilih tuna netra, tuna daksa atau yang mempunyai halangan fisik lain sebagaimana dimaksud dalam pasal 30, ketua KPPS menugaskan Anggota KPPS kelima dan keenam atau orang yang ditunjuk oleh pemilih yang bersangkutan untuk memberikan bantuan menurut cara berikut: a. bagi pemilih yang tidak dapat berjalan, Anggota KPPS kelima dan keenam membantu pemilih menuju bilik pemberian suara, dan pemberian tanda dilakukan oleh pemilih sendiri;\nb. bagi pemilih yang tidak mempunyai kedua belah tangan dan tuna netra, anggota KPPS kelima membantu melakukan pemberian tanda sesuai kehendak pemilih dengan disaksikan oleh anggota KPPS keenam."
032,"Saya adalah seorang tuna rungu (keterbatasan berbicara dan mendengar), bisakah saya didampingi saat memilih?","Ya bisa, jika memiliki kesulitan saat memilih dapat meminta untuk didampingi dengan sebelumnya melaporkan hal tersebut pada petugas KPPS.",UU No. 10 Tahun 2008 Pasal 156 ayat 1 & PKPU No.35 thn 2008 pasal 31 ayat 1,"UU 10/2008 Pasal 156 (1): Pemilih tunanetra, tunadaksa dan yang mempunyai halangan fisik lain saat memberikan suaranya di TPS dapat dibantu oleh orang lain atas permintaan pemilih. PKPU 35/2008 Pasal 31 (1): Atas permintaan pemilih tuna netra, tuna daksa atau yang mempunyai halangan fisik lain sebagaimana dimaksud dalam pasal 30, ketua KPPS menugaskan Anggota KPPS kelima dan keenam atau orang yang ditunjuk oleh pemilih yang bersangkutan untuk memberikan bantuan menurut cara berikut: a. bagi pemilih yang tidak dapat berjalan, Anggota KPPS kelima dan keenam membantu pemilih menuju bilik pemberian suara, dan pemberian tanda dilakukan oleh pemilih sendiri;\nb. bagi pemilih yang tidak mempunyai kedua belah tangan dan tuna netra, anggota KPPS kelima membantu melakukan pemberian tanda sesuai kehendak pemilih dengan disaksikan oleh anggota KPPS keenam."
033,Apakah seorang tuna grahita berhak untuk memilih?,Semua warga negara Indonesia yang memenuhi syarat untuk memilih berhak ikut pemilu,UUD 1945 pasal 27 ayat 1,Segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya.
034,Apakah seorang tuna netra berhak untuk memilih?,Semua warga negara Indonesia yang memenuhi syarat untuk memilih berhak ikut pemilu,UUD 1945 pasal 27 ayat 1,Segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya.
035,Apakah seorang tuna daksa berhak untuk memilih?,Semua warga negara Indonesia yang memenuhi syarat untuk memilih berhak ikut pemilu,UUD 1945 pasal 27 ayat 1,Segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya.
036,Apakah seorang tuna rungu berhak untuk memilih?,Semua warga negara Indonesia yang memenuhi syarat untuk memilih berhak ikut pemilu,UUD 1945 pasal 27 ayat 1,Segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan itu dengan tidak ada kecualinya.
