kecamatan/_text,pemilih,pengguna_hak_pilih,perolehan_suara_1,perolehan_suara_2,suara_sah,suara_tidak_sah,total_suara,resources
TPS 2,388,221,29,187,216,5,221,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 3,373,201,45,149,194,7,201,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 4,343,232,21,206,227,5,232,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 5,413,238,33,204,237,1,238,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 6,327,195,59,132,191,4,195,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 7,215,215,58,151,209,6,215,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 8,457,211,40,166,206,5,211,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 9,488,342,48,285,333,9,342,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 10,553,288,63,219,282,6,288,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 11,641,269,69,195,264,5,269,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/genting_kalianak
TPS 1,543,295,59,225,284,11,295,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 2,513,302,61,239,300,2,302,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 3,467,247,35,206,241,6,247,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 4,540,336,63,267,330,6,336,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 5,585,399,56,326,382,17,399,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 6,658,414,81,324,405,9,414,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 7,456,261,31,223,254,7,261,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 8,598,387,53,324,377,10,387,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 9,471,293,48,239,287,6,293,https://pilkada2015.kpu.go.id/surabayakota/asem_rowo/tambak_sarioso
TPS 1,531,290,39,248,287,3,290,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 2,518,276,45,230,275,1,276,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 3,533,340,31,307,338,2,340,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 4,641,375,81,290,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 5,609,362,46,309,355,7,362,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 6,612,362,54,303,357,5,362,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 7,453,287,28,256,284,3,287,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 8,585,345,53,283,336,9,345,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 9,257,260,15,241,256,4,260,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 10,595,349,54,284,338,11,349,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 11,521,301,47,247,294,7,301,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 12,672,395,40,348,388,7,395,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 13,563,334,56,271,327,7,334,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 14,564,275,33,237,270,5,275,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 15,583,286,38,246,284,2,286,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 16,694,458,49,404,453,5,458,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 17,533,293,50,240,290,3,293,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 18,490,275,38,237,275,0,275,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 19,448,263,57,205,262,1,263,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 20,470,271,41,225,266,5,271,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 21,438,244,46,192,238,6,244,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 22,486,248,53,193,246,2,248,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 23,592,262,27,234,261,1,262,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 24,609,310,75,230,305,5,310,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 25,353,353,79,271,350,3,353,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 26,706,362,113,239,352,10,362,https://pilkada2015.kpu.go.id/surabayakota/benowo/kandangan
TPS 1,773,490,51,430,481,9,490,https://pilkada2015.kpu.go.id/surabayakota/benowo/romokalisari
TPS 2,609,384,49,332,381,3,384,https://pilkada2015.kpu.go.id/surabayakota/benowo/romokalisari
TPS 3,246,199,8,186,194,5,199,https://pilkada2015.kpu.go.id/surabayakota/benowo/romokalisari
TPS 1,299,155,33,117,150,5,155,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 2,402,259,36,220,256,3,259,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 3,368,250,19,228,247,3,250,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 4,539,302,76,217,293,9,302,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 5,637,346,37,305,342,4,346,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 6,674,278,25,252,277,1,278,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 7,801,466,51,403,454,12,466,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 8,440,334,33,298,331,3,334,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 9,665,422,55,358,413,9,422,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 10,652,363,32,324,356,7,363,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 11,290,173,31,139,170,3,173,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 12,623,369,35,330,365,4,369,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 13,642,373,19,353,372,1,373,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 14,633,386,37,339,376,10,386,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 15,668,442,52,382,434,8,442,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 16,624,327,49,275,324,3,327,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 17,657,421,35,381,416,5,421,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 18,657,426,42,380,422,4,426,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 19,557,324,22,295,317,7,324,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 20,205,205,32,171,203,2,205,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 21,551,260,30,225,255,5,260,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 22,379,210,24,176,200,10,210,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 23,762,306,27,275,302,4,306,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 24,338,201,21,176,197,4,201,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 25,543,266,25,238,263,3,266,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 26,728,412,52,345,397,15,412,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 27,516,321,54,263,317,4,321,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 28,375,375,44,323,367,8,375,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 29,636,313,48,253,301,12,313,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 30,474,310,77,229,306,4,310,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 31,436,297,35,253,288,9,297,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 32,511,345,52,293,345,0,345,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 33,450,233,33,198,231,2,233,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 34,373,217,20,194,214,3,217,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 35,507,283,46,235,281,2,283,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 36,343,218,15,199,214,4,218,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 37,339,228,13,214,227,1,228,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 38,466,300,30,269,299,1,300,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 39,583,354,34,314,348,6,354,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 40,558,346,22,317,339,7,346,https://pilkada2015.kpu.go.id/surabayakota/benowo/sememi
TPS 1,549,271,22,243,265,6,271,https://pilkada2015.kpu.go.id/surabayakota/benowo/tambak_osowilangun
TPS 2,0,295,54,232,286,9,295,https://pilkada2015.kpu.go.id/surabayakota/benowo/tambak_osowilangun
TPS 3,505,238,29,204,233,5,238,https://pilkada2015.kpu.go.id/surabayakota/benowo/tambak_osowilangun
TPS 4,511,235,30,200,230,5,235,https://pilkada2015.kpu.go.id/surabayakota/benowo/tambak_osowilangun
TPS 5,619,356,66,283,349,7,356,https://pilkada2015.kpu.go.id/surabayakota/benowo/tambak_osowilangun
TPS 1,561,248,40,201,241,7,248,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 2,609,208,30,171,201,7,208,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 3,691,312,26,283,309,3,312,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 4,625,265,34,222,256,9,265,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 5,626,248,23,222,245,3,248,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 6,625,272,28,241,269,3,272,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 7,659,249,23,216,239,10,249,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 8,502,191,10,181,191,0,191,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 9,496,241,31,207,238,3,241,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 10,515,252,62,184,246,6,252,https://pilkada2015.kpu.go.id/surabayakota/bubutan/alun-alun_contong
TPS 1,534,252,19,231,250,2,252,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 2,543,294,47,241,288,6,294,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 3,542,261,27,228,255,6,261,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 4,619,361,40,316,356,5,361,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 5,590,329,46,277,323,6,329,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 6,623,241,29,205,234,7,241,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 7,596,302,38,257,295,7,302,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 8,555,268,34,231,265,3,268,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 9,626,235,28,206,234,1,235,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 10,558,257,57,193,250,7,257,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 11,394,198,66,127,193,5,198,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 12,473,149,18,126,144,5,149,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 13,354,164,22,141,163,1,164,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 14,373,205,24,177,201,4,205,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 15,498,257,32,221,253,4,257,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 16,523,285,41,240,281,4,285,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 17,679,285,25,258,283,2,285,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 18,478,252,98,148,246,6,252,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 19,475,207,107,95,202,5,207,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 20,538,322,35,278,313,9,322,https://pilkada2015.kpu.go.id/surabayakota/bubutan/bubutan
TPS 1,529,262,99,158,257,5,262,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 2,556,244,94,143,237,7,244,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 3,492,231,43,184,227,4,231,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 4,457,0,37,184,221,5,226,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 5,451,194,24,170,194,0,194,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 6,367,184,22,157,179,5,184,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 7,495,209,55,151,206,3,209,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 8,502,274,36,237,273,1,274,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 9,280,121,19,100,119,2,121,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 10,361,159,20,135,155,4,159,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 11,558,275,31,240,271,4,275,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 12,426,227,38,188,226,1,227,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 13,561,257,33,221,254,3,257,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 14,533,296,18,273,291,5,296,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 15,504,333,46,280,326,7,333,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 16,569,295,53,237,290,5,295,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 17,518,201,22,176,198,3,201,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 18,532,173,26,144,170,3,173,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 19,525,263,33,221,254,9,263,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 20,0,0,0,0,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 21,542,258,33,223,256,2,258,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 22,546,220,35,182,217,3,220,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 23,477,241,35,200,235,6,241,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 24,604,239,40,197,237,2,239,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 25,0,0,0,0,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 26,421,262,29,228,257,5,262,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 27,550,235,22,211,233,2,235,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 28,535,198,21,176,197,1,198,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 29,522,250,40,206,246,4,250,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 30,513,185,26,157,183,2,185,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 31,0,174,14,160,14,160,174,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 32,529,238,30,202,232,6,238,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 33,0,0,0,0,0,0,0,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 34,520,240,34,203,237,3,240,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 35,507,178,22,148,170,8,178,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 36,501,222,43,176,219,3,222,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 37,493,226,28,194,222,4,226,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 38,489,217,35,177,212,5,217,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 39,564,344,43,293,336,8,344,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 40,601,325,34,288,322,3,325,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 41,616,243,33,204,237,6,243,https://pilkada2015.kpu.go.id/surabayakota/bubutan/gundih
TPS 1,454,248,35,209,244,4,248,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 2,420,232,21,210,231,1,232,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 3,467,267,34,230,264,3,267,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 4,276,166,24,139,163,3,166,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 5,530,294,56,232,288,6,294,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 6,511,264,36,222,258,6,264,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 7,531,237,38,188,226,11,237,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 8,467,311,0,0,306,5,311,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 9,648,278,28,240,268,10,278,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 10,561,266,50,215,265,1,266,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 11,644,388,39,340,379,9,388,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 12,387,213,26,177,203,10,213,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 13,399,222,32,187,219,3,222,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 14,440,264,26,235,261,3,264,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 15,468,248,33,214,247,1,248,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 16,454,265,38,225,263,2,265,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 17,480,257,32,224,256,1,257,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 18,431,198,39,156,195,3,198,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 19,575,311,72,234,306,5,311,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 20,436,250,40,208,248,2,250,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 21,408,227,29,190,219,8,227,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 22,456,253,29,223,252,1,253,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 23,477,241,35,200,235,6,241,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 24,357,171,21,149,170,1,171,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 25,466,277,28,244,272,5,277,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 26,365,235,37,190,227,8,235,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 27,295,200,35,163,198,2,200,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 28,406,214,45,160,205,9,214,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 29,573,298,39,252,291,7,298,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 30,664,253,65,183,250,3,253,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 31,552,277,36,238,274,3,277,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 32,681,284,32,245,277,7,284,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 33,433,171,34,131,165,6,171,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 34,583,255,69,176,245,10,255,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 35,743,321,33,286,319,2,321,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 36,654,368,29,324,353,15,368,https://pilkada2015.kpu.go.id/surabayakota/bubutan/jepara
TPS 1,358,141,20,117,137,4,141,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 2,536,242,49,190,239,3,242,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 3,541,283,51,230,281,2,283,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 4,645,294,28,263,291,3,294,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 5,611,326,53,270,323,3,326,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 6,631,318,39,274,313,5,318,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 7,609,354,40,307,347,7,354,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 8,418,236,38,194,232,4,236,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 9,435,245,42,198,240,5,245,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 10,465,299,46,247,293,6,299,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 11,555,333,69,254,323,10,333,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 12,521,334,30,301,331,3,334,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 13,341,201,24,172,196,5,201,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 14,406,239,31,205,236,3,239,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 15,545,311,38,269,307,4,311,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 16,403,280,38,240,278,2,280,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
TPS 17,514,296,34,255,289,7,296,https://pilkada2015.kpu.go.id/surabayakota/bubutan/tembok_dukuh
