id,dapil_id,party_id,jumlah
89,1602-00-0000,2,"185,673"
90,1701-00-0000,2,"81,522"
91,1801-00-0000,2,"136,637"
92,1802-00-0000,2,"197,130"
93,1901-00-0000,2,"22,662"
94,2101-00-0000,2,"28,976"
95,3101-00-0000,2,"75,423"
96,3102-00-0000,2,"108,440"
97,3103-00-0000,2,"55,318"
98,3201-00-0000,2,"56,098"
99,3202-00-0000,2,"164,779"
100,3203-00-0000,2,"89,244"
101,3204-00-0000,2,"67,854"
102,3205-00-0000,2,"107,879"
103,3206-00-0000,2,"78,897"
104,3207-00-0000,2,"162,383"
105,3208-00-0000,2,"241,657"
106,3209-00-0000,2,"162,079"
107,3210-00-0000,2,"104,694"
108,3211-00-0000,2,"337,170"
109,3301-00-0000,2,"195,225"
110,3302-00-0000,2,"230,157"
111,3303-00-0000,2,"280,384"
112,3304-00-0000,2,"103,911"
113,3305-00-0000,2,"137,727"
114,3306-00-0000,2,"358,790"
115,3307-00-0000,2,"164,535"
116,3308-00-0000,2,"216,461"
117,3309-00-0000,2,"282,131"
118,3310-00-0000,2,"336,121"
119,3401-00-0000,2,"129,943"
120,3501-00-0000,2,"385,629"
121,3502-00-0000,2,"299,534"
122,3503-00-0000,2,"434,967"
123,3504-00-0000,2,"338,523"
124,3505-00-0000,2,"266,530"
125,3506-00-0000,2,"308,253"
126,3507-00-0000,2,"232,005"
127,3508-00-0000,2,"378,531"
128,3509-00-0000,2,"275,141"
129,3510-00-0000,2,"251,178"
130,3511-00-0000,2,"363,611"
131,3601-00-0000,2,"82,575"
132,3602-00-0000,2,"73,477"
133,3603-00-0000,2,"194,094"
134,5101-00-0000,2,"39,281"
135,5201-00-0000,2,"182,320"
136,5301-00-0000,2,"77,683"
137,5302-00-0000,2,"53,242"
138,6101-00-0000,2,"117,937"
139,6201-00-0000,2,"67,753"
140,6301-00-0000,2,"84,713"
141,6302-00-0000,2,"118,180"
142,6401-00-0000,2,"84,147"
143,7101-00-0000,2,"23,930"
144,7201-00-0000,2,"71,783"
145,7301-00-0000,2,"46,444"
146,7302-00-0000,2,"70,266"
147,7303-00-0000,2,"52,120"
148,7401-00-0000,2,"58,772"
149,7501-00-0000,2,"13,285"
150,7601-00-0000,2,"50,166"
151,8101-00-0000,2,"113,294"
152,8201-00-0000,2,"22,655"
153,9101-00-0000,2,"251,772"
154,9201-00-0000,2,"18,174"
155,1101-00-0000,3,"105,868"
156,1102-00-0000,3,"73,940"
157,1201-00-0000,3,"206,247"
158,1202-00-0000,3,"114,424"
159,1203-00-0000,3,"120,894"
160,1301-00-0000,3,"111,750"
161,1302-00-0000,3,"94,010"
162,1401-00-0000,3,"122,611"
163,1402-00-0000,3,"67,392"
164,1501-00-0000,3,"70,303"
165,1601-00-0000,3,"107,319"
166,1602-00-0000,3,"135,197"
167,1701-00-0000,3,"75,826"
168,1801-00-0000,3,"170,327"
169,1802-00-0000,3,"182,644"
170,1901-00-0000,3,"41,897"
171,2101-00-0000,3,"66,095"
172,3101-00-0000,3,"138,029"
173,3102-00-0000,3,"261,477"
174,3103-00-0000,3,"138,399"
175,3201-00-0000,3,"165,442"
176,3202-00-0000,3,"188,925"
177,3203-00-0000,3,"157,667"
178,3204-00-0000,3,"131,156"
179,3205-00-0000,3,"148,011"
180,3206-00-0000,3,"233,738"
181,3207-00-0000,3,"234,477"
182,3208-00-0000,3,"131,850"
183,3209-00-0000,3,"156,451"
184,3210-00-0000,3,"168,738"
185,3211-00-0000,3,"187,093"
186,3301-00-0000,3,"128,963"
187,3302-00-0000,3,"73,075"
188,3303-00-0000,3,"123,354"
189,3304-00-0000,3,"160,546"
190,3305-00-0000,3,"120,918"
191,3306-00-0000,3,"91,774"
192,3307-00-0000,3,"102,966"
193,3308-00-0000,3,"81,773"
194,3309-00-0000,3,"109,527"
195,3310-00-0000,3,"83,612"
196,3401-00-0000,3,"147,875"
197,3501-00-0000,3,"102,720"
198,3502-00-0000,3,"77,448"
199,3503-00-0000,3,"80,360"
200,3504-00-0000,3,"92,281"
201,3505-00-0000,3,"68,050"
202,3506-00-0000,3,"81,017"
203,3507-00-0000,3,"140,147"
204,3508-00-0000,3,"118,341"
205,3509-00-0000,3,"47,047"
206,3510-00-0000,3,"35,505"
207,3511-00-0000,3,"44,195"
208,3601-00-0000,3,"85,277"
209,3602-00-0000,3,"91,247"
210,3603-00-0000,3,"215,323"
211,5101-00-0000,3,"37,090"
212,5201-00-0000,3,"253,870"
213,5301-00-0000,3,"43,761"
214,5302-00-0000,3,"18,238"
215,6101-00-0000,3,"102,146"
216,6201-00-0000,3,"49,522"
217,6301-00-0000,3,"101,440"
218,6302-00-0000,3,"50,668"
219,6401-00-0000,3,"144,705"
220,7101-00-0000,3,"41,434"
221,7201-00-0000,3,"83,990"
222,7301-00-0000,3,"147,115"
223,7302-00-0000,3,"107,095"
224,7303-00-0000,3,"84,756"
225,7401-00-0000,3,"60,177"
226,7501-00-0000,3,"26,499"
227,7601-00-0000,3,"21,261"
228,8101-00-0000,3,"49,528"
229,8201-00-0000,3,"71,757"
230,9101-00-0000,3,"159,653"
231,9201-00-0000,3,"13,961"
232,1101-00-0000,4,"35,419"
233,1102-00-0000,4,"110,281"
234,1201-00-0000,4,"363,024"
235,1202-00-0000,4,"294,918"
236,1203-00-0000,4,"298,486"
237,1301-00-0000,4,"103,069"
238,1302-00-0000,4,"80,996"
239,1401-00-0000,4,"241,648"
240,1402-00-0000,4,"132,839"
241,1501-00-0000,4,"274,143"
242,1601-00-0000,4,"292,999"
243,1602-00-0000,4,"399,848"
244,1701-00-0000,4,"119,296"
245,1801-00-0000,4,"363,555"
246,1802-00-0000,4,"347,791"
247,1901-00-0000,4,"137,085"
248,2101-00-0000,4,"132,412"
249,3101-00-0000,4,"301,010"
250,3102-00-0000,4,"493,938"
251,3103-00-0000,4,"615,225"
252,3201-00-0000,4,"329,095"
253,3202-00-0000,4,"458,909"
254,3203-00-0000,4,"243,176"
255,3204-00-0000,4,"189,011"
256,3205-00-0000,4,"345,307"
257,3206-00-0000,4,"433,127"
258,3207-00-0000,4,"608,658"
259,3208-00-0000,4,"413,101"
260,3209-00-0000,4,"521,530"
261,3210-00-0000,4,"313,984"
262,3211-00-0000,4,"303,513"
263,3301-00-0000,4,"516,122"
264,3302-00-0000,4,"175,036"
265,3303-00-0000,4,"392,472"
266,3304-00-0000,4,"417,714"
267,3305-00-0000,4,"861,673"
268,3306-00-0000,4,"454,259"
269,3307-00-0000,4,"300,978"
270,3308-00-0000,4,"487,813"
271,3309-00-0000,4,"376,245"
272,3310-00-0000,4,"313,293"
273,3401-00-0000,4,"570,531"
274,3501-00-0000,4,"497,347"
275,3502-00-0000,4,"150,395"
276,3503-00-0000,4,"254,532"
277,3504-00-0000,4,"248,968"
278,3505-00-0000,4,"444,112"
279,3506-00-0000,4,"666,338"
280,3507-00-0000,4,"347,140"
281,3508-00-0000,4,"420,196"
282,3509-00-0000,4,"160,182"
283,3510-00-0000,4,"217,923"
284,3511-00-0000,4,"173,812"
285,3601-00-0000,4,"174,580"
286,3602-00-0000,4,"117,960"
287,3603-00-0000,4,"522,977"
288,5101-00-0000,4,"872,885"
289,5201-00-0000,4,"189,569"
290,5301-00-0000,4,"181,859"
291,5302-00-0000,4,"221,962"
292,6101-00-0000,4,"817,770"
293,6201-00-0000,4,"350,701"
294,6301-00-0000,4,"61,799"
295,6302-00-0000,4,"130,565"
296,6401-00-0000,4,"312,574"
297,7101-00-0000,4,"449,675"
298,7201-00-0000,4,"143,106"
299,7301-00-0000,4,"103,141"
300,7302-00-0000,4,"112,263"
301,7303-00-0000,4,"98,111"
302,7401-00-0000,4,"97,056"
303,7501-00-0000,4,"40,606"
304,7601-00-0000,4,"41,678"
305,8101-00-0000,4,"192,731"
306,8201-00-0000,4,"122,504"
307,9101-00-0000,4,"491,591"
308,9201-00-0000,4,"89,334"
309,1101-00-0000,5,"140,954"
310,1102-00-0000,5,"91,546"
311,1201-00-0000,5,"265,125"
312,1202-00-0000,5,"271,787"
313,1203-00-0000,5,"467,586"
314,1301-00-0000,5,"251,511"
315,1302-00-0000,5,"151,738"
316,1401-00-0000,5,"232,278"
317,1402-00-0000,5,"312,708"
318,1501-00-0000,5,"288,724"
319,1601-00-0000,5,"382,985"
320,1602-00-0000,5,"277,947"
321,1701-00-0000,5,"92,612"
322,1801-00-0000,5,"182,202"
323,1802-00-0000,5,"282,116"
324,1901-00-0000,5,"71,063"
325,2101-00-0000,5,"95,354"
326,3101-00-0000,5,"116,472"
327,3102-00-0000,5,"174,908"
328,3103-00-0000,5,"143,048"
329,3201-00-0000,5,"149,982"
330,3202-00-0000,5,"431,915"
331,3203-00-0000,5,"254,742"
332,3204-00-0000,5,"211,831"
333,3205-00-0000,5,"377,588"
334,3206-00-0000,5,"209,513"
335,3207-00-0000,5,"539,911"
336,3208-00-0000,5,"445,760"
337,3209-00-0000,5,"334,967"
338,3210-00-0000,5,"214,519"
339,3211-00-0000,5,"369,901"
340,3301-00-0000,5,"169,515"
341,3302-00-0000,5,"448,420"
342,3303-00-0000,5,"301,851"
343,3304-00-0000,5,"235,865"
344,3305-00-0000,5,"269,446"
345,3306-00-0000,5,"203,508"
346,3307-00-0000,5,"144,563"
347,3308-00-0000,5,"296,890"
348,3309-00-0000,5,"234,622"
349,3310-00-0000,5,"192,602"
350,3401-00-0000,5,"200,474"
351,3501-00-0000,5,"133,644"
352,3502-00-0000,5,"220,105"
353,3503-00-0000,5,"192,166"
354,3504-00-0000,5,"131,667"
355,3505-00-0000,5,"260,100"
356,3506-00-0000,5,"192,811"
357,3507-00-0000,5,"224,850"
358,3508-00-0000,5,"236,372"
359,3509-00-0000,5,"132,904"
360,3510-00-0000,5,"223,961"
361,3511-00-0000,5,"193,641"
362,3601-00-0000,5,"192,641"
363,3602-00-0000,5,"148,768"
364,3603-00-0000,5,"309,083"
365,5101-00-0000,5,"329,620"
366,5201-00-0000,5,"333,282"
367,5301-00-0000,5,"218,845"
368,5302-00-0000,5,"233,351"
369,6101-00-0000,5,"348,986"
370,6201-00-0000,5,"141,095"
371,6301-00-0000,5,"308,267"
372,6302-00-0000,5,"178,047"
373,6401-00-0000,5,"362,238"
374,7101-00-0000,5,"217,265"
375,7201-00-0000,5,"274,610"
376,7301-00-0000,5,"205,288"
377,7302-00-0000,5,"373,964"
378,7303-00-0000,5,"305,589"
379,7401-00-0000,5,"178,294"
380,7501-00-0000,5,"310,790"
381,7601-00-0000,5,"123,048"
382,8101-00-0000,5,"162,549"
383,8201-00-0000,5,"85,413"
384,9101-00-0000,5,"257,767"
385,9201-00-0000,5,"160,242"
386,1101-00-0000,6,"184,538"
387,1102-00-0000,6,"181,847"
388,1201-00-0000,6,"207,398"
389,1202-00-0000,6,"396,545"
390,1203-00-0000,6,"212,699"
391,1301-00-0000,6,"153,689"
392,1302-00-0000,6,"194,591"
393,1401-00-0000,6,"145,252"
394,1402-00-0000,6,"114,822"
395,1501-00-0000,6,"193,970"
396,1601-00-0000,6,"229,436"
397,1602-00-0000,6,"275,950"
398,1701-00-0000,6,"108,507"
399,1801-00-0000,6,"208,796"
400,1802-00-0000,6,"329,847"
401,1901-00-0000,6,"37,250"
402,2101-00-0000,6,"91,942"
403,3101-00-0000,6,"158,604"
404,3102-00-0000,6,"250,800"
405,3103-00-0000,6,"201,376"
406,3201-00-0000,6,"220,728"
407,3202-00-0000,6,"274,411"
408,3203-00-0000,6,"133,647"
409,3204-00-0000,6,"118,565"
410,3205-00-0000,6,"319,846"
411,3206-00-0000,6,"283,126"
412,3207-00-0000,6,"373,811"
413,3208-00-0000,6,"214,523"
414,3209-00-0000,6,"175,017"
415,3210-00-0000,6,"89,400"
416,3211-00-0000,6,"175,688"
417,3301-00-0000,6,"206,577"
418,3302-00-0000,6,"177,111"
419,3303-00-0000,6,"285,557"
420,3304-00-0000,6,"168,597"
421,3305-00-0000,6,"152,378"
422,3306-00-0000,6,"207,410"
423,3307-00-0000,6,"297,057"
424,3308-00-0000,6,"229,642"
425,3309-00-0000,6,"162,077"
426,3310-00-0000,6,"136,674"
427,3401-00-0000,6,"244,144"
428,3501-00-0000,6,"250,459"
429,3502-00-0000,6,"184,263"
430,3503-00-0000,6,"143,379"
431,3504-00-0000,6,"285,750"
432,3505-00-0000,6,"199,899"
433,3506-00-0000,6,"229,513"
434,3507-00-0000,6,"178,963"
435,3508-00-0000,6,"284,944"
436,3509-00-0000,6,"149,778"
437,3510-00-0000,6,"150,926"
438,3511-00-0000,6,"298,696"
439,3601-00-0000,6,"141,161"
440,3602-00-0000,6,"169,466"
441,3603-00-0000,6,"330,883"
442,5101-00-0000,6,"219,521"
443,5201-00-0000,6,"263,621"
444,5301-00-0000,6,"114,910"
445,5302-00-0000,6,"119,019"
446,6101-00-0000,6,"236,281"
447,6201-00-0000,6,"120,019"
448,6301-00-0000,6,"90,359"
449,6302-00-0000,6,"82,039"
450,6401-00-0000,6,"222,472"
451,7101-00-0000,6,"146,007"
452,7201-00-0000,6,"182,217"
453,7301-00-0000,6,"184,859"
454,7302-00-0000,6,"271,072"
455,7303-00-0000,6,"204,331"
456,7401-00-0000,6,"123,957"
457,7501-00-0000,6,"49,342"
458,7601-00-0000,6,"98,461"
459,8101-00-0000,6,"130,794"
460,8201-00-0000,6,"45,594"
461,9101-00-0000,6,"303,396"
462,9201-00-0000,6,"30,175"
463,1101-00-0000,7,"209,598"
464,1102-00-0000,7,"142,411"
465,1201-00-0000,7,"201,404"
466,1202-00-0000,7,"258,731"
467,1203-00-0000,7,"268,564"
468,1301-00-0000,7,"143,703"
469,1302-00-0000,7,"158,528"
470,1401-00-0000,7,"140,856"
471,1402-00-0000,7,"120,348"
472,1501-00-0000,7,"235,471"
473,1601-00-0000,7,"160,683"
474,1602-00-0000,7,"235,682"
475,1701-00-0000,7,"74,443"
476,1801-00-0000,7,"218,348"
477,1802-00-0000,7,"252,444"
478,1901-00-0000,7,"62,718"
479,2101-00-0000,7,"81,150"
480,3101-00-0000,7,"115,382"
481,3102-00-0000,7,"144,339"
482,3103-00-0000,7,"92,272"
483,3201-00-0000,7,"115,236"
484,3202-00-0000,7,"309,279"
485,3203-00-0000,7,"222,686"
486,3204-00-0000,7,"99,899"
487,3205-00-0000,7,"164,422"
488,3206-00-0000,7,"121,262"
489,3207-00-0000,7,"206,295"
490,3208-00-0000,7,"120,914"
491,3209-00-0000,7,"202,920"
492,3210-00-0000,7,"137,215"
493,3211-00-0000,7,"230,886"
494,3301-00-0000,7,"157,245"
495,3302-00-0000,7,"55,631"
496,3303-00-0000,7,"202,818"
497,3304-00-0000,7,"110,433"
498,3305-00-0000,7,"81,667"
499,3306-00-0000,7,"131,447"
500,3307-00-0000,7,"97,465"
501,3308-00-0000,7,"118,282"
502,3309-00-0000,7,"84,622"
503,3310-00-0000,7,"81,109"
504,3401-00-0000,7,"146,688"
505,3501-00-0000,7,"186,270"
506,3502-00-0000,7,"121,303"
507,3503-00-0000,7,"129,880"
508,3504-00-0000,7,"131,743"
509,3505-00-0000,7,"104,411"
510,3506-00-0000,7,"171,222"
511,3507-00-0000,7,"428,434"
512,3508-00-0000,7,"205,557"
513,3509-00-0000,7,"205,387"
514,3510-00-0000,7,"87,310"
515,3511-00-0000,7,"376,536"
516,3601-00-0000,7,"138,046"
517,3602-00-0000,7,"76,324"
518,3603-00-0000,7,"288,584"
519,5101-00-0000,7,"311,246"
520,5201-00-0000,7,"318,713"
521,5301-00-0000,7,"115,315"
522,5302-00-0000,7,"200,695"
523,6101-00-0000,7,"196,890"
524,6201-00-0000,7,"75,467"
525,6301-00-0000,7,"58,248"
526,6302-00-0000,7,"42,823"
527,6401-00-0000,7,"159,977"
528,7101-00-0000,7,"163,775"
529,7201-00-0000,7,"174,006"
530,7301-00-0000,7,"199,652"
531,7302-00-0000,7,"180,747"
532,7303-00-0000,7,"109,506"
533,7401-00-0000,7,"126,764"
534,7501-00-0000,7,"47,662"
535,7601-00-0000,7,"119,801"
536,8101-00-0000,7,"66,517"
537,8201-00-0000,7,"50,587"
538,9101-00-0000,7,"700,150"
539,9201-00-0000,7,"143,869"
540,1101-00-0000,8,"151,996"
541,1102-00-0000,8,"89,200"
542,1201-00-0000,8,"146,803"
543,1202-00-0000,8,"204,956"
544,1203-00-0000,8,"148,913"
545,1301-00-0000,8,"150,297"
546,1302-00-0000,8,"76,351"
547,1401-00-0000,8,"193,454"
548,1402-00-0000,8,"73,276"
549,1501-00-0000,8,"179,438"
550,1601-00-0000,8,"163,175"
551,1602-00-0000,8,"170,275"
552,1701-00-0000,8,"92,680"
553,1801-00-0000,8,"276,424"
554,1802-00-0000,8,"145,040"
555,1901-00-0000,8,"46,306"
556,2101-00-0000,8,"119,044"
557,3101-00-0000,8,"86,236"
558,3102-00-0000,8,"63,158"
559,3103-00-0000,8,"62,146"
560,3201-00-0000,8,"63,390"
561,3202-00-0000,8,"136,765"
562,3203-00-0000,8,"67,575"
563,3204-00-0000,8,"175,742"
564,3205-00-0000,8,"115,933"
565,3206-00-0000,8,"126,457"
566,3207-00-0000,8,"154,557"
567,3208-00-0000,8,"53,113"
568,3209-00-0000,8,"90,683"
569,3210-00-0000,8,"184,161"
570,3211-00-0000,8,"223,104"
571,3301-00-0000,8,"136,583"
572,3302-00-0000,8,"81,132"
573,3303-00-0000,8,"92,244"
574,3304-00-0000,8,"123,963"
575,3305-00-0000,8,"145,363"
576,3306-00-0000,8,"162,515"
577,3307-00-0000,8,"110,604"
578,3308-00-0000,8,"134,829"
579,3309-00-0000,8,"103,357"
580,3310-00-0000,8,"117,612"
581,3401-00-0000,8,"355,787"
582,3501-00-0000,8,"196,645"
583,3502-00-0000,8,"35,305"
584,3503-00-0000,8,"39,671"
585,3504-00-0000,8,"134,691"
586,3505-00-0000,8,"86,699"
587,3506-00-0000,8,"246,975"
588,3507-00-0000,8,"110,770"
589,3508-00-0000,8,"133,289"
590,3509-00-0000,8,"92,422"
591,3510-00-0000,8,"103,575"
592,3511-00-0000,8,"78,863"
593,3601-00-0000,8,"37,898"
594,3602-00-0000,8,"130,641"
595,3603-00-0000,8,"180,089"
596,5101-00-0000,8,"23,628"
597,5201-00-0000,8,"196,074"
598,5301-00-0000,8,"147,298"
599,5302-00-0000,8,"58,607"
600,6101-00-0000,8,"196,212"
601,6201-00-0000,8,"84,259"
602,6301-00-0000,8,"37,725"
603,6302-00-0000,8,"35,343"
604,6401-00-0000,8,"96,998"
605,7101-00-0000,8,"150,989"
606,7201-00-0000,8,"97,049"
607,7301-00-0000,8,"163,965"
608,7302-00-0000,8,"135,876"
609,7303-00-0000,8,"107,039"
610,7401-00-0000,8,"271,231"
611,7501-00-0000,8,"41,222"
612,7601-00-0000,8,"93,977"
613,8101-00-0000,8,"26,473"
614,8201-00-0000,8,"77,099"
615,9101-00-0000,8,"193,145"
616,9201-00-0000,8,"45,242"
617,1101-00-0000,9,"76,785"
618,1102-00-0000,9,"123,946"
619,1201-00-0000,9,"113,622"
620,1202-00-0000,9,"92,088"
621,1203-00-0000,9,"109,234"
622,1301-00-0000,9,"114,123"
623,1302-00-0000,9,"92,173"
624,1401-00-0000,9,"90,671"
625,1402-00-0000,9,"96,530"
626,1501-00-0000,9,"104,628"
627,1601-00-0000,9,"82,937"
628,1602-00-0000,9,"85,825"
629,1701-00-0000,9,"61,856"
630,1801-00-0000,9,"71,490"
631,1802-00-0000,9,"76,615"
632,1901-00-0000,9,"52,370"
633,2101-00-0000,9,"37,760"
634,3101-00-0000,9,"171,269"
635,3102-00-0000,9,"153,147"
636,3103-00-0000,9,"173,436"
637,3201-00-0000,9,"90,496"
638,3202-00-0000,9,"120,748"
639,3203-00-0000,9,"100,955"
640,3204-00-0000,9,"127,217"
641,3205-00-0000,9,"249,578"
642,3206-00-0000,9,"112,758"
643,3207-00-0000,9,"160,208"
644,3208-00-0000,9,"65,018"
645,3209-00-0000,9,"132,952"
646,3210-00-0000,9,"129,544"
647,3211-00-0000,9,"342,330"
648,3301-00-0000,9,"118,254"
649,3302-00-0000,9,"164,286"
650,3303-00-0000,9,"139,679"
651,3304-00-0000,9,"55,950"
652,3305-00-0000,9,"52,877"
653,3306-00-0000,9,"137,499"
654,3307-00-0000,9,"130,237"
655,3308-00-0000,9,"97,771"
656,3309-00-0000,9,"117,118"
657,3310-00-0000,9,"138,102"
658,3401-00-0000,9,"94,435"
659,3501-00-0000,9,"87,293"
660,3502-00-0000,9,"104,711"
661,3503-00-0000,9,"138,113"
662,3504-00-0000,9,"72,720"
663,3505-00-0000,9,"54,572"
664,3506-00-0000,9,"77,248"
665,3507-00-0000,9,"88,026"
666,3508-00-0000,9,"106,248"
667,3509-00-0000,9,"59,656"
668,3510-00-0000,9,"103,518"
669,3511-00-0000,9,"413,230"
670,3601-00-0000,9,"138,003"
671,3602-00-0000,9,"105,439"
672,3603-00-0000,9,"167,518"
673,5101-00-0000,9,"15,047"
674,5201-00-0000,9,"172,421"
675,5301-00-0000,9,"21,575"
676,5302-00-0000,9,"8,700"
677,6101-00-0000,9,"136,564"
678,6201-00-0000,9,"79,756"
679,6301-00-0000,9,"114,920"
680,6302-00-0000,9,"100,162"
681,6401-00-0000,9,"131,381"
682,7101-00-0000,9,"31,601"
683,7201-00-0000,9,"52,099"
684,7301-00-0000,9,"123,091"
685,7302-00-0000,9,"137,320"
686,7303-00-0000,9,"127,373"
687,7401-00-0000,9,"99,140"
688,7501-00-0000,9,"31,114"
689,7601-00-0000,9,"35,619"
690,8101-00-0000,9,"27,702"
691,8201-00-0000,9,"20,000"
692,9101-00-0000,9,"105,766"
693,9201-00-0000,9,"11,325"
694,1101-00-0000,10,"43,414"
695,1102-00-0000,10,"44,768"
696,1201-00-0000,10,"140,224"
697,1202-00-0000,10,"194,856"
698,1203-00-0000,10,"130,059"
699,1301-00-0000,10,"84,626"
700,1302-00-0000,10,"51,522"
701,1401-00-0000,10,"60,949"
702,1402-00-0000,10,"51,757"
703,1501-00-0000,10,"85,439"
704,1601-00-0000,10,"103,787"
705,1602-00-0000,10,"112,766"
706,1701-00-0000,10,"49,668"
707,1801-00-0000,10,"152,407"
708,1802-00-0000,10,"79,789"
709,1901-00-0000,10,"31,748"
710,2101-00-0000,10,"50,736"
711,3101-00-0000,10,"68,217"
712,3102-00-0000,10,"101,191"
713,3103-00-0000,10,"117,344"
714,3201-00-0000,10,"99,538"
715,3202-00-0000,10,"143,900"
716,3203-00-0000,10,"104,716"
717,3204-00-0000,10,"80,901"
718,3205-00-0000,10,"109,489"
719,3206-00-0000,10,"113,633"
720,3207-00-0000,10,"135,598"
721,3208-00-0000,10,"128,972"
722,3209-00-0000,10,"90,137"
723,3210-00-0000,10,"49,996"
724,3211-00-0000,10,"100,406"
725,3301-00-0000,10,"63,885"
726,3302-00-0000,10,"62,914"
727,3303-00-0000,10,"92,740"
728,3304-00-0000,10,"92,114"
729,3305-00-0000,10,"55,214"
730,3306-00-0000,10,"101,462"
731,3307-00-0000,10,"62,151"
732,3308-00-0000,10,"49,274"
733,3309-00-0000,10,"93,511"
734,3310-00-0000,10,"57,487"
735,3401-00-0000,10,"42,782"
736,3501-00-0000,10,"87,069"
737,3502-00-0000,10,"57,632"
738,3503-00-0000,10,"54,276"
739,3504-00-0000,10,"46,578"
740,3505-00-0000,10,"77,777"
741,3506-00-0000,10,"81,857"
742,3507-00-0000,10,"83,324"
743,3508-00-0000,10,"131,355"
744,3509-00-0000,10,"38,621"
745,3510-00-0000,10,"21,475"
746,3511-00-0000,10,"355,259"
747,3601-00-0000,10,"50,402"
748,3602-00-0000,10,"58,676"
749,3603-00-0000,10,"165,214"
750,5101-00-0000,10,"77,247"
751,5201-00-0000,10,"222,410"
752,5301-00-0000,10,"46,151"
753,5302-00-0000,10,"102,104"
754,6101-00-0000,10,"86,741"
755,6201-00-0000,10,"50,941"
756,6301-00-0000,10,"62,794"
757,6302-00-0000,10,"32,316"
758,6401-00-0000,10,"98,587"
759,7101-00-0000,10,"91,875"
760,7201-00-0000,10,"123,646"
761,7301-00-0000,10,"113,526"
762,7302-00-0000,10,"90,172"
763,7303-00-0000,10,"83,026"
764,7401-00-0000,10,"40,315"
765,7501-00-0000,10,"36,640"
766,7601-00-0000,10,"22,253"
767,8101-00-0000,10,"27,120"
768,8201-00-0000,10,"23,345"
769,9101-00-0000,10,"135,257"
770,9201-00-0000,10,"17,430"
771,1101-00-0000,14,"39,988"
772,1102-00-0000,14,"27,518"
773,1201-00-0000,14,"42,961"
774,1202-00-0000,14,"47,437"
775,1203-00-0000,14,"39,302"
