id,participant_id,name,revenue,operating_expenses,capital_expenditures,other_expenses,balance,cash_special_account,cash_treasurer,goods
246,180,"MARTIN RANTAN, S.H.",500000,,,,500000,,500000,
247,181,"Ir. H. DARMANSYAH, M.M.",2000000,,,,2000000,,2000000,
248,465,"H. BOYMAN HARUN, S.H.",,,,,,1000000,,
249,81,"H. MUSTAFID FAUZAN, S.E",50000,,,,,50000,,
250,633,"Hj. SRI HARTINI, SE",1000000,,,,,1000000,,
251,273,ONE KRISNATA,10000000,,,,,10000000,,
252,1006,"H. Muh. Buddu, SE",300000000,,,,,,300000000,
253,506,"H. Wahyu Ade Pratama Imran, SH",500000000,,,,,50000000,500000000,
254,507,"Drs. H. Tony Herbiansyah, M.Si",50000000,,,,50000000,,,
255,224,H. Syamsu Alam,200000000,37500000,,,,350000000,162500000,
256,986,M. Ridwan Landipo,500000,,,,,,500000,
257,985,"H. M. Nur Sinapoy, SE, M.Si",10500000,,,,,,10500000,
258,508,"Ir. H. Amrullah, MT",1000000,800000,,,,,200000,
259,226,"Muhammad Endang SA, S.Sos",26000000,,,,,,26000000,
260,942,"Rusmin Abdul Gani, SE",,,,,,100000,,
261,943,"H. Surunuddin Dangga, ST, MM",200000000,175000000,25000000,,,,,
262,407,"H. ASNAWI SYUKUR TOHALU. S.Sos.,MM",67164000,64164000,,,,,3000000,
263,963,"Drs. H. ASWAD SULAIMAN P, M.Si",175000000,,,,,175046315,-46315,
264,978,"ANWAR, S.Sos",40000000,,,,,5000000,35000000,
265,969,"IR. RUKSAMIN, M.Si",,,,,,,2000000,
266,125,"H. ALPIDRI SUPIAN NOOR, SE",200000000,8475600,,,191524400,1000000,190524400,
267,131,"MUHAMAD ALAMSYAH, ST, M.AP",6000000,,,,6000000,1000000,5000000,
268,130,"H. M. IQBAL YUDIANNOOR, SE",616278000,97107000,37826000,,481345000,,,
269,445,"H. IRHAMI RIDJANI, S.Sos., M.Si",,,,,5000000,5000000,,
270,720,"H. RUDI SURYANA S.Sos., MM.Pd",5000000,,,,5000000,,5000000,
271,1251,SAYED JAFAR ALAYDRUS,10500000,,,,10500000,10500000,,
272,733,DJUNAIDY DRAKERL,10005000,,,,,10005000,,
273,1005,MUHAMMAD RUDINI,10000000,48201,,,,9951799,,
274,725,"SUPIAN HADI, S.Ikom",1000000,,,,,1000000,,
275,730,MUHAMMAD ARSYAD,55000000,,,,54991836,54991836,,
276,330,Ir.H. Marjan Ustha ,100200000,100000000,,,,200000,,
277,402,"Indra Putra, ST",1000000,,,,,1000000,,
278,774,"Drs.H.Mursini,M.Si",1000000,36511,,,,963543,,
279,936,Ir. Rama Alexander Asia,200000,,15131000,,,,-14931000,15131000
280,60,"Drs. Abed Nego, MA",,,,,,500000,-500000,
281,61,"AMANTIUS UGAU, SE, MM",20100000,,15000000,,,5100000,,5000000
282,623,"FX. YAPAN, SH",25000000,,20000000,,,5000000,,11000000
283,1254,SUGIANTO,1500000,,,,,1500000,,
284,188,WAHYU,1000000,,,,1000000,1000000,,
285,1216,IDHAM KHALID,1500000,20000,,,,1480086,,
286,189,"RITA WIDYASARI, S.Sos., MM., Ph.D",3000000,170000,,,,2830000,,
287,606,"Drs. H. Ardiansyah Sulaiman, M.Si",110000000,,,,,110000000,,
288,545,"Ir. H. Ismunandar, MT",250000000,173070000,30430000,,,1000000,,
289,608,"Hj. Norbaiti, A.Md",420000000,61510405,308500000,,,49989595,,
290,928,Dr. Ir. H. Zainal Arifin Dalimunthe,50000000,49950000,,,,,50000,
291,929,"Mahini Rizal, ST.",2100000,,,,,,2100000,
292,52,"DR. H. TIGOR PANUSUNAN SIREGAR, SP.PD",251100045,1002000,,,,250098045,,
293,568,"H. Pangonal, SE, M.SI",2000000,1000000,,,,1000000,,
294,57,"SUHARI, S.IP",1350028,,,,,850208,500000,
295,543,"H. WILDAN ASWAN TANJUNG, SH, MM",500000,,,,500000,,500000,
296,41,"H. WILDAN ASWAN TANJUNG, SH, MM",500000,,,,500000,,500000,
297,959,"H. Usman, SE.M.Si.",500000,,,,500000,,500000,
298,541,"H. MINAN PASARIBU, SH, MM ",75000000,10719000,6920000,,,75000000,,
299,940,"H. KHARUDDIN SYAH, SE ALIAS H.BUYUNG",5700000,,,,5700000,5000000,,700000
300,47,H. ALI WANSAH,1500000,500000,,,,,,
301,1055,H. MUJIANTO,67000172,12000000,0,,55000171,55000171,0,0
302,1043,"H. FADELI, SH., MM.",312338000,239088500,,,73250000,10000000,,21850000
303,1057,"H. NURSALIM, Amd.RO",270002603,257251821,,,17750782,5002082,12748700,
304,602,"HI. RYCKO MENOZA SZP, SE., SH., MBA",440500000,430700000,,,9800000,500000,9300000,
305,1195,"M. SHOLEH BAJURI, S.Hi,M.Hi",181850000,181600000,,,250000,250000,,
306,601,"DR. H. Zainudin Hasan, MHum",900000000,19500000,,,880200000,880000000,200000,
307,10,"MUDIYANTO THOYIB, B.A",490000000,487032600,2000000,,2967400,500000,467400,2000000
308,594,"DR. IR. H. MUSTAFA, M.H.",490000000,487032600,2000000,,2967400,500000,467400,2000000
309,599,"H. GUNADI IBRAHIM, S.E.",200500000,151750000,,,48750000,500000,48250000,
310,252,SAMIDJO,5000000,3900000,,,1100000,1000000,100000,
311,939,Yusran Amirullah,640500000,305800000,,,334700000,200500000,134200000,
312,932,Chusnunia Chalim,275000000,130000000,144500000,,145000000,200000,300000,144500000
313,933,Erwin Arifin,50632000,49632000,,,1000000,,1000000,
314,665,"H. ROSJONSYAH, SIP, M.Si",,,,,50000,50000,,
315,142,"MASROPENIRYADI, SE, M.Si",200100000,,,,200100000,100000,200000000,
316,670,"Hj. LENI HARYATI JOHN LATIEF, SE, M.Si",500000,,,,500000,,500000,
317,147,"WILYAN BACHTIAR, SIP",,,,,0,5000000,-5000000,
318,695,KOPLI ANSORI,590000000,,27991500,,590000000,500000000,62008500,27991500
319,787,"IR. IRFENDI ARBI, MP",100000,,,,100000,100000,,
320,66,"H. RIFA YENDI, SH",100993328,,,,100993328,100993328,,
321,893,"H. AZWAR CHES PUTRA, SE",470274,,,,470274,,470274,
322,559,"DRS.H.ASYIRWAN YUNUS, M.SI",200000,,,,200000,,,
323,823,Mohd.Ikhsan Fansuri ST,100000000,84425000,2700000,,15575000,15000000,575000,
324,816,H. Alias Wello. S. IP,95000000,74892148,,,20107852,100000,20007852,
325,825,Usman Taufik,14096000,3000000,,,11096000,,11096000,
326,820,Harlianto S.kom,30250000,,,,30250000,,30250000,
327,212,"H. MOH. SUHAILI FT, SH",1100000,100000,,,1000000,1000000,-,
328,984,"H. LALU WIRATMAJA, SH",700000,500000,,,200000,200000,-,
329,310,"H.L. SUPRAYATNO, SH.MM",1300000,300000,,,1000000,1000000,-,
330,1215,SUHARTO,579500000,500000,,,,579000000,- ,
331,311,"TGH. LALU GEDE M. ALI WIRASAKTI AMIR MURNI,LC.MA",10245000,245000,3000000,,10000000,5000000,2000000,3000000
332,550,"Dr. H. NAJMUL AKHYAR, SH.,MH",204150000,58590000,,,145560000,102195000,43365000,
333,769,"H. DJOHAN SJAMSU, SH",21700,5000,,,16700,1000000,-983300,
334,909,DR. H. Badaruddin A. Picunang,600000000,593900000,,,6100000,1000000,5100000,
335,911,H. M. Nur Husain,80340000,79340000,24500000,,1000000,1000000,,
336,732,Ir. M. Thorig Husler,250000,,,,250000,238000,,
337,410,DRS. H. ARIFIN JUNAIDI,177693143,127750000,,,49943143,49943143,,
338,667,"HJ. INDAH PUTRI INDRIANI, S.IP, M.SI",5000000,,,,5000000,,,
339,584,"BONIFASIUS BELAWAN GEH, SE.",100000000,,,,100000000,100000000,,
340,187,DRS. STANISLAUS LIAH,110000000,77000000,22000000,,11000000,1000000,10000000,
341,586,"MS. RUSLAN, SH., MH., M.Si",190100016,159000000,,,31100016,31100016,,
342,647,"Drs. H.Fahmi Massiara, MH",1000000,,,,1000000,1000000,,
