lembaga,provinsi_id,dapil_id,partai_id,calon_urutan,calon_id,nama,kelamin,tinggal,agama,tempat_lahir,tanggal_lahir
DPD,11,,,33,DPD1133,"TEUKU EDDY FAISAL RUSYDI, S.H.I., M.Sc.",L,BIREUEN,,,
DPD,11,,,34,DPD1134,"TEUKU  KAMARUZZAMAN, S.H.",L,KOTA BANDA ACEH,,,
DPD,11,,,35,DPD1135,H. TEUKU MUKHTAR ANSHARI Z.A,L,ACEH BARAT,,,
DPD,11,,,36,DPD1136,TGK. T. ABDUL MUTHALIB,L,PIDIE,,,
DPD,11,,,37,DPD1137,TGK. H. ABDURRAHMAN B.T.M,L,ACEH TIMUR,,,
DPD,11,,,38,DPD1138,TGK. H. RASYIDIN ABDULLAH,L,ACEH UTARA,,,
DPD,11,,,39,DPD1139,"Ir. TGK. H. SUBKI EL MADNY, M.T.",L,ACEH UTARA,,,
DPD,11,,,40,DPD1140,H. WAISUL QARANI ALY,L,KOTA BANDA ACEH,,,
DPD,12,,,1,DPD1201,"Dr. BADIKENITA B.R SITEPU, S.E., M. Si.",P,KOTA MEDAN,,,
DPD,12,,,2,DPD1202,"Dr. Ir. BENNY PASARIBU, M.Ec.",L,JAKARTA SELATAN,,,
DPD,12,,,3,DPD1203,Drs. BINROT RAJAGUKGUK,L,KOTA MEDAN,,,
DPD,12,,,4,DPD1204,Prof. Dr. Ir. Hj. DARMAYANTI LUBIS,P,KOTA MEDAN,,,
DPD,12,,,5,DPD1205,DARWIN HAMONANGAN LUBIS,L,KOTA MEDAN,,,
DPD,12,,,6,DPD1206,"DEDI ISKANDAR BATUBARA, S.Sos., S.H., M.S.P.",L,KOTA MEDAN,,,
DPD,12,,,7,DPD1207,"Drs. E.B. SINAGA, M.M.",L,JAKARTA BARAT,,,
DPD,12,,,8,DPD1208,EDDY G.P MANURUNG,L,KOTA MEDAN,,,
DPD,12,,,9,DPD1209,Ir. EDISON SIANTURI,L,KOTA MEDAN,,,
DPD,12,,,10,DPD1210,"EKA DHARMAYANTO, S.E.",L,DELI SERDANG,,,
DPD,12,,,11,DPD1211,"Ir. ERICK SITOMPUL, M.H.",L,JAKARTA SELATAN,,,
DPD,12,,,12,DPD1212,Drs. HARIS,L,KOTA BEKASI,,,
DPD,12,,,13,DPD1213,IBRAHIM SAKTY BATUBARA,L,KOTA MEDAN,,,
DPD,12,,,14,DPD1214,"MANANDUS  SITANGGANG, S.Sos.",L,PEMATANGSIANT AR,,,
DPD,12,,,15,DPD1215,"MUHAMMAD NUH, M.S.P.",L,KOTA MEDAN,,,
DPD,12,,,16,DPD1216,Drs. Ir. NAGASAKTI PERANGIN-ANGIN,L,KOTA MEDAN,,,
DPD,12,,,17,DPD1217,"PARLINDUNGAN PURBA, S.H., M.M.",L,KOTA MEDAN,,,
DPD,12,,,18,DPD1218,"RAFDINAL, S.Sos., M.A.P.",L,KOTA MEDAN,,,
DPD,12,,,19,DPD1219,"RAHMAT HIDAYAT, S.E.",L,KOTA MEDAN,,,
DPD,12,,,20,DPD1220,Drs. H. RIJAL SIRAIT,L,KOTA MEDAN,,,
DPD,12,,,21,DPD1221,RUDOLF MAZUOKA PARDEDE,L,KOTA MEDAN,,,
DPD,12,,,22,DPD1222,"Drs. H. SYARIFUL MAHYA BANDAR, M.A.P.",L,KOTA MEDAN,,,
DPD,12,,,23,DPD1223,"Dr. TOGU HARLEN LBN. RAJA, S.E., M.Si.",L,KOTA MEDAN,,,
DPD,12,,,24,DPD1224,"TURUNAN GULO, S.P., M.S.P.",L,KOTA MEDAN,,,
DPD,13,,,1,DPD1301,"Hj. AFRIZALTY, S.H",P,KOTA PADANG,,,
DPD,13,,,2,DPD1302,"H. ALIRMAN SORI, S.H., M.Hum., M.M.",L,PESISIR SELATAN,,,
DPD,13,,,3,DPD1303,"Ir. H. ANDI HARMAINI, M.M",L,KOTA PADANG,,,
DPD,13,,,4,DPD1304,"DAVIP MALDIAN, S.Sos",L,KOTA PADANG,,,
DPD,13,,,5,DPD1305,Hj. EMMA YOHANNA,P,KOTA PADANG,,,
DPD,13,,,6,DPD1306,"Dr. Ir. H. HERMAN DARNEL IBRAHIM, M.Sc",L,JAKARTA TIMUR,,,
DPD,13,,,7,DPD1307,Drs. H. IRDINANSYAH TARMIZI,L,KOTA PADANG,,,
DPD,13,,,8,DPD1308,IRMAN GUSMAN,L,KOTA PADANG,,,
DPD,13,,,9,DPD1309,JEFFRIE GEOVANIE,L,JAKARTA SELATAN,,,
DPD,13,,,10,DPD1310,Drs. JHONI AFRIZAL,L,BANDUNG,,,
DPD,13,,,11,DPD1311,"H. LEONARDY HARMAINY Dt. BANDARO BASA, S.I.P., M.H.",L,KOTA PADANG,,,
DPD,13,,,12,DPD1312,"Drs. M. SAYUTI, M.Pd",L,KOTA PADANG,,,
DPD,13,,,13,DPD1313,"H. M. YAMIN FERRIANTO TARA, S.E",L,JAKATRA TIMUR,,,
DPD,13,,,14,DPD1314,"Drs. H. MARDINAS N. SYAIR, M.M., M.H",L,PESISIR SELATAN,,,
DPD,13,,,15,DPD1315,"MASRIZAL MUNAF, S.T., M.M",L,JAKARTA SELATAN,,,
DPD,13,,,16,DPD1316,H. MIZWAR ABBAS,L,KOTA BANDUNG,,,
DPD,13,,,17,DPD1317,MUHAMMAD RAHMAD,L,JAKARTA PUSAT,,,
DPD,13,,,18,DPD1318,"H. NOFI CANDRA, S.E",L,KOTA SOLOK,,,
DPD,13,,,19,DPD1319,RAHMAD HIDAYAT,L,KOTA DEPOK,,,
DPD,13,,,20,DPD1320,"H. SANI MARIKO, S.H., M.Hum",L,KOTA SOLOK,,,
DPD,13,,,21,DPD1321,S.T. KHAIRUL AZMI Dt. BIJO DIRAJO,L,KOTA PARIAMAN,,,
DPD,13,,,22,DPD1322,SYAFWAN Dt. SAMPONO ALAM,L,KOTA PADANG,,,
DPD,13,,,23,DPD1323,"YONG HENDRI, S.H",L,KOTA SAWAHLUNTO,,,
DPD,13,,,24,DPD1324,"ZULHERMAN, S.Pd., M.M",L,KOTA PADANG,,,
DPD,13,,,25,DPD1325,"Ir. H. ZULKARNAIN KAMSYA, M.S",L,KOTA PADANG,,,
DPD,14,,,1,DPD1401,"Drs. H. ABDUL GAFAR USMAN, M.M",L,KOTA PEKANBARU,,,
DPD,14,,,2,DPD1402,"AFRI, S.P",L,KUANTAN SINGINGI,,,
DPD,14,,,3,DPD1403,"AGUSTIAN RASMANTO, S.E",L,INDRAGIRI HILIR,,,
DPD,14,,,4,DPD1404,AMRIL PILIANG,L,KOTA PEKANBARU,,,
DPD,14,,,5,DPD1405,H. ARSADIANTO RACHMAN,L,KOTA PEKANBARU,,,
DPD,14,,,6,DPD1406,DESMIANTO,L,KOTA PEKANBARU,,,
DPD,14,,,7,DPD1407,"H. ILYAS LABAY, S.Sos., M.Si",L,KOTA DUMAI,,,
DPD,14,,,8,DPD1408,"INTSIAWATI AYUS, S.H., M.H",P,KOTA PEKANBARU,,,
DPD,14,,,9,DPD1409,"IWA SIRWANI BIBRA , S.Sos., M.M",P,KOTA PEKANBARU,,,
DPD,14,,,10,DPD1410,"KHAIRUDDIN , S.H.I., M.Ag.",L,KOTA PEKANBARU,,,
DPD,14,,,11,DPD1411,"Dr. Hj. MAIMANAH UMAR, M.A",P,KOTA PEKANBARU,,,
DPD,14,,,12,DPD1412,"KH. MOCH. ALWI ARIFIN, S.Pd",L,KAMPAR,,,
DPD,14,,,13,DPD1413,"MUHAMMAD MUZAMIL, S.E",L,BENGKALIS,,,
DPD,14,,,14,DPD1414,"NARLIS, M.A",L,KOTA PEKANBARU,,,
DPD,14,,,15,DPD1415,"Ir. H. NAWASIR KADIR , M.M",L,KOTA PEKANBARU,,,
DPD,14,,,16,DPD1416,"RIBHAN DWI JAYANA , S.H., M.H",L,KOTA PEKANBARU,,,
DPD,14,,,17,DPD1417,ROSTI ULI PURBA,P,KOTA PEKANBARU,,,
DPD,14,,,18,DPD1418,"H. SAID ZOHRIN, S.H., M.H",L,KOTA PEKANBARU,,,
DPD,14,,,19,DPD1419,"Drs. SUDARMO HASAN, M.A",L,KOTA PEKANBARU,,,
DPD,14,,,20,DPD1420,"H. SUSILO, S.E., M.M",L,KOTA PEKANBARU,,,
DPD,14,,,21,DPD1421,SUTRISNO .S,L,BENGKALIS,,,
DPD,14,,,22,DPD1422,Drs. H. TAUFIK IKRAM JAMIL,L,KOTA PEKANBARU,,,
DPD,14,,,23,DPD1423,WAN ABU BAKAR,L,KOTA PEKANBARU,,,
DPD,14,,,24,DPD1424,ZULHUSNI DOMO,L,KAMPAR,,,
DPD,14,,,25,DPD1425,"H. ZULKARNAEN, S.H., M.H",L,KOTA PEKANBARU,,,
DPD,15,,,1,DPD1501,H. ABU BAKAR JAMALIA,L,TANJUNG JABUNG BARAT,,,
DPD,15,,,2,DPD1502,"ANDI YUSMAN, S.E",L,SAROLANGUN,,,
DPD,15,,,3,DPD1503,"ANGGI PURNAMA HARAHAP, S.H",L,KOTA JAMBI,,,
DPD,15,,,4,DPD1504,"Drs. H. ASRA H.D, M.Pd.I",L,KOTA JAMBI,,,
DPD,15,,,5,DPD1505,"AZMAN, S.H",L,KOTA JAMBI,,,
DPD,15,,,6,DPD1506,AZWAN HERWANTO,L,TANJUNG JABUNG BARAT,,,
DPD,15,,,7,DPD1507,BENNY PRATAMA SOFWAN,L,KOTA JAMBI,,,
DPD,15,,,8,DPD1508,"Hj. DARYATI UTENG S, S.E., M.M",P,KOTA JAMBI,,,
DPD,15,,,9,DPD1509,HALILINTAR,L,BUNGO,,,
DPD,15,,,10,DPD1510,"HASBI ANSHORY, S.E., M.M",L,BATANGHARI,,,
DPD,15,,,11,DPD1511,"IIN INAWATI, S.Pd",P,MERANGIN,,,
DPD,15,,,12,DPD1512,"H. INDRA ARMENDARIS, S.H",L,KOTA JAMBI,,,
DPD,15,,,13,DPD1513,Dra. Hj. IRINA SAFITRI,P,KOTA JAMBI,,,
DPD,15,,,14,DPD1514,"H. IRSAL YUNUS, S.E., M.M",L,JAKARTA TIMUR,,,
DPD,15,,,15,DPD1515,JEFRI HENDRIK,L,KOTA JAMBI,,,
DPD,15,,,16,DPD1516,JONI AHYAR,L,JAKARTA BARAT,,,
DPD,15,,,17,DPD1517,Dra. Hj. JUNIWATI T. MASJCHUN S,P,KOTA JAMBI,,,
DPD,15,,,18,DPD1518,"Ir. KAMIL RUSDI, M.Si",L,MUARO JAMBI,,,
DPD,15,,,19,DPD1519,"KEMAS AL FARIZI ARSYAD, S.E",L,KOTA JAMBI,,,
DPD,15,,,20,DPD1520,"LINDA ASTUTY, S.E., M.M",P,KOTA JAMBI,,,
DPD,15,,,21,DPD1521,"M. SYUKUR, S.H",L,MERANGIN,,,
DPD,15,,,22,DPD1522,"MOHD. SYARIEF GAMAL, S.H., M.H",L,KOTA JAMBI,,,
DPD,15,,,23,DPD1523,"MOHON INDRAJAYA, S.H",L,KOTA JAMBI,,,
DPD,15,,,24,DPD1524,"MUHAMMAD YASIR ARAFAT, S.E",L,KOTA JAMBI,,,
DPD,15,,,25,DPD1525,"H. NUZRAN JOHER, S.Ag., M.Si",L,KOTA SUNGAI PENUH,,,
DPD,15,,,26,DPD1526,"SUKARNO, S.H",L,KOTA JAMBI,,,
DPD,15,,,27,DPD1527,"H. SURYADI, S.Ag.",L,JAKARTA SELATAN,,,
DPD,15,,,28,DPD1528,SYAHRI,L,KOTA JAMBI,,,
DPD,15,,,29,DPD1529,"UNTUNG SUSANTO, S.Pd",L,KERINCI,,,
DPD,15,,,30,DPD1530,"YATNO, S.P",L,MERANGIN,,,
DPD,15,,,31,DPD1531,YOPI MUTHALIB,L,KOTA JAMBI,,,
DPD,15,,,32,DPD1532,Drs. ZULKARNAIN ALFATH,L,MUARA JAMBI,,,
DPD,16,,,1,DPD1601,"ABDUL AZIZ, S.H.",L,KOTA PALEMBANG,,,
DPD,16,,,2,DPD1602,ABDUL AZIZ KAMIS,L,KOTA PALEMBANG,,,
DPD,16,,,3,DPD1603,"ACHMAD BARNAS, S.E., M.M.",L,KOTA BEKASI,,,
DPD,16,,,4,DPD1604,"Drs. H. AIDIL FITRI SYAH, M.M.",L,KOTA PALEMBANG,,,
DPD,16,,,5,DPD1605,ALAMSYAH MUSTOMI,L,KOTA PALEMBANG,,,
DPD,16,,,6,DPD1606,"Hj. ASMAWATI, S.E., M.M.",P,KOTA PALEMBANG,,,
DPD,16,,,7,DPD1607,"Drs. H. DARWIN AZHAR, M.M.",L,KOTA PALEMBANG,,,
DPD,16,,,8,DPD1608,Drs. DARYONO,L,KOTA PALEMBANG,,,
DPD,16,,,9,DPD1609,"ENDU SANTOSO, S.T.",L,KOTA PALEMBANG,,,
DPD,16,,,10,DPD1610,"FIRMANSYAH, S.E., M.Si.",L,KOTA PALEMBANG,,,
DPD,16,,,11,DPD1611,"HELMI IBRAHIM, S.H., M.Hum.",L,KOTA PALEMBANG,,,
DPD,16,,,12,DPD1612,HENDRI ZAINUDDIN,L,KOTA PALEMBANG,,,
DPD,16,,,13,DPD1613,"H. IDHAM KHALID, S.H.",L,KOTA PALEMBANG,,,
DPD,16,,,14,DPD1614,"KARTILA, S.E.",P,KOTA PALEMBANG,,,
DPD,16,,,15,DPD1615,H. M. BASIR D.A,L,KOTA PALEMBANG,,,
DPD,16,,,16,DPD1616,H. MOHD. LUTFI IZZUDDIN,L,KOTA PALEMBANG,,,
DPD,16,,,17,DPD1617,"Dr. H. MUCH. BARYADI, S.E., M.M.",L,KOTA PALEMBANG,,,
DPD,16,,,18,DPD1618,Drs. H. NOVIARMAN KAILANI,L,KOTA PALEMBANG,,,
DPD,16,,,19,DPD1619,"Hj. PERCHA LEANPURI, B.Bus., M.B.A.",P,KOTA PALEMBANG,,,
DPD,16,,,20,DPD1620,"Hj. ROGAYATI BAIDJURI, S.H.",P,KOTA PALEMBANG,,,
DPD,16,,,21,DPD1621,"Hj. SHINTA PARAMITA SARI, S.H., M.Hum.",P,MUARA ENIM,,,
DPD,16,,,22,DPD1622,"SISKA MARLENI, S.E., M.Si.",P,MUSI BANYUASIN,,,
DPD,16,,,23,DPD1623,"Hj. SITI FARIDA, S.Pd.",P,KOTA PALEMBANG,,,
DPD,16,,,24,DPD1624,"SOLEHUN, M.Pd.",L,KOTA PALEMBANG,,,
DPD,16,,,25,DPD1625,"Drs. H. SYARIFUDIN ALI AMIN, S.H.",L,KOTA PALEMBANG,,,
DPD,16,,,26,DPD1626,Ir. SYUKRI ZUBER,L,KOTA PALEMBANG,,,
DPD,16,,,27,DPD1627,"TAUFIKURROHMAN,  S.Sos.",L,KOTA PALEMBANG,,,
DPD,16,,,28,DPD1628,"ZULKIFLI, S.Pd.I.",L,KOTA PALEMBANG,,,
DPD,17,,,1,DPD1701,"Ir. AHMAD HAMIM WICAKSONO, M.Sc.",L,BENGKULU,,,
DPD,17,,,2,DPD1702,"H. AHMAD KANEDI, S.H., M.H.",L,BENGKULU,,,
DPD,17,,,3,DPD1703,Ir. BABULHAIRIEN A.B,L,BENGKULU,,,
DPD,17,,,4,DPD1704,Dipl-Ing. H. BAMBANG PRAJITNO SOEROSO,L,BENGKULU,,,
DPD,17,,,5,DPD1705,"CUPLI RISMAN, S.Sos.",L,KOTA DEPOK,,,
DPD,17,,,6,DPD1706,"DINMAR, S.Kom.",L,JAKARTA BARAT,,,
DPD,17,,,7,DPD1707,DJATMIKO,L,BENGKULU,,,
DPD,17,,,8,DPD1708,"Dra. Hj. ENI KHAIRANI, M.Si.",P,BENGKULU,,,
DPD,17,,,9,DPD1709,ERI YANTO,L,MUKOMUKO,,,
DPD,17,,,10,DPD1710,"IQBAL BASTARI, S.Pd.",L,REJANG LEBONG,,,
DPD,17,,,11,DPD1711,"H. MOHAMMAD SALEH, S.E.",L,BENGKULU,,,
DPD,17,,,12,DPD1712,MUHAMMAD KOSIM,L,BENGKULU,,,
DPD,17,,,13,DPD1713,"MUSPANI, S.H.",L,BENGKULU,,,
DPD,17,,,14,DPD1714,"RADIANTO STAR, S.T.",L,JAKARTA TIMUR,,,
DPD,17,,,15,DPD1715,"DR. RAHIMULLAH, S.H., M.Si.",L,JAKARTA BARAT,,,
DPD,17,,,16,DPD1716,RIRI DAMAYANTI,P,BENGKULU,,,
DPD,17,,,17,DPD1717,"Dr. Ir. H. RUSLAN WIJAYA, S.E., M.A.P.",L,BENGKULU,,,
DPD,17,,,18,DPD1718,"Drs. H. SALAMUN HARIS M, M.Si.",L,BENGKULU,,,
DPD,17,,,19,DPD1719,SYAIFUL ANWAR BACHSIN,L,BENGKULU,,,
DPD,17,,,20,DPD1720,"YUAN RASUGI SANG, S.Sos., M.H.",L,BENGKULU,,,
DPD,18,,,1,DPD1801,"Ir. A. AZIS ADYAS, S.H.",L,JAKARTA SELATAN,,,
DPD,18,,,2,DPD1802,"H. ACHMAD SYABIRIN H. A KOENANG, S.H. M.H.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,3,DPD1803,Ir. AGUSMAN EFFENDI,L,JAKARTA SELATAN,,,
DPD,18,,,4,DPD1804,"AHMAD FARMADI PUTRA, S.H.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,5,DPD1805,"H. AHMAD JAJULI, S.I.P.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,6,DPD1806,"ANANDA TOHPATI.N. R,S.P.Si.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,7,DPD1807,Ir. ANANG PRIHANTORO,L,LAMPUNG TENGAH,,,
DPD,18,,,8,DPD1808,Dr. H. ANDI SURYA,L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,9,DPD1809,ARDIAN SAPUTRA,L,LAMPUNG UTARA,,,
DPD,18,,,10,DPD1810,"ARIEF BUDI ATMOKO, S.T, M.T.",L,BANDAR LAMPUNG,,,
DPD,18,,,11,DPD1811,"Ir. H. ARYODHIA FEBRIANSYA, SZP, S.H",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,12,DPD1812,H. ISMAIL ZULKARNAIN,L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,13,DPD1813,"ISWANDI, A. Md.",L,LAMPUNG SELATAN,,,
DPD,18,,,14,DPD1814,"H. KHAIRUDIN GUSTAM, S.E.",L,KOTA METRO,,,
DPD,18,,,15,DPD1815,MOH. YUSUF,L,WAY KANAN,,,
DPD,18,,,16,DPD1816,"MUHYIDIN THOHIR, S.Pd.I.",L,LAMPUNG TENGAH,,,
DPD,18,,,17,DPD1817,Ir.Hi. NUR ZAINI,L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,18,DPD1818,"RIDA BUDIYATI, S.Kom.",P,KOTA BANDAR LAMPUNG,,,
DPD,18,,,19,DPD1819,"H. SM. HERLAMBANG,S.H.M.H.",L,LAMPUNG TENGAH,,,
DPD,18,,,20,DPD1820,Ir. SUHENDRA RATU PRAWIRA NEGARA,L,LAMPUNG UTARA,,,
DPD,18,,,21,DPD1821,"H. SUMINTO MARTONO,S.H.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,22,DPD1822,"KOLONEL (Purn.) H. SUNARDI, S.Sos, M.H.",L,KOTA BANDAR LAMPUNG,,,
DPD,18,,,23,DPD1823,"SYARIF, S.H.",L,LAMPUNG TENGAH,,,
DPD,18,,,24,DPD1824,TUTI W. MALANO,P,KOTA BANDAR LAMPUNG,,,
DPD,18,,,25,DPD1825,Ir. WORO ARY WERDHANI,P,KOTA METRO,,,
DPD,18,,,26,DPD1826,ZAINAL MA'ARIF,L,KOTA SURAKARTA,,,
DPD,19,,,1,DPD1901,Drs. H. A.  HUDARNI RANI,L,KOTA PANGKALPINANG,,,
DPD,19,,,2,DPD1902,"Ir. AGUNG SETIAWAN, M.M.",L,BANGKA,,,
DPD,19,,,3,DPD1903,"BAHAR BUASAN, S.T.",L,BANDUNG,,,
DPD,19,,,4,DPD1904,"H. ERNAWAN REBUIN, M.M.",L,KOTA PANGKALPINANG,,,
DPD,19,,,5,DPD1905,"FADJAR FAIRY, S.H.",L,BELITUNG,,,
DPD,19,,,6,DPD1906,"HERRY ERFIAN, S.T.",L,BANGKA TENGAH,,,
DPD,19,,,7,DPD1907,Ir. H. IWANSYAH,L,BANGKA BARAT,,,
DPD,19,,,8,DPD1908,"H. JAWARNO, S.I.P.",L,BANGKA,,,
DPD,19,,,9,DPD1909,H. MUHAMMAD SULAHUDIN,L,KOTA PANGKALPINANG,,,
DPD,19,,,10,DPD1910,Dra. Hj. NURLAELA,P,JAKARTA TIMUR,,,
DPD,19,,,11,DPD1911,"Drs. H. PARHAN ALI, M.M.",L,BANGKA BARAT,,,
DPD,19,,,12,DPD1912,"H. PATRIS LUMUMBA, S.H.",L,KOTA PANGKALPINANG,,,
DPD,19,,,13,DPD1913,"Ir. R. RUDY IRAWAN, M.M.",L,JAKARTA SELATAN,,,
DPD,19,,,14,DPD1914,SOFIAN ROMLI,L,BANGKA,,,
DPD,19,,,15,DPD1915,"H. SYAMSUDDIN BASARI, S.Sos., M.Si.",L,BELITUNG,,,
DPD,19,,,16,DPD1916,"TELLIE, S.E.",L,BELITUNG,,,
DPD,19,,,17,DPD1917,"Dr. YUSRON IHZA, L.L.M.",L,JAKARTA SELATAN,,,
DPD,19,,,18,DPD1918,ZUBAIDAH,P,KOTA PANGKALPINANG,,,
DPD,19,,,19,DPD1919,"ZULFRIANDI AFAN, S.E.",L,BELITUNG,,,
DPD,19,,,20,DPD1920,"Ir. H. ZULKARNAEN SYAMSUDIN, M.M., M.B.A.",L,KOTA PANGKALPINANG,,,
DPD,19,,,21,DPD1921,"Drs. H. ZULKARNAIN KARIM, M.M.",L,KOTA PANGKALPINANG,,,
DPD,21,,,1,DPD2101,"DJASARMEN PURBA, S.H.",L,KOTA BATAM,,,
DPD,21,,,2,DPD2102,"FAHRUDDIN NASUTION, B.A.",L,KOTA TANJUNG PINANG,,,
DPD,21,,,3,DPD2103,HARDI SELAMAT HOOD,L,KOTA BATAM,,,
DPD,21,,,4,DPD2104,HARIPINTO  TANUWIDJAJA,L,KOTA BATAM,,,
DPD,21,,,5,DPD2105,HERI IRIANTO,L,KOTA BATAM,,,
DPD,21,,,6,DPD2106,MANGARA SONANG NASUTION,L,KOTA BATAM,,,
DPD,21,,,7,DPD2107,"Ir. MOHAMAD NABIL, M.Si.",L,KOTA BATAM,,,
DPD,21,,,8,DPD2108,"PERIS TAMBA, S.E., M.M.",L,KOTA BATAM,,,
DPD,21,,,9,DPD2109,RADEN HARI TJAHYONO,L,KOTA BATAM,,,
DPD,21,,,10,DPD2110,"RAHMATSYAH RAMADHANY DHANY ISMETH, M.B.A., M.Sc.",L,KOTA BATAM,,,
DPD,21,,,11,DPD2111,RIA SAPTARIKA,L,KOTA BATAM,,,
DPD,21,,,12,DPD2112,"Dr. RICHARD H PASARIBU, B.Sc., M.Sc.",L,KOTA BATAM,,,
DPD,21,,,13,DPD2113,H. SAIDUL KHUDRI,L,KOTA BATAM,,,
DPD,21,,,14,DPD2114,"Dra. Hj. SYAMSINAR YUSUF, M.M.",P,KOTA TANJUNG PINANG,,,
DPD,21,,,15,DPD2115,"Drs. H. ZULBAHRI M, M.Pd.",L,KOTA BATAM,,,
DPD,31,,,1,DPD3101,"A. SYAMSUL ZAKARIA, S.H., M.H.",L,JAKARTA SELATAN,,,
DPD,31,,,2,DPD3102,Dr. (HC.)  A.M. FATWA,L,JAKARTA PUSAT,,,
DPD,31,,,3,DPD3103,ABDI SUMAITHI,L,JAKARTA BARAT,,,
DPD,31,,,4,DPD3104,"ABDUL AZIS KHAFIA, S.Si., M.Si.",L,JAKARTA TIMUR,,,
DPD,31,,,5,DPD3105,ARDI PUTRA BARAMULI,L,JAKARTA PUSAT,,,
DPD,31,,,6,DPD3106,Prof. Dr. DAILAMI FIRDAUS,L,JAKARTA TIMUR,,,
DPD,31,,,7,DPD3107,DASRIL,L,JAKARTA UTARA,,,
DPD,31,,,8,DPD3108,"dr. EDDI JUNAIDI, Sp.OG., S.H., M.Kes.",L,JAKARTA TIMUR,,,
DPD,31,,,9,DPD3109,"Drs. EDDY SADELI, S.H.",L,JAKARTA BARAT,,,
DPD,31,,,10,DPD3110,F.X. OERIP SOEDJOED,L,JAKARTA TIMUR,,,
DPD,31,,,11,DPD3111,"FAHIRA IDRIS, S.E.",P,JAKARTA SELATAN,,,
DPD,31,,,12,DPD3112,HERU COKRO,L,JAKARTA SELATAN,,,
DPD,31,,,13,DPD3113,"Dr.Ir. HERU J. JUWONO, M.T.",L,JAKARTA BARAT,,,
