id,question,answer
016,Emang partai yang ikut Pemilu ada berapa? dan apa aja?,Ada 15 Partai yang mengikuti Pemilu yaitu 12 Partai Nasional dan 3 Partai Lokal Aceh yang hanya bisa dipilih oleh warga Aceh.\n\nAdapun 12 Partai Nasional yang mengikuti Pemilu ialah:\n\nPartai Nasional Demokrat (NasDem).\nPartai Kebangkitan Bangsa (PKB).\nPartai Keadilan Sejahtera (PKS).\nPartai Demokrasi Indonesia Perjuangan (PDI P).\nPartai Golongan Karya (GOLKAR).\nPartai Gerakan Indonesia Raya (GERINDRA).\nPartai Demokrat.\nPartai Amanat Nasional (PAN).\nPartai Persatuan Pembangunan (PPP).\nPartai Hati Nurani Rakyat (HANURA).\nPartai Bulan Bintang (PBB).\nPartai Keadilan dan Persatuan Indonesia (PKPI).\n\nAdapun 3 Partai Lokal Aceh yang mengikuti Pemilu ialah:\n\nPartai Damai Aceh (PDA).\nPartai Nasional Aceh (PNA).\nPartai Aceh (PA).
017,DPR itu apaan?,Dewan Perwakilan Rakyat Republik Indonesia atau sering disebut Dewan Perwakilan Rakyat (disingkat DPR-RI atau DPR) adalah salah satu lembaga tinggi negara dalam sistem ketatanegaraan Indonesia yang merupakan lembaga perwakilan rakyat. DPR terdiri atas anggota partai politik peserta pemilihan umum yang dipilih melalui pemilihan umum.
018,DPD itu apaan?,"Dewan Perwakilan Daerah (disingkat DPD), sebelum 2004 disebut Utusan Daerah, adalah lembaga tinggi negara dalam sistem ketatanegaraan Indonesia yang anggotanya merupakan perwakilan dari setiap provinsi yang dipilih melalui Pemilihan Umum."
019,DRPD itu apaan?,Dewan perwakilan rakyat daerah (disingkat DPRD) adalah bentuk lembaga perwakilan rakyat (parlemen) daerah (provinsi/kabupaten/kota) di Indonesia yang berkedudukan sebagai unsur penyelenggara pemerintahan daerah bersama dengan pemerintah daerah.
020,Cara tau dana kampanye caleg atau partai gimana ya?,"Untuk mengetahui dana kampanye partai politik peserta pemilu 2014 dapat diakses melalui link ini http://kpu.go.id/index.php?option=com_content&task=view&id=8522&Itemid=499. Adapun dana kampanye caleg sudah terintegrasi didalamnya. Hal ini sesuai dengan Undang-Undang Nomor 8 Tahun 2012 tentang Pemilu DPR, DPD, dan DPRD, lalu Peraturan KPU (PKPU) Nomor 17 Tahun 2013 tentang Pedoman Pelaporan Dana Kampanye Peserta Pemilu Anggota DPR, DPD, dan DPRD."
021,"Cara memilihnya gimana sih? contreng, centang, coblos?",Teknis pemilihan pada kertas suara di Pemilu 2014 di 9 April menggunakan cara mencoblos.
022,Bedanya pemilu legislatif sama pemilu presiden apa?,"Pemilu Legislatif ialah pemilihan umum ditujukan untuk memilih anggota lembaga perwakilan, yaitu DPR, DPD, DPRD Provinsi, dan DPRD Kabupaten/Kota. Sedangkan Pemilu Presiden ialah pemilihan umum untuk memilih presiden dan wakil presiden."
023,"Kalo ada pelanggaran pemilu, lapornya kemana ya?","Masyarakat dapat melaporkan pelanggaran pemilu ke Badan Pengawasan Pemilu (Bawaslu) dengan persyaratan sebagai berikut:\n\na. Warga negara Indonesia yang sudah punya hak pilih.\n\nb. Peserta pemilu.\n\nc. Pemantau pemilu yang terakreditasi.\n\nd. Pemilih yang sudah berumur 17 tahun atau sudah menikah Saat melapor, pelapor harus memenuhi persyaratan seperti melampirkan tempat dan waktu kejadi, dan kronologis kejadian yang dilaporkan, saksi minimal dua orang, dan identitas jelas si pelapor dan saksi (lampiran fotocopy KTP atau identitas sah lainnya).\n\ne. Laporan dapat ditujukan kepada Bawaslu daerah atau panwaslu kabupaten/kota dalam kurun waktu tujuh hari sejak ditemukannya pelanggaran."
024,"Saudara saya sedang dalam tahanan penjara, apakah ia bisa mengikuti Pemilu? prosedurnya gimana?","Untuk keperluan pemberian suara bagi pemilih yang menjadi narapidana di lembaga pemasyarakatan, KPU Kabupaten/Kota membentuk TPS pada Lembaga Pemasyarakatan. Bagi pemilih yang menjadi tahanan di Lembaga Pemasyarakatan, dengan ketentuan pemilih yang bersangkutan dapat memberikan suara di TPS yang dibentuk pada Lembaga Pemasyarakatan."
025,"Saya sedang dirawat di rumah sakit, bisakah saya mengikuti Pemilu dari kamar pasien?","Pemilih yang menjalani rawat inap di rumah sakit atau petugas rumah sakit dapat memberikan suara di TPS terdekat dengan lokasi rumah sakit dengan ketentuan sebagai berikut:\n\na. Pemilih atau keluarga pemilih memberitahukan kepada PPS/KPPS di tempat pemilih yang bersangkutan terdaftar dalam Daftar Pemilih Tetap (DPT), bahwa pemilih yang bersangkutan menjalani rawat inap di rumah sakit dan tidak dapat memberikan suara di TPS yang telah ditetapkan.\n\nb. PPS/KPPS meneliti nama pemilih yang bersangkutan dalam salinan Daftar Pemilih Tetap (DPT). Apabila nama pemilih yang bersangkutan tercantum dalam salinan Daftar Pemilih Tetap (DPT), PPS/KPPS memberikan Suara Pemberitahuan (model A5).\n\nc. Keluarga pemilih yang bersangkutan wajib melaporkan kepada KPPS yang terdekat dengan rumah sakit dimana pemilih yang bersangkutan menjalani rawat inap, paling lambat pada hari pemungutan suara."
026,"Saya bekerja di lepas pantai ketika hari H Pemilu, bisakah saya ikut mencoblos? bagaimana caranya?","Untuk dapat menggunakan hak pilihnya pemilih dalam kondisi tertentu sebagaimana disebutkan di atas tetap harus terdaftar sebagai pemilih dalam DPT. Apabila pemilih dalam keadaan tertentu yang bersangkutan tidak dapat menggunakan hak pilihnya di TPS asalnya, maka mereka dapat dicantumkan ke dalam Daftar Pemilih Tetap Tambahan (DPTB) dan akan menerima surat pemberitahuan pemilih untuk digunakan sebagai dasar pemberian suara di TPS lain. Hal ini berlaku juga untuk Pemilih Tuna Wisma dan masyarakat terasing atau nomaden."
027,Apakah hak pilih saya terjamin kerahasiaannya?,"Ya, sesuai dengan Undang-undang Nomor 22 Tahun 2007 Tentang Penyelenggara Pemilu, Panitia mempunyai tugas penting dalam pelaksanaan semua tahapan penyelenggaraan Pemilihan Umum dalam rangka mengawal terwujudnya Pemilihan Umum secara langsung, umum, bebas, rahasia, jujur, dan adil."
