id,event_record_number,event_title,geographic,initial_date,final_date
44,yfAeNO/event/1803,Pencabulan Dua Orang Anak di Banda Aceh,Aceh,2014-04-14,
45,yfAeNO/event/184,Penangkapan Sewenang-wenang Sulaiman alias Ule Bara  di Aceh,Aceh,2012-03-10,0000-00-00
46,yfAeNO/event/185,Penangkapan Sewenang-wenang dan Penyiksaan,Aceh,2012-03-10,0000-00-00
47,yfAeNO/event/186,Penangkapan Sewenang-wenang Warga di Aceh,Aceh,2012-03-10,0000-00-00
48,yfAeNO/event/1920,Pengabaian Hak Tersangka di Aceh,Aceh,2014-05-19,
49,yfAeNO/event/1928,Kriminalisassi Warga di Sigli,Aceh,2014-05-22,
50,yfAeNO/event/2004,Pembubaran Aksi Mahsiswa di Banda Aceh,Aceh,2014-07-19,
51,yfAeNO/event/204,Penembakan Warga di Aceh,Aceh,2012-03-24,
52,yfAeNO/event/226,Penangkapan Warga di Aceh,Aceh,2012-04-14,0000-00-00
53,yfAeNO/event/294,Pelecehan Seksual WIR (inisial) di Aceh,Aceh,2013-01-17,0000-00-00
54,yfAeNO/event/317,Penganiayaan Abdullah di Aceh,Aceh,2013-02-01,0000-00-00
55,yfAeNO/event/332,Bentrokan Demonstran di Aceh,Aceh,2013-02-04,0000-00-00
56,yfAeNO/event/34,Penyiksaan 2 Orang Siswa oleh Polisi di Aceh Utara,Aceh,2013-04-07,2013-04-07
57,yfAeNO/event/35,Intimidasi Terhadap Jurnalis oleh Kasat Reskrim Polres Aceh Utara,Aceh,2013-04-07,2013-04-07
58,yfAeNO/event/358,Penembakan 2 tersangka pembawa ganja di Aceh,Aceh,2013-02-12,0000-00-00
59,yfAeNO/event/375,Penyiksaan Warga di Aceh,Aceh,2013-02-19,0000-00-00
60,yfAeNO/event/379,Penganiayaan Seorang Jurnalis The Globe Journal oleh Anggota Polisi di Aceh,Aceh,2013-11-01,2013-11-01
61,yfAeNO/event/381,"Penganiayaan Seorang Kakek oleh Anggota Polisi karna Diduga Dukun Santet di Nagan Raya, Aceh",Aceh,2013-11-01,2013-11-01
62,yfAeNO/event/384,Penembakan Tersangka Kasus Curanmor di Lhokseumawe,Aceh,2013-11-01,2013-11-01
63,yfAeNO/event/390,"Penembakan 3 Orang Tahanan Yang Kabur Dari Mapolsek Johan Pahlawan, Aceh Jaya",Aceh,2013-11-01,2013-11-01
64,yfAeNO/event/400,Penganiayaan dan Penangkapan Sewenang-Wenang Mahasiswa Unimal Aceh Utara di Aceh Timur,Aceh,2013-11-05,2013-11-05
65,yfAeNO/event/416,Bentrokan Petugas Sipir di Aceh,Aceh,2012-04-30,0000-00-00
66,yfAeNO/event/464,Penangkapan Warga di  Aceh Singkil,Aceh,2012-05-22,0000-00-00
67,yfAeNO/event/50,Penembakan Tersangka Kasus Curanmor di Aceh,Aceh,2013-04-12,2013-04-12
68,yfAeNO/event/560,Penembakan Pengunjuk rasa di Aceh,Aceh,2012-07-09,0000-00-00
69,yfAeNO/event/562,Penangkapan 66 warga di  Nagan Raya,Aceh,2012-07-10,0000-00-00
70,yfAeNO/event/62,Penangkapan Aktivis KAPHA dan Pembuaran Paksa Aksi Solidaritas untuk Korban Pemerkosaan di Banda Aceh,Aceh,2013-04-16,2013-04-17
71,yfAeNO/event/623,Bentrokan Mahasiswa di Aceh,Aceh,2013-06-17,0000-00-00
72,yfAeNO/event/629,Pembubaran paksa aksi Mahasiswa di Aceh,Aceh,2012-07-29,0000-00-00
73,yfAeNO/event/687,PenembakanTersangka Kasus Narkoba di Aceh,Aceh,2013-06-22,0000-00-00
74,yfAeNO/event/690,Pemerasan Sejumlah warga di Aceh,Aceh,2012-08-23,0000-00-00
75,yfAeNO/event/694,Penganiayaan warga di Aceh,Aceh,2012-08-27,0000-00-00
76,yfAeNO/event/697,Penangkapan Dua Mahasiswa di Aceh,Aceh,2012-08-30,0000-00-00
77,yfAeNO/event/727,Penembakan 2 Orang Tersangka Kasus Curanmor di Aceh,Aceh,2013-11-24,2013-11-24
78,yfAeNO/event/809,Pelarangan & Pengusiran Alimin & Pengikutnya di Aceh,Aceh,2013-04-23,0000-00-00
79,yfAeNO/event/844,Penyegelan & Pengerusakan Yayasan di Aceh,Aceh,2013-03-05,0000-00-00
80,yfAeNO/event/874,Penangkapan Seoarng Pendeta di Aceh,Aceh,2013-09-04,
81,yfAeNO/event/882,Penyiksaan 5 Orang Tahanan di Aceh,Aceh,2013-09-05,
82,yfAeNO/event/955,Penganiayaan 5 Orang Siswa di Sabang,Aceh,2014-01-02,
