id,description,anggota_id
23,"Pernah terlibat kasus Voucher Pulsa bergambar Jokowi dan Caleg DPR RI PDIP nomor urut 5, Haji Indra P Simatupang yang beredar di sekolah dan di sejumlah daerah di Bogor, pada masa kampanye Pileg 2014.",15
24,"Terlibat kasus bolos anggota Komisi VI dari Fraksi Partai Demokrasi Indonesia (PDI) Perjuangan, Sukur Nababan.",16
25,Peringkat kehadiran 0 persen selama Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),17
26,"Diduga terlibat kasus tindak pidana korupsi dana bantuan sosial tahun anggaran 2011-2012 melalui program aspirasi, saat ybs masih menjabat sebagai ketua DPRD Karawang.",18
27,Ybs ditemukan tewas dirumahnya pada 27 Juli 2014,18
28,Diduga pernah terlibat kasus penelantara TKI di Dubai Pasca Studi Banding ke Rusia pada tahun 2011,19
29,"Pernah dilaporkan ke Badan Kehormatan (BK) DPR  RI oleh Komisi Nasional (Komnas) Perempuan terkait dugaan pelecehan, saat menjabat sebagai Wakil Ketua Komisi I DPR RI, pada tahun 2013.",20
30,Merupakan ketua Pansus RUU (yang sudah disahkan menjadi UU) Pengadaan Tanah bagi Pembangunan untuk Kepentingan Umum pada tahun 2011,21
31,Diduga terlibat kasus korupsi kegiatan seminar dan konferensi Kementerian Luar Negeri tahun 2004-2005.,22
32,Diduga terlibat kasus suap terkait pemecatan Direksi TVRI pada tahun 2013.,22
33,Diduga terlibat kasus korupsi asuransi fiktif anggota dewan Kota Semarang periode 1999-2004 jilid empat,23
34,Melibatkan anak dibawah umur dalam kampanye Pileg 2014 di Jawa Tengah.,24
35,Peringkat kehadiran hanya 25 persen selama Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),24
36,Diduga terlibat kasus video porno pada tahun 2012,25
37,"Termasuk anggota DPR yang sering membolos dengan presentasi kehadiran hanya 33 persen dalam Masa Sidang I, Tahun Sidang 2012-2013 (16 Agustus-25 Oktober 2012)",26
38,Diduga terlibat kasus korupsi belanja pemeliharaan sarana prasarana taman Kota Semarang tahun 2012 saat menjabat sebagai Kabid Pertamanan Dinas Kebersihan dan Pertamanan Kota (DKP) Semarang,27
39,Diduga turut terlibat dalam kasus suap Peraturan Daerah Riau soal pelaksanaan PON tahun 2012,28
40,Diduga terlibat dalam kasus korupsi terkait proyek pengadaan sarana dan prasarana olahraga di Hambalang,28
41,Diduga terlibta kasus korupsi terkait kasus suap alih fungsi lahan hutan lindung di Bogor yang menjerat Bupati Bogor Rachmat Yasin.,29
42,"Merupakan tersangka kasus korupsi dana hibah untuk Komisi Olahraga Nasional Indonesia (KONI) setempat 2011 lalu. Korupsi dana hibah ini menggunakan dan APBD Bantul sebesar Rp 12,5 miliar.",30
43,"Diduga terlibat kasus intimidasi terhadap sejumlah mahasiswa Universitas Gajah Mada (UGM) yang melakukan penolakan terhadap kampanye Jokowi bertajuk ‘Bedah Visi Misi Pendidikan Nasional Jokowi’ yang berlangsung di Wisma Kagama, UGM, Yogyakarta, Senin (30/6)",31
44,Merupakan anggota DPR yang dikenal sering bolos dengan persetase kehadiran hanya 20 persen selama Masa sidang I tahun sidang 2012-2013 (16 Agustus-25 Oktober 2012) dan 25 persen selama Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),32
45,"Pernah dilaporkan oleh 6 orang pemain Persebaya karna dituduh melanggar pasal 374 KUHP tentang penggelapan dengan jabatan, dan pasal 372 tentang penggelapan saat ybs menjabat sebagai manajer tim Persebaya. Itu terkait belum jelasnya pembayaran pesangaon dan sisa kontrak para pemain Persebaya tersebut.",33
46,"Termasuk aggota DPR yang sering membolos dengan persentasi kehadiran hanya 25 persen pada Masa Sidang II, Tahun Sidang 2012-2013 (19 November-14 Desember 2012)",34
47,Diduga terlibat kasus korupsi pengadaan Elektronik KTP (E-KTP) dan menerima uang sebesar US$ 500.0000,35
48,"Diduga terlibat kasus politik uang pada masa kampanye Pileg 2014 dengan alat bukti berupa amplop, uang pecahan Rp 10 ribu dan gambar wajahnya bisa dijumpai di rumah-rumah warga, namun tak ada satu pun orang yang mau menjadi saksi.",36
49,Diduga memberikan perlindungan terhadap seorang terduga koruptor atas namaOlly Dondokambey terkait kasus dugaan korupsi Hambalang pada 2013 lalu.,36
50,"Merupakan anggota DPR yang rajin membolos dengan persentase kehadiran hanya tingkat kehadiran 40% Masa sidang III tahun 2011-2012 (9 Januari-12 April 2012), 20% pada Masa sidang IV tahun sidang 2011-2012 (14 Mei-13 Juli 2012) dan 44% pada Masa sidang I tahun sidang 2012-2013 (16 Agustus-25 Oktober 2012)",36
51,Diduag terlibat kasus Penggunaan fasilitas Negara untuk kampanye pada kegiatan Sosialisasi Kependudukan di Kantor Kecamatan Kayen Kidul yang digelar oleh Dispendukcapil Kabupaten Kediri pada 20 November lalu.,36
52,Pernah diperiksa KPK terkait kasus korupsi pengadaan Sistem Komunikasi Radio Terpadu (SKRT) pada tahun 2012. Mindo menjadi saksi dalam kasus korupsi pengadaan Sistem Komunikasi Radio Terpadu dengan tersangka Anggoro Widjaja yang buron.,37
53,Pernah diperiksa KPK terkait kasus korupsi kasus suap alih fungsi hutan menjadi Pelabuhan Tanjung Api-api (TAA) pada tahun 2009.,37
54,Pernah diperiksa KPK terkait kasus korupsi terkait kasus alih fungsi hutan Pantai Air Telang Sumatera Selatan pada tahun 2007,37
55,Diduga terlibat kasus pembobolan uang di Bank Jatim melalui kredit usaha pembibitan/peternakan sapi (KUPS) pada tahun saat menjadi anggota Komisi V Fraksi PDIP DPR RI periode 2009-2014.,38
56,Pernah diperiksa KPK terkait kasus korupsi dana penyelenggaraan haji yang menyeret mantan Menteri Agama Suryadharma Ali pada tahun 2014.,39
57,Pernah diperiksa KPK terkait kasus korupsipengadaan barang dan jasa IT Laboratorium dan kitab suci al -Qur’an di Kementerian Agama (Kemenag)dengan tersangka Zulkarnaen Djabar tahun anggaran 2011-2012.,39
58,Pernah terlibat kasus video porno DPR pada 2010,40
59,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 40% pada Masa sidang IV tahun sidang 2011-2012 (14 Mei-13 Juli 2012),40
60,"Diduga terkait pelanggaran pemasangan Baliho Caleg No.Urut 3, DPR RI atas nama Lasarus,S.Sos,M.Si, dari Partai Demokrasi Indonesia Perjuangan (PDIP) di Kabupaten Kapuas Hulu",41
61,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 40% pada Masa sidang IV tahun sidang 2011-2012 (14 Mei-13 Juli 2012),42
62,"Diduga kuat melakukan korupsi bersama atas proyek rehabilitasi hutan dan lahan yang melibatkan 6 kontraktor fiktif sat menjabat sebagai Bupati Murung Raya, sehingga merugikan Negara senilai 4 miliar pada TA 2004.",43
63,"Ybs jugadiduga terlibat penyelewengan dana dalam pembangunan jembatan Bahitom, serta praktik korupsi sector kehutanan yang merugikan Negara ratusan miliar.",43
64,"Berstatus sebagai tersangka dalam kasus korupsi dan gratifikasi izin pertambangan selama menjabat sebagai Bupati Tanah Laut. Suap sebesar Rp 5 miliar yang diserahkan pada Oktober 2010 itu dimaksudkan untuk memperlancar penerbitan izin kuasa pertambangan (KP) di Desa Sungai Cuka yang terletak di perbatasan antara Kabupaten Tanah Laut dan Tanah Bumbu, Kalimantan Selatan.",44
65,"Merupakan terpidana kasus korupsi dana operasional DPRD Kutai Kartanegara (Kukar) tahun 2005 senilai Rp 2,67 miliar, namun sedang mengajukan PK.",45
66,"Pernah diperiksa KPK dan diduga kuat terlibat dalam kasus dugaan korupsi pengadaan Sport Center Hambalang, Bogor, Jawa Barat.",46
67,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 25% pada Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),47
68,"Pernah melanggar Tatib DPR karna tertidur saat paripurna DPR dengan agenda pengesahan RUU tentang Keantariksaan, RUU tentang Pencegahan dan Pembalakan Liar, dan RUU Perlindungan dan Pemberdayaan Petani, Selasa (9/7)",48
69,"Pernah diperiksa Kejaksaan Tinggi (Kejati) Sulsel terkait kasus penyelewengan dana Bantuan Sosial (Bansos) Pemprov Sulsel 2008. Ybs diperiksa oleh tim penyidik Pidana Khusus (Pidsus) Kejati Sulsel, dalam kapasitas sebagai saksi meringankan untuk mantan rekannya saat masih di DPRD Makassar, Mustaqir Sabri alias Moses, yang terlebih dahulu sudah ditetapkan sebagai tersangka",49
70,"Diduga melakukan pelanggaran melalui serangan fajar yang dilakukan saat menjelang hari pemilihan di Soppeng, Sulawesi Selatan",49
71,"Merupakan tersangka dalam kasus dugaan korupsi pembangunan puskesmas di Dinas Kesehatan Kota Tangerang Selatan, Banten, tahun anggaran 2011 dan 2012.",50
72,"Pernah diperiksa KPK terkait kasus dugaan korupsi alih fungsi hutan di Tanjung Api-api Banyuasin, Sumatera Selatan, pada tahun 2008",51
73,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 45% pada Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),51
74,"Penah diperiksa KPK sebagai saksi bagi tersangka Muhtar Ependy, terkait sangkaan menghalangi dan merintangi persidangan serta memberikan keterangan tidak benar, dalam kasus Akil Mukthar, pada tahun 2014",52
75,"Pernah diperiksa KPK terkait penyidikan kasus dugaan korupsi pelaksanaan proyek PT DGI dan pencucian uang Nazaruddin, pada tahun 2013",52
76,"Pernah diperiksa KPK terkait kasus suap pembangunan lanjutan venue Pekan Olahraga Nasional (PON) XVIII Riau dengan tersangka gubernur nonaktif Riau, Rusli Zainal pada tahun 2013",52
77,"Diduga kuat terlibat dalam kasus dugaan korupsi pengadaan wisma atlet Kementerian Pemuda dan Olahraga (Kemenpora), serta pengadaan laboratorium/rumah sakit universitas Kementerian Pendidikan dan Kebudayaan (Kemendikbud).",52
78,"Pernah diperiksa KPK terkait kasus dugaan korupsi dalam proyek pembangunan di lima universitas, termasuk Universitas Jenderal Soedirman Purwokerto pada tahun 2011",52
79,Pernah dilaporkan kepada Polisi oleh Dahlan Iskan terkait kasus dugaan pemerasan yang dilakukan dalam sebuah rapat pertemuan pada 1 Oktober 2012 antara beberapa anggota Komisi XI dan direksi Merpati.,53
80,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 45% pada Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),53
81,Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 44% Masa sidang I tahun sidang 2012-2013 (16 Agustus-25 Oktober 2012),54
82,Pernah mejadi terdakwa kasus Korupsi APBD NTB tahun 2003 ketika ia menjabat sebagai Wakil Ketua DPRD NTB namun di vonis bebas oleh pengadilan.,55
83,"Merupakan anggota DPR yang sering membolos dengan persentase kehadiran hanya 33% pada Masa sidang I tahun sidang 2012-2013 (16 Agustus-25 Oktober 2012), 25% pada Masa sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012), dan 40% pada Masa sidang IV tahun sidang 2011-2012 (14 Mei-13 Juli 2012)",55
84,"Diduga terlibat kasus korupsi terkait proyek di Kementerian Energi dan Sumber Daya Mineral, yang salah satunya adalah proyek solar home system Pembakit Listrik Tenaga Surya (PLTS).",56
85,"Diduga terlibat dalam kasus dugaan korupsi pengadaan alat simulator di Korlantas, Mabes Polri tahun 2011",56
86,"Merupakan tersangka kasus korupsi terkait kasus dugaan korupsi dana Rp 22 miliar, namun masih menunggu putusan Mahkamah Agung (MA)",57
87,"Diduga terlibat kasus dugaan korupsi menurut keterangan Kepala Biro Hukum Setda Aceh, Edrian SH",58
88,Pernah menjadi pengacara Tersangka kasus dugaan korupsi dan pencucian uang Bahasjim Assifie,59
89,Pernah menjadi kuasa hukum PT Colibri Networks dalam kasus pencurian pulsa dengan pelapor Sdr. Feri Kuntoro,59
90,Pernah menjadi pengacara Tommy Soeharto di tingkat peninjauan kembali (PK) di Mahkamah Agung.,59
91,Pernah tersangkut kasus pemerasan terhadap PT PAL dan PT Garam. Idris terbukti melakukan pelanggaran kode etik kategori sedang dan disanksi dipindahkan dari Komisi BUMN DPR.,60
92,"Pernah diperiksa KPK karna diduga kuat terkait dugaan korupsi pada proyek pembangunan Kawasan Pusat Kegiatan Pengembangan dan Pembinaan Terpadu SDM di Kelurahan Ceger, Jakarta Timur.",61
93,"Diduga terlibat dalam kasus dugaan korupsi pengadaan alat simulator di Korlantas, Mabes Polri tahun 2011.",61
94,Diduga terlibat kasus korupsi terkait aksi meloloskan dua kontainer Blackberry dan minuman keras ilegal dari Bea dan Cukai Tanjung Priok beberapa waktu lalu.,61
95,Diduga terlibat kasus pelanggaran kampanye pada Pileg 2014 karna baliho besar berukuran 5x10 meter dengan gambar Caleg DPR RI Partai Golkar Bambang Wiyogo sebelum masa kampanye,62
96,"Diduga telah melakukan jual beli suara dengan memanipulasi surat mandat saksi dari Parpol lain, berikut formulir C-1 hingga menjadi milik mereka pada Pileg 2014.",63
97,Diduga terlibat kasus korupsi suap terkait upaya mengubah keputusan Komisi I yang merekomendasikan Dewan Pengawas TVRI untuk memecat Direksi TVRI.,64
98,Diduga melakukan pelanggaran etik terkait perjalanan anggota DPR RI Tantowi Yahya ke Israel.,64
99,"Merupakan anggota DPR yang tercatat kehadirannya 25%, izin 50%, sakit 25% pada Masa Sidang I tahun sidang 2012-2013 (19 November-14 Desember 2012)",64
100,"Tersangka dalam kasus dugaan korupsi penyimpangan kredit Rp7,5 miliar dari Bank Mandiri (eks Bank Bumi Daya) cabang Cikini ke PT Sebatin, saat menjadi Komisaris Utama PT Sebatin pada tahun 1997",65
101,Merupakan Ketua Pansus Rancangan Undang-undang Organisasi Kemasyarakatan (RUU Ormas),66
102,"Diduga terlibat kasus kasus pidana pemilu (politik uang) di daerah pemilihan Purwakarta, Karawang dan Bekasi pada masa Pileg 2014",67
103,"Pernah diperiksa KPK dan diduga terlibat kasus dugaan suap pengurusan sengketa Pilkada Lebak, Banten, dengan tersangka Ratu Atut Chosiyah Chasan, Gubernur Banten nonaktif, pada hari Selasa 4 Maret 2014.",67
104,Pernah diperiksa Penyidik Unit III Subdit IV (Satipikor) Ditreskrimsus Polda Jabarkarna diduga kuat terindikasi dugaan korupsi uang hibah APBD 2008- 2009 Provinsi Jabar senilai Rp 103 miliar saat duduk di kepengurusan Kono Jabar.,68
105,Diduga terlibat kasus pelanggaran pemilu politik uang Serangan fajar berupa pemberian uang terjadi di sejumlah tempat di Cirebon pada masa Pileg 2014.,69
106,"Diduga terlibat dalam kasus dugaan penyelewengan dana bantuan rumah tidak layak huni (Rutilahu) Desa Talagasari, Kecamatan Serangpanjang dan Desa Sarireja, Kecamatan Jalancagak, Kabupaten Subang",70
107,Diduga menerima uang terkait pembahasan Rancangan Undang-Undang Daerah Otonomi Baru (DOB) di DPR.,71
108,"Pernah menjadi terperiksa KPK terkait kasus dugaan korupsi pembangunan sarana dan prasarana olahraga Hambalang, pada hari Selasa, 16 Juli 2013",72
109,"Pernah dilaporkan ke polisi karena diduga menipu serta menggelapkan uang dengan cara menjual aset berupa tanah milik Calon Bupati Sukoharjo, Djawa Semita Atmadja pada Maret 2014.",73
110,Pernah terlibat kasus kepailitan PT Bank Permata Tbk (BNLI) pada tahun 2012,73
111,Merupakan tersangka dugaan korupsi dana bantuan sosial dari Pemerintah Provinsi Jawa Tengah tahun 2008 untuk Pemkab Wonosobo.,74
112,"Diduga kuat terlibat dalam dalam kasus dugaan korupsi pengadaan alat simulator di Korlantas, Mabes Polri tahun 2011.",75
113,Pernah melontarkan kritik berbau SARA kepada Menteri Perindustrian Mari Elka Pangestu pada 19 Mei 2011,75
114,"Diduga terlibat dalam kasus korupsi kasus letter of credit (L/C) bodong USD 22,5 juta Bank Century",75
115,Diduga terlibat kasus praktek money politik dengan membagikan uang kepada warga dalam pemilihan calon bupati/wakil bupati Brebes pada tahun 2012.,76
116,Diduga terlibat dalam kasus korupsi pengadaan tanah Pasar Banjaratma tahun 2003.,76
117,"Diduga terlibat dalam kasus korupsi dana lestari Pramuka Kabupaten Brebes tahun 2009, senilai Rp 1,103 miliar.",76
118,Diduga terlibat kasus pelanggaran penggelembungan suara pada Pileg 2014,77
119,Pernah menjadi terdakwa kasus korupsi terkait kasus pemalsuan dokumen dalam rangka penerbitan letter of credit (L/C) Bank Century.,78
120,Diduga terlibat dalam kasus korupsi penyimpangan dana hibah Program Penanganan Sosial Ekonomi Masyarakat (P2SEM) senilai Rp 75 juta.,79
121,"Diduga melakukan pelanggaran pemilu terkait pemasangan baliho dan posterdi kawasan Jl Ahmad Yani, depan Pasar Baru Kabupaten Magetan yang dinyatakan kawasan steril dari atribut kampanye pada PIleg 2014",80
122,Diduga melakukan pelanggaran terkait pemasangan baliho di Tiap Kecamatan se Kabupaten Lamongan Dan Gresik sebelum masa kampanye Pileg 2014,81
123,Diduga terlibat kasus korupsi tekait suap penanganan sengketa Pilkada di Mahkamah Konstitusi.,82
124,Pernah menajdi terperiksa KPK dalam kasus korupsi di Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi (SKK Migas).,82
125,Merupakan anggota DPR yang tercatat kehadirannya 25% dan izin 75% pada Masa Sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),82
126,Pernah menjadi teperiksa KPK dalam kasus korupsi skandal proyek Hambalang,83
127,Merupakan anggota Pansus Trisakti dan Semanggi II. Mereka dianggap tidak memiliki komitmen dalam penegakan HAM karena memutuskan tidak ada pelanggaran berat dalam kasus Trisakti.,84
128,Diduga terlibat dalam kasus korupsi terkait perkara suap Pilkada Kabupaten Gunung Mas dengan tersangka Chairun Nisa,85
129,"Pernah diperiksa penyidik Pidana Khusus Kejaksaan Agung (Pidsus Kejagung) terkait kasus korupsi pengalihan dan pemanfaatan dana hasil penjualan saham PT Kaltim Prima Coal (KPC), pada hari Kamis, 13 januari 2011",85
130,Pernah menjadi teperiksa KPK dalam kasus korupsi skandal proyek Hambalang,85
131,"Diduga menerima dana APBD, setelah mantan manajer Persisam Aidil Fitri yang menjadi terdakwa dalam korupsi dana bantuan sosial APBD 2007-2008 saat menjadi Deputi Sekjen PSSI",86
132,Merupakan tersangka kasus korupsi terkait kasus dugaan korupsi pengadaan alat kesehatan anggaran 2009 di Kementerian Kesehatan,87
133,"Diduga terlibat kasus korupsi Kawasan Industri Gula Milik masyarakat (Kigumas), namun divonis bebas.",87
134,Diduga terlibat kasus dugaan penganiyaan terhadap Madnur Nasution (47) yang sesama anggota DPRD Kabupaten Muarojambi,87
135,Diduga terlibat kasus korupsi terkait terkait kasus Bantuan Sosial (Bansos) tahun 2008.,88
136,Terlibta kasus pelanggaran kode etik terkait pelemparan buku di depan Ketua DPR Marzuki Alie saat risuh paripurna Century,88
137,"Pernah diperiksa KPK sebagai tersangka, dalam kasus korupsi dana selisih penggunaan anggaraan DPRD Provinsi Gorontalo 2001 senilai Rp 5,4 miliar, Selasa (9/4/2013), di Gorontalo, namun kasusnya di SP3-kan.",89
138,"Pernah menjadi terperiksa KPK dalam kasus penyalahgunaan alat kesehatan tahun 2005 senilai 7,9 miliar rupiah",89
139,Diduga terlibat kasus korupsi terkait kasus korupsi pemberian izin ilegal kepada PT MMC di Morotai,89
140,"Merupakan tersangka dalam kasus korupsi terkait korupsi pada pengadaan moubiler di rumah jabatan Gubernur Sulbar bernilai Rp1,5 miliar pada 2011 lalu, namun tidak ada kejelasan terkait kasus tersebut",90
141,Diduga terlibat kasus politik uang dengan membagi-bagikan uang pecahan Rp 100 ribu di sela-sela peringatan hari ulang tahun Mamasa dan peresmian Bandara Sultan Hasanuddin Mini di Kecamatan Sumarorong pada 11 Maret 2014 lalu,90
142,Pernah diperiksa oleh KPK sebagai saksi kasus korupsi terlait kasus dugaan korupsi pengadaan alat kesehatan (alkes) di Dinas Kesehatan Provinsi Banten,91
143,Pernah diperiksa oleh KPK dalam kasus korupsi terlait kasus dugaan korupsi pengadaan alat kesehatan (alkes) di Dinas Kesehatan Provinsi Banten,92
144,"Merupakan anggota DPR yang kehadirannya 40%, izin 50%, tanpaketerangan 10% pada Masasidang IV tahunsidang2011-2012 (14 Mei-13 Juli 2012)",93
145,Pernah diperiksa KPK terkait kasus dugaan suap Dana Penyesuaian Infrastruktur Daerah (DPID).,94
146,Diduga terlibat dalam kasus korupsi terkait kasus dugaan suap wisma atlet SEA Games,94
147,"Tersangka dalam kasus korupsi terkait kasus korupsi Cessie Bank Bali, namun kasusnya di SP3-kan",95
148,Diduga terlibat dalam kasus korupsi terkait kasus korupsi Electronik-KTP di Kementrian Dalam Negeri,95
149,Diduga terlibat dalam kasus korupsi terkait dalam kasus pembangunan lapangan menembak PON (Pekan Olah raga Nasional) Riau 2012,95
150,Tersangka dalam kasus korupsi terkait penyelundupan impor beras 60 ribu ton dari Vietnam,95
151,Diduga terlibat dalam kasus korupsi terkait sengketa Pemilihan Kepala Daerah (Pilkada) Jawa Timur,95
152,Tersangka dalam kasus korupsi terkait kasus korupsi baju hansip.,95
153,Diduga terlibat dalam kasus korupsi terkait kasus proyek Gedung MK.,95
154,Merupakan anggota DPR yang kehadirannya 40% danizin 60% pada Masa sidang IV tahun sidang 2011-2012 (14 Mei-13 Juli 2012),95
155,Diduga turut terlibat dalam kasus korupsi dan menerima uang dari proyek pengadaan Alkes di Depkes sebesar 90 juta),96
156,Merupakan anggota DPR yang tercatat keharidarannya 25% dan izin 75% pada Masa Sidang II tahun Sidang 2012-2013 (19 Novermber-14 Desember 2012),97
157,"Diduga kuatterlibat dalam kasus korupsi terkait Korupsi 2,5 Milyar rupiah anggaran RANPERDA tahun 2011.",98
158,Merupakan anggota DPR yang tercatat kehadirannya 25% dan izin 75% pada Masa Sidang II tahun sidang 2012-2013 (19 November-14 Desember 2012),99
159,Pernah menjadi teperiksa KPK dalam kasus korupsi skandal proyek Hambalang,100
160,Pernah diepriksa KPK dalam kasus korupsi terkait dalam kasus pembangunan lapangan menembak PON (Pekan Olah raga Nasional) Riau 2012,100
161,Pernah diperiksa penyidik Tipikor Polda Sultra terkait kasus korupsi penggunaan dana APBD tahun 2008 pada penimbunan penataan kawasan kumuh di Kelurahan Lagasa dan Kelurahan Tula,101
162,Diduga terlibat dalam kasus korupsi terkait kasus dugaan korupsi lelang kayu jati senilai Rp 11 miliar,101
163,"Diduga kuat terlibat kasus korupsi terkait skandal penyimpangan dana Rp 334 miliar, PT Bank Sumut",102
164,"Pernah diperiksa Penyidik Subdit III/Tipikor Ditreskrimsus Poldasu terkait dugaan korupsi dalam kasus korupsi Balai Benih Induk (BBI) Pemkab Nisel TA 2012, yang merugikan negara Rp.9,9 miliar.",103
165,Pernah mengeluarkan statement yang diskriminatif terhadap wanita korban perkosaan yang pernah melakukan hubungan seksual sebelumnya. Martin menyatakan kondisi kota besar yang mana banyak wanita sudah tak mementingkan keperawanan juga menjadi pertimbangan hakim untuk memutus perkara perkosaan.,104
166,Diduga terlibat dalam kasus korupsi terkait kasus dugaan korupsi dana hibah di KONI Padangpanjang,105
167,Diduga terlibat kasus pemerasan terhadap Kementerian BUMN lewat alokasi anggaran.,106
168,"Diduga terlibat kasus pelanggaran pemilu terkait pembagian sembako dan pengumpulan massa di Markas Pemenangan Caleg Gerindra, pada masa tenang, di Jalan Panjang, Kebon Jeruk, Jakarta Barat",107
